ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1037,878,9.71,4.68,31.17,49,4224.03,86.20,62,Nimbus Trail Backpack,2025-12-12,508.98,223,2.28,8.30
1765564531700,1024,861,10.23,4.11,32.86,42,3426.66,81.59,74,Nimbus Trail Backpack,2025-12-12,530.91,230,2.31,6.45
1765568131700,1062,871,8.47,4.89,38.37,52,4091.87,78.69,63,Nimbus Trail Backpack,2025-12-12,534.90,236,2.27,7.65
1765571731700,1089,932,8.79,4.09,39.08,45,4174.24,92.76,77,Nimbus Trail Backpack,2025-12-12,521.39,219,2.38,8.01
1765575331700,1185,1003,10.04,4.06,25.85,48,3839.00,79.98,63,Nimbus Trail Backpack,2025-12-12,508.41,198,2.57,7.55
1765578931700,1288,1200,9.09,5.40,34.63,70,6414.31,91.63,105,Nimbus Trail Backpack,2025-12-12,472.92,223,2.12,13.56
1765582531700,1454,1166,11.27,5.05,28.86,73,5901.10,80.84,115,Nimbus Trail Backpack,2025-12-12,555.42,188,2.95,10.62
1765586131700,1568,1437,9.89,4.78,29.41,75,5936.57,79.15,141,Nimbus Trail Backpack,2025-12-13,486.11,190,2.56,12.21
1765589731700,1722,1549,10.02,4.79,42.85,83,7717.35,92.98,117,Nimbus Trail Backpack,2025-12-13,505.12,202,2.50,15.28
1765593331700,1828,1622,12.05,4.58,36.57,84,6958.22,82.84,133,Nimbus Trail Backpack,2025-12-13,521.31,276,1.89,13.35
1765596931700,1949,1712,11.14,6.32,37.75,123,11431.65,92.94,224,Nimbus Trail Backpack,2025-12-13,561.34,227,2.47,20.36
1765600531700,2056,1876,12.61,4.96,38.95,102,8678.42,85.08,149,Nimbus Trail Backpack,2025-12-13,527.73,254,2.08,16.44
1765604131700,2091,1861,12.91,6.34,32.24,132,10829.02,82.04,170,Nimbus Trail Backpack,2025-12-13,532.34,293,1.82,20.34
1765607731700,2112,1765,11.63,4.90,42.52,103,9158.64,88.92,159,Nimbus Trail Backpack,2025-12-13,545.68,297,1.84,16.78
1765611331700,2108,1971,11.62,6.18,31.04,130,11202.37,86.17,187,Nimbus Trail Backpack,2025-12-13,492.32,184,2.68,22.75
1765614931700,2029,1813,13.21,5.34,37.68,108,9795.09,90.70,157,Nimbus Trail Backpack,2025-12-13,580.83,309,1.88,16.86
1765618531700,1950,1635,12.22,5.48,43.17,107,9683.62,90.50,198,Nimbus Trail Backpack,2025-12-13,551.51,255,2.16,17.56
1765622131700,1830,1475,10.55,4.97,37.09,91,8664.11,95.21,143,Nimbus Trail Backpack,2025-12-13,517.69,206,2.51,16.74
1765625731700,1729,1483,11.12,6.00,42.36,104,8954.34,86.10,141,Nimbus Trail Backpack,2025-12-13,493.59,206,2.40,18.14
1765629331700,1557,1277,10.04,5.02,32.40,78,6268.80,80.37,103,Nimbus Trail Backpack,2025-12-13,552.58,302,1.83,11.34
1765632931700,1421,1243,11.54,5.55,34.50,79,7363.05,93.20,141,Nimbus Trail Backpack,2025-12-13,566.12,240,2.36,13.01
1765636531700,1302,1137,10.86,5.00,33.74,65,6001.91,92.34,80,Nimbus Trail Backpack,2025-12-13,499.88,226,2.21,12.01
1765640131700,1196,959,8.97,4.13,39.07,49,4182.77,85.36,68,Nimbus Trail Backpack,2025-12-13,484.03,171,2.83,8.64
1765643731700,1111,1030,10.52,5.31,28.13,59,4744.38,80.41,89,Nimbus Trail Backpack,2025-12-13,453.21,172,2.63,10.47
1765647331700,1137,998,9.38,4.76,25.93,54,5058.57,93.68,69,Nimbus Trail Backpack,2025-12-13,510.57,283,1.80,9.91
1765650931700,1133,1072,7.81,4.83,38.44,55,4871.88,88.58,78,Nimbus Trail Backpack,2025-12-13,485.81,226,2.15,10.03
1765654531700,1129,946,9.01,5.41,37.90,61,5377.82,88.16,73,Nimbus Trail Backpack,2025-12-13,467.23,239,1.95,11.51
1765658131700,1203,1102,9.09,4.62,33.11,56,5047.81,90.14,90,Nimbus Trail Backpack,2025-12-13,448.54,230,1.95,11.25
1765661731700,1304,1095,9.98,3.99,33.58,52,4152.72,79.86,83,Nimbus Trail Backpack,2025-12-13,483.97,221,2.19,8.58
1765665331700,1408,1333,8.84,4.39,27.25,62,5821.08,93.89,81,Nimbus Trail Backpack,2025-12-13,549.38,263,2.09,10.60
1765668931700,1563,1432,10.18,5.28,26.74,83,7133.27,85.94,126,Nimbus Trail Backpack,2025-12-13,499.80,193,2.59,14.27
1765672531700,1729,1431,11.51,4.64,35.00,80,7379.11,92.24,104,Nimbus Trail Backpack,2025-12-14,522.40,204,2.56,14.13
