ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,916,804,5.38,4.22,36.72,39,3388.16,86.88,58,Cedar Accent Chair,2025-12-12,487.38,233,2.09,6.95
1765564531700,902,846,7.74,2.76,39.66,25,1872.59,74.90,32,Cedar Accent Chair,2025-12-12,508.51,195,2.61,3.68
1765568131700,894,751,8.02,3.05,31.93,27,2015.79,74.66,35,Cedar Accent Chair,2025-12-12,460.72,200,2.30,4.38
1765571731700,974,866,7.68,4.24,36.32,41,3567.79,87.02,61,Cedar Accent Chair,2025-12-12,556.56,224,2.48,6.41
1765575331700,1046,949,7.14,3.27,37.53,34,3000.53,88.25,50,Cedar Accent Chair,2025-12-12,517.71,204,2.54,5.80
1765578931700,1126,1043,6.22,2.88,32.87,32,2346.76,73.34,59,Cedar Accent Chair,2025-12-12,461.14,197,2.34,5.09
1765582531700,1228,1014,8.95,4.26,44.56,52,3804.21,73.16,89,Cedar Accent Chair,2025-12-12,559.21,221,2.53,6.80
1765586131700,1371,1217,9.96,4.04,41.77,55,4671.32,84.93,100,Cedar Accent Chair,2025-12-13,527.29,202,2.61,8.86
1765589731700,1481,1189,8.73,3.83,40.33,57,4183.38,73.39,83,Cedar Accent Chair,2025-12-13,580.08,284,2.04,7.21
1765593331700,1619,1492,10.11,4.37,36.29,71,5620.87,79.17,118,Cedar Accent Chair,2025-12-13,507.38,181,2.80,11.08
1765596931700,1682,1530,9.66,4.18,36.33,70,5936.91,84.81,84,Cedar Accent Chair,2025-12-13,588.25,280,2.10,10.09
1765600531700,1789,1479,11.12,5.05,46.63,90,7244.81,80.50,127,Cedar Accent Chair,2025-12-13,576.41,193,2.99,12.57
1765604131700,1831,1611,9.33,3.91,41.64,72,6179.61,85.83,106,Cedar Accent Chair,2025-12-13,521.13,271,1.92,11.86
1765607731700,1826,1517,11.89,4.88,36.71,89,6974.36,78.36,122,Cedar Accent Chair,2025-12-13,491.73,168,2.93,14.18
1765611331700,1827,1624,10.70,4.56,45.84,83,6926.37,83.45,116,Cedar Accent Chair,2025-12-13,582.58,306,1.90,11.89
1765614931700,1786,1470,10.13,3.58,43.06,64,5209.28,81.40,112,Cedar Accent Chair,2025-12-13,485.29,188,2.58,10.73
1765618531700,1712,1406,8.75,4.44,35.77,76,6100.77,80.27,134,Cedar Accent Chair,2025-12-13,524.31,195,2.69,11.64
1765622131700,1599,1485,11.16,4.81,36.25,77,6490.88,84.30,126,Cedar Accent Chair,2025-12-13,589.58,317,1.86,11.01
1765625731700,1482,1274,10.58,3.95,38.10,59,4831.19,81.88,91,Cedar Accent Chair,2025-12-13,505.45,176,2.87,9.56
1765629331700,1377,1238,9.94,4.07,44.97,56,4477.42,79.95,96,Cedar Accent Chair,2025-12-13,511.05,217,2.36,8.76
1765632931700,1249,1129,7.99,2.86,41.26,36,2711.64,75.32,66,Cedar Accent Chair,2025-12-13,491.69,240,2.05,5.51
1765636531700,1123,906,7.20,3.64,42.22,41,3379.44,82.43,69,Cedar Accent Chair,2025-12-13,555.73,220,2.53,6.08
1765640131700,1030,860,7.15,4.12,42.56,42,3031.73,72.18,68,Cedar Accent Chair,2025-12-13,550.85,196,2.81,5.50
1765643731700,955,902,7.24,2.82,29.70,27,2116.46,78.39,44,Cedar Accent Chair,2025-12-13,515.53,265,1.95,4.11
1765647331700,986,807,5.40,2.52,38.47,25,2091.69,83.67,45,Cedar Accent Chair,2025-12-13,541.17,227,2.38,3.87
1765650931700,975,810,7.25,4.02,38.03,39,2900.01,74.36,73,Cedar Accent Chair,2025-12-13,436.60,157,2.78,6.64
1765654531700,991,851,6.83,2.82,34.21,28,2174.73,77.67,47,Cedar Accent Chair,2025-12-13,500.62,219,2.29,4.34
1765658131700,1057,910,5.99,3.92,30.09,41,3397.02,82.85,57,Cedar Accent Chair,2025-12-13,547.23,255,2.15,6.21
1765661731700,1127,991,5.88,2.60,37.87,29,2147.24,74.04,36,Cedar Accent Chair,2025-12-13,519.10,246,2.11,4.14
1765665331700,1250,1045,6.49,4.10,37.06,51,4563.79,89.49,81,Cedar Accent Chair,2025-12-13,474.98,191,2.49,9.61
1765668931700,1346,1170,9.12,3.86,34.83,52,4138.91,79.59,96,Cedar Accent Chair,2025-12-13,475.34,186,2.56,8.71
1765672531700,1493,1330,9.77,3.82,45.38,57,4193.74,73.57,97,Cedar Accent Chair,2025-12-14,568.35,233,2.44,7.38
1765676131700,1610,1449,9.27,3.78,44.26,61,5037.66,82.58,99,Cedar Accent Chair,2025-12-14,475.05,212,2.24,10.60
1765679731700,1733,1555,10.39,3.35,47.15,58,4776.55,82.35,94,Cedar Accent Chair,2025-12-14,475.84,246,1.93,10.04
1765683331700,1866,1713,9.28,3.99,34.08,74,6081.90,82.19,124,Cedar Accent Chair,2025-12-14,509.83,174,2.93,11.93
1765686931700,1937,1822,11.34,3.68,48.19,71,5812.16,81.86,95,Cedar Accent Chair,2025-12-14,492.50,224,2.20,11.80
1765690531700,1982,1820,9.72,4.70,45.33,93,7202.31,77.44,139,Cedar Accent Chair,2025-12-14,499.14,246,2.03,14.43
1765694131700,1988,1742,10.47,4.03,47.94,80,6451.89,80.65,140,Cedar Accent Chair,2025-12-14,542.38,277,1.96,11.90
1765697731700,1969,1813,10.18,5.30,46.55,104,7880.47,75.77,170,Cedar Accent Chair,2025-12-14,570.60,290,1.97,13.81
1765701331700,1935,1829,10.95,3.99,33.00,77,5575.06,72.40,107,Cedar Accent Chair,2025-12-14,543.40,245,2.22,10.26
1765704931700,1854,1599,9.63,5.06,39.54,94,7455.13,79.31,132,Cedar Accent Chair,2025-12-14,579.70,229,2.53,12.86
