ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,892,832,5.41,4.03,31.07,36,2795.87,77.66,46,Driftwood Barstool,2025-12-12,470.74,208,2.26,5.94
1765564531700,884,830,8.04,3.07,32.08,27,1934.07,71.63,44,Driftwood Barstool,2025-12-12,468.56,195,2.40,4.13
1765568131700,895,734,8.26,3.79,41.03,34,2886.75,84.90,49,Driftwood Barstool,2025-12-12,549.32,274,2.00,5.26
1765571731700,963,855,6.98,3.27,34.94,31,2279.70,73.54,41,Driftwood Barstool,2025-12-12,505.12,198,2.55,4.51
1765575331700,1016,819,7.32,3.24,42.25,33,2342.08,70.97,53,Driftwood Barstool,2025-12-12,468.26,186,2.52,5.00
1765578931700,1115,1047,6.24,4.08,33.83,45,3759.72,83.55,73,Driftwood Barstool,2025-12-12,542.68,262,2.07,6.93
1765582531700,1216,1002,8.16,4.06,44.10,49,3417.07,69.74,74,Driftwood Barstool,2025-12-12,554.71,206,2.69,6.16
1765586131700,1365,1255,10.19,3.00,46.34,41,3279.21,79.98,73,Driftwood Barstool,2025-12-13,502.00,180,2.79,6.53
1765589731700,1487,1332,8.31,3.98,34.40,59,4774.56,80.92,84,Driftwood Barstool,2025-12-13,532.56,208,2.56,8.97
1765593331700,1575,1395,10.75,3.30,38.34,52,4372.84,84.09,92,Driftwood Barstool,2025-12-13,498.45,214,2.33,8.77
1765596931700,1677,1393,9.10,4.26,33.15,71,5667.92,79.83,116,Driftwood Barstool,2025-12-13,555.72,187,2.97,10.20
1765600531700,1765,1594,9.93,3.58,35.57,63,5337.13,84.72,104,Driftwood Barstool,2025-12-13,510.60,186,2.75,10.45
1765604131700,1808,1551,10.26,4.79,41.17,87,7241.39,83.23,138,Driftwood Barstool,2025-12-13,552.65,220,2.51,13.10
1765607731700,1796,1564,11.49,5.13,42.94,92,7843.57,85.26,151,Driftwood Barstool,2025-12-13,594.00,219,2.71,13.20
1765611331700,1806,1575,11.93,4.18,34.94,76,6224.91,81.91,129,Driftwood Barstool,2025-12-13,536.21,249,2.15,11.61
1765614931700,1743,1444,10.73,5.30,36.34,92,7273.58,79.06,143,Driftwood Barstool,2025-12-13,489.63,270,1.81,14.86
1765618531700,1698,1447,8.71,4.63,42.85,79,5568.95,70.49,121,Driftwood Barstool,2025-12-13,498.48,231,2.16,11.17
1765622131700,1577,1278,8.38,4.08,42.10,64,4648.20,72.63,110,Driftwood Barstool,2025-12-13,484.77,178,2.72,9.59
1765625731700,1487,1281,8.89,3.39,36.91,50,3852.05,77.04,62,Driftwood Barstool,2025-12-13,500.27,269,1.86,7.70
1765629331700,1356,1270,7.74,4.15,37.67,56,4166.48,74.40,86,Driftwood Barstool,2025-12-13,491.52,202,2.43,8.48
1765632931700,1241,995,7.16,4.13,44.45,51,4131.47,81.01,85,Driftwood Barstool,2025-12-13,482.03,237,2.03,8.57
1765636531700,1100,943,6.49,4.12,40.40,45,3128.41,69.52,79,Driftwood Barstool,2025-12-13,511.06,236,2.17,6.12
1765640131700,1027,937,6.81,3.03,33.87,31,2297.37,74.11,56,Driftwood Barstool,2025-12-13,553.15,300,1.84,4.15
1765643731700,940,841,7.29,2.72,42.75,26,1919.20,73.82,44,Driftwood Barstool,2025-12-13,551.06,271,2.03,3.48
1765647331700,969,835,8.22,3.53,29.53,34,2392.46,70.37,64,Driftwood Barstool,2025-12-13,525.15,262,2.00,4.56
1765650931700,967,839,6.89,3.90,40.64,38,3090.34,81.32,48,Driftwood Barstool,2025-12-13,511.40,226,2.26,6.04
1765654531700,987,853,5.87,3.22,37.62,32,2353.64,73.55,45,Driftwood Barstool,2025-12-13,500.55,205,2.44,4.70
1765658131700,1042,844,7.41,3.60,39.61,37,2710.24,73.25,61,Driftwood Barstool,2025-12-13,536.61,286,1.88,5.05
1765661731700,1116,1050,6.06,2.72,44.80,30,2474.09,82.47,52,Driftwood Barstool,2025-12-13,467.30,199,2.35,5.29
1765665331700,1215,1020,8.98,4.13,35.09,50,3721.86,74.44,70,Driftwood Barstool,2025-12-13,448.89,240,1.87,8.29
1765668931700,1333,1104,8.92,4.58,46.17,61,4921.87,80.69,94,Driftwood Barstool,2025-12-13,533.64,259,2.06,9.22
1765672531700,1466,1308,9.37,3.51,35.00,51,3951.82,77.49,95,Driftwood Barstool,2025-12-14,569.24,220,2.59,6.94
1765676131700,1605,1504,8.38,4.13,40.44,66,5258.11,79.67,113,Driftwood Barstool,2025-12-14,558.91,270,2.07,9.41
1765679731700,1713,1552,10.96,4.15,34.74,71,5153.13,72.58,111,Driftwood Barstool,2025-12-14,480.09,218,2.20,10.73
1765683331700,1844,1748,9.21,3.46,45.28,64,5256.47,82.13,120,Driftwood Barstool,2025-12-14,507.62,278,1.83,10.36
1765686931700,1898,1530,9.15,4.95,38.27,94,7653.49,81.42,115,Driftwood Barstool,2025-12-14,593.18,245,2.42,12.90
1765690531700,1976,1687,11.73,4.73,42.68,93,7723.63,83.05,120,Driftwood Barstool,2025-12-14,553.91,200,2.77,13.94
1765694131700,1996,1764,11.98,3.61,45.00,72,6206.26,86.20,120,Driftwood Barstool,2025-12-14,591.14,245,2.41,10.50
1765697731700,1958,1679,11.37,3.97,39.64,78,5392.80,69.14,125,Driftwood Barstool,2025-12-14,587.32,197,2.98,9.18
1765701331700,1930,1630,11.01,4.64,43.87,90,6264.48,69.61,145,Driftwood Barstool,2025-12-14,552.57,215,2.57,11.34
1765704931700,1829,1529,9.35,3.71,48.23,68,5290.15,77.80,117,Driftwood Barstool,2025-12-14,583.42,266,2.19,9.07
1765708531700,1716,1380,8.82,3.93,36.64,67,5505.15,82.17,97,Driftwood Barstool,2025-12-14,574.45,193,2.98,9.58
1765712131700,1596,1491,7.85,4.40,47.14,70,5355.63,76.51,98,Driftwood Barstool,2025-12-14,509.56,190,2.68,10.51
1765715731700,1480,1391,9.15,4.11,37.49,61,4289.18,70.31,83,Driftwood Barstool,2025-12-14,548.72,189,2.90,7.82
1765719331700,1343,1209,8.67,3.28,35.95,44,3465.60,78.76,83,Driftwood Barstool,2025-12-14,463.04,191,2.42,7.48
1765722931700,1216,1029,8.76,2.72,38.70,33,2646.74,80.20,52,Driftwood Barstool,2025-12-14,552.57,267,2.07,4.79
1765726531700,1124,1033,8.75,3.49,44.38,39,2851.66,73.12,49,Driftwood Barstool,2025-12-14,554.82,270,2.05,5.14
1765730131700,1037,881,7.14,2.98,33.37,31,2262.31,72.98,44,Driftwood Barstool,2025-12-14,468.19,257,1.82,4.83
1765733731700,1011,843,5.60,3.32,33.39,34,2530.23,74.42,49,Driftwood Barstool,2025-12-14,514.71,272,1.89,4.92
1765737331700,996,902,5.94,2.99,30.58,30,2233.60,74.45,46,Driftwood Barstool,2025-12-14,491.19,234,2.10,4.55
1765740931700,988,827,7.88,3.29,44.30,33,2472.28,74.92,43,Driftwood Barstool,2025-12-14,448.68,186,2.41,5.51
1765744531700,1063,937,7.00,3.01,30.59,32,2393.05,74.78,49,Driftwood Barstool,2025-12-14,511.73,261,1.96,4.68
1765748131700,1129,910,7.63,2.84,32.19,32,2687.17,83.97,45,Driftwood Barstool,2025-12-14,474.19,172,2.76,5.67
1765751731700,1261,1029,7.85,4.29,36.40,54,4337.61,80.33,80,Driftwood Barstool,2025-12-14,558.86,247,2.26,7.76
1765755331700,1389,1229,7.69,3.63,30.96,50,3488.35,69.77,76,Driftwood Barstool,2025-12-14,497.64,266,1.87,7.01
1765758931700,1487,1350,9.45,3.12,41.33,46,3274.30,71.18,68,Driftwood Barstool,2025-12-15,563.18,240,2.35,5.81
1765762531700,1637,1524,9.52,4.45,44.35,73,5982.34,81.95,115,Driftwood Barstool,2025-12-15,564.59,198,2.85,10.60
1765766131700,1773,1613,9.20,4.96,39.34,88,6475.22,73.58,128,Driftwood Barstool,2025-12-15,569.64,313,1.82,11.37
1765769731700,1864,1496,10.12,3.61,43.96,67,4859.84,72.53,119,Driftwood Barstool,2025-12-15,571.87,239,2.39,8.50
1765773331700,1942,1634,10.29,3.81,41.04,74,6180.69,83.52,97,Driftwood Barstool,2025-12-15,535.70,267,2.01,11.54
1765776931700,2016,1613,11.06,4.29,45.99,87,6509.18,74.82,134,Driftwood Barstool,2025-12-15,510.10,206,2.48,12.76
1765780531700,2016,1652,10.78,4.61,38.80,93,6756.51,72.65,136,Driftwood Barstool,2025-12-15,507.38,174,2.92,13.32
1765784131700,1989,1878,10.74,4.04,35.64,80,6844.12,85.55,135,Driftwood Barstool,2025-12-15,555.23,270,2.06,12.33
1765787731700,1942,1635,10.19,4.20,37.95,82,6989.58,85.24,145,Driftwood Barstool,2025-12-15,543.54,293,1.86,12.86
1765791331700,1863,1531,8.71,4.75,45.17,88,7066.50,80.30,156,Driftwood Barstool,2025-12-15,491.84,262,1.88,14.37
1765794931700,1766,1596,8.73,4.81,46.62,85,5954.17,70.05,142,Driftwood Barstool,2025-12-15,575.64,215,2.68,10.34
1765798531700,1647,1333,8.82,3.87,34.06,64,5551.36,86.74,100,Driftwood Barstool,2025-12-15,564.80,208,2.72,9.83
1765802131700,1522,1413,9.87,3.88,41.97,59,4314.44,73.13,82,Driftwood Barstool,2025-12-15,572.93,307,1.87,7.53
