ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,918,791,6.01,3.35,31.52,31,2623.28,84.62,45,Juniper Throw Blanket,2025-12-12,462.62,221,2.09,5.67
1765564531700,918,746,5.54,2.85,44.75,26,2308.63,88.79,48,Juniper Throw Blanket,2025-12-12,436.70,191,2.29,5.29
1765568131700,917,853,5.53,2.91,34.64,27,2350.61,87.06,34,Juniper Throw Blanket,2025-12-12,471.61,203,2.32,4.98
1765571731700,984,885,5.88,3.34,42.74,33,2488.20,75.40,51,Juniper Throw Blanket,2025-12-12,440.90,176,2.51,5.64
1765575331700,1056,874,7.27,2.75,41.32,29,2402.31,82.84,49,Juniper Throw Blanket,2025-12-12,540.96,210,2.58,4.44
1765578931700,1136,932,8.08,3.05,39.64,35,2707.91,77.37,58,Juniper Throw Blanket,2025-12-12,530.08,280,1.89,5.11
1765582531700,1248,1023,9.63,3.99,43.08,50,4533.30,90.67,93,Juniper Throw Blanket,2025-12-12,544.93,214,2.55,8.32
1765586131700,1372,1165,7.99,4.73,43.50,65,5687.19,87.50,102,Juniper Throw Blanket,2025-12-13,525.41,208,2.53,10.82
1765589731700,1503,1393,8.69,3.84,34.89,58,4824.26,83.18,72,Juniper Throw Blanket,2025-12-13,532.16,206,2.58,9.07
1765593331700,1609,1307,9.64,3.49,43.91,56,4778.20,85.32,74,Juniper Throw Blanket,2025-12-13,481.80,264,1.83,9.92
1765596931700,1723,1385,10.10,3.94,48.20,68,5936.32,87.30,97,Juniper Throw Blanket,2025-12-13,535.60,211,2.54,11.08
1765600531700,1787,1592,11.23,4.67,33.06,84,7075.55,84.23,152,Juniper Throw Blanket,2025-12-13,601.00,219,2.74,11.77
1765604131700,1846,1666,11.98,4.20,43.89,78,6910.03,88.59,109,Juniper Throw Blanket,2025-12-13,496.26,204,2.43,13.92
1765607731700,1874,1759,11.49,4.12,45.11,77,7114.93,92.40,141,Juniper Throw Blanket,2025-12-13,596.65,292,2.04,11.92
1765611331700,1857,1679,10.98,5.27,34.86,98,8200.98,83.68,127,Juniper Throw Blanket,2025-12-13,582.28,195,2.99,14.08
1765614931700,1779,1626,11.44,4.05,47.31,72,6294.09,87.42,100,Juniper Throw Blanket,2025-12-13,486.26,220,2.21,12.94
1765618531700,1703,1517,9.32,3.89,35.60,66,5822.42,88.22,116,Juniper Throw Blanket,2025-12-13,591.11,322,1.84,9.85
1765622131700,1635,1370,9.83,3.52,32.90,58,4454.34,76.80,106,Juniper Throw Blanket,2025-12-13,496.25,174,2.85,8.98
1765625731700,1492,1344,8.83,3.27,35.85,49,4495.51,91.75,86,Juniper Throw Blanket,2025-12-13,490.33,205,2.39,9.17
1765629331700,1365,1278,8.59,4.76,45.59,65,5479.47,84.30,86,Juniper Throw Blanket,2025-12-13,571.78,314,1.82,9.58
1765632931700,1244,1056,7.57,2.85,38.24,35,3094.73,88.42,62,Juniper Throw Blanket,2025-12-13,463.09,174,2.66,6.68
1765636531700,1144,949,6.73,4.07,40.33,47,3527.63,75.06,89,Juniper Throw Blanket,2025-12-13,553.35,249,2.22,6.38
1765640131700,1053,955,6.75,2.85,36.67,30,2582.44,86.08,44,Juniper Throw Blanket,2025-12-13,464.22,223,2.08,5.56
1765643731700,965,801,5.81,3.58,33.26,35,2637.86,75.37,64,Juniper Throw Blanket,2025-12-13,532.39,230,2.31,4.95
1765647331700,1003,908,6.66,3.37,44.45,34,2670.92,78.56,60,Juniper Throw Blanket,2025-12-13,481.50,223,2.16,5.55
1765650931700,977,850,7.46,3.44,29.00,34,3083.17,90.68,62,Juniper Throw Blanket,2025-12-13,442.88,242,1.83,6.96
1765654531700,1012,958,7.34,3.88,43.10,39,3050.03,78.21,67,Juniper Throw Blanket,2025-12-13,533.95,218,2.45,5.71
1765658131700,1056,886,6.67,3.39,34.22,36,2896.66,80.46,48,Juniper Throw Blanket,2025-12-13,501.79,193,2.60,5.77
1765661731700,1131,970,8.25,3.47,37.87,39,3024.21,77.54,62,Juniper Throw Blanket,2025-12-13,558.49,276,2.02,5.41
1765665331700,1245,1013,6.97,2.70,43.74,34,2988.17,87.89,50,Juniper Throw Blanket,2025-12-13,559.19,267,2.09,5.34
1765668931700,1390,1220,7.81,4.61,44.77,64,5436.99,84.95,93,Juniper Throw Blanket,2025-12-13,572.67,207,2.77,9.49
1765672531700,1515,1383,9.22,3.30,37.16,50,4551.34,91.03,81,Juniper Throw Blanket,2025-12-14,470.34,162,2.90,9.68
1765676131700,1658,1331,8.71,3.24,46.99,54,4470.78,82.79,89,Juniper Throw Blanket,2025-12-14,483.75,251,1.93,9.24
1765679731700,1756,1557,9.64,3.81,37.85,67,5445.70,81.28,99,Juniper Throw Blanket,2025-12-14,517.06,176,2.94,10.53
1765683331700,1878,1674,10.43,3.73,42.23,70,5700.63,81.44,94,Juniper Throw Blanket,2025-12-14,542.20,211,2.57,10.51
1765686931700,1968,1706,9.16,4.56,39.59,90,7333.65,81.49,163,Juniper Throw Blanket,2025-12-14,516.58,272,1.90,14.20
1765690531700,2023,1704,11.01,4.46,37.02,90,7894.04,87.71,125,Juniper Throw Blanket,2025-12-14,592.44,227,2.61,13.32
1765694131700,2036,1920,9.79,4.34,44.55,88,7241.18,82.29,138,Juniper Throw Blanket,2025-12-14,501.06,178,2.81,14.45
1765697731700,2004,1656,9.23,5.07,35.60,102,8138.75,79.79,147,Juniper Throw Blanket,2025-12-14,502.81,215,2.34,16.19
1765701331700,1945,1738,10.00,4.94,42.23,96,7899.58,82.29,177,Juniper Throw Blanket,2025-12-14,499.97,262,1.91,15.80
1765704931700,1876,1763,9.32,4.76,43.89,89,7685.77,86.36,154,Juniper Throw Blanket,2025-12-14,500.14,168,2.98,15.37
1765708531700,1781,1530,9.04,4.87,36.68,87,6739.38,77.46,135,Juniper Throw Blanket,2025-12-14,577.64,286,2.02,11.67
1765712131700,1640,1501,9.04,4.22,40.53,69,5740.53,83.20,127,Juniper Throw Blanket,2025-12-14,579.19,206,2.81,9.91
1765715731700,1511,1273,9.01,3.86,39.46,58,5232.06,90.21,109,Juniper Throw Blanket,2025-12-14,519.20,278,1.87,10.08
