ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,944,820,8.13,3.26,44.93,31,2837.55,91.53,45,Nimbus Trail Backpack,2025-12-12,535.90,210,2.55,5.29
1765564531700,933,799,7.85,3.73,42.82,35,2804.05,80.12,59,Nimbus Trail Backpack,2025-12-12,543.95,228,2.39,5.16
1765568131700,936,793,6.15,3.09,43.42,29,2322.52,80.09,44,Nimbus Trail Backpack,2025-12-12,550.30,228,2.41,4.22
1765571731700,986,856,8.32,4.01,41.67,40,3619.20,90.48,58,Nimbus Trail Backpack,2025-12-12,494.35,214,2.31,7.32
1765575331700,1037,920,8.61,3.28,36.52,34,3056.04,89.88,61,Nimbus Trail Backpack,2025-12-12,490.88,166,2.96,6.23
1765578931700,1160,1011,7.39,3.59,36.01,42,3927.44,93.51,55,Nimbus Trail Backpack,2025-12-12,450.30,237,1.90,8.72
1765582531700,1273,1075,8.53,3.21,39.27,41,3744.59,91.33,78,Nimbus Trail Backpack,2025-12-12,478.29,220,2.17,7.83
1765586131700,1405,1196,8.76,4.04,39.40,57,5164.60,90.61,87,Nimbus Trail Backpack,2025-12-13,485.15,238,2.04,10.65
1765589731700,1508,1250,10.37,4.08,45.94,62,5181.11,83.57,89,Nimbus Trail Backpack,2025-12-13,576.00,216,2.67,9.00
1765593331700,1617,1411,9.83,4.03,37.22,65,5403.07,83.12,88,Nimbus Trail Backpack,2025-12-13,534.03,287,1.86,10.12
1765596931700,1722,1571,9.76,4.69,41.15,81,7207.30,88.98,113,Nimbus Trail Backpack,2025-12-13,578.98,280,2.07,12.45
1765600531700,1811,1526,10.88,4.76,36.26,86,8217.76,95.56,126,Nimbus Trail Backpack,2025-12-13,534.61,253,2.11,15.37
1765604131700,1873,1629,10.03,5.15,46.79,97,8425.80,86.86,171,Nimbus Trail Backpack,2025-12-13,571.32,229,2.49,14.75
1765607731700,1876,1517,9.98,4.72,43.29,89,8446.34,94.90,168,Nimbus Trail Backpack,2025-12-13,601.61,322,1.87,14.04
1765611331700,1866,1665,11.67,4.54,45.89,85,8067.12,94.91,110,Nimbus Trail Backpack,2025-12-13,552.84,259,2.13,14.59
1765614931700,1792,1661,11.93,4.50,38.89,81,7768.64,95.91,122,Nimbus Trail Backpack,2025-12-13,555.24,301,1.84,13.99
1765618531700,1736,1640,10.28,4.50,41.37,78,6227.74,79.84,132,Nimbus Trail Backpack,2025-12-13,570.42,231,2.47,10.92
1765622131700,1640,1373,9.28,3.33,43.01,55,4612.42,83.86,69,Nimbus Trail Backpack,2025-12-13,493.72,222,2.22,9.34
1765625731700,1518,1370,8.57,4.69,42.09,71,6209.83,87.46,92,Nimbus Trail Backpack,2025-12-13,526.92,232,2.27,11.79
1765629331700,1412,1193,7.90,3.25,44.38,46,4191.42,91.12,58,Nimbus Trail Backpack,2025-12-13,525.82,261,2.01,7.97
1765632931700,1289,1145,7.38,3.47,31.13,45,3815.63,84.79,60,Nimbus Trail Backpack,2025-12-13,569.05,263,2.16,6.71
1765636531700,1143,944,6.78,3.53,39.40,40,3682.45,92.06,72,Nimbus Trail Backpack,2025-12-13,566.22,240,2.36,6.50
1765640131700,1057,1000,8.65,2.60,41.08,27,2301.24,85.23,45,Nimbus Trail Backpack,2025-12-13,470.72,244,1.93,4.89
1765643731700,962,845,7.22,3.95,43.11,38,3443.84,90.63,58,Nimbus Trail Backpack,2025-12-13,443.64,164,2.71,7.76
1765647331700,1025,830,6.57,2.87,35.07,29,2471.45,85.22,41,Nimbus Trail Backpack,2025-12-13,457.69,173,2.65,5.40
1765650931700,986,816,6.46,2.94,37.01,29,2638.26,90.97,49,Nimbus Trail Backpack,2025-12-13,460.53,174,2.65,5.73
1765654531700,1030,975,7.66,4.14,41.80,43,3398.94,79.05,53,Nimbus Trail Backpack,2025-12-13,442.80,231,1.92,7.68
1765658131700,1057,975,7.05,3.36,38.17,35,2906.33,83.04,43,Nimbus Trail Backpack,2025-12-13,485.58,226,2.15,5.99
1765661731700,1167,1036,8.20,3.18,30.15,37,3178.81,85.91,59,Nimbus Trail Backpack,2025-12-13,549.80,236,2.33,5.78
1765665331700,1257,1006,8.58,3.13,37.56,39,3346.43,85.81,66,Nimbus Trail Backpack,2025-12-13,495.85,174,2.85,6.75
1765668931700,1373,1166,7.40,3.48,39.52,48,4211.53,87.74,88,Nimbus Trail Backpack,2025-12-13,524.35,275,1.91,8.03
1765672531700,1521,1296,8.18,4.60,33.63,70,6100.56,87.15,123,Nimbus Trail Backpack,2025-12-14,524.67,269,1.95,11.63
1765676131700,1649,1529,10.35,3.27,37.41,54,4414.23,81.74,71,Nimbus Trail Backpack,2025-12-14,532.89,218,2.44,8.28
1765679731700,1778,1683,9.11,4.25,33.90,76,6139.84,80.79,122,Nimbus Trail Backpack,2025-12-14,503.61,202,2.49,12.19
1765683331700,1904,1536,11.18,3.95,47.16,75,6521.43,86.95,118,Nimbus Trail Backpack,2025-12-14,535.21,286,1.87,12.18
1765686931700,1978,1809,10.40,5.29,46.37,105,9780.07,93.14,185,Nimbus Trail Backpack,2025-12-14,572.74,297,1.93,17.08
1765690531700,2027,1859,10.32,4.93,36.96,100,8874.56,88.75,124,Nimbus Trail Backpack,2025-12-14,576.04,220,2.62,15.41
1765694131700,2041,1806,11.83,4.56,43.77,93,8398.93,90.31,125,Nimbus Trail Backpack,2025-12-14,601.08,225,2.67,13.97
1765697731700,2029,1810,12.01,4.03,42.81,82,7289.44,88.90,149,Nimbus Trail Backpack,2025-12-14,509.69,172,2.96,14.30
1765701331700,1998,1614,9.17,4.62,42.59,92,7204.31,78.31,150,Nimbus Trail Backpack,2025-12-14,548.35,259,2.12,13.14
1765704931700,1881,1591,8.71,3.95,32.64,74,6783.93,91.67,136,Nimbus Trail Backpack,2025-12-14,512.18,263,1.95,13.25
1765708531700,1770,1451,8.76,4.74,46.42,84,6662.93,79.32,113,Nimbus Trail Backpack,2025-12-14,519.30,188,2.76,12.83
1765712131700,1644,1341,8.85,4.05,42.53,67,6000.84,89.56,92,Nimbus Trail Backpack,2025-12-14,547.97,185,2.96,10.95
1765715731700,1535,1408,10.00,3.72,31.31,57,4922.81,86.37,73,Nimbus Trail Backpack,2025-12-14,476.12,168,2.83,10.34
1765719331700,1368,1288,9.62,4.18,31.63,57,4553.45,79.89,104,Nimbus Trail Backpack,2025-12-14,539.20,288,1.87,8.44
1765722931700,1251,1064,8.43,4.33,45.34,54,5145.22,95.28,67,Nimbus Trail Backpack,2025-12-14,496.80,170,2.92,10.36
1765726531700,1149,953,8.37,4.28,30.43,49,4497.20,91.78,82,Nimbus Trail Backpack,2025-12-14,500.93,247,2.03,8.98
1765730131700,1049,979,6.58,3.75,33.32,39,3124.52,80.12,68,Nimbus Trail Backpack,2025-12-14,526.82,259,2.03,5.93
1765733731700,1056,915,7.93,3.55,43.13,38,3361.54,88.46,59,Nimbus Trail Backpack,2025-12-14,505.07,241,2.10,6.66
1765737331700,1025,912,7.58,2.96,39.30,30,2716.62,90.55,41,Nimbus Trail Backpack,2025-12-14,452.36,237,1.91,6.01
1765740931700,1037,840,7.82,2.98,44.98,31,2516.31,81.17,42,Nimbus Trail Backpack,2025-12-14,503.99,212,2.38,4.99
1765744531700,1083,880,7.45,3.76,39.46,41,3238.69,78.99,51,Nimbus Trail Backpack,2025-12-14,461.72,223,2.07,7.01
1765748131700,1190,1062,6.87,3.51,33.83,42,3872.71,92.21,78,Nimbus Trail Backpack,2025-12-14,466.62,203,2.30,8.30
1765751731700,1271,1019,8.47,2.88,38.92,37,3543.77,95.78,61,Nimbus Trail Backpack,2025-12-14,534.51,286,1.87,6.63
1765755331700,1411,1219,8.83,3.53,45.07,50,4294.33,85.89,62,Nimbus Trail Backpack,2025-12-14,530.66,217,2.45,8.09
1765758931700,1546,1238,7.49,3.02,37.10,47,4404.16,93.71,78,Nimbus Trail Backpack,2025-12-15,534.39,227,2.35,8.24
1765762531700,1705,1503,8.50,3.59,40.25,61,4783.11,78.41,114,Nimbus Trail Backpack,2025-12-15,528.47,188,2.81,9.05
1765766131700,1837,1516,11.19,4.02,43.85,74,6044.61,81.68,140,Nimbus Trail Backpack,2025-12-15,555.83,304,1.83,10.87
1765769731700,1933,1600,10.54,4.92,34.06,95,8822.23,92.87,118,Nimbus Trail Backpack,2025-12-15,560.79,238,2.36,15.73
1765773331700,2032,1698,11.45,4.13,41.51,84,6951.40,82.75,151,Nimbus Trail Backpack,2025-12-15,561.31,291,1.93,12.38
1765776931700,2072,1852,11.44,5.36,37.45,111,10132.76,91.29,190,Nimbus Trail Backpack,2025-12-15,485.32,233,2.08,20.88
1765780531700,2096,1987,10.56,4.30,45.52,90,7027.63,78.08,109,Nimbus Trail Backpack,2025-12-15,487.20,245,1.99,14.42
