ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1096,1025,11.41,4.38,24.18,48,3661.59,76.28,63,Cedar Accent Chair,2025-12-12,507.38,172,2.95,7.22
1765564531700,1085,1013,10.03,4.76,24.88,52,3937.79,75.73,67,Cedar Accent Chair,2025-12-12,496.04,254,1.95,7.94
1765568131700,1098,884,10.90,4.64,35.61,51,4342.69,85.15,95,Cedar Accent Chair,2025-12-12,463.00,237,1.95,9.38
1765571731700,1135,1071,9.79,5.52,34.89,63,4720.73,74.93,79,Cedar Accent Chair,2025-12-12,541.86,227,2.39,8.71
1765575331700,1235,1009,9.26,4.95,33.40,61,5324.49,87.29,104,Cedar Accent Chair,2025-12-12,442.55,246,1.80,12.03
1765578931700,1367,1257,11.40,5.32,27.12,73,5940.05,81.37,126,Cedar Accent Chair,2025-12-12,528.68,209,2.53,11.24
1765582531700,1480,1396,12.56,4.68,24.79,69,5669.43,82.17,122,Cedar Accent Chair,2025-12-12,573.14,232,2.47,9.89
1765586131700,1626,1363,12.00,6.26,37.82,102,8026.21,78.69,174,Cedar Accent Chair,2025-12-13,475.82,248,1.92,16.87
1765589731700,1793,1520,12.34,5.25,40.89,94,8058.84,85.73,156,Cedar Accent Chair,2025-12-13,531.74,225,2.36,15.16
1765593331700,1917,1777,11.54,6.27,33.82,120,10616.15,88.47,177,Cedar Accent Chair,2025-12-13,568.70,199,2.86,18.67
1765596931700,2023,1747,13.67,6.21,41.50,126,10831.99,85.97,189,Cedar Accent Chair,2025-12-13,487.31,185,2.63,22.23
1765600531700,2110,1870,14.82,5.49,34.02,116,9099.37,78.44,172,Cedar Accent Chair,2025-12-13,589.88,198,2.98,15.43
1765604131700,2174,1865,13.20,5.96,28.18,130,10394.74,79.96,163,Cedar Accent Chair,2025-12-13,561.72,202,2.78,18.51
1765607731700,2204,2006,14.36,6.90,33.22,152,12217.57,80.38,215,Cedar Accent Chair,2025-12-13,539.49,202,2.67,22.65
1765611331700,2165,1926,14.35,6.04,27.03,131,9907.35,75.63,196,Cedar Accent Chair,2025-12-13,571.77,211,2.71,17.33
1765614931700,2136,1906,12.66,5.44,41.14,116,10224.44,88.14,189,Cedar Accent Chair,2025-12-13,584.87,237,2.47,17.48
1765618531700,2029,1640,13.48,6.53,31.54,133,11299.34,84.96,234,Cedar Accent Chair,2025-12-13,588.62,324,1.82,19.20
1765622131700,1904,1725,13.03,5.90,37.14,112,9396.03,83.89,157,Cedar Accent Chair,2025-12-13,522.74,211,2.48,17.97
1765625731700,1763,1588,12.28,5.89,34.60,104,7697.43,74.01,166,Cedar Accent Chair,2025-12-13,497.13,179,2.78,15.48
1765629331700,1637,1551,12.84,4.85,37.46,79,6664.25,84.36,131,Cedar Accent Chair,2025-12-13,482.00,212,2.27,13.83
1765632931700,1472,1239,12.41,5.64,33.91,83,7356.32,88.63,139,Cedar Accent Chair,2025-12-13,557.52,287,1.94,13.19
1765636531700,1353,1196,11.01,5.12,33.55,69,5682.84,82.36,124,Cedar Accent Chair,2025-12-13,451.83,178,2.54,12.58
1765640131700,1239,1157,9.74,5.70,25.98,71,5782.79,81.45,97,Cedar Accent Chair,2025-12-13,492.84,177,2.78,11.73
1765643731700,1160,1072,11.04,5.65,24.77,66,5617.02,85.11,95,Cedar Accent Chair,2025-12-13,506.60,204,2.48,11.09
1765647331700,1209,982,8.61,4.76,38.28,57,4451.76,78.10,95,Cedar Accent Chair,2025-12-13,530.75,238,2.23,8.39
1765650931700,1150,1082,9.64,4.91,35.11,56,4077.57,72.81,75,Cedar Accent Chair,2025-12-13,448.51,165,2.72,9.09
1765654531700,1187,1087,9.69,4.45,37.70,53,3996.64,75.41,64,Cedar Accent Chair,2025-12-13,540.10,227,2.38,7.40
1765658131700,1242,1124,9.78,5.33,26.66,66,5893.53,89.30,81,Cedar Accent Chair,2025-12-13,477.81,211,2.26,12.33
1765661731700,1352,1084,9.90,5.07,24.77,69,5926.20,85.89,115,Cedar Accent Chair,2025-12-13,453.38,233,1.95,13.07
1765665331700,1458,1306,12.09,5.07,33.26,74,5437.31,73.48,99,Cedar Accent Chair,2025-12-13,471.35,215,2.19,11.54
1765668931700,1617,1309,10.90,6.04,26.75,98,8167.70,83.34,146,Cedar Accent Chair,2025-12-13,546.49,186,2.94,14.95
1765672531700,1789,1628,11.82,6.53,28.78,117,10400.59,88.89,144,Cedar Accent Chair,2025-12-14,502.22,187,2.69,20.71
1765676131700,1955,1678,12.57,5.86,29.16,115,9607.90,83.55,156,Cedar Accent Chair,2025-12-14,518.84,255,2.03,18.52
1765679731700,2107,1840,13.60,5.76,34.39,121,9708.16,80.23,191,Cedar Accent Chair,2025-12-14,568.59,269,2.11,17.07
1765683331700,2216,1847,12.76,5.75,36.69,127,9732.96,76.64,221,Cedar Accent Chair,2025-12-14,524.81,291,1.80,18.55
1765686931700,2339,2106,14.94,6.78,28.50,159,13592.31,85.49,229,Cedar Accent Chair,2025-12-14,535.74,198,2.71,25.37
1765690531700,2381,2038,15.31,6.13,39.01,146,11475.72,78.60,260,Cedar Accent Chair,2025-12-14,565.73,239,2.37,20.28
1765694131700,2425,2213,14.52,6.71,32.05,163,12918.82,79.26,234,Cedar Accent Chair,2025-12-14,604.12,281,2.15,21.38
1765697731700,2378,2122,14.46,6.72,32.47,160,12417.77,77.61,248,Cedar Accent Chair,2025-12-14,556.39,191,2.91,22.32
1765701331700,2318,1966,14.75,5.82,42.28,135,11070.12,82.00,164,Cedar Accent Chair,2025-12-14,577.77,229,2.52,19.16
1765704931700,2208,1897,14.89,5.91,39.36,131,10323.73,78.81,204,Cedar Accent Chair,2025-12-14,561.69,189,2.97,18.38
1765708531700,2106,1864,13.47,6.58,39.51,139,11240.38,80.87,258,Cedar Accent Chair,2025-12-14,491.90,179,2.75,22.85
1765712131700,1954,1632,12.21,5.20,31.68,102,7594.44,74.46,130,Cedar Accent Chair,2025-12-14,515.17,174,2.96,14.74
1765715731700,1801,1626,10.96,6.33,30.13,114,9622.34,84.41,155,Cedar Accent Chair,2025-12-14,538.76,262,2.06,17.86
1765719331700,1628,1385,12.90,6.39,39.77,104,8873.66,85.32,167,Cedar Accent Chair,2025-12-14,550.27,295,1.87,16.13
1765722931700,1492,1308,11.52,4.63,31.58,69,5567.36,80.69,87,Cedar Accent Chair,2025-12-14,541.42,261,2.07,10.28
1765726531700,1367,1119,10.71,5.62,34.74,77,6275.41,81.50,130,Cedar Accent Chair,2025-12-14,527.23,176,3.00,11.90
1765730131700,1261,1017,11.62,5.86,23.28,74,6240.32,84.33,126,Cedar Accent Chair,2025-12-14,511.61,222,2.30,12.20
1765733731700,1222,991,10.65,6.00,27.57,73,6541.10,89.60,94,Cedar Accent Chair,2025-12-14,458.83,205,2.24,14.26
1765737331700,1209,1012,10.11,4.47,36.32,54,4627.08,85.69,81,Cedar Accent Chair,2025-12-14,514.86,236,2.18,8.99
1765740931700,1216,1121,11.08,5.08,28.98,62,5485.80,88.48,95,Cedar Accent Chair,2025-12-14,470.30,201,2.34,11.66
1765744531700,1282,1079,10.33,5.71,33.90,73,6286.72,86.12,131,Cedar Accent Chair,2025-12-14,539.46,214,2.52,11.65
1765748131700,1377,1189,11.54,5.39,38.72,74,5358.26,72.41,91,Cedar Accent Chair,2025-12-14,555.05,277,2.00,9.65
1765751731700,1512,1372,9.96,5.60,25.17,85,7323.26,86.16,134,Cedar Accent Chair,2025-12-14,552.93,271,2.04,13.24
1765755331700,1651,1412,11.89,4.66,35.13,77,6625.42,86.04,113,Cedar Accent Chair,2025-12-14,493.93,205,2.41,13.41
1765758931700,1810,1716,11.37,6.00,40.28,109,8852.46,81.22,193,Cedar Accent Chair,2025-12-15,551.07,271,2.03,16.06
1765762531700,2001,1833,13.26,6.32,34.19,126,10334.72,82.02,183,Cedar Accent Chair,2025-12-15,526.45,215,2.45,19.63
1765766131700,2125,1907,14.22,6.46,29.29,137,10324.19,75.36,196,Cedar Accent Chair,2025-12-15,498.23,192,2.59,20.72
1765769731700,2274,1853,12.81,6.61,34.40,150,10858.99,72.39,239,Cedar Accent Chair,2025-12-15,555.30,284,1.96,19.56
1765773331700,2369,2110,12.41,6.71,32.87,159,12533.05,78.82,203,Cedar Accent Chair,2025-12-15,494.75,193,2.56,25.33
1765776931700,2425,2126,13.58,6.17,40.45,150,13163.94,87.76,250,Cedar Accent Chair,2025-12-15,559.28,223,2.51,23.54
1765780531700,2465,2252,12.52,5.63,35.29,139,11997.51,86.31,170,Cedar Accent Chair,2025-12-15,491.78,182,2.70,24.40
1765784131700,2419,1986,15.15,6.84,28.81,165,12975.20,78.64,278,Cedar Accent Chair,2025-12-15,542.62,242,2.24,23.91
1765787731700,2377,2076,14.96,5.47,36.81,130,9642.26,74.17,240,Cedar Accent Chair,2025-12-15,557.06,253,2.20,17.31
1765791331700,2263,1825,14.25,5.89,35.09,133,11476.38,86.29,198,Cedar Accent Chair,2025-12-15,557.04,269,2.07,20.60
1765794931700,2157,1945,13.05,6.44,41.16,139,11027.31,79.33,243,Cedar Accent Chair,2025-12-15,474.24,176,2.69,23.25
1765798531700,1996,1687,11.09,5.36,31.82,107,8106.23,75.76,158,Cedar Accent Chair,2025-12-15,525.68,277,1.90,15.42
1765802131700,1809,1459,12.86,5.06,38.88,92,7199.47,78.26,173,Cedar Accent Chair,2025-12-15,494.77,219,2.26,14.55
1765805731700,1680,1393,11.11,4.95,26.88,83,6866.30,82.73,113,Cedar Accent Chair,2025-12-15,563.61,268,2.10,12.18
1765809331700,1520,1440,11.53,5.31,39.41,81,6404.33,79.07,140,Cedar Accent Chair,2025-12-15,470.04,241,1.95,13.62
1765812931700,1388,1124,10.31,5.10,33.54,71,6210.37,87.47,123,Cedar Accent Chair,2025-12-15,496.50,191,2.60,12.51
1765816531700,1273,1062,10.04,4.83,34.15,62,4727.26,76.25,110,Cedar Accent Chair,2025-12-15,447.95,176,2.55,10.55
1765820131700,1128,938,10.26,5.98,25.07,67,5304.17,79.17,119,Cedar Accent Chair,2025-12-15,470.15,228,2.06,11.28
1765823731700,1144,964,11.39,5.61,32.61,64,5065.91,79.15,119,Cedar Accent Chair,2025-12-15,547.03,185,2.96,9.26
1765827331700,1129,1067,8.62,5.81,32.09,66,5765.35,87.35,118,Cedar Accent Chair,2025-12-15,549.02,263,2.09,10.50
1765830931700,1199,979,9.66,4.36,32.34,52,3769.64,72.49,83,Cedar Accent Chair,2025-12-15,538.83,235,2.29,7.00
1765834531700,1295,1097,9.48,4.96,34.91,64,5136.66,80.26,105,Cedar Accent Chair,2025-12-15,448.19,245,1.83,11.46
1765838131700,1440,1245,11.00,5.04,38.99,73,5723.19,78.40,112,Cedar Accent Chair,2025-12-15,456.27,226,2.02,12.54
1765841731700,1549,1263,12.24,4.84,25.39,75,6385.56,85.14,115,Cedar Accent Chair,2025-12-15,555.20,197,2.82,11.50
1765845331700,1709,1523,10.92,5.89,38.02,101,7774.29,76.97,135,Cedar Accent Chair,2025-12-16,506.26,202,2.51,15.36
1765848931700,1874,1754,12.31,6.04,39.05,113,8297.75,73.43,213,Cedar Accent Chair,2025-12-16,574.99,316,1.82,14.43
1765852531700,2003,1800,14.02,5.61,36.51,112,8130.06,72.59,161,Cedar Accent Chair,2025-12-16,472.82,259,1.83,17.19
1765856131700,2148,2019,12.88,5.32,28.32,114,9133.29,80.12,181,Cedar Accent Chair,2025-12-16,582.34,219,2.66,15.68
1765859731700,2218,2085,14.92,5.98,28.85,133,10937.02,82.23,181,Cedar Accent Chair,2025-12-16,513.04,195,2.63,21.32
1765863331700,2305,2057,12.89,5.40,33.89,124,10595.61,85.45,205,Cedar Accent Chair,2025-12-16,500.63,232,2.16,21.16
1765866931700,2312,2081,13.74,7.08,38.49,164,12599.23,76.82,309,Cedar Accent Chair,2025-12-16,513.73,197,2.61,24.53
1765870531700,2285,1860,13.11,5.76,36.25,132,9916.29,75.12,222,Cedar Accent Chair,2025-12-16,588.66,246,2.39,16.85
1765874131700,2222,2107,15.01,6.40,41.23,142,12269.80,86.41,177,Cedar Accent Chair,2025-12-16,548.07,275,1.99,22.39
1765877731700,2126,1817,12.56,6.55,42.13,139,11016.93,79.26,235,Cedar Accent Chair,2025-12-16,479.30,220,2.18,22.99
1765881331700,2028,1879,12.22,6.60,36.01,134,10264.71,76.60,161,Cedar Accent Chair,2025-12-16,545.02,184,2.96,18.83
1765884931700,1874,1692,12.32,5.41,32.90,101,9075.89,89.86,156,Cedar Accent Chair,2025-12-16,469.23,221,2.12,19.34
