ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1072,859,8.59,4.28,34.59,46,3872.75,84.19,73,Driftwood Barstool,2025-12-12,510.78,222,2.30,7.58
1765564531700,1045,984,9.47,5.50,37.73,57,3981.18,69.85,83,Driftwood Barstool,2025-12-12,482.33,244,1.98,8.25
1765568131700,1074,955,11.28,4.45,32.83,48,3999.82,83.33,68,Driftwood Barstool,2025-12-12,469.71,211,2.23,8.52
1765571731700,1131,962,9.45,4.31,38.93,49,4105.86,83.79,68,Driftwood Barstool,2025-12-12,544.97,199,2.74,7.53
1765575331700,1240,1099,11.88,5.90,33.59,73,6195.92,84.88,94,Driftwood Barstool,2025-12-12,471.16,238,1.98,13.15
1765578931700,1348,1106,11.39,5.43,31.73,73,5331.79,73.04,104,Driftwood Barstool,2025-12-12,547.82,191,2.87,9.73
1765582531700,1466,1297,11.33,5.72,27.22,84,5837.79,69.50,153,Driftwood Barstool,2025-12-12,464.38,164,2.83,12.57
1765586131700,1638,1460,11.77,6.33,35.21,104,8313.86,79.94,143,Driftwood Barstool,2025-12-13,553.47,212,2.61,15.02
1765589731700,1760,1473,12.19,6.47,34.52,114,8528.62,74.81,165,Driftwood Barstool,2025-12-13,553.53,236,2.35,15.41
1765593331700,1908,1700,12.37,5.75,37.15,110,7746.12,70.42,146,Driftwood Barstool,2025-12-13,582.24,321,1.81,13.30
1765596931700,2025,1837,13.79,6.27,28.74,127,10829.01,85.27,206,Driftwood Barstool,2025-12-13,482.63,209,2.31,22.44
1765600531700,2123,1939,13.90,6.76,29.41,143,10646.35,74.45,244,Driftwood Barstool,2025-12-13,562.17,285,1.97,18.94
1765604131700,2142,1954,12.90,6.52,27.19,140,11622.00,83.01,244,Driftwood Barstool,2025-12-13,525.71,217,2.42,22.11
1765607731700,2166,1781,13.16,5.77,38.79,125,9314.56,74.52,150,Driftwood Barstool,2025-12-13,522.48,181,2.89,17.83
1765611331700,2156,1788,14.90,6.72,41.22,145,10960.84,75.59,271,Driftwood Barstool,2025-12-13,556.01,270,2.06,19.71
1765614931700,2086,1840,14.11,5.55,42.66,116,10059.63,86.72,153,Driftwood Barstool,2025-12-13,592.09,310,1.91,16.99
1765618531700,2019,1908,13.13,6.26,28.37,126,8865.19,70.36,153,Driftwood Barstool,2025-12-13,573.42,215,2.67,15.46
1765622131700,1883,1756,11.53,6.53,28.45,123,9842.85,80.02,193,Driftwood Barstool,2025-12-13,480.78,224,2.15,20.47
1765625731700,1761,1417,12.49,5.25,36.84,92,7966.34,86.59,157,Driftwood Barstool,2025-12-13,497.96,183,2.72,16.00
1765629331700,1620,1386,11.45,4.96,27.20,80,6224.57,77.81,106,Driftwood Barstool,2025-12-13,545.39,223,2.45,11.41
1765632931700,1487,1360,12.97,5.35,36.24,79,6370.33,80.64,116,Driftwood Barstool,2025-12-13,460.16,164,2.81,13.84
1765636531700,1325,1258,10.88,4.85,32.07,64,4732.49,73.95,104,Driftwood Barstool,2025-12-13,484.35,208,2.33,9.77
1765640131700,1217,1111,9.91,4.80,38.03,58,4363.21,75.23,78,Driftwood Barstool,2025-12-13,495.25,194,2.55,8.81
1765643731700,1127,960,10.57,5.60,25.98,63,4416.47,70.10,95,Driftwood Barstool,2025-12-13,461.82,178,2.59,9.56
1765647331700,1190,1115,9.43,4.52,35.99,54,4012.43,74.30,101,Driftwood Barstool,2025-12-13,456.46,234,1.95,8.79
1765650931700,1144,1053,10.49,5.01,25.67,57,4235.19,74.30,105,Driftwood Barstool,2025-12-13,486.85,230,2.12,8.70
1765654531700,1195,1006,8.59,5.46,24.99,65,4920.42,75.70,81,Driftwood Barstool,2025-12-13,450.82,171,2.64,10.91
1765658131700,1222,1059,9.72,5.48,28.78,67,5057.15,75.48,93,Driftwood Barstool,2025-12-13,507.06,172,2.95,9.97
1765661731700,1345,1121,10.73,6.05,29.82,81,6497.41,80.21,102,Driftwood Barstool,2025-12-13,511.95,272,1.88,12.69
1765665331700,1464,1371,11.99,5.94,36.72,87,6348.90,72.98,149,Driftwood Barstool,2025-12-13,456.60,222,2.06,13.90
1765668931700,1606,1370,11.31,5.65,28.24,91,7355.80,80.83,140,Driftwood Barstool,2025-12-13,501.04,251,2.00,14.68
1765672531700,1764,1581,11.70,5.80,32.95,102,7569.96,74.22,188,Driftwood Barstool,2025-12-14,553.44,285,1.94,13.68
1765676131700,1946,1661,12.39,6.26,40.75,122,8478.46,69.50,153,Driftwood Barstool,2025-12-14,501.94,269,1.87,16.89
1765679731700,2060,1930,14.05,6.23,28.89,128,10661.25,83.29,203,Driftwood Barstool,2025-12-14,497.70,179,2.78,21.42
1765683331700,2212,1988,14.23,6.10,28.13,135,11121.07,82.38,186,Driftwood Barstool,2025-12-14,568.03,245,2.32,19.58
1765686931700,2296,2000,15.00,6.28,37.90,144,10690.65,74.24,263,Driftwood Barstool,2025-12-14,530.47,281,1.89,20.15
1765690531700,2355,2054,13.13,5.84,27.18,138,9884.33,71.63,175,Driftwood Barstool,2025-12-14,578.12,194,2.98,17.10
1765694131700,2365,2158,12.69,6.40,31.32,151,12607.04,83.49,234,Driftwood Barstool,2025-12-14,578.47,217,2.67,21.79
1765697731700,2380,2129,14.81,6.18,36.58,147,11183.42,76.08,271,Driftwood Barstool,2025-12-14,510.09,183,2.79,21.92
1765701331700,2293,2006,14.27,5.73,39.90,131,11254.37,85.91,160,Driftwood Barstool,2025-12-14,484.49,166,2.92,23.23
1765704931700,2206,1979,13.15,5.96,29.71,131,10967.96,83.72,200,Driftwood Barstool,2025-12-14,491.99,183,2.69,22.29
1765708531700,2063,1776,13.13,5.73,27.24,118,10258.48,86.94,177,Driftwood Barstool,2025-12-14,504.82,272,1.86,20.32
