ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1087,887,8.68,5.93,36.97,64,5755.67,89.93,85,Juniper Throw Blanket,2025-12-12,494.88,185,2.68,11.63
1765564531700,1070,895,10.51,4.33,28.06,46,3975.83,86.43,74,Juniper Throw Blanket,2025-12-12,441.93,167,2.65,9.00
1765568131700,1089,980,8.98,5.19,24.98,56,4333.01,77.38,73,Juniper Throw Blanket,2025-12-12,463.22,200,2.32,9.35
1765571731700,1148,951,11.29,5.64,38.97,65,5983.36,92.05,90,Juniper Throw Blanket,2025-12-12,542.75,207,2.62,11.02
1765575331700,1243,1086,10.89,5.81,27.11,72,6449.76,89.58,111,Juniper Throw Blanket,2025-12-12,496.18,262,1.89,13.00
1765578931700,1360,1186,11.36,4.55,29.96,62,4979.93,80.32,101,Juniper Throw Blanket,2025-12-12,561.79,272,2.07,8.86
1765582531700,1486,1223,11.84,5.46,36.12,81,6912.39,85.34,99,Juniper Throw Blanket,2025-12-12,502.75,255,1.97,13.75
1765586131700,1660,1329,13.26,5.43,39.17,90,7901.43,87.79,110,Juniper Throw Blanket,2025-12-13,571.63,291,1.96,13.82
1765589731700,1786,1673,12.64,5.33,30.55,95,8331.30,87.70,149,Juniper Throw Blanket,2025-12-13,486.00,174,2.79,17.14
1765593331700,1935,1777,12.84,6.34,39.53,123,9736.48,79.16,193,Juniper Throw Blanket,2025-12-13,492.75,268,1.84,19.76
1765596931700,2068,1665,12.17,5.96,40.47,123,10692.06,86.93,213,Juniper Throw Blanket,2025-12-13,584.83,322,1.82,18.28
1765600531700,2142,1785,14.97,6.29,40.67,135,12554.79,93.00,245,Juniper Throw Blanket,2025-12-13,597.36,295,2.02,21.02
1765604131700,2189,1819,14.88,6.41,40.56,140,10932.79,78.09,259,Juniper Throw Blanket,2025-12-13,558.52,290,1.93,19.57
1765607731700,2231,1846,13.54,6.45,39.56,144,12096.43,84.00,184,Juniper Throw Blanket,2025-12-13,581.05,293,1.98,20.82
1765611331700,2219,1858,13.17,5.86,38.24,130,9778.99,75.22,210,Juniper Throw Blanket,2025-12-13,532.86,260,2.05,18.35
1765614931700,2149,1795,13.43,6.50,29.64,140,10750.75,76.79,221,Juniper Throw Blanket,2025-12-13,556.17,285,1.95,19.33
1765618531700,2058,1890,14.26,5.71,26.66,117,10583.21,90.45,206,Juniper Throw Blanket,2025-12-13,580.24,249,2.33,18.24
1765622131700,1952,1761,14.26,5.44,35.60,106,9201.64,86.81,128,Juniper Throw Blanket,2025-12-13,524.98,263,2.00,17.53
1765625731700,1781,1475,11.98,5.70,26.87,101,8209.61,81.28,157,Juniper Throw Blanket,2025-12-13,541.12,228,2.37,15.17
1765629331700,1653,1348,12.78,6.40,35.49,106,8176.20,77.13,155,Juniper Throw Blanket,2025-12-13,521.55,257,2.03,15.68
1765632931700,1496,1223,11.42,5.05,25.59,75,6684.67,89.13,121,Juniper Throw Blanket,2025-12-13,494.18,186,2.66,13.53
1765636531700,1346,1082,9.66,5.89,36.75,79,6581.69,83.31,148,Juniper Throw Blanket,2025-12-13,463.11,240,1.93,14.21
1765640131700,1239,1105,11.72,5.21,32.13,65,5267.76,81.04,114,Juniper Throw Blanket,2025-12-13,458.00,238,1.92,11.50
1765643731700,1159,975,9.29,5.27,24.97,61,4582.14,75.12,83,Juniper Throw Blanket,2025-12-13,476.39,211,2.26,9.62
1765647331700,1202,1094,9.67,5.32,27.51,64,5437.74,84.96,109,Juniper Throw Blanket,2025-12-13,466.58,193,2.42,11.65
1765650931700,1161,1048,8.94,5.04,33.52,59,5397.23,91.48,99,Juniper Throw Blanket,2025-12-13,470.30,180,2.61,11.48
1765654531700,1196,981,10.88,4.66,37.27,56,5138.26,91.75,77,Juniper Throw Blanket,2025-12-13,475.26,209,2.27,10.81
1765658131700,1274,1127,11.57,4.72,38.73,60,4752.37,79.21,73,Juniper Throw Blanket,2025-12-13,557.03,309,1.80,8.53
1765661731700,1371,1261,9.95,5.54,32.04,76,6578.26,86.56,140,Juniper Throw Blanket,2025-12-13,531.68,230,2.31,12.37
1765665331700,1494,1385,11.79,5.62,24.23,84,6415.25,76.37,139,Juniper Throw Blanket,2025-12-13,511.82,250,2.05,12.53
1765668931700,1649,1556,11.46,5.48,34.33,90,6785.26,75.39,140,Juniper Throw Blanket,2025-12-13,532.51,293,1.82,12.74
1765672531700,1814,1588,12.31,5.27,36.14,96,7996.02,83.29,162,Juniper Throw Blanket,2025-12-14,511.78,226,2.26,15.62
1765676131700,1957,1738,12.23,6.52,33.18,128,10947.88,85.53,211,Juniper Throw Blanket,2025-12-14,481.84,264,1.83,22.72
1765679731700,2108,1998,11.61,5.17,34.93,109,9394.87,86.19,155,Juniper Throw Blanket,2025-12-14,487.60,192,2.54,19.27
1765683331700,2252,1966,14.03,6.94,30.67,156,13568.96,86.98,190,Juniper Throw Blanket,2025-12-14,491.59,260,1.89,27.60
1765686931700,2349,1945,12.27,5.76,27.72,135,11653.00,86.32,241,Juniper Throw Blanket,2025-12-14,593.58,320,1.85,19.63
1765690531700,2389,1930,13.73,5.72,36.02,137,11824.45,86.31,164,Juniper Throw Blanket,2025-12-14,518.00,275,1.88,22.83
1765694131700,2416,1939,13.75,5.68,36.59,137,12523.37,91.41,228,Juniper Throw Blanket,2025-12-14,509.62,239,2.13,24.57
1765697731700,2412,1952,13.65,5.67,36.21,137,11268.31,82.25,219,Juniper Throw Blanket,2025-12-14,515.73,191,2.70,21.85
1765701331700,2332,2052,12.31,7.01,34.08,163,15006.35,92.06,289,Juniper Throw Blanket,2025-12-14,495.19,273,1.81,30.30
1765704931700,2239,1992,12.23,6.12,28.59,137,11922.14,87.02,247,Juniper Throw Blanket,2025-12-14,541.79,217,2.50,22.00
1765708531700,2128,1881,11.98,5.23,36.38,111,9075.22,81.76,161,Juniper Throw Blanket,2025-12-14,510.87,210,2.43,17.76
1765712131700,1979,1768,12.41,5.44,31.56,108,8694.78,80.51,162,Juniper Throw Blanket,2025-12-14,537.78,270,1.99,16.17
1765715731700,1815,1468,12.02,4.88,28.67,89,6720.75,75.51,149,Juniper Throw Blanket,2025-12-14,501.53,264,1.90,13.40
1765719331700,1647,1476,12.38,5.45,40.24,90,8320.33,92.45,128,Juniper Throw Blanket,2025-12-14,512.48,260,1.97,16.24
1765722931700,1490,1231,11.94,4.50,31.65,67,5221.22,77.93,116,Juniper Throw Blanket,2025-12-14,484.70,251,1.93,10.77
1765726531700,1377,1127,10.73,5.01,25.64,69,6024.39,87.31,89,Juniper Throw Blanket,2025-12-14,536.07,203,2.64,11.24
1765730131700,1277,1213,9.59,4.48,31.11,57,4705.06,82.54,80,Juniper Throw Blanket,2025-12-14,457.12,179,2.55,10.29
1765733731700,1236,1001,9.65,5.06,27.85,63,5204.84,82.62,106,Juniper Throw Blanket,2025-12-14,482.98,268,1.80,10.78
1765737331700,1201,1112,9.77,5.69,28.49,68,6092.99,89.60,104,Juniper Throw Blanket,2025-12-14,535.15,209,2.56,11.39
1765740931700,1230,1035,10.34,5.51,32.85,68,6126.51,90.10,86,Juniper Throw Blanket,2025-12-14,528.52,268,1.97,11.59
1765744531700,1283,1194,8.83,4.58,25.36,59,5243.85,88.88,110,Juniper Throw Blanket,2025-12-14,551.46,278,1.98,9.51
1765748131700,1373,1200,9.60,6.04,31.33,83,7342.10,88.46,106,Juniper Throw Blanket,2025-12-14,451.14,219,2.06,16.27
1765751731700,1535,1390,10.95,5.31,39.41,81,7369.79,90.99,128,Juniper Throw Blanket,2025-12-14,467.46,233,2.01,15.77
1765755331700,1665,1571,10.00,5.95,30.40,99,8323.96,84.08,146,Juniper Throw Blanket,2025-12-14,512.52,208,2.46,16.24
1765758931700,1857,1502,12.55,6.48,40.34,120,9342.41,77.85,222,Juniper Throw Blanket,2025-12-15,541.94,275,1.97,17.24
1765762531700,2023,1699,13.92,5.72,36.93,116,10655.44,91.86,172,Juniper Throw Blanket,2025-12-15,506.78,169,3.00,21.03
1765766131700,2161,1867,13.11,5.37,29.64,116,9344.39,80.56,151,Juniper Throw Blanket,2025-12-15,508.40,269,1.89,18.38
1765769731700,2293,2158,14.11,6.68,30.21,153,12840.16,83.92,187,Juniper Throw Blanket,2025-12-15,557.97,245,2.28,23.01
1765773331700,2386,2023,13.28,5.64,36.08,135,11934.34,88.40,197,Juniper Throw Blanket,2025-12-15,495.16,236,2.10,24.10
1765776931700,2453,2048,13.34,6.36,36.74,156,14418.61,92.43,291,Juniper Throw Blanket,2025-12-15,489.04,232,2.11,29.48
1765780531700,2494,2045,14.95,6.71,40.90,167,12940.53,77.49,206,Juniper Throw Blanket,2025-12-15,555.85,217,2.56,23.28
1765784131700,2455,2282,14.29,6.08,34.62,149,13001.91,87.26,205,Juniper Throw Blanket,2025-12-15,531.75,206,2.58,24.45
1765787731700,2393,1998,13.93,6.69,32.77,160,12766.58,79.79,258,Juniper Throw Blanket,2025-12-15,557.52,257,2.17,22.90
1765791331700,2286,2128,13.40,5.85,40.32,134,11931.58,89.04,253,Juniper Throw Blanket,2025-12-15,540.27,223,2.42,22.08
1765794931700,2148,1940,14.33,5.36,35.27,115,9972.47,86.72,174,Juniper Throw Blanket,2025-12-15,534.24,185,2.89,18.67
1765798531700,1995,1703,12.69,6.38,36.57,127,9967.12,78.48,204,Juniper Throw Blanket,2025-12-15,539.00,198,2.72,18.49
1765802131700,1859,1560,11.77,5.16,27.34,96,7668.19,79.88,141,Juniper Throw Blanket,2025-12-15,509.77,274,1.86,15.04
1765805731700,1677,1580,10.52,5.58,38.50,94,7717.28,82.10,176,Juniper Throw Blanket,2025-12-15,462.53,196,2.36,16.68
1765809331700,1524,1365,10.82,5.58,26.13,85,6389.65,75.17,158,Juniper Throw Blanket,2025-12-15,509.57,260,1.96,12.54
1765812931700,1405,1268,10.71,4.96,26.49,70,5267.86,75.26,120,Juniper Throw Blanket,2025-12-15,452.63,229,1.98,11.64
1765816531700,1303,1060,9.26,4.69,33.60,61,5251.79,86.09,89,Juniper Throw Blanket,2025-12-15,538.56,194,2.78,9.75
1765820131700,1173,1056,9.55,5.57,23.09,65,5771.43,88.79,79,Juniper Throw Blanket,2025-12-15,530.52,266,1.99,10.88
1765823731700,1117,1052,8.97,4.38,32.25,49,4531.78,92.49,67,Juniper Throw Blanket,2025-12-15,448.88,235,1.91,10.10
1765827331700,1170,1000,8.72,4.60,34.83,54,4132.89,76.54,96,Juniper Throw Blanket,2025-12-15,517.58,191,2.71,7.98
1765830931700,1225,985,8.81,5.51,25.88,67,5528.60,82.52,120,Juniper Throw Blanket,2025-12-15,518.38,215,2.41,10.67
