ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1126,1015,11.20,4.97,25.51,56,4768.88,85.16,77,Nimbus Trail Backpack,2025-12-12,447.40,243,1.84,10.66
1765564531700,1102,1036,9.47,4.98,32.06,55,4537.10,82.49,94,Nimbus Trail Backpack,2025-12-12,476.77,190,2.51,9.52
1765568131700,1118,1009,9.35,5.30,29.49,59,5261.02,89.17,90,Nimbus Trail Backpack,2025-12-12,519.53,189,2.75,10.13
1765571731700,1153,932,10.57,5.58,36.84,64,5793.75,90.53,98,Nimbus Trail Backpack,2025-12-12,499.54,179,2.79,11.60
1765575331700,1239,1139,11.58,5.91,25.57,73,6842.69,93.74,127,Nimbus Trail Backpack,2025-12-12,520.60,202,2.58,13.14
1765578931700,1375,1117,10.05,4.84,36.17,67,5492.48,81.98,87,Nimbus Trail Backpack,2025-12-12,470.21,239,1.97,11.68
1765582531700,1533,1448,11.71,5.89,39.21,90,7642.16,84.91,154,Nimbus Trail Backpack,2025-12-12,570.28,230,2.48,13.40
1765586131700,1682,1433,12.60,5.62,29.94,94,8945.39,95.16,123,Nimbus Trail Backpack,2025-12-13,504.65,190,2.66,17.73
1765589731700,1826,1575,11.32,5.49,40.12,100,9547.57,95.48,134,Nimbus Trail Backpack,2025-12-13,547.79,284,1.93,17.43
1765593331700,1954,1581,12.87,5.40,41.13,105,8922.99,84.98,177,Nimbus Trail Backpack,2025-12-13,500.40,229,2.19,17.83
1765596931700,2059,1678,14.43,5.86,37.96,121,11419.25,94.37,189,Nimbus Trail Backpack,2025-12-13,593.67,234,2.54,19.23
1765600531700,2161,1965,14.52,6.59,28.83,142,11486.22,80.89,230,Nimbus Trail Backpack,2025-12-13,494.52,220,2.25,23.23
1765604131700,2219,1943,12.69,6.16,31.42,137,10997.87,80.28,219,Nimbus Trail Backpack,2025-12-13,571.45,231,2.47,19.25
1765607731700,2257,1816,14.71,6.46,40.67,146,13976.80,95.73,265,Nimbus Trail Backpack,2025-12-13,572.59,214,2.68,24.41
1765611331700,2224,1796,13.65,5.56,27.75,124,10589.20,85.40,186,Nimbus Trail Backpack,2025-12-13,579.27,301,1.92,18.28
