ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,780,700,3.76,2.38,48.39,19,1613.20,84.91,29,Cedar Accent Chair,2025-12-12,536.69,283,1.90,3.01
1765564531700,795,685,3.69,1.31,33.16,10,738.70,73.87,16,Cedar Accent Chair,2025-12-12,527.76,262,2.01,1.40
1765568131700,797,685,3.78,1.94,41.96,15,1298.47,86.56,21,Cedar Accent Chair,2025-12-12,521.92,199,2.62,2.49
1765571731700,844,711,6.26,2.32,34.43,20,1702.89,85.14,27,Cedar Accent Chair,2025-12-12,483.79,233,2.08,3.52
1765575331700,887,758,4.66,1.64,36.71,15,1288.58,85.91,28,Cedar Accent Chair,2025-12-12,473.37,190,2.49,2.72
1765578931700,1000,800,5.76,1.71,48.26,17,1264.76,74.40,29,Cedar Accent Chair,2025-12-12,463.74,244,1.90,2.73
1765582531700,1095,1011,6.30,2.44,43.62,27,2113.18,78.27,42,Cedar Accent Chair,2025-12-12,508.84,178,2.86,4.15
1765586131700,1168,1018,7.75,2.60,38.74,30,2642.97,88.10,56,Cedar Accent Chair,2025-12-13,508.86,228,2.23,5.19
1765589731700,1283,1109,8.36,2.82,38.58,36,2785.79,77.38,59,Cedar Accent Chair,2025-12-13,500.95,205,2.44,5.56
1765593331700,1401,1146,7.03,2.50,42.62,35,2809.43,80.27,55,Cedar Accent Chair,2025-12-13,547.82,206,2.66,5.13
1765596931700,1459,1175,7.09,3.46,47.41,50,3617.21,72.34,92,Cedar Accent Chair,2025-12-13,547.53,202,2.71,6.61
1765600531700,1530,1439,9.12,3.15,47.52,48,3649.00,76.02,70,Cedar Accent Chair,2025-12-13,560.86,276,2.03,6.51
1765604131700,1570,1292,7.64,3.75,37.66,59,4361.45,73.92,105,Cedar Accent Chair,2025-12-13,581.62,240,2.42,7.50
1765607731700,1586,1424,8.95,3.02,47.85,48,3892.64,81.10,88,Cedar Accent Chair,2025-12-13,559.88,249,2.25,6.95
1765611331700,1589,1298,7.50,3.34,47.54,53,4727.93,89.21,88,Cedar Accent Chair,2025-12-13,509.30,184,2.77,9.28
1765614931700,1558,1282,7.13,2.73,44.03,43,3195.25,74.31,63,Cedar Accent Chair,2025-12-13,600.37,313,1.92,5.32
1765618531700,1493,1357,9.01,3.35,40.56,50,4016.05,80.32,77,Cedar Accent Chair,2025-12-13,494.83,185,2.67,8.12
1765622131700,1372,1215,8.64,2.56,42.15,35,3144.88,89.85,55,Cedar Accent Chair,2025-12-13,544.66,274,1.99,5.77
1765625731700,1299,1133,6.35,2.87,50.05,37,2829.27,76.47,51,Cedar Accent Chair,2025-12-13,530.71,204,2.60,5.33
1765629331700,1168,1032,7.97,2.52,36.39,29,2163.74,74.61,52,Cedar Accent Chair,2025-12-13,481.84,198,2.43,4.49
1765632931700,1095,942,7.33,2.41,38.12,26,2177.34,83.74,37,Cedar Accent Chair,2025-12-13,481.80,193,2.50,4.52
1765636531700,976,920,6.67,2.24,40.09,22,1676.36,76.20,35,Cedar Accent Chair,2025-12-13,534.11,284,1.88,3.14
1765640131700,880,830,6.41,1.77,34.24,16,1341.00,83.81,24,Cedar Accent Chair,2025-12-13,452.16,234,1.93,2.97
1765643731700,851,772,3.63,2.51,47.41,21,1735.05,82.62,34,Cedar Accent Chair,2025-12-13,500.34,191,2.62,3.47
1765647331700,850,722,5.47,1.34,35.25,11,808.71,73.52,15,Cedar Accent Chair,2025-12-13,473.81,185,2.56,1.71
1765650931700,853,782,5.83,1.79,38.72,15,1227.86,81.86,24,Cedar Accent Chair,2025-12-13,532.83,271,1.97,2.30
1765654531700,857,691,3.07,1.72,39.45,15,1285.72,85.71,22,Cedar Accent Chair,2025-12-13,501.82,221,2.27,2.56
1765658131700,918,831,4.32,3.05,36.56,28,2087.04,74.54,37,Cedar Accent Chair,2025-12-13,444.66,175,2.54,4.69
