ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,779,643,3.10,2.09,36.88,16,1357.88,84.87,28,Driftwood Barstool,2025-12-12,520.90,234,2.23,2.61
1765564531700,774,666,4.63,1.60,48.82,12,1009.98,84.16,18,Driftwood Barstool,2025-12-12,509.65,203,2.51,1.98
1765568131700,767,687,3.69,2.49,35.75,19,1436.19,75.59,29,Driftwood Barstool,2025-12-12,464.95,211,2.20,3.09
1765571731700,831,671,4.25,2.92,41.47,24,1950.59,81.27,33,Driftwood Barstool,2025-12-12,507.98,258,1.97,3.84
1765575331700,888,720,4.61,1.79,40.64,16,1196.99,74.81,19,Driftwood Barstool,2025-12-12,471.46,163,2.89,2.54
1765578931700,976,855,6.45,2.42,46.91,24,1978.76,82.45,45,Driftwood Barstool,2025-12-12,450.27,221,2.04,4.39
1765582531700,1049,856,5.45,2.20,46.01,23,1796.28,78.10,36,Driftwood Barstool,2025-12-12,536.89,245,2.19,3.35
1765586131700,1159,1017,7.81,2.56,42.96,30,2220.81,74.03,48,Driftwood Barstool,2025-12-13,557.97,191,2.92,3.98
1765589731700,1281,1163,6.00,3.36,38.30,43,3270.18,76.05,64,Driftwood Barstool,2025-12-13,499.22,183,2.73,6.55
1765593331700,1376,1156,6.88,3.09,50.84,42,3034.74,72.26,64,Driftwood Barstool,2025-12-13,518.23,192,2.70,5.86
1765596931700,1451,1303,8.96,3.37,40.70,49,4124.40,84.17,74,Driftwood Barstool,2025-12-13,493.80,244,2.02,8.35
1765600531700,1521,1402,6.97,3.93,47.45,60,4288.48,71.47,112,Driftwood Barstool,2025-12-13,532.23,192,2.77,8.06
1765604131700,1570,1352,8.42,3.61,52.74,57,4317.90,75.75,99,Driftwood Barstool,2025-12-13,496.75,214,2.32,8.69
1765607731700,1578,1427,7.71,2.53,40.93,40,3013.78,75.34,71,Driftwood Barstool,2025-12-13,596.79,270,2.21,5.05
1765611331700,1551,1260,7.36,2.53,38.06,39,3230.99,82.85,61,Driftwood Barstool,2025-12-13,575.25,211,2.73,5.62
1765614931700,1525,1221,9.55,3.71,40.65,57,4126.97,72.40,75,Driftwood Barstool,2025-12-13,526.44,223,2.36,7.84
1765618531700,1450,1209,7.58,3.06,44.30,44,3333.76,75.77,59,Driftwood Barstool,2025-12-13,506.17,181,2.80,6.59
1765622131700,1389,1130,7.25,2.50,36.36,35,3007.32,85.92,44,Driftwood Barstool,2025-12-13,557.21,274,2.03,5.40
1765625731700,1283,1215,8.42,2.82,40.92,36,3004.51,83.46,46,Driftwood Barstool,2025-12-13,499.17,269,1.86,6.02
1765629331700,1169,948,5.45,3.46,39.37,40,3260.82,81.52,70,Driftwood Barstool,2025-12-13,471.91,215,2.19,6.91
1765632931700,1052,880,6.80,1.69,38.83,18,1322.39,73.47,31,Driftwood Barstool,2025-12-13,497.63,216,2.30,2.66
1765636531700,950,850,4.58,1.93,46.81,18,1462.94,81.27,30,Driftwood Barstool,2025-12-13,508.10,217,2.34,2.88
1765640131700,872,802,4.51,2.11,38.64,18,1370.28,76.13,25,Driftwood Barstool,2025-12-13,472.28,229,2.06,2.90
1765643731700,822,710,5.95,1.82,45.32,15,1057.91,70.53,21,Driftwood Barstool,2025-12-13,520.32,215,2.42,2.03
1765647331700,855,686,4.89,2.91,34.39,25,2041.73,81.67,32,Driftwood Barstool,2025-12-13,444.50,176,2.53,4.59
1765650931700,840,728,3.66,2.17,45.21,18,1476.03,82.00,31,Driftwood Barstool,2025-12-13,436.90,204,2.14,3.38
1765654531700,845,768,4.70,1.99,44.14,17,1474.89,86.76,30,Driftwood Barstool,2025-12-13,458.31,247,1.86,3.22
1765658131700,893,791,3.61,1.37,46.25,12,999.60,83.30,19,Driftwood Barstool,2025-12-13,495.04,173,2.86,2.02
1765661731700,979,854,4.92,3.01,48.03,29,2230.60,76.92,36,Driftwood Barstool,2025-12-13,452.06,192,2.35,4.93
1765665331700,1066,969,5.93,1.52,34.96,16,1128.28,70.52,25,Driftwood Barstool,2025-12-13,544.47,284,1.92,2.07
1765668931700,1170,1035,5.79,2.99,47.43,35,2647.94,75.66,57,Driftwood Barstool,2025-12-13,515.25,253,2.04,5.14
1765672531700,1269,1043,5.65,2.81,37.07,36,2789.29,77.48,50,Driftwood Barstool,2025-12-14,496.85,206,2.41,5.61
1765676131700,1392,1181,7.29,2.20,45.24,31,2177.97,70.26,42,Driftwood Barstool,2025-12-14,474.52,230,2.06,4.59
1765679731700,1494,1342,7.23,2.32,43.49,35,2621.85,74.91,43,Driftwood Barstool,2025-12-14,479.24,167,2.87,5.47
1765683331700,1588,1428,6.64,3.52,41.01,56,4653.69,83.10,73,Driftwood Barstool,2025-12-14,522.08,183,2.85,8.91
1765686931700,1672,1581,7.23,3.65,41.58,61,4216.67,69.13,85,Driftwood Barstool,2025-12-14,547.42,216,2.53,7.70
1765690531700,1707,1452,8.76,3.66,42.27,63,5107.65,81.07,92,Driftwood Barstool,2025-12-14,575.45,208,2.77,8.88
1765694131700,1718,1461,8.51,3.85,43.67,66,5725.83,86.76,80,Driftwood Barstool,2025-12-14,497.78,179,2.78,11.50
1765697731700,1709,1368,7.25,3.65,38.99,62,4333.50,69.90,89,Driftwood Barstool,2025-12-14,537.27,236,2.28,8.07
1765701331700,1664,1336,7.01,4.02,40.45,67,5219.56,77.90,115,Driftwood Barstool,2025-12-14,582.42,241,2.42,8.96
1765704931700,1571,1268,6.65,2.49,38.95,39,3379.00,86.64,63,Driftwood Barstool,2025-12-14,584.08,248,2.36,5.79
1765708531700,1509,1233,8.54,2.44,44.22,37,2896.53,78.28,68,Driftwood Barstool,2025-12-14,475.70,185,2.57,6.09
1765712131700,1382,1190,6.87,3.25,41.98,45,3336.29,74.14,81,Driftwood Barstool,2025-12-14,562.22,261,2.15,5.93
1765715731700,1297,1200,6.63,3.11,37.78,40,3146.66,78.67,60,Driftwood Barstool,2025-12-14,503.44,174,2.89,6.25
1765719331700,1171,951,4.66,2.16,43.61,25,1898.24,75.93,47,Driftwood Barstool,2025-12-14,458.99,203,2.26,4.14
1765722931700,1075,1002,5.30,2.75,36.89,30,2265.64,75.52,42,Driftwood Barstool,2025-12-14,485.71,164,2.96,4.66
1765726531700,962,913,4.39,2.48,45.00,24,1860.65,77.53,39,Driftwood Barstool,2025-12-14,457.17,199,2.30,4.07
1765730131700,910,792,6.19,2.02,41.23,18,1324.08,73.56,28,Driftwood Barstool,2025-12-14,514.11,260,1.98,2.58
1765733731700,854,787,3.64,2.64,36.33,23,1590.70,69.16,43,Driftwood Barstool,2025-12-14,533.04,205,2.60,2.98
1765737331700,837,693,4.19,2.31,41.72,19,1321.25,69.54,26,Driftwood Barstool,2025-12-14,522.18,266,1.96,2.53
1765740931700,871,793,4.74,1.63,36.50,14,1212.47,86.60,21,Driftwood Barstool,2025-12-14,487.92,197,2.48,2.48
1765744531700,921,799,4.82,2.12,44.97,19,1547.35,81.44,23,Driftwood Barstool,2025-12-14,522.32,182,2.87,2.96
1765748131700,989,848,5.56,2.25,36.49,22,1569.82,71.36,29,Driftwood Barstool,2025-12-14,474.33,214,2.22,3.31
1765751731700,1076,946,4.57,2.43,49.04,26,1864.53,71.71,38,Driftwood Barstool,2025-12-14,526.88,216,2.44,3.54
