ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,786,631,4.00,3.00,48.73,24,2026.48,84.44,30,Juniper Throw Blanket,2025-12-12,529.00,233,2.27,3.83
1765564531700,802,684,5.28,2.64,38.65,21,1628.25,77.54,34,Juniper Throw Blanket,2025-12-12,543.29,217,2.50,3.00
1765568131700,813,737,3.29,2.91,42.74,24,2161.77,90.07,34,Juniper Throw Blanket,2025-12-12,545.26,219,2.49,3.96
1765571731700,845,768,5.65,2.60,34.18,22,1953.33,88.79,39,Juniper Throw Blanket,2025-12-12,443.63,170,2.61,4.40
1765575331700,900,760,6.36,2.13,38.99,19,1631.67,85.88,35,Juniper Throw Blanket,2025-12-12,480.19,230,2.09,3.40
1765578931700,989,911,4.03,2.56,45.85,25,1890.89,75.64,47,Juniper Throw Blanket,2025-12-12,503.87,224,2.25,3.75
1765582531700,1101,909,6.76,2.05,43.95,23,1952.13,84.88,36,Juniper Throw Blanket,2025-12-12,479.07,216,2.22,4.07
1765586131700,1182,1049,5.47,3.13,40.85,37,3006.74,81.26,48,Juniper Throw Blanket,2025-12-13,555.26,225,2.47,5.41
1765589731700,1290,1099,6.74,2.00,37.91,26,2019.34,77.67,41,Juniper Throw Blanket,2025-12-13,584.23,268,2.18,3.46
1765593331700,1404,1261,6.31,2.70,41.00,38,3497.90,92.05,68,Juniper Throw Blanket,2025-12-13,506.98,244,2.08,6.90
1765596931700,1505,1398,7.63,2.46,37.68,37,3096.27,83.68,50,Juniper Throw Blanket,2025-12-13,496.53,170,2.92,6.24
1765600531700,1564,1354,7.29,2.48,52.23,39,3093.94,79.33,64,Juniper Throw Blanket,2025-12-13,503.15,219,2.30,6.15
1765604131700,1598,1345,6.95,3.19,46.49,51,4540.95,89.04,86,Juniper Throw Blanket,2025-12-13,568.03,278,2.04,7.99
1765607731700,1595,1356,8.70,4.16,38.06,66,5241.09,79.41,90,Juniper Throw Blanket,2025-12-13,560.65,191,2.94,9.35
1765611331700,1595,1362,7.76,3.15,46.12,50,4230.45,84.61,74,Juniper Throw Blanket,2025-12-13,578.85,320,1.81,7.31
1765614931700,1555,1253,7.06,3.69,52.04,57,5177.63,90.84,70,Juniper Throw Blanket,2025-12-13,484.98,162,2.99,10.68
1765618531700,1497,1295,9.35,2.79,36.42,42,3741.59,89.09,62,Juniper Throw Blanket,2025-12-13,511.47,247,2.07,7.32
1765622131700,1405,1152,7.18,3.83,47.35,54,4702.99,87.09,84,Juniper Throw Blanket,2025-12-13,477.10,225,2.12,9.86
1765625731700,1304,1203,7.22,3.34,48.13,44,4086.64,92.88,62,Juniper Throw Blanket,2025-12-13,567.94,276,2.06,7.20
1765629331700,1180,1063,5.54,3.40,43.85,40,3277.94,81.95,68,Juniper Throw Blanket,2025-12-13,542.32,191,2.84,6.04
1765632931700,1084,934,4.59,3.07,34.70,33,2817.32,85.37,41,Juniper Throw Blanket,2025-12-13,475.37,215,2.21,5.93
1765636531700,984,850,6.82,2.38,47.54,23,1735.78,75.47,35,Juniper Throw Blanket,2025-12-13,467.97,195,2.40,3.71
1765640131700,918,817,3.85,2.56,34.69,24,1850.50,77.10,33,Juniper Throw Blanket,2025-12-13,448.01,234,1.91,4.13
1765643731700,850,744,4.60,1.39,46.47,12,1086.25,90.52,18,Juniper Throw Blanket,2025-12-13,500.95,250,2.00,2.17
1765647331700,856,807,4.51,2.45,42.00,21,1702.94,81.09,26,Juniper Throw Blanket,2025-12-13,462.09,154,3.00,3.69
1765650931700,846,784,3.94,2.10,33.84,18,1401.54,77.86,25,Juniper Throw Blanket,2025-12-13,550.60,216,2.55,2.55
1765654531700,876,830,5.64,1.47,33.36,13,1101.55,84.73,21,Juniper Throw Blanket,2025-12-13,513.93,277,1.86,2.14
1765658131700,904,849,4.80,1.94,45.52,18,1492.86,82.94,23,Juniper Throw Blanket,2025-12-13,485.60,186,2.61,3.07
1765661731700,978,894,5.26,2.48,45.56,24,2187.77,91.16,44,Juniper Throw Blanket,2025-12-13,493.80,248,1.99,4.43
1765665331700,1065,942,5.66,1.94,49.55,21,1628.82,77.56,35,Juniper Throw Blanket,2025-12-13,500.73,196,2.55,3.25
