ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,810,656,4.88,2.09,39.99,17,1471.32,86.55,29,Nimbus Trail Backpack,2025-12-12,529.54,290,1.83,2.78
1765564531700,797,686,3.67,1.92,45.44,15,1404.79,93.65,20,Nimbus Trail Backpack,2025-12-12,550.40,274,2.01,2.55
1765568131700,821,719,3.17,1.31,34.88,11,1002.64,91.15,15,Nimbus Trail Backpack,2025-12-12,480.20,215,2.23,2.09
1765571731700,851,763,4.21,1.44,36.20,12,1032.22,86.02,16,Nimbus Trail Backpack,2025-12-12,496.05,217,2.29,2.08
1765575331700,901,837,4.85,2.27,38.61,20,1804.97,90.25,27,Nimbus Trail Backpack,2025-12-12,481.79,229,2.10,3.75
1765578931700,1024,936,5.10,3.23,37.08,33,3115.19,94.40,49,Nimbus Trail Backpack,2025-12-12,564.82,259,2.18,5.52
1765582531700,1104,909,5.58,3.37,48.81,37,3113.09,84.14,60,Nimbus Trail Backpack,2025-12-12,476.88,242,1.97,6.53
1765586131700,1208,1048,7.08,2.48,36.03,30,2847.88,94.93,40,Nimbus Trail Backpack,2025-12-13,480.46,179,2.68,5.93
1765589731700,1332,1128,7.69,2.63,40.64,35,3263.56,93.24,47,Nimbus Trail Backpack,2025-12-13,526.22,187,2.81,6.20
1765593331700,1436,1194,6.58,2.23,36.20,32,2973.80,92.93,50,Nimbus Trail Backpack,2025-12-13,474.62,245,1.94,6.27
1765596931700,1498,1300,7.76,3.80,44.53,57,4667.63,81.89,81,Nimbus Trail Backpack,2025-12-13,595.01,233,2.55,7.84
1765600531700,1583,1387,8.91,4.08,52.28,65,5376.60,82.72,111,Nimbus Trail Backpack,2025-12-13,518.58,230,2.25,10.37
1765604131700,1607,1396,8.28,3.00,40.39,48,4544.98,94.69,74,Nimbus Trail Backpack,2025-12-13,529.53,277,1.91,8.58
1765607731700,1637,1470,7.28,3.18,42.57,52,4516.86,86.86,86,Nimbus Trail Backpack,2025-12-13,516.88,191,2.71,8.74
1765611331700,1610,1513,8.57,2.97,37.55,48,4606.53,95.97,80,Nimbus Trail Backpack,2025-12-13,522.99,191,2.74,8.81
1765614931700,1585,1327,7.30,4.02,41.19,64,5569.40,87.02,101,Nimbus Trail Backpack,2025-12-13,493.77,240,2.06,11.28
1765618531700,1524,1234,9.18,2.73,46.84,42,3321.03,79.07,68,Nimbus Trail Backpack,2025-12-13,586.77,253,2.32,5.66
1765622131700,1427,1279,6.07,2.20,37.96,31,2752.36,88.79,39,Nimbus Trail Backpack,2025-12-13,558.96,301,1.86,4.92
1765625731700,1305,1194,8.20,2.56,41.17,33,2814.94,85.30,57,Nimbus Trail Backpack,2025-12-13,551.45,233,2.37,5.10
1765629331700,1195,960,6.63,2.85,46.61,34,2884.19,84.83,46,Nimbus Trail Backpack,2025-12-13,483.94,162,2.99,5.96
