ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,16.52,9.02,92.72,297.75,4.28,99.73,112.81
1765564531700,15.27,8.92,92.14,297.72,4.40,99.44,112.71
1765568131700,16.01,8.76,93.26,297.10,4.31,99.84,112.08
1765571731700,16.69,7.50,92.31,297.59,4.35,99.80,112.69
1765575331700,16.11,6.59,92.12,297.04,4.20,100.05,112.85
1765578931700,15.77,3.88,93.45,297.16,4.30,99.94,112.58
1765582531700,16.68,8.06,92.53,297.24,4.31,99.32,112.01
1765586131700,15.57,3.75,93.53,297.01,4.23,99.28,112.13
1765589731700,15.16,9.25,93.50,297.58,4.30,99.97,113.25
1765593331700,16.54,7.01,93.91,297.75,4.39,99.87,112.58
1765596931700,15.93,5.63,93.80,297.16,4.23,99.58,112.65
1765600531700,15.04,6.26,92.47,297.31,4.32,99.95,112.24
1765604131700,16.86,3.50,92.79,297.07,4.39,99.47,112.57
1765607731700,16.59,5.62,93.16,297.25,4.30,99.11,113.07
1765611331700,16.29,5.57,92.38,297.59,4.28,99.65,112.01
1765614931700,15.99,6.06,92.20,297.27,4.23,99.23,112.32
1765618531700,16.30,7.05,92.73,297.21,4.21,99.81,112.01
1765622131700,15.81,5.72,93.42,297.46,4.38,99.62,112.22
1765625731700,15.63,6.38,92.62,297.49,4.28,99.07,112.29
1765629331700,16.12,5.66,93.87,297.03,4.24,100.14,112.54
1765632931700,15.22,7.56,92.83,297.00,4.26,99.49,113.20
1765636531700,15.71,7.68,92.20,297.73,4.36,100.13,113.29
1765640131700,16.10,7.45,93.38,297.71,4.31,99.36,112.49
1765643731700,16.90,7.25,92.69,297.67,4.26,99.39,112.38
1765647331700,16.69,7.77,93.25,297.61,4.33,100.24,113.07
1765650931700,16.72,6.46,93.92,297.76,4.33,99.43,113.76
1765654531700,15.60,6.84,94.27,297.17,4.37,99.99,112.94
1765658131700,16.41,6.64,93.10,297.38,4.24,99.92,113.72
1765661731700,16.47,6.10,92.69,297.26,4.40,99.42,112.97
1765665331700,16.10,3.14,92.60,297.24,4.35,99.66,112.42
1765668931700,15.78,4.26,92.64,297.43,4.36,99.61,112.67
1765672531700,16.39,4.93,92.87,297.26,4.31,99.68,112.55
1765676131700,16.00,7.92,93.37,297.74,4.33,100.08,113.76
1765679731700,15.19,6.78,93.79,297.25,4.32,100.15,113.28
1765683331700,15.65,8.63,93.98,297.68,4.22,100.20,112.60
1765686931700,15.51,5.92,92.70,297.86,4.26,100.00,113.77
1765690531700,15.80,5.05,92.42,297.85,4.26,100.20,113.52
1765694131700,16.35,8.89,93.99,297.76,4.23,99.73,113.77
1765697731700,16.45,7.84,94.14,297.39,4.31,99.43,113.57
1765701331700,16.21,5.06,93.92,297.26,4.37,99.71,113.23
1765704931700,16.46,5.27,93.31,297.57,4.32,100.26,112.64
1765708531700,15.40,6.67,93.54,297.45,4.38,99.71,113.10
1765712131700,16.37,3.45,94.12,297.44,4.22,99.93,113.08
1765715731700,16.14,5.55,93.57,297.52,4.23,99.43,113.69
1765719331700,16.95,7.62,93.51,297.35,4.29,100.21,112.45
1765722931700,16.02,6.96,92.80,297.36,4.39,99.36,113.51
1765726531700,15.49,3.76,94.03,297.54,4.24,100.05,113.31
1765730131700,15.47,8.62,92.85,297.40,4.37,99.97,112.50
1765733731700,16.88,3.91,93.06,297.55,4.34,99.89,113.59
1765737331700,16.58,1.73,94.65,297.49,4.40,100.30,113.53
1765740931700,16.60,5.06,93.01,297.87,4.38,100.07,113.15
1765744531700,16.48,2.39,94.72,297.62,4.41,100.49,112.97
1765748131700,16.96,6.53,94.76,297.20,4.28,100.07,113.43
1765751731700,16.71,4.73,94.79,297.48,4.41,100.17,112.83
1765755331700,17.12,4.67,93.60,297.25,4.40,100.48,113.84
1765758931700,17.01,2.15,94.50,297.48,4.38,100.69,113.44
1765762531700,15.48,3.30,93.81,297.17,4.40,100.15,112.67
1765766131700,16.65,5.58,94.70,297.51,4.23,99.98,112.75
1765769731700,16.94,3.04,94.17,297.16,4.31,100.20,113.78
1765773331700,16.19,4.95,94.80,297.34,4.38,100.18,112.81
1765776931700,17.01,6.82,94.37,297.21,4.40,100.41,113.61
1765780531700,15.99,6.87,93.69,297.29,4.27,99.72,113.13
1765784131700,15.74,4.13,92.94,297.40,4.39,100.52,114.04
1765787731700,15.43,6.42,93.27,297.93,4.24,100.06,113.83
1765791331700,16.36,6.20,94.58,297.90,4.26,100.34,113.91
1765794931700,16.33,6.58,93.09,297.57,4.24,100.60,112.91
1765798531700,15.62,5.69,94.73,297.50,4.38,99.62,112.77
1765802131700,15.26,4.92,93.66,297.18,4.38,99.87,113.31
1765805731700,17.19,6.03,94.51,297.78,4.25,100.13,113.43
1765809331700,16.18,5.57,94.71,297.54,4.24,99.80,112.95
1765812931700,15.75,5.95,94.33,297.19,4.26,100.79,113.67
1765816531700,16.32,6.84,93.85,297.65,4.38,100.65,113.30
1765820131700,15.77,1.40,94.48,297.71,4.35,100.75,114.01
1765823731700,15.64,1.44,94.11,297.83,4.35,101.01,114.41
1765827331700,16.38,2.00,95.12,297.27,4.36,100.12,114.04
1765830931700,15.81,2.38,93.98,297.99,4.35,100.91,113.43
1765834531700,16.48,3.46,94.25,297.88,4.27,99.95,113.31
1765838131700,15.39,6.11,93.90,297.40,4.40,100.34,113.36
1765841731700,17.19,2.29,94.85,297.91,4.34,100.77,114.30
1765845331700,15.70,2.24,94.21,297.27,4.43,100.24,113.97
1765848931700,16.14,5.29,95.15,297.46,4.31,100.67,113.37
1765852531700,15.58,4.57,95.03,297.31,4.36,100.90,113.28
1765856131700,16.32,6.44,93.68,297.98,4.29,100.39,114.47
1765859731700,15.92,3.93,93.87,297.99,4.29,100.62,113.55
1765863331700,16.92,5.04,93.81,297.34,4.36,100.94,113.53
1765866931700,16.15,3.43,94.63,297.76,4.32,100.90,114.15
1765870531700,17.21,2.88,93.35,297.80,4.25,99.96,114.25
1765874131700,16.69,5.14,94.98,297.49,4.34,100.75,114.44
1765877731700,15.61,4.39,94.85,297.95,4.29,100.97,114.21
1765881331700,15.85,1.77,93.45,297.85,4.25,100.34,114.29
1765884931700,15.84,5.03,93.58,297.91,4.25,100.14,113.71
1765888531700,16.99,4.87,93.94,297.70,4.33,100.68,113.92
1765892131700,17.36,3.36,94.36,297.75,4.30,100.72,113.03
1765895731700,17.28,2.40,94.50,297.36,4.39,100.87,114.30
1765899331700,15.59,1.68,93.62,297.71,4.36,100.63,113.16
1765902931700,17.30,3.91,94.13,297.54,4.34,100.51,113.75
1765906531700,15.99,1.18,94.56,297.40,4.30,100.56,114.62
1765910131700,15.48,3.95,94.55,297.42,4.27,101.33,113.75
1765913731700,15.82,6.46,95.01,297.30,4.28,100.63,114.06
1765917331700,16.76,6.61,95.16,297.93,4.36,100.32,114.64
1765920931700,16.11,5.02,95.39,297.97,4.27,100.78,114.37
1765924531700,15.82,2.87,94.10,297.30,4.30,101.36,113.53
1765928131700,16.57,0.78,95.14,297.67,4.40,101.32,114.31
1765931731700,16.04,2.23,93.88,297.75,4.33,101.29,114.37
1765935331700,15.71,4.74,93.83,297.81,4.35,101.35,113.47
1765938931700,16.21,2.71,95.19,297.62,4.44,100.40,113.32
1765942531700,15.55,3.71,93.74,297.78,4.35,100.79,114.57
1765946131700,16.94,1.00,95.51,298.03,4.45,101.15,113.38
1765949731700,15.57,6.19,94.66,297.37,4.43,100.76,113.44
1765953331700,16.83,1.06,94.08,297.90,4.38,100.78,113.36
1765956931700,16.20,1.72,93.82,297.88,4.41,101.19,113.64
1765960531700,15.91,5.59,95.55,298.05,4.30,100.34,114.41
1765964131700,15.59,3.15,94.73,297.36,4.38,100.71,114.81
1765967731700,17.11,5.97,95.41,297.68,4.44,100.27,114.63
1765971331700,17.18,1.15,93.83,297.79,4.38,101.05,114.36
1765974931700,17.10,1.99,94.17,297.39,4.40,101.07,114.69
1765978531700,17.10,1.36,95.30,298.07,4.31,100.32,114.04
1765982131700,16.12,6.40,95.46,297.63,4.33,101.20,113.52
1765985731700,15.76,4.32,94.18,297.44,4.27,101.29,113.44
1765989331700,16.75,5.84,94.13,297.38,4.29,100.24,114.40
1765992931700,17.00,6.70,94.35,298.08,4.34,101.22,114.50
1765996531700,15.68,5.97,95.60,297.72,4.37,101.62,114.90
1766000131700,16.77,3.88,94.12,297.72,4.35,100.55,113.97
1766003731700,16.21,5.73,95.30,297.38,4.41,101.69,113.95
1766007331700,16.66,5.84,95.92,297.70,4.40,101.55,114.46
1766010931700,16.02,3.66,95.56,298.11,4.43,101.56,114.94
