ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,16.74,8.29,93.68,297.16,4.37,99.74,113.22
1765564531700,15.50,4.14,92.20,297.22,4.35,99.70,112.20
1765568131700,16.19,8.03,92.21,297.78,4.26,100.02,113.42
1765571731700,15.18,4.86,92.08,297.08,4.32,99.18,112.12
1765575331700,16.48,4.27,93.03,297.15,4.33,99.01,112.05
1765578931700,15.66,5.14,93.10,297.02,4.32,99.85,112.63
1765582531700,15.29,5.56,92.81,297.70,4.30,99.93,113.32
1765586131700,16.89,8.76,92.37,297.26,4.32,99.11,113.43
1765589731700,16.25,7.10,92.18,297.63,4.21,99.60,113.30
1765593331700,16.73,4.47,93.97,297.34,4.30,99.95,112.48
1765596931700,15.85,9.38,92.83,297.52,4.28,99.79,112.35
1765600531700,15.76,6.73,93.71,297.52,4.35,100.15,113.02
1765604131700,15.96,4.61,93.68,297.68,4.24,99.37,112.22
1765607731700,15.53,5.73,93.35,297.58,4.21,99.49,112.35
1765611331700,15.46,3.76,93.43,297.71,4.25,99.77,112.51
1765614931700,16.35,7.14,93.73,297.26,4.21,99.69,112.43
1765618531700,15.16,3.75,93.70,297.53,4.30,99.71,112.44
1765622131700,16.97,5.23,92.65,297.05,4.24,99.37,112.46
1765625731700,16.57,5.25,93.70,297.06,4.40,99.59,112.29
1765629331700,16.63,9.01,92.41,297.74,4.31,99.31,113.42
1765632931700,15.39,5.54,92.35,297.51,4.31,99.08,113.46
1765636531700,15.78,7.93,92.06,297.55,4.28,99.63,112.47
1765640131700,15.88,8.13,92.63,297.24,4.24,100.07,113.32
1765643731700,16.34,3.90,92.13,297.77,4.27,99.73,112.23
1765647331700,15.98,4.41,93.92,297.30,4.24,99.52,112.52
1765650931700,16.88,5.20,93.99,297.72,4.34,99.36,113.47
1765654531700,16.39,6.73,92.60,297.17,4.40,100.22,113.51
1765658131700,16.39,5.24,92.71,297.26,4.27,100.25,113.01
1765661731700,16.92,5.88,93.30,297.65,4.37,100.22,113.28
1765665331700,16.00,3.64,92.98,297.28,4.28,99.82,113.79
1765668931700,16.96,3.92,92.92,297.59,4.37,100.49,113.21
1765672531700,15.55,8.25,93.64,297.28,4.26,100.08,113.02
1765676131700,16.02,3.31,93.81,297.25,4.31,99.94,113.58
1765679731700,16.57,3.97,93.86,297.28,4.37,99.87,112.75
1765683331700,16.55,3.28,92.67,297.67,4.40,100.14,112.54
1765686931700,15.90,6.14,92.90,297.70,4.31,100.17,113.31
1765690531700,16.32,3.31,93.42,297.15,4.37,99.70,113.16
1765694131700,15.88,4.91,92.56,297.17,4.35,99.87,112.52
1765697731700,16.49,7.03,92.96,297.72,4.27,100.10,112.82
1765701331700,16.10,6.73,92.79,297.52,4.24,99.90,112.40
1765704931700,16.51,5.66,93.81,297.26,4.29,100.16,112.71
1765708531700,15.57,3.06,92.72,297.37,4.32,99.88,113.46
1765712131700,16.42,8.84,93.88,297.85,4.25,100.23,113.32
1765715731700,17.07,4.63,94.06,297.72,4.37,100.06,113.54
1765719331700,16.39,7.06,93.88,297.86,4.37,99.61,112.85
1765722931700,16.76,5.85,92.91,297.29,4.28,100.34,113.68
1765726531700,15.81,5.36,93.09,297.61,4.32,100.44,112.69
1765730131700,16.16,7.88,94.25,297.49,4.39,99.81,113.72
1765733731700,16.24,6.84,94.44,297.51,4.42,99.67,113.72
1765737331700,15.49,5.65,93.24,297.53,4.23,100.34,112.79
1765740931700,16.42,2.00,93.69,297.59,4.24,99.72,113.87
1765744531700,15.27,5.61,94.13,297.85,4.28,100.40,114.03
1765748131700,16.83,3.60,93.59,297.30,4.25,99.78,112.91
1765751731700,16.62,2.70,94.72,297.78,4.36,100.30,113.29
1765755331700,17.04,6.74,93.25,297.16,4.32,100.36,113.40
1765758931700,15.26,2.30,93.99,297.92,4.35,99.66,113.74
1765762531700,15.37,2.96,94.40,297.42,4.25,100.69,113.92
1765766131700,16.14,2.60,94.50,297.42,4.30,100.26,114.06
1765769731700,16.56,6.79,94.15,297.71,4.31,100.23,114.01
1765773331700,17.17,3.73,93.67,297.45,4.29,100.71,112.83
1765776931700,16.35,1.98,94.77,297.72,4.23,99.70,113.22
1765780531700,15.32,5.08,94.47,297.35,4.39,100.15,113.64
1765784131700,15.29,3.47,93.59,297.85,4.39,99.85,113.04
1765787731700,17.21,7.52,93.88,297.66,4.30,99.81,113.08
1765791331700,15.53,7.25,93.12,297.43,4.25,100.51,112.68
1765794931700,16.72,4.40,94.74,297.56,4.39,100.35,114.14
1765798531700,17.20,4.18,94.11,297.63,4.25,100.29,112.82
1765802131700,16.27,5.10,94.31,297.39,4.33,100.26,113.89
1765805731700,16.89,5.00,93.47,297.77,4.29,100.61,113.64
1765809331700,15.67,7.27,93.76,297.80,4.35,100.27,113.78
1765812931700,16.38,3.59,93.40,297.34,4.33,100.15,114.00
1765816531700,16.65,6.57,94.45,297.84,4.35,100.76,113.16
1765820131700,16.23,1.56,94.64,297.64,4.25,100.98,114.30
1765823731700,16.55,2.57,93.58,297.50,4.25,100.28,113.03
1765827331700,16.71,1.11,93.89,297.23,4.31,100.33,114.21
1765830931700,16.00,2.81,93.99,297.47,4.24,100.30,114.27
1765834531700,17.34,2.86,94.07,297.60,4.32,101.12,113.90
1765838131700,15.61,6.57,94.62,297.96,4.40,100.38,113.04
1765841731700,16.22,1.27,93.77,297.73,4.38,100.25,113.86
1765845331700,16.21,1.14,93.46,297.21,4.32,100.02,113.25
1765848931700,16.36,5.19,94.55,297.37,4.35,100.06,113.79
1765852531700,15.49,1.45,94.20,297.27,4.39,100.97,113.88
1765856131700,16.32,5.42,94.95,297.81,4.26,100.56,113.63
1765859731700,16.01,1.48,93.62,297.99,4.31,100.24,113.20
1765863331700,16.18,2.22,93.26,297.34,4.31,100.94,113.49
1765866931700,16.98,2.40,94.70,297.66,4.27,100.01,113.90
1765870531700,16.98,3.04,95.15,297.41,4.27,100.48,113.36
1765874131700,16.09,1.76,95.20,297.39,4.24,100.05,113.08
1765877731700,16.48,1.95,95.19,297.78,4.43,100.09,113.62
1765881331700,15.39,2.29,95.23,297.31,4.28,101.00,114.48
1765884931700,16.62,1.16,95.08,297.50,4.35,100.63,113.93
1765888531700,16.14,0.93,94.38,297.22,4.36,100.92,113.69
1765892131700,16.95,4.53,95.03,297.36,4.28,100.13,114.23
1765895731700,15.73,3.41,93.79,297.37,4.34,100.12,113.65
1765899331700,16.68,5.36,93.69,297.68,4.35,99.99,114.03
1765902931700,15.69,0.68,93.75,297.82,4.41,100.85,113.83
1765906531700,16.10,1.97,94.33,297.98,4.41,101.16,114.18
1765910131700,15.58,5.40,93.94,297.31,4.42,100.23,114.74
1765913731700,16.96,1.43,93.83,297.79,4.26,100.58,113.72
1765917331700,16.29,2.60,94.87,297.51,4.31,100.55,114.78
1765920931700,16.08,4.94,94.37,297.68,4.29,100.94,114.80
1765924531700,17.36,0.75,94.55,297.42,4.38,101.15,114.59
1765928131700,16.80,4.01,95.56,297.59,4.31,100.49,114.65
1765931731700,16.96,3.03,95.29,297.45,4.42,101.11,114.51
1765935331700,16.00,4.82,94.30,297.90,4.27,101.26,113.53
1765938931700,16.82,2.07,94.65,297.88,4.41,100.53,114.58
1765942531700,16.46,5.24,95.53,297.41,4.36,101.40,114.69
1765946131700,17.39,2.93,94.26,297.48,4.37,101.40,114.71
1765949731700,15.51,5.70,94.59,297.34,4.32,100.80,114.54
1765953331700,16.01,6.26,95.29,297.66,4.41,100.82,114.77
1765956931700,16.93,2.85,95.50,297.31,4.36,100.91,113.97
1765960531700,15.55,5.44,94.83,297.53,4.31,100.83,114.53
1765964131700,16.28,4.36,95.31,297.44,4.38,101.24,113.80
1765967731700,15.52,2.02,95.26,297.32,4.26,100.98,113.57
1765971331700,15.68,3.94,94.26,297.69,4.32,100.73,113.42
1765974931700,17.23,0.98,95.33,297.57,4.34,100.38,113.48
1765978531700,16.35,3.47,95.30,297.47,4.36,101.24,114.33
1765982131700,16.12,0.97,94.24,297.46,4.31,100.35,113.78
1765985731700,17.14,6.36,95.62,297.47,4.26,101.09,114.41
1765989331700,16.79,2.81,94.45,297.30,4.30,100.83,114.61
1765992931700,16.22,4.48,95.74,297.85,4.40,101.63,114.21
1765996531700,17.10,4.87,94.55,297.79,4.41,101.63,114.41
1766000131700,15.61,5.53,94.07,297.84,4.33,101.16,114.26
1766003731700,17.32,4.72,94.47,297.78,4.42,101.69,115.01
1766007331700,16.04,5.23,95.20,297.38,4.43,101.32,114.45
1766010931700,17.14,5.90,95.97,297.60,4.44,101.23,114.07
1766014531700,16.63,4.92,95.55,297.61,4.38,101.29,113.80
1766018131700,16.18,7.44,95.41,297.94,4.38,101.67,114.57
1766021731700,15.86,5.69,94.06,298.14,4.27,101.66,113.76
1766025331700,16.90,1.84,95.95,297.82,4.34,101.66,114.73
1766028931700,16.23,4.91,95.38,297.49,4.37,101.29,113.64
1766032531700,16.50,7.00,94.87,297.94,4.29,101.63,114.36
1766036131700,16.65,3.99,94.37,297.86,4.37,100.72,114.19
1766039731700,17.29,3.37,95.90,297.55,4.33,100.93,113.98
1766043331700,16.47,2.31,94.61,297.60,4.27,101.20,114.58
1766046931700,16.64,7.53,94.86,298.13,4.39,101.26,114.06
1766050531700,15.83,2.42,95.30,297.94,4.33,101.54,114.02
1766054131700,16.13,4.26,94.67,297.84,4.32,101.48,113.73
1766057731700,17.03,3.55,94.11,298.13,4.43,100.59,115.06
1766061331700,16.02,3.07,95.31,297.75,4.37,101.62,114.27
1766064931700,16.77,2.82,94.51,298.08,4.30,101.19,113.76
1766068531700,17.46,4.05,95.25,298.12,4.45,101.70,114.36
1766072131700,16.09,2.02,94.40,297.63,4.46,101.51,114.36
1766075731700,16.86,6.94,95.37,297.81,4.31,101.22,114.31
1766079331700,17.26,5.65,95.04,298.10,4.38,101.82,114.77
1766082931700,17.21,5.50,96.06,297.82,4.34,101.63,115.19
1766086531700,16.22,2.97,95.27,298.18,4.41,101.39,114.69
1766090131700,17.44,3.84,96.26,298.01,4.46,100.77,114.75
1766093731700,16.25,3.32,95.81,297.65,4.46,101.68,113.96
1766097331700,16.98,3.77,95.77,297.82,4.27,101.91,114.57
1766100931700,17.33,4.03,95.15,297.77,4.46,101.41,114.29
1766104531700,16.69,5.08,95.75,297.48,4.29,101.35,114.05
1766108131700,16.83,8.12,95.87,297.84,4.34,101.08,115.37
1766111731700,16.14,5.49,96.11,297.80,4.41,101.90,114.35
1766115331700,16.88,4.02,95.70,297.59,4.36,101.26,114.30
1766118931700,17.45,3.83,96.24,297.58,4.34,100.93,114.11
1766122531700,16.74,5.07,95.08,297.43,4.33,101.72,114.92
1766126131700,17.60,5.24,94.79,298.07,4.47,101.15,115.35
1766129731700,16.71,8.15,94.52,298.07,4.32,100.86,114.40
1766133331700,16.67,8.86,94.51,297.56,4.45,101.22,115.28
1766136931700,17.70,7.33,96.29,297.85,4.41,100.91,115.03
1766140531700,16.61,3.11,95.20,297.94,4.41,101.59,115.06
1766144131700,16.87,7.85,95.76,297.91,4.31,101.21,114.45
1766147731700,16.91,7.49,94.49,297.58,4.30,101.72,115.38
1766151331700,16.30,7.88,95.62,297.83,4.41,101.22,114.61
1766154931700,15.81,7.57,96.40,297.92,4.28,100.89,115.10
1766158531700,16.74,7.22,94.65,297.62,4.37,101.34,114.55
1766162131700,17.59,8.01,94.51,297.65,4.40,101.15,114.66
1766165731700,17.25,9.46,96.33,298.02,4.32,101.05,115.49
1766169331700,15.93,5.27,95.52,297.71,4.37,101.10,115.08
1766172931700,17.55,7.24,95.77,298.22,4.46,101.71,115.32
1766176531700,17.37,6.88,94.85,297.90,4.40,102.06,114.97
1766180131700,15.95,5.83,95.66,298.08,4.41,101.25,114.65
1766183731700,17.82,7.05,95.10,297.93,4.40,101.14,114.82
1766187331700,17.53,7.80,95.79,297.92,4.37,101.22,114.66
1766190931700,16.02,8.12,96.17,298.14,4.41,101.67,114.86
1766194531700,16.50,4.91,95.85,298.06,4.31,101.19,114.60
1766198131700,16.89,4.55,96.43,298.04,4.33,101.23,114.62
1766201731700,16.03,5.66,96.78,298.10,4.40,101.16,115.53
1766205331700,16.59,8.00,96.47,297.63,4.42,101.13,114.49
1766208931700,16.88,6.64,95.31,297.75,4.41,101.14,114.55
1766212531700,16.55,4.14,95.73,297.50,4.29,101.95,114.48
1766216131700,17.60,7.53,95.85,297.61,4.35,101.36,114.67
1766219731700,15.90,7.11,94.99,297.84,4.45,102.09,114.98
1766223331700,16.87,8.03,95.26,298.14,4.46,101.95,114.99
1766226931700,16.65,6.47,96.50,297.99,4.35,101.58,114.32
1766230531700,16.68,3.77,95.69,297.73,4.42,101.33,115.60
1766234131700,16.50,5.72,96.69,297.56,4.39,101.90,114.47
1766237731700,16.48,8.96,96.00,298.19,4.32,101.57,115.56
1766241331700,16.26,6.51,96.48,298.15,4.37,102.15,114.94
1766244931700,16.43,7.25,95.67,297.96,4.34,101.05,114.76
1766248531700,16.98,6.07,95.07,297.56,4.32,101.84,114.62
1766252131700,17.87,8.40,95.49,298.13,4.36,102.02,115.69
1766255731700,16.51,4.98,96.69,298.07,4.33,101.67,115.40
1766259331700,16.88,4.05,95.73,297.95,4.48,101.33,115.83
1766262931700,17.27,8.83,96.12,298.07,4.43,101.91,114.72
1766266531700,17.31,6.19,96.37,297.93,4.42,102.05,115.87
1766270131700,16.65,8.30,97.13,297.92,4.37,101.98,115.83
1766273731700,16.68,7.73,96.85,297.76,4.33,102.00,115.68
1766277331700,17.89,7.92,95.59,298.21,4.45,101.65,114.98
1766280931700,17.54,6.26,95.66,297.84,4.31,101.52,115.74
1766284531700,17.08,5.04,97.01,297.89,4.47,101.49,115.77
1766288131700,17.49,3.90,96.84,298.27,4.44,101.25,114.63
1766291731700,16.92,7.10,96.60,297.90,4.47,102.26,115.57
1766295331700,16.35,5.25,95.40,297.58,4.36,102.24,115.24
1766298931700,17.60,5.77,97.03,298.05,4.46,102.38,115.96
1766302531700,17.01,5.79,96.69,297.66,4.43,101.64,115.98
1766306131700,16.94,3.02,95.36,298.28,4.43,101.47,114.96
1766309731700,17.90,7.04,95.54,298.14,4.43,102.32,114.55
1766313331700,16.88,6.70,95.21,297.60,4.38,101.98,114.97
1766316931700,16.24,5.37,97.01,298.13,4.39,101.82,115.16
1766320531700,16.36,3.68,96.88,298.26,4.44,101.63,115.68
1766324131700,16.15,8.16,96.29,297.81,4.37,101.84,115.06
1766327731700,16.34,4.16,95.64,297.90,4.43,102.27,114.63
1766331331700,17.39,5.95,96.27,298.15,4.44,101.72,114.79
1766334931700,16.04,7.67,96.83,298.32,4.49,101.52,115.26
1766338531700,17.07,7.40,96.79,297.92,4.37,101.88,116.15
1766342131700,16.60,4.55,95.54,298.21,4.47,101.88,115.54
1766345731700,16.70,6.37,95.64,298.32,4.40,102.53,115.56
1766349331700,16.48,5.59,96.90,297.93,4.37,101.67,114.82
1766352931700,16.17,4.44,96.51,298.20,4.36,101.66,115.18
1766356531700,16.97,7.07,95.71,297.70,4.31,102.34,115.34
1766360131700,17.15,3.81,97.13,297.89,4.36,101.46,115.62
1766363731700,16.83,4.21,96.41,297.75,4.50,101.62,116.23
1766367331700,16.30,4.30,96.73,298.18,4.45,102.31,114.95
1766370931700,16.26,3.46,95.80,298.09,4.39,101.58,115.65
1766374531700,16.50,2.66,95.63,298.06,4.46,101.75,115.70
1766378131700,16.19,1.67,95.87,298.25,4.45,102.33,114.91
1766381731700,17.60,5.35,96.66,298.15,4.38,101.61,115.24
1766385331700,16.31,5.05,96.61,297.64,4.37,101.61,116.05
1766388931700,17.43,6.89,96.40,297.83,4.47,101.52,115.38
1766392531700,16.08,7.04,97.21,297.81,4.50,101.46,115.32
1766396131700,16.30,7.58,95.54,297.84,4.37,101.49,114.92
1766399731700,17.79,3.71,97.37,297.83,4.32,102.26,116.20
1766403331700,17.87,3.59,95.84,298.12,4.45,102.32,116.10
1766406931700,17.66,7.65,96.21,297.68,4.38,102.38,115.93
1766410531700,17.28,7.15,96.66,297.90,4.34,101.91,115.25
1766414131700,16.33,4.78,97.38,298.25,4.38,102.12,115.52
1766417731700,17.47,1.77,95.70,297.67,4.48,101.43,114.82
1766421331700,17.26,3.31,96.96,297.98,4.31,102.14,114.90
1766424931700,16.83,3.75,97.64,298.11,4.48,102.21,115.75
1766428531700,17.69,1.87,97.51,298.46,4.43,102.64,115.43
1766432131700,16.49,1.85,96.14,297.98,4.39,101.93,115.12
1766435731700,16.41,3.01,97.78,297.80,4.34,102.35,115.99
1766439331700,16.92,3.24,96.08,298.39,4.49,102.59,115.57
1766442931700,16.43,2.51,97.84,298.32,4.49,102.22,115.87
1766446531700,16.37,4.53,96.90,297.92,4.49,102.03,114.99
1766450131700,17.58,5.48,97.37,298.36,4.50,102.67,115.69
1766453731700,16.98,6.33,97.37,297.77,4.39,101.87,116.19
1766457331700,17.68,3.88,96.46,298.17,4.33,102.08,116.14
1766460931700,17.30,1.37,97.72,297.96,4.34,101.82,115.06
1766464531700,17.02,0.89,97.78,298.26,4.44,102.68,116.33
1766468131700,16.47,1.01,97.84,297.92,4.34,101.77,115.11
1766471731700,17.11,3.54,97.15,297.90,4.44,102.20,115.23
1766475331700,17.31,1.66,97.67,297.99,4.34,102.02,115.77
1766478931700,17.73,3.63,97.65,297.74,4.39,102.32,116.08
1766482531700,16.46,2.89,95.86,298.14,4.43,102.28,116.02
1766486131700,17.25,3.26,95.99,297.84,4.48,102.31,115.69
1766489731700,17.05,1.64,96.52,298.27,4.38,101.76,115.80
1766493331700,17.57,6.49,97.42,298.18,4.46,102.75,115.36
1766496931700,16.46,5.75,97.47,298.06,4.38,102.13,115.80
1766500531700,17.04,3.67,96.78,298.29,4.50,102.69,116.34
1766504131700,16.36,4.50,96.62,298.47,4.33,101.70,115.76
1766507731700,17.51,4.53,97.06,298.42,4.35,102.05,116.42
1766511331700,17.81,3.95,98.00,298.50,4.47,102.87,116.23
1766514931700,16.45,4.17,97.37,297.96,4.46,102.24,115.64
1766518531700,18.28,1.38,96.18,298.40,4.37,102.51,115.47
1766522131700,16.77,3.73,96.32,298.31,4.40,102.46,115.51
1766525731700,17.75,3.72,96.95,298.41,4.48,102.14,115.30
1766529331700,17.75,1.64,97.80,297.90,4.45,102.21,115.91
1766532931700,17.01,4.53,97.39,297.99,4.49,102.47,116.52
1766536531700,16.40,2.82,96.90,298.16,4.51,102.83,115.25
1766540131700,16.70,3.52,98.07,298.14,4.44,102.16,115.96
1766543731700,17.44,4.23,96.21,298.25,4.35,102.00,116.40
1766547331700,18.25,5.32,97.53,298.47,4.43,102.81,116.17
1766550931700,16.65,3.56,97.51,297.92,4.45,101.95,116.35
1766554531700,17.25,1.45,96.52,297.77,4.52,102.66,115.62
1766558131700,17.05,3.11,97.31,298.21,4.40,102.52,115.36
1766561731700,18.29,1.14,97.40,298.55,4.51,102.44,115.34
1766565331700,17.44,0.93,97.58,298.18,4.34,102.65,116.24
1766568931700,16.65,2.63,97.40,298.33,4.38,102.80,116.23
1766572531700,16.87,1.88,96.79,298.48,4.39,102.17,115.95
1766576131700,17.85,2.90,96.99,298.24,4.48,102.71,116.35
1766579731700,16.38,3.99,97.22,298.39,4.49,101.96,116.66
1766583331700,16.84,2.45,96.99,298.00,4.42,101.93,115.80
1766586931700,16.96,4.43,97.34,298.13,4.46,102.54,116.51
1766590531700,16.62,1.88,96.96,298.50,4.45,102.06,115.96
1766594131700,17.52,1.44,97.09,298.30,4.47,102.91,116.43
1766597731700,17.06,1.95,98.45,298.11,4.41,102.40,115.58
1766601331700,17.56,6.67,97.26,298.15,4.48,102.86,116.68
1766604931700,16.78,4.10,96.92,297.99,4.40,103.02,116.52
1766608531700,16.87,3.32,98.18,298.42,4.37,102.42,115.48
1766612131700,17.89,3.98,97.15,298.45,4.36,101.87,116.75
1766615731700,17.56,1.84,98.29,297.98,4.47,102.87,116.69
