ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,956,815,6.46,4.62,37.06,44,3797.59,86.31,61,Cedar Accent Chair,2025-12-12,446.87,194,2.30,8.50
1765564531700,967,835,7.84,4.29,33.54,41,3306.63,80.65,63,Cedar Accent Chair,2025-12-12,515.70,272,1.90,6.41
1765568131700,960,879,7.08,4.02,32.90,39,2881.30,73.88,72,Cedar Accent Chair,2025-12-12,454.73,164,2.77,6.34
1765571731700,1003,844,7.86,3.74,38.76,38,3042.71,80.07,47,Cedar Accent Chair,2025-12-12,556.20,224,2.48,5.47
1765575331700,1111,925,8.96,4.26,29.91,47,4055.29,86.28,72,Cedar Accent Chair,2025-12-12,448.95,157,2.86,9.03
1765578931700,1206,994,8.68,3.52,37.38,42,3285.26,78.22,62,Cedar Accent Chair,2025-12-12,462.78,229,2.02,7.10
1765582531700,1325,1168,8.15,4.86,41.77,64,4998.52,78.10,112,Cedar Accent Chair,2025-12-12,571.66,220,2.60,8.74
1765586131700,1451,1283,10.06,5.02,42.05,73,6082.20,83.32,128,Cedar Accent Chair,2025-12-13,523.98,195,2.69,11.61
1765589731700,1584,1330,11.48,3.92,31.08,62,4566.92,73.66,81,Cedar Accent Chair,2025-12-13,529.01,196,2.70,8.63
1765593331700,1721,1575,10.67,5.13,30.52,88,7134.35,81.07,129,Cedar Accent Chair,2025-12-13,588.99,279,2.11,12.11
1765596931700,1812,1644,11.34,5.38,35.34,97,8107.95,83.59,118,Cedar Accent Chair,2025-12-13,575.21,245,2.35,14.10
1765600531700,1905,1742,10.87,4.16,35.51,79,6520.74,82.54,141,Cedar Accent Chair,2025-12-13,491.95,186,2.64,13.25
1765604131700,1942,1730,10.54,4.60,35.29,89,7918.14,88.97,160,Cedar Accent Chair,2025-12-13,521.64,219,2.38,15.18
1765607731700,1973,1630,11.29,4.32,39.36,85,7613.73,89.57,147,Cedar Accent Chair,2025-12-13,548.45,227,2.42,13.88
1765611331700,1935,1833,10.98,5.98,31.53,116,8587.56,74.03,156,Cedar Accent Chair,2025-12-13,602.71,210,2.87,14.25
1765614931700,1876,1631,10.74,5.91,37.04,111,9746.41,87.81,141,Cedar Accent Chair,2025-12-13,527.78,236,2.24,18.47
1765618531700,1821,1690,9.73,4.72,33.66,86,7549.22,87.78,117,Cedar Accent Chair,2025-12-13,567.22,204,2.78,13.31
1765622131700,1701,1499,9.35,4.02,36.41,68,5158.57,75.86,108,Cedar Accent Chair,2025-12-13,487.40,262,1.86,10.58
1765625731700,1586,1351,11.38,5.12,31.31,81,7175.73,88.59,136,Cedar Accent Chair,2025-12-13,470.85,214,2.20,15.24
1765629331700,1466,1212,10.29,5.03,38.33,74,5617.71,75.91,90,Cedar Accent Chair,2025-12-13,579.81,212,2.73,9.69
1765632931700,1318,1224,10.11,3.59,42.60,47,4148.33,88.26,86,Cedar Accent Chair,2025-12-13,512.32,186,2.75,8.10
1765636531700,1223,1038,7.59,3.48,31.81,43,3746.64,87.13,55,Cedar Accent Chair,2025-12-13,555.98,193,2.88,6.74
1765640131700,1103,1041,9.26,3.86,39.48,43,3304.23,76.84,73,Cedar Accent Chair,2025-12-13,508.54,212,2.40,6.50
1765643731700,1035,888,8.96,3.26,39.18,34,2974.93,87.50,61,Cedar Accent Chair,2025-12-13,480.93,182,2.64,6.19
1765647331700,1058,885,7.37,4.18,33.26,44,3288.58,74.74,56,Cedar Accent Chair,2025-12-13,458.44,214,2.14,7.17
1765650931700,1055,975,6.33,4.79,37.35,50,3861.81,77.24,86,Cedar Accent Chair,2025-12-13,531.18,278,1.91,7.27
1765654531700,1046,956,8.69,3.76,41.69,39,3308.78,84.84,66,Cedar Accent Chair,2025-12-13,503.11,278,1.81,6.58
1765658131700,1094,948,8.41,4.15,28.51,45,3622.52,80.50,79,Cedar Accent Chair,2025-12-13,490.15,236,2.08,7.39
1765661731700,1196,1012,8.74,4.32,35.52,52,3824.26,73.54,64,Cedar Accent Chair,2025-12-13,538.70,232,2.32,7.10
1765665331700,1331,1247,7.37,3.53,34.82,47,3453.12,73.47,60,Cedar Accent Chair,2025-12-13,496.26,179,2.77,6.96
1765668931700,1443,1196,10.68,3.62,43.18,52,4521.65,86.95,75,Cedar Accent Chair,2025-12-13,464.76,248,1.87,9.73
1765672531700,1571,1403,9.96,3.91,41.03,61,4824.06,79.08,115,Cedar Accent Chair,2025-12-14,496.06,188,2.64,9.72
1765676131700,1752,1480,11.07,5.16,34.02,90,7533.89,83.71,165,Cedar Accent Chair,2025-12-14,585.89,223,2.63,12.86
1765679731700,1859,1670,10.01,4.40,45.40,82,5984.29,72.98,140,Cedar Accent Chair,2025-12-14,472.56,190,2.49,12.66
1765683331700,1974,1601,9.96,4.15,39.72,82,6109.93,74.51,156,Cedar Accent Chair,2025-12-14,565.81,244,2.32,10.80
