ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,969,888,8.87,3.61,41.88,35,2951.72,84.33,49,Driftwood Barstool,2025-12-12,471.84,177,2.67,6.26
1765564531700,962,899,7.68,4.07,38.21,39,2705.70,69.38,68,Driftwood Barstool,2025-12-12,511.16,178,2.87,5.29
1765568131700,964,866,6.74,3.53,40.46,34,2385.54,70.16,60,Driftwood Barstool,2025-12-12,483.42,164,2.95,4.93
1765571731700,1002,885,7.82,3.35,31.60,34,2556.86,75.20,49,Driftwood Barstool,2025-12-12,470.86,235,2.00,5.43
1765575331700,1071,998,8.67,4.26,35.89,46,3585.16,77.94,65,Driftwood Barstool,2025-12-12,479.72,246,1.95,7.47
1765578931700,1192,1128,9.18,4.23,39.82,50,4194.26,83.89,64,Driftwood Barstool,2025-12-12,489.32,190,2.58,8.57
1765582531700,1306,1234,10.05,4.77,38.77,62,4726.09,76.23,113,Driftwood Barstool,2025-12-12,478.33,178,2.69,9.88
1765586131700,1449,1314,9.00,4.53,37.08,66,5111.19,77.44,123,Driftwood Barstool,2025-12-13,574.92,237,2.43,8.89
1765589731700,1581,1289,9.92,5.32,33.19,84,7071.40,84.18,141,Driftwood Barstool,2025-12-13,540.75,246,2.20,13.08
1765593331700,1684,1489,12.07,5.54,45.09,93,7671.39,82.49,125,Driftwood Barstool,2025-12-13,504.69,205,2.46,15.20
1765596931700,1806,1682,12.66,5.20,43.01,94,7262.53,77.26,177,Driftwood Barstool,2025-12-13,580.38,274,2.12,12.51
1765600531700,1858,1753,12.45,5.77,36.55,107,7927.66,74.09,200,Driftwood Barstool,2025-12-13,543.13,190,2.86,14.60
1765604131700,1939,1677,10.67,5.89,43.12,114,7935.10,69.61,141,Driftwood Barstool,2025-12-13,603.72,228,2.65,13.14
1765607731700,1924,1782,11.81,5.37,46.62,103,7119.27,69.12,181,Driftwood Barstool,2025-12-13,516.22,196,2.63,13.79
1765611331700,1901,1534,12.97,5.76,43.69,110,8341.15,75.83,152,Driftwood Barstool,2025-12-13,591.99,312,1.90,14.09
1765614931700,1885,1780,12.16,5.79,45.39,109,8035.30,73.72,191,Driftwood Barstool,2025-12-13,566.90,200,2.83,14.17
1765618531700,1806,1470,9.88,5.59,33.34,101,7365.97,72.93,144,Driftwood Barstool,2025-12-13,544.97,198,2.75,13.52
1765622131700,1683,1384,10.14,5.16,38.80,87,6885.40,79.14,114,Driftwood Barstool,2025-12-13,551.76,242,2.28,12.48
1765625731700,1578,1397,8.86,5.00,43.55,79,5817.84,73.64,132,Driftwood Barstool,2025-12-13,503.88,205,2.46,11.55
1765629331700,1453,1369,10.04,4.96,30.46,72,5694.43,79.09,98,Driftwood Barstool,2025-12-13,474.53,250,1.90,12.00
1765632931700,1327,1187,7.97,4.54,36.85,60,4192.06,69.87,106,Driftwood Barstool,2025-12-13,466.16,184,2.53,8.99
1765636531700,1175,957,7.66,4.53,28.98,53,4580.87,86.43,71,Driftwood Barstool,2025-12-13,520.72,288,1.81,8.80
1765640131700,1105,891,9.42,4.19,29.90,46,3652.51,79.40,60,Driftwood Barstool,2025-12-13,460.30,173,2.66,7.94
1765643731700,997,892,9.27,4.50,33.54,45,3487.41,77.50,71,Driftwood Barstool,2025-12-13,468.85,199,2.36,7.44
1765647331700,1054,901,7.58,3.75,39.09,40,3137.40,78.43,59,Driftwood Barstool,2025-12-13,518.68,185,2.80,6.05
1765650931700,1031,902,8.63,3.01,32.86,31,2347.71,75.73,48,Driftwood Barstool,2025-12-13,461.59,247,1.87,5.09
1765654531700,1048,854,8.36,3.23,39.83,34,2589.56,76.16,43,Driftwood Barstool,2025-12-13,490.19,240,2.04,5.28
1765658131700,1097,963,8.65,4.53,41.29,50,3482.14,69.64,82,Driftwood Barstool,2025-12-13,554.43,223,2.49,6.28
1765661731700,1193,1013,8.14,4.92,28.86,59,4994.83,84.66,100,Driftwood Barstool,2025-12-13,479.84,182,2.64,10.41
1765665331700,1319,1079,10.04,3.49,31.45,46,3774.18,82.05,60,Driftwood Barstool,2025-12-13,517.05,243,2.13,7.30
1765668931700,1415,1336,9.54,4.11,41.56,58,4949.10,85.33,89,Driftwood Barstool,2025-12-13,455.18,221,2.06,10.87
1765672531700,1584,1335,9.14,4.14,40.49,66,5218.82,79.07,90,Driftwood Barstool,2025-12-14,535.69,281,1.91,9.74
1765676131700,1701,1469,9.08,4.21,35.97,72,5242.18,72.81,134,Driftwood Barstool,2025-12-14,556.05,281,1.98,9.43
1765679731700,1865,1496,9.94,4.49,40.40,84,6074.82,72.32,129,Driftwood Barstool,2025-12-14,535.31,283,1.89,11.35
1765683331700,1964,1802,11.61,5.75,38.79,113,8960.16,79.29,142,Driftwood Barstool,2025-12-14,537.94,263,2.05,16.66
1765686931700,2052,1896,12.79,5.64,37.19,116,9605.82,82.81,208,Driftwood Barstool,2025-12-14,489.95,166,2.95,19.61
1765690531700,2099,1711,10.90,4.25,36.73,89,7503.33,84.31,119,Driftwood Barstool,2025-12-14,599.47,293,2.05,12.52
1765694131700,2135,1941,10.86,5.87,42.77,125,8874.45,71.00,225,Driftwood Barstool,2025-12-14,599.91,320,1.87,14.79
1765697731700,2109,1937,10.90,5.94,31.31,125,9926.65,79.41,236,Driftwood Barstool,2025-12-14,591.61,318,1.86,16.78
1765701331700,2058,1815,10.71,5.31,36.98,109,8599.68,78.90,165,Driftwood Barstool,2025-12-14,526.44,250,2.11,16.34
1765704931700,1951,1850,9.79,5.50,44.08,107,9025.39,84.35,171,Driftwood Barstool,2025-12-14,500.59,265,1.89,18.03
1765708531700,1846,1614,9.70,5.23,36.32,97,7396.07,76.25,160,Driftwood Barstool,2025-12-14,587.48,312,1.88,12.59
1765712131700,1708,1508,10.91,4.05,32.34,69,5723.89,82.95,123,Driftwood Barstool,2025-12-14,552.04,195,2.83,10.37
1765715731700,1560,1428,10.88,5.16,38.19,81,5629.37,69.50,103,Driftwood Barstool,2025-12-14,493.59,174,2.84,11.40
1765719331700,1416,1307,8.54,5.11,41.71,72,6093.04,84.63,124,Driftwood Barstool,2025-12-14,529.35,179,2.96,11.51
1765722931700,1305,1174,10.01,3.68,34.98,48,3548.94,73.94,86,Driftwood Barstool,2025-12-14,469.32,196,2.39,7.56
1765726531700,1173,1074,8.86,3.74,33.24,44,3352.54,76.19,71,Driftwood Barstool,2025-12-14,532.86,295,1.81,6.29
1765730131700,1087,967,8.89,4.11,37.34,45,3184.57,70.77,73,Driftwood Barstool,2025-12-14,445.94,198,2.25,7.14
1765733731700,1084,934,6.82,4.06,30.90,44,3396.86,77.20,84,Driftwood Barstool,2025-12-14,482.43,162,2.98,7.04
1765737331700,1060,875,7.15,3.18,41.56,34,2789.09,82.03,52,Driftwood Barstool,2025-12-14,441.28,243,1.82,6.32
1765740931700,1068,961,6.94,3.03,37.60,32,2400.92,75.03,55,Driftwood Barstool,2025-12-14,532.24,214,2.49,4.51
1765744531700,1114,1026,9.25,3.50,38.49,39,3134.57,80.37,50,Driftwood Barstool,2025-12-14,479.90,184,2.61,6.53
1765748131700,1229,1148,7.25,4.64,38.37,57,4337.06,76.09,85,Driftwood Barstool,2025-12-14,446.60,185,2.41,9.71
1765751731700,1327,1223,7.59,3.94,34.22,52,4393.29,84.49,81,Driftwood Barstool,2025-12-14,545.41,217,2.51,8.06
1765755331700,1480,1347,9.33,4.36,41.41,65,5496.93,84.57,105,Driftwood Barstool,2025-12-14,564.29,291,1.94,9.74
1765758931700,1619,1397,10.58,4.85,44.42,78,5819.99,74.62,146,Driftwood Barstool,2025-12-15,554.00,279,1.99,10.51
1765762531700,1760,1549,8.98,4.33,44.06,76,6034.66,79.40,128,Driftwood Barstool,2025-12-15,572.40,233,2.46,10.54
1765766131700,1903,1596,11.56,4.28,34.49,81,6572.69,81.14,154,Driftwood Barstool,2025-12-15,505.03,233,2.17,13.01
1765769731700,1984,1588,10.01,4.57,41.89,91,6786.61,74.58,161,Driftwood Barstool,2025-12-15,538.46,267,2.02,12.60
1765773331700,2078,1903,11.20,5.52,32.22,115,9325.22,81.09,217,Driftwood Barstool,2025-12-15,546.05,266,2.05,17.08
1765776931700,2131,1888,12.90,4.60,39.95,98,6802.18,69.41,173,Driftwood Barstool,2025-12-15,529.39,278,1.90,12.85
1765780531700,2175,1761,10.47,5.10,39.12,111,8393.39,75.62,170,Driftwood Barstool,2025-12-15,517.59,286,1.81,16.22
1765784131700,2143,2022,11.20,4.43,33.92,95,6566.83,69.12,157,Driftwood Barstool,2025-12-15,585.77,257,2.28,11.21
1765787731700,2096,1856,11.14,4.34,35.19,91,7184.49,78.95,120,Driftwood Barstool,2025-12-15,576.75,205,2.81,12.46
1765791331700,2016,1791,11.94,5.36,34.11,108,8885.97,82.28,152,Driftwood Barstool,2025-12-15,549.98,297,1.85,16.16
1765794931700,1901,1661,11.93,4.91,30.83,93,7025.48,75.54,147,Driftwood Barstool,2025-12-15,540.79,223,2.43,12.99
1765798531700,1765,1435,9.14,4.45,41.14,79,6506.51,82.36,127,Driftwood Barstool,2025-12-15,501.35,216,2.32,12.98
1765802131700,1600,1481,10.90,4.30,37.74,69,5319.94,77.10,105,Driftwood Barstool,2025-12-15,547.47,218,2.51,9.72
1765805731700,1454,1353,8.08,4.58,42.60,67,5491.58,81.96,121,Driftwood Barstool,2025-12-15,465.73,244,1.91,11.79
1765809331700,1335,1077,7.89,4.58,36.03,61,4562.33,74.79,104,Driftwood Barstool,2025-12-15,475.87,216,2.20,9.59
