ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,986,797,7.98,3.94,36.36,39,3611.09,92.59,51,Juniper Throw Blanket,2025-12-12,463.85,202,2.30,7.79
1765564531700,946,791,8.06,3.35,28.86,32,2425.79,75.81,42,Juniper Throw Blanket,2025-12-12,508.84,265,1.92,4.77
1765568131700,999,871,8.28,3.94,37.12,39,3548.71,90.99,49,Juniper Throw Blanket,2025-12-12,448.39,207,2.17,7.91
1765571731700,1035,909,7.19,3.38,28.07,35,3217.08,91.92,55,Juniper Throw Blanket,2025-12-12,471.08,194,2.43,6.83
1765575331700,1102,986,7.62,4.05,37.25,45,3406.10,75.69,62,Juniper Throw Blanket,2025-12-12,530.02,190,2.79,6.43
1765578931700,1234,1118,8.91,3.59,42.20,44,3494.20,79.41,66,Juniper Throw Blanket,2025-12-12,556.91,209,2.66,6.27
1765582531700,1342,1110,8.90,4.06,41.35,54,4468.15,82.74,83,Juniper Throw Blanket,2025-12-12,537.44,250,2.15,8.31
1765586131700,1489,1206,9.56,4.25,43.68,63,5618.46,89.18,97,Juniper Throw Blanket,2025-12-13,538.07,189,2.85,10.44
1765589731700,1612,1378,9.19,4.71,30.92,76,6151.33,80.94,130,Juniper Throw Blanket,2025-12-13,580.82,246,2.36,10.59
1765593331700,1742,1461,11.91,4.58,38.79,80,6474.47,80.93,98,Juniper Throw Blanket,2025-12-13,473.42,175,2.71,13.68
1765596931700,1821,1482,10.95,5.62,40.97,102,8401.63,82.37,178,Juniper Throw Blanket,2025-12-13,585.68,306,1.91,14.34
1765600531700,1917,1715,10.44,5.19,43.95,99,9146.07,92.38,176,Juniper Throw Blanket,2025-12-13,558.18,282,1.98,16.39
1765604131700,1959,1664,12.64,4.25,33.08,83,6989.67,84.21,102,Juniper Throw Blanket,2025-12-13,499.62,260,1.92,13.99
1765607731700,1962,1628,10.96,4.88,39.77,96,8154.49,84.94,174,Juniper Throw Blanket,2025-12-13,566.76,204,2.78,14.39
1765611331700,1951,1711,12.61,5.36,33.42,104,9309.15,89.51,156,Juniper Throw Blanket,2025-12-13,548.41,262,2.09,16.97
1765614931700,1910,1586,10.96,5.23,41.72,100,7932.68,79.33,185,Juniper Throw Blanket,2025-12-13,532.80,224,2.38,14.89
1765618531700,1837,1587,12.00,4.48,33.27,82,7410.84,90.38,144,Juniper Throw Blanket,2025-12-13,479.29,170,2.82,15.46
1765622131700,1715,1595,11.22,5.67,40.00,97,7571.98,78.06,130,Juniper Throw Blanket,2025-12-13,521.07,270,1.93,14.53
1765625731700,1607,1310,11.13,4.83,40.10,78,7250.79,92.96,95,Juniper Throw Blanket,2025-12-13,525.16,261,2.01,13.81
1765629331700,1478,1398,9.18,3.73,39.75,55,4722.93,85.87,76,Juniper Throw Blanket,2025-12-13,482.65,188,2.57,9.79
1765632931700,1350,1172,9.73,3.94,44.32,53,3983.22,75.16,69,Juniper Throw Blanket,2025-12-13,460.49,220,2.09,8.65
1765636531700,1204,1011,7.70,3.44,42.47,41,3222.88,78.61,58,Juniper Throw Blanket,2025-12-13,521.09,181,2.88,6.18
1765640131700,1125,968,7.56,3.22,28.45,36,3193.99,88.72,53,Juniper Throw Blanket,2025-12-13,533.97,189,2.83,5.98
1765643731700,1043,911,8.46,4.48,34.32,47,3562.96,75.81,69,Juniper Throw Blanket,2025-12-13,471.19,207,2.28,7.56
1765647331700,1068,937,9.09,4.19,39.08,45,3978.04,88.40,85,Juniper Throw Blanket,2025-12-13,512.48,255,2.01,7.76
1765650931700,1041,884,6.51,3.26,35.75,34,2794.88,82.20,49,Juniper Throw Blanket,2025-12-13,510.46,278,1.84,5.48
1765654531700,1074,1008,9.14,3.10,39.65,33,2900.27,87.89,51,Juniper Throw Blanket,2025-12-13,555.77,218,2.55,5.22
1765658131700,1111,951,9.08,4.09,27.35,45,3645.00,81.00,60,Juniper Throw Blanket,2025-12-13,538.65,192,2.81,6.77
1765661731700,1204,1096,7.04,3.99,41.53,48,4273.65,89.03,62,Juniper Throw Blanket,2025-12-13,450.05,195,2.31,9.50
1765665331700,1344,1078,7.43,3.42,34.67,46,3894.81,84.67,73,Juniper Throw Blanket,2025-12-13,561.81,295,1.90,6.93
1765668931700,1452,1198,9.27,3.70,34.93,54,4806.60,89.01,85,Juniper Throw Blanket,2025-12-13,491.62,224,2.19,9.78
1765672531700,1591,1445,9.53,5.25,31.51,84,6989.77,83.21,137,Juniper Throw Blanket,2025-12-14,471.73,261,1.81,14.82
1765676131700,1742,1649,11.45,3.95,30.09,69,5328.31,77.22,102,Juniper Throw Blanket,2025-12-14,561.78,272,2.07,9.48
1765679731700,1893,1724,9.76,5.46,37.19,103,9569.85,92.91,142,Juniper Throw Blanket,2025-12-14,561.53,230,2.44,17.04
1765683331700,1990,1676,10.06,5.38,44.05,107,8447.12,78.95,173,Juniper Throw Blanket,2025-12-14,579.82,294,1.97,14.57
1765686931700,2082,1753,11.24,5.29,40.38,110,9645.09,87.68,187,Juniper Throw Blanket,2025-12-14,511.64,279,1.83,18.85
