ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,979,910,9.33,3.24,31.90,32,2946.19,92.07,54,Nimbus Trail Backpack,2025-12-12,455.97,170,2.68,6.46
1765564531700,976,806,7.79,3.88,30.39,38,3456.61,90.96,59,Nimbus Trail Backpack,2025-12-12,480.39,250,1.92,7.20
1765568131700,993,875,7.33,3.56,32.11,35,2841.68,81.19,53,Nimbus Trail Backpack,2025-12-12,505.34,245,2.06,5.62
1765571731700,1042,858,9.48,3.31,28.73,35,3191.14,91.18,63,Nimbus Trail Backpack,2025-12-12,486.30,235,2.07,6.56
1765575331700,1113,905,9.31,3.39,36.76,38,2981.57,78.46,59,Nimbus Trail Backpack,2025-12-12,519.29,251,2.07,5.74
1765578931700,1212,991,9.54,4.13,29.98,50,4329.13,86.58,91,Nimbus Trail Backpack,2025-12-12,537.32,238,2.26,8.06
1765582531700,1337,1268,8.73,5.03,31.00,67,6373.78,95.13,101,Nimbus Trail Backpack,2025-12-12,569.58,309,1.84,11.19
1765586131700,1471,1204,10.37,4.17,37.04,61,5726.60,93.88,95,Nimbus Trail Backpack,2025-12-13,559.38,271,2.06,10.24
1765589731700,1602,1410,9.31,4.02,29.65,64,5684.05,88.81,116,Nimbus Trail Backpack,2025-12-13,469.96,244,1.93,12.09
1765593331700,1729,1555,10.97,5.04,40.23,87,8219.47,94.48,165,Nimbus Trail Backpack,2025-12-13,478.99,249,1.92,17.16
1765596931700,1843,1634,12.30,5.12,31.93,94,8057.07,85.71,158,Nimbus Trail Backpack,2025-12-13,497.70,205,2.43,16.19
1765600531700,1923,1674,12.85,4.18,33.15,80,6878.38,85.98,122,Nimbus Trail Backpack,2025-12-13,590.21,262,2.25,11.65
1765604131700,1981,1595,11.05,5.03,44.59,100,8704.30,87.04,123,Nimbus Trail Backpack,2025-12-13,586.08,222,2.64,14.85
1765607731700,1990,1631,11.66,5.58,36.64,111,8746.70,78.80,169,Nimbus Trail Backpack,2025-12-13,509.20,220,2.31,17.18
1765611331700,1986,1729,10.35,4.65,32.65,92,8375.14,91.03,116,Nimbus Trail Backpack,2025-12-13,523.66,228,2.30,15.99
1765614931700,1943,1737,12.40,4.53,41.40,88,7180.64,81.60,134,Nimbus Trail Backpack,2025-12-13,513.74,243,2.11,13.98
1765618531700,1843,1626,12.24,5.73,32.15,106,9078.45,85.65,158,Nimbus Trail Backpack,2025-12-13,571.80,214,2.67,15.88
1765622131700,1723,1595,11.88,5.18,40.16,89,8531.05,95.85,167,Nimbus Trail Backpack,2025-12-13,579.22,264,2.19,14.73
1765625731700,1621,1537,11.66,5.09,34.64,83,6624.51,79.81,139,Nimbus Trail Backpack,2025-12-13,490.21,189,2.59,13.51
1765629331700,1470,1325,8.60,4.20,35.72,62,5318.45,85.78,103,Nimbus Trail Backpack,2025-12-13,577.14,269,2.15,9.22
1765632931700,1335,1168,8.67,4.76,32.25,64,5949.35,92.96,82,Nimbus Trail Backpack,2025-12-13,478.57,234,2.05,12.43
1765636531700,1229,1162,7.40,5.07,38.68,62,5673.03,91.50,115,Nimbus Trail Backpack,2025-12-13,488.66,237,2.06,11.61
1765640131700,1111,961,7.88,4.08,36.62,45,3980.11,88.45,63,Nimbus Trail Backpack,2025-12-13,525.55,225,2.34,7.57
1765643731700,1047,880,7.44,4.77,42.69,50,4307.18,86.14,81,Nimbus Trail Backpack,2025-12-13,502.71,225,2.23,8.57
1765647331700,1083,915,7.06,3.93,36.26,43,3668.41,85.31,54,Nimbus Trail Backpack,2025-12-13,530.25,246,2.16,6.92
1765650931700,1064,966,7.06,3.05,31.15,32,2796.57,87.39,56,Nimbus Trail Backpack,2025-12-13,476.19,181,2.63,5.87
1765654531700,1100,1002,7.35,4.23,40.81,47,4045.35,86.07,78,Nimbus Trail Backpack,2025-12-13,438.78,235,1.87,9.22
1765658131700,1123,948,7.15,4.15,27.37,47,3952.20,84.09,68,Nimbus Trail Backpack,2025-12-13,469.04,218,2.15,8.43
1765661731700,1231,1091,9.03,4.86,29.45,60,4795.15,79.92,99,Nimbus Trail Backpack,2025-12-13,471.66,177,2.66,10.17
1765665331700,1348,1156,9.75,4.93,35.30,66,5824.40,88.25,115,Nimbus Trail Backpack,2025-12-13,515.02,205,2.51,11.31
1765668931700,1462,1222,8.64,4.41,41.94,64,5616.42,87.76,82,Nimbus Trail Backpack,2025-12-13,503.41,253,1.99,11.16
1765672531700,1639,1401,8.76,4.33,44.54,71,6336.83,89.25,103,Nimbus Trail Backpack,2025-12-14,506.75,194,2.61,12.50
1765676131700,1758,1567,9.15,4.38,35.33,77,7161.56,93.01,144,Nimbus Trail Backpack,2025-12-14,520.99,231,2.26,13.75
1765679731700,1901,1717,12.28,5.28,41.21,100,8175.87,81.76,127,Nimbus Trail Backpack,2025-12-14,521.02,197,2.64,15.69
1765683331700,2025,1757,11.61,5.56,35.82,113,8954.67,79.24,191,Nimbus Trail Backpack,2025-12-14,537.29,241,2.23,16.67
1765686931700,2105,1937,11.45,5.83,41.44,123,10138.96,82.43,226,Nimbus Trail Backpack,2025-12-14,559.93,201,2.79,18.11
1765690531700,2158,1866,12.79,4.68,42.24,101,9476.31,93.82,135,Nimbus Trail Backpack,2025-12-14,565.27,215,2.63,16.76
1765694131700,2174,1928,11.50,4.63,33.55,101,9586.13,94.91,140,Nimbus Trail Backpack,2025-12-14,585.64,223,2.63,16.37
1765697731700,2184,1815,11.92,5.26,42.88,115,10922.40,94.98,190,Nimbus Trail Backpack,2025-12-14,504.60,264,1.91,21.65
1765701331700,2117,1895,12.32,4.34,32.22,92,8054.86,87.55,121,Nimbus Trail Backpack,2025-12-14,595.51,280,2.13,13.53
1765704931700,2019,1651,10.67,5.41,38.83,109,8669.60,79.54,143,Nimbus Trail Backpack,2025-12-14,514.89,215,2.39,16.84
1765708531700,1903,1641,12.20,4.91,34.61,93,7649.58,82.25,164,Nimbus Trail Backpack,2025-12-14,508.78,235,2.17,15.04
1765712131700,1762,1545,10.15,4.38,34.01,77,6112.89,79.39,122,Nimbus Trail Backpack,2025-12-14,535.42,181,2.96,11.42
1765715731700,1605,1419,9.30,4.62,40.12,74,6649.23,89.85,98,Nimbus Trail Backpack,2025-12-14,556.36,229,2.43,11.95
1765719331700,1468,1261,8.06,3.69,29.10,54,4388.44,81.27,98,Nimbus Trail Backpack,2025-12-14,573.34,278,2.06,7.65
1765722931700,1352,1133,8.22,3.91,40.65,53,4997.36,94.29,84,Nimbus Trail Backpack,2025-12-14,508.31,179,2.84,9.83
1765726531700,1238,1120,8.79,4.63,36.32,57,4455.31,78.16,91,Nimbus Trail Backpack,2025-12-14,555.20,291,1.91,8.02
1765730131700,1133,921,8.47,4.25,32.65,48,4203.62,87.58,83,Nimbus Trail Backpack,2025-12-14,487.10,175,2.78,8.63
1765733731700,1093,974,6.77,4.06,29.48,44,3511.05,79.80,54,Nimbus Trail Backpack,2025-12-14,547.68,224,2.45,6.41
1765737331700,1093,922,7.47,3.93,37.87,43,3636.00,84.56,80,Nimbus Trail Backpack,2025-12-14,515.67,219,2.35,7.05
1765740931700,1108,944,8.16,3.23,32.82,36,3315.57,92.10,44,Nimbus Trail Backpack,2025-12-14,443.69,169,2.63,7.47
1765744531700,1170,968,7.68,4.81,38.42,56,4621.20,82.52,90,Nimbus Trail Backpack,2025-12-14,552.25,190,2.91,8.37
1765748131700,1235,1162,9.00,3.88,27.73,48,3869.10,80.61,64,Nimbus Trail Backpack,2025-12-14,541.01,278,1.95,7.15
1765751731700,1361,1097,7.57,3.73,37.71,51,4468.78,87.62,81,Nimbus Trail Backpack,2025-12-14,462.64,249,1.86,9.66
1765755331700,1527,1331,10.16,4.02,30.34,61,5480.03,89.84,84,Nimbus Trail Backpack,2025-12-14,561.28,212,2.65,9.76
1765758931700,1668,1456,9.74,3.97,42.37,66,5523.85,83.69,82,Nimbus Trail Backpack,2025-12-15,487.72,222,2.20,11.33
1765762531700,1811,1522,10.41,5.44,35.12,99,8128.15,82.10,144,Nimbus Trail Backpack,2025-12-15,498.27,226,2.20,16.31
1765766131700,1946,1760,9.99,4.77,33.60,93,8695.52,93.50,130,Nimbus Trail Backpack,2025-12-15,569.56,311,1.83,15.27
1765769731700,2046,1681,9.83,4.03,39.22,82,7843.51,95.65,122,Nimbus Trail Backpack,2025-12-15,491.11,211,2.33,15.97
1765773331700,2139,1907,11.68,4.42,33.90,95,8253.37,86.88,119,Nimbus Trail Backpack,2025-12-15,486.46,215,2.26,16.97
1765776931700,2219,1979,10.35,5.56,36.09,123,9744.80,79.23,153,Nimbus Trail Backpack,2025-12-15,600.21,299,2.01,16.24
1765780531700,2229,1792,10.51,5.99,36.53,134,11862.67,88.53,244,Nimbus Trail Backpack,2025-12-15,522.89,177,2.95,22.69
1765784131700,2214,2100,11.00,5.38,42.69,119,10268.82,86.29,178,Nimbus Trail Backpack,2025-12-15,533.67,216,2.47,19.24
1765787731700,2162,2003,12.22,4.93,38.12,107,8971.77,83.85,183,Nimbus Trail Backpack,2025-12-15,542.57,283,1.92,16.54
1765791331700,2051,1671,12.09,5.73,39.52,118,10938.97,92.70,146,Nimbus Trail Backpack,2025-12-15,481.27,263,1.83,22.73
1765794931700,1946,1711,10.84,5.56,37.88,108,9932.25,91.97,195,Nimbus Trail Backpack,2025-12-15,474.83,194,2.45,20.92
1765798531700,1799,1562,10.15,4.45,39.21,80,6791.57,84.89,102,Nimbus Trail Backpack,2025-12-15,474.41,205,2.31,14.32
1765802131700,1673,1340,10.46,4.48,32.55,75,7171.20,95.62,106,Nimbus Trail Backpack,2025-12-15,521.29,182,2.86,13.76
1765805731700,1513,1401,10.15,3.53,35.11,53,4176.33,78.80,88,Nimbus Trail Backpack,2025-12-15,545.94,226,2.42,7.65
1765809331700,1365,1140,7.88,3.31,31.87,45,4048.10,89.96,83,Nimbus Trail Backpack,2025-12-15,549.45,257,2.14,7.37
1765812931700,1268,1033,8.28,3.31,43.10,42,3598.23,85.67,69,Nimbus Trail Backpack,2025-12-15,506.83,193,2.63,7.10
1765816531700,1155,1077,7.65,3.37,40.37,39,3320.85,85.15,72,Nimbus Trail Backpack,2025-12-15,475.29,216,2.20,6.99
1765820131700,1060,917,8.36,3.99,37.49,42,3697.23,88.03,76,Nimbus Trail Backpack,2025-12-15,461.86,222,2.08,8.01
1765823731700,1016,932,8.62,3.34,36.73,34,2884.04,84.82,64,Nimbus Trail Backpack,2025-12-15,551.87,259,2.13,5.23
1765827331700,1047,846,7.61,3.98,31.23,42,3740.57,89.06,67,Nimbus Trail Backpack,2025-12-15,453.91,179,2.54,8.24
1765830931700,1109,953,7.22,3.63,27.85,40,3815.30,95.38,57,Nimbus Trail Backpack,2025-12-15,528.79,187,2.83,7.22
1765834531700,1185,975,8.24,3.74,39.94,44,3481.28,79.12,81,Nimbus Trail Backpack,2025-12-15,551.92,252,2.19,6.31
1765838131700,1290,1056,9.70,4.65,39.89,60,5347.35,89.12,87,Nimbus Trail Backpack,2025-12-15,531.95,251,2.12,10.05
1765841731700,1441,1202,9.47,3.53,38.54,51,4648.63,91.15,75,Nimbus Trail Backpack,2025-12-15,512.44,256,2.00,9.07
1765845331700,1569,1404,10.90,5.05,29.56,79,6672.70,84.46,109,Nimbus Trail Backpack,2025-12-16,537.14,292,1.84,12.42
1765848931700,1709,1576,11.18,5.15,39.41,88,8375.20,95.17,164,Nimbus Trail Backpack,2025-12-16,556.69,275,2.02,15.04
1765852531700,1848,1599,12.26,4.68,37.34,86,8030.22,93.37,139,Nimbus Trail Backpack,2025-12-16,478.44,255,1.88,16.78
1765856131700,1948,1754,10.81,4.47,32.80,87,8154.87,93.73,153,Nimbus Trail Backpack,2025-12-16,574.68,292,1.97,14.19
1765859731700,2022,1895,12.79,5.92,41.94,120,9859.51,82.16,220,Nimbus Trail Backpack,2025-12-16,517.15,236,2.19,19.07
