ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,845,760,5.79,3.48,31.84,29,2132.72,73.54,45,Cedar Accent Chair,2025-12-12,463.33,245,1.89,4.60
1765564531700,846,776,4.27,2.05,39.81,17,1467.94,86.35,24,Cedar Accent Chair,2025-12-12,476.13,234,2.03,3.08
1765568131700,841,793,4.59,2.55,31.57,21,1564.04,74.48,33,Cedar Accent Chair,2025-12-12,476.54,250,1.91,3.28
1765571731700,905,808,4.52,2.50,41.01,23,1682.43,73.15,37,Cedar Accent Chair,2025-12-12,455.06,228,2.00,3.70
1765575331700,972,839,6.88,2.84,37.21,28,2206.48,78.80,41,Cedar Accent Chair,2025-12-12,477.48,240,1.99,4.62
1765578931700,1040,835,6.35,3.22,43.84,33,2625.85,79.57,61,Cedar Accent Chair,2025-12-12,468.33,200,2.34,5.61
1765582531700,1148,966,8.12,3.60,46.01,41,3278.74,79.97,72,Cedar Accent Chair,2025-12-12,555.07,200,2.78,5.91
1765586131700,1273,1199,8.30,2.89,34.03,37,2719.50,73.50,49,Cedar Accent Chair,2025-12-13,487.57,231,2.11,5.58
1765589731700,1390,1131,8.81,3.13,41.87,43,3543.63,82.41,80,Cedar Accent Chair,2025-12-13,506.10,254,1.99,7.00
1765593331700,1476,1255,7.43,3.44,49.40,51,3944.31,77.34,86,Cedar Accent Chair,2025-12-13,501.88,274,1.83,7.86
1765596931700,1596,1301,8.29,3.02,36.49,48,3537.19,73.69,66,Cedar Accent Chair,2025-12-13,583.85,215,2.72,6.06
1765600531700,1650,1457,10.52,3.19,45.17,53,4316.42,81.44,98,Cedar Accent Chair,2025-12-13,485.09,220,2.20,8.90
1765604131700,1707,1559,8.62,4.29,50.79,73,6173.01,84.56,135,Cedar Accent Chair,2025-12-13,563.24,279,2.02,10.96
1765607731700,1696,1404,11.02,3.09,38.32,52,4204.92,80.86,88,Cedar Accent Chair,2025-12-13,566.62,206,2.75,7.42
1765611331700,1692,1554,10.36,3.28,47.24,55,4733.67,86.07,76,Cedar Accent Chair,2025-12-13,597.80,225,2.66,7.92
1765614931700,1648,1448,8.65,3.86,38.50,64,4625.35,72.27,103,Cedar Accent Chair,2025-12-13,513.78,265,1.94,9.00
1765618531700,1566,1407,8.33,3.03,43.41,48,3614.88,75.31,79,Cedar Accent Chair,2025-12-13,487.19,231,2.11,7.42
1765622131700,1480,1193,8.50,3.05,41.13,45,3257.57,72.39,73,Cedar Accent Chair,2025-12-13,588.89,293,2.01,5.53
1765625731700,1399,1138,8.84,3.15,42.51,44,3325.82,75.59,77,Cedar Accent Chair,2025-12-13,471.33,225,2.09,7.06
1765629331700,1290,1105,8.59,3.42,34.96,44,3660.12,83.18,55,Cedar Accent Chair,2025-12-13,568.15,247,2.30,6.44
1765632931700,1173,1110,7.89,3.78,42.94,44,3246.34,73.78,77,Cedar Accent Chair,2025-12-13,480.73,264,1.82,6.75
1765636531700,1041,846,6.51,3.37,38.48,35,2659.88,76.00,42,Cedar Accent Chair,2025-12-13,452.38,233,1.94,5.88
1765640131700,970,908,5.33,2.13,39.67,21,1649.67,78.56,29,Cedar Accent Chair,2025-12-13,540.23,196,2.76,3.05
1765643731700,892,843,4.50,3.31,41.97,30,2575.57,85.85,56,Cedar Accent Chair,2025-12-13,506.44,205,2.47,5.09
1765647331700,942,809,5.59,2.81,40.15,26,2132.59,82.02,33,Cedar Accent Chair,2025-12-13,450.76,208,2.17,4.73
1765650931700,894,774,5.46,3.12,42.29,28,2233.45,79.77,35,Cedar Accent Chair,2025-12-13,495.07,226,2.19,4.51
1765654531700,944,758,6.53,2.72,44.06,26,2180.86,83.88,38,Cedar Accent Chair,2025-12-13,544.26,213,2.56,4.01
1765658131700,958,832,5.66,1.97,41.58,19,1696.41,89.28,31,Cedar Accent Chair,2025-12-13,545.95,273,2.00,3.11
1765661731700,1060,1000,5.12,2.52,45.89,27,2289.42,84.79,37,Cedar Accent Chair,2025-12-13,459.69,179,2.57,4.98
1765665331700,1170,1025,5.49,3.44,35.46,40,3426.91,85.67,73,Cedar Accent Chair,2025-12-13,453.81,208,2.18,7.55
1765668931700,1272,1174,6.59,2.37,41.74,30,2490.61,83.02,41,Cedar Accent Chair,2025-12-13,470.61,205,2.30,5.29
1765672531700,1406,1170,6.76,3.94,34.06,55,4640.29,84.37,103,Cedar Accent Chair,2025-12-14,486.49,248,1.96,9.54
1765676131700,1517,1323,8.61,4.25,41.30,65,5471.99,84.18,109,Cedar Accent Chair,2025-12-14,579.25,317,1.83,9.45
1765679731700,1631,1404,7.52,4.15,41.75,68,5910.08,86.91,98,Cedar Accent Chair,2025-12-14,500.16,257,1.95,11.82
1765683331700,1732,1396,10.28,3.16,34.69,55,4854.28,88.26,79,Cedar Accent Chair,2025-12-14,532.75,203,2.62,9.11
1765686931700,1799,1635,9.17,3.90,38.32,70,6169.48,88.14,98,Cedar Accent Chair,2025-12-14,593.20,213,2.78,10.40
1765690531700,1845,1555,9.05,3.39,43.15,63,5511.39,87.48,85,Cedar Accent Chair,2025-12-14,515.44,214,2.41,10.69
1765694131700,1888,1745,8.62,3.30,46.56,62,4574.25,73.78,118,Cedar Accent Chair,2025-12-14,589.13,272,2.17,7.76
1765697731700,1839,1608,9.65,3.07,37.80,56,4315.08,77.05,99,Cedar Accent Chair,2025-12-14,600.13,298,2.01,7.19
1765701331700,1808,1627,9.99,3.86,43.69,70,5871.88,83.88,115,Cedar Accent Chair,2025-12-14,536.20,237,2.26,10.95
1765704931700,1746,1460,9.73,3.58,37.31,62,5207.19,83.99,102,Cedar Accent Chair,2025-12-14,582.23,263,2.21,8.94
1765708531700,1640,1523,8.10,4.04,35.12,66,5934.69,89.92,122,Cedar Accent Chair,2025-12-14,553.23,215,2.57,10.73
1765712131700,1533,1360,7.62,3.43,36.35,53,3900.26,73.59,71,Cedar Accent Chair,2025-12-14,506.47,207,2.45,7.70
1765715731700,1378,1305,6.78,3.95,41.51,54,4003.84,74.15,87,Cedar Accent Chair,2025-12-14,565.16,279,2.03,7.08
1765719331700,1259,1124,7.67,3.59,36.51,45,3908.97,86.87,57,Cedar Accent Chair,2025-12-14,501.15,244,2.05,7.80
1765722931700,1148,1027,6.13,2.96,39.34,34,2904.48,85.43,56,Cedar Accent Chair,2025-12-14,466.26,255,1.83,6.23
1765726531700,1047,867,5.93,2.10,32.98,22,1765.81,80.26,31,Cedar Accent Chair,2025-12-14,466.72,200,2.33,3.78
1765730131700,963,903,4.87,2.03,31.64,20,1588.36,79.42,35,Cedar Accent Chair,2025-12-14,539.53,268,2.01,2.94
1765733731700,948,775,5.44,3.60,39.51,34,2695.53,79.28,56,Cedar Accent Chair,2025-12-14,449.23,168,2.67,6.00
1765737331700,913,793,5.87,2.58,34.31,24,1814.81,75.62,43,Cedar Accent Chair,2025-12-14,441.98,170,2.60,4.11
1765740931700,935,880,6.00,2.52,41.06,24,1782.86,74.29,37,Cedar Accent Chair,2025-12-14,498.11,181,2.75,3.58
1765744531700,987,866,6.90,3.04,39.09,30,2598.71,86.62,44,Cedar Accent Chair,2025-12-14,526.11,207,2.54,4.94
1765748131700,1072,920,6.58,3.70,36.72,40,2913.20,72.83,52,Cedar Accent Chair,2025-12-14,474.60,177,2.68,6.14
1765751731700,1163,1026,7.35,3.84,43.84,45,3526.04,78.36,64,Cedar Accent Chair,2025-12-14,566.46,194,2.92,6.22
1765755331700,1300,1109,6.61,3.15,48.27,41,3070.89,74.90,60,Cedar Accent Chair,2025-12-14,531.46,286,1.86,5.78
