ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,844,782,6.60,3.38,46.83,29,2255.17,77.76,41,Driftwood Barstool,2025-12-12,510.35,181,2.82,4.42
1765564531700,825,763,4.18,2.50,34.18,21,1653.70,78.75,39,Driftwood Barstool,2025-12-12,496.33,241,2.06,3.33
1765568131700,839,704,4.34,3.31,34.29,28,2274.00,81.21,36,Driftwood Barstool,2025-12-12,544.75,256,2.13,4.17
1765571731700,897,850,7.07,2.32,47.15,21,1497.84,71.33,31,Driftwood Barstool,2025-12-12,483.44,253,1.91,3.10
1765575331700,936,887,7.33,2.49,46.67,23,1782.99,77.52,43,Driftwood Barstool,2025-12-12,546.72,193,2.83,3.26
1765578931700,1038,876,8.04,2.51,37.19,26,2075.44,79.82,33,Driftwood Barstool,2025-12-12,529.28,213,2.48,3.92
1765582531700,1137,1063,6.29,3.95,47.47,45,3197.81,71.06,81,Driftwood Barstool,2025-12-12,461.73,181,2.55,6.93
1765586131700,1262,1019,7.09,2.95,36.68,37,3006.47,81.26,68,Driftwood Barstool,2025-12-13,510.54,209,2.44,5.89
1765589731700,1356,1146,7.90,3.88,42.63,53,4271.98,80.60,67,Driftwood Barstool,2025-12-13,574.56,258,2.23,7.44
1765593331700,1462,1280,8.41,2.79,48.15,41,3449.62,84.14,57,Driftwood Barstool,2025-12-13,523.55,183,2.86,6.59
1765596931700,1580,1446,8.69,3.49,43.93,55,3818.77,69.43,82,Driftwood Barstool,2025-12-13,498.53,245,2.03,7.66
1765600531700,1648,1546,10.75,4.27,46.98,70,5076.38,72.52,92,Driftwood Barstool,2025-12-13,552.81,283,1.95,9.18
1765604131700,1690,1365,8.48,3.06,35.79,52,4209.89,80.96,64,Driftwood Barstool,2025-12-13,585.72,254,2.31,7.19
1765607731700,1700,1476,11.06,4.11,36.04,70,5184.39,74.06,131,Driftwood Barstool,2025-12-13,585.48,256,2.29,8.85
1765611331700,1676,1539,10.09,4.64,45.23,78,6393.48,81.97,138,Driftwood Barstool,2025-12-13,530.48,277,1.92,12.05
1765614931700,1642,1485,10.69,3.04,37.24,50,3707.09,74.14,66,Driftwood Barstool,2025-12-13,571.20,225,2.54,6.49
1765618531700,1581,1315,10.14,3.87,49.47,61,5049.44,82.78,101,Driftwood Barstool,2025-12-13,480.73,170,2.83,10.50
1765622131700,1464,1283,8.27,4.36,48.45,64,5534.00,86.47,88,Driftwood Barstool,2025-12-13,570.87,277,2.06,9.69
1765625731700,1372,1267,8.84,3.41,47.12,47,3499.05,74.45,71,Driftwood Barstool,2025-12-13,484.33,186,2.60,7.22
1765629331700,1268,1200,8.03,4.20,44.08,53,3974.00,74.98,100,Driftwood Barstool,2025-12-13,516.33,232,2.23,7.70
1765632931700,1165,942,5.77,3.69,38.30,43,3193.76,74.27,64,Driftwood Barstool,2025-12-13,463.06,160,2.89,6.90
1765636531700,1025,946,5.27,2.29,44.63,24,1901.05,79.21,39,Driftwood Barstool,2025-12-13,514.20,267,1.93,3.70
1765640131700,950,847,5.24,2.23,41.96,21,1603.45,76.35,25,Driftwood Barstool,2025-12-13,503.09,221,2.28,3.19
1765643731700,878,729,5.66,2.12,45.59,19,1357.59,71.45,29,Driftwood Barstool,2025-12-13,551.94,259,2.13,2.46
1765647331700,909,735,5.86,3.34,33.57,30,2249.70,74.99,37,Driftwood Barstool,2025-12-13,530.36,184,2.88,4.24
1765650931700,904,745,6.33,1.97,46.96,18,1491.88,82.88,32,Driftwood Barstool,2025-12-13,480.31,242,1.98,3.11
1765654531700,910,858,6.26,3.33,40.32,30,2598.29,86.61,55,Driftwood Barstool,2025-12-13,490.01,269,1.82,5.30
1765658131700,969,782,4.62,2.76,31.42,27,2149.28,79.60,35,Driftwood Barstool,2025-12-13,484.60,252,1.92,4.44
1765661731700,1038,968,6.88,2.97,35.25,31,2391.64,77.15,41,Driftwood Barstool,2025-12-13,529.48,220,2.41,4.52
1765665331700,1147,989,7.56,3.01,43.55,34,2619.64,77.05,45,Driftwood Barstool,2025-12-13,526.82,244,2.16,4.97
1765668931700,1253,1013,7.69,2.91,39.69,36,2853.33,79.26,64,Driftwood Barstool,2025-12-13,476.18,212,2.25,5.99
1765672531700,1357,1212,8.65,3.14,35.91,43,3625.48,84.31,76,Driftwood Barstool,2025-12-14,562.57,309,1.82,6.44
1765676131700,1503,1362,6.86,3.57,40.77,54,3805.34,70.47,76,Driftwood Barstool,2025-12-14,493.16,273,1.81,7.72
1765679731700,1604,1480,9.03,3.14,46.40,50,3456.16,69.12,87,Driftwood Barstool,2025-12-14,521.06,275,1.89,6.63
1765683331700,1717,1578,8.02,4.41,44.79,76,5404.09,71.11,120,Driftwood Barstool,2025-12-14,517.75,280,1.85,10.44
1765686931700,1788,1595,8.76,4.23,45.70,76,5431.48,71.47,132,Driftwood Barstool,2025-12-14,496.51,266,1.87,10.94
1765690531700,1841,1492,8.41,3.28,35.36,60,4554.74,75.91,78,Driftwood Barstool,2025-12-14,533.70,288,1.85,8.53
1765694131700,1840,1528,9.14,3.05,44.51,56,4507.26,80.49,77,Driftwood Barstool,2025-12-14,597.82,302,1.98,7.54
1765697731700,1850,1597,9.39,3.19,46.54,59,4299.17,72.87,91,Driftwood Barstool,2025-12-14,571.13,310,1.84,7.53
1765701331700,1801,1442,9.45,4.06,46.14,73,5910.71,80.97,131,Driftwood Barstool,2025-12-14,568.99,291,1.96,10.39
1765704931700,1731,1620,10.23,4.41,37.17,76,5477.88,72.08,128,Driftwood Barstool,2025-12-14,536.27,296,1.81,10.21
1765708531700,1604,1309,7.43,4.06,36.93,65,4860.16,74.77,120,Driftwood Barstool,2025-12-14,577.20,235,2.46,8.42
1765712131700,1518,1330,7.02,2.89,34.95,44,3657.38,83.12,81,Driftwood Barstool,2025-12-14,511.62,201,2.55,7.15
1765715731700,1368,1199,7.19,4.04,45.18,55,4395.14,79.91,67,Driftwood Barstool,2025-12-14,548.30,201,2.73,8.02
1765719331700,1246,1158,6.20,2.31,44.43,29,2208.50,76.16,48,Driftwood Barstool,2025-12-14,554.41,257,2.16,3.98
1765722931700,1142,915,6.67,2.22,45.76,25,1849.10,73.96,31,Driftwood Barstool,2025-12-14,532.85,229,2.33,3.47
1765726531700,1054,989,6.60,3.71,43.44,39,2742.45,70.32,48,Driftwood Barstool,2025-12-14,530.82,193,2.75,5.17
1765730131700,967,858,6.25,2.54,43.77,25,1751.13,70.05,35,Driftwood Barstool,2025-12-14,474.33,185,2.56,3.69
1765733731700,956,770,5.13,3.49,45.89,33,2287.64,69.32,41,Driftwood Barstool,2025-12-14,523.42,224,2.34,4.37
1765737331700,913,784,6.38,1.81,36.26,17,1380.85,81.23,30,Driftwood Barstool,2025-12-14,514.25,239,2.15,2.69
1765740931700,955,906,5.83,2.87,34.51,27,2062.47,76.39,49,Driftwood Barstool,2025-12-14,448.85,237,1.89,4.60
1765744531700,972,848,6.08,3.22,38.30,31,2179.92,70.32,51,Driftwood Barstool,2025-12-14,455.20,217,2.10,4.79
1765748131700,1067,856,6.55,3.08,32.01,33,2561.68,77.63,51,Driftwood Barstool,2025-12-14,544.83,274,1.99,4.70
1765751731700,1160,985,7.99,3.65,43.77,42,3351.72,79.80,61,Driftwood Barstool,2025-12-14,559.84,204,2.74,5.99
1765755331700,1282,1167,6.75,3.16,42.43,41,2916.30,71.13,51,Driftwood Barstool,2025-12-14,514.04,251,2.05,5.67
1765758931700,1395,1217,8.62,3.04,34.59,42,2994.08,71.29,57,Driftwood Barstool,2025-12-15,483.21,162,2.98,6.20
1765762531700,1526,1253,8.96,3.95,39.96,60,4685.38,78.09,97,Driftwood Barstool,2025-12-15,581.48,203,2.86,8.06
1765766131700,1650,1430,9.52,2.93,40.36,48,4090.55,85.22,68,Driftwood Barstool,2025-12-15,525.56,204,2.58,7.78
1765769731700,1733,1563,9.89,2.93,50.36,51,3710.67,72.76,75,Driftwood Barstool,2025-12-15,478.75,201,2.38,7.75
1765773331700,1807,1614,9.47,4.38,43.72,79,6504.90,82.34,147,Driftwood Barstool,2025-12-15,487.25,215,2.27,13.35
1765776931700,1875,1529,10.90,3.56,39.33,67,4746.39,70.84,114,Driftwood Barstool,2025-12-15,587.01,212,2.77,8.09
1765780531700,1877,1745,10.38,4.69,46.60,88,7035.33,79.95,139,Driftwood Barstool,2025-12-15,590.15,243,2.43,11.92
1765784131700,1866,1681,8.55,4.35,46.98,81,5680.95,70.14,122,Driftwood Barstool,2025-12-15,594.32,238,2.50,9.56
1765787731700,1842,1490,10.74,3.43,43.79,63,5423.59,86.09,105,Driftwood Barstool,2025-12-15,565.78,261,2.17,9.59
1765791331700,1746,1418,8.86,3.33,40.36,58,4526.99,78.05,85,Driftwood Barstool,2025-12-15,581.13,312,1.86,7.79
1765794931700,1650,1474,8.34,3.73,46.42,62,4891.86,78.90,76,Driftwood Barstool,2025-12-15,543.93,196,2.78,8.99
1765798531700,1543,1314,8.15,3.32,35.64,51,3744.32,73.42,90,Driftwood Barstool,2025-12-15,582.88,274,2.13,6.42
1765802131700,1385,1284,9.03,2.43,39.19,34,2537.45,74.63,48,Driftwood Barstool,2025-12-15,514.20,176,2.92,4.93
1765805731700,1278,1205,7.71,2.64,33.49,34,2927.88,86.11,46,Driftwood Barstool,2025-12-15,564.62,233,2.42,5.19
1765809331700,1181,1006,6.18,2.96,40.90,35,2786.46,79.61,54,Driftwood Barstool,2025-12-15,486.27,173,2.81,5.73
1765812931700,1071,882,5.63,2.79,31.72,30,2529.59,84.32,40,Driftwood Barstool,2025-12-15,470.41,224,2.10,5.38
1765816531700,984,873,6.96,3.39,44.66,33,2280.02,69.09,45,Driftwood Barstool,2025-12-15,542.82,288,1.88,4.20
1765820131700,865,819,4.29,1.85,36.97,16,1345.47,84.09,25,Driftwood Barstool,2025-12-15,543.79,262,2.08,2.47
1765823731700,864,704,5.91,3.56,36.89,31,2469.51,79.66,41,Driftwood Barstool,2025-12-15,440.76,236,1.87,5.60
1765827331700,894,780,6.73,3.05,45.65,27,2345.56,86.87,40,Driftwood Barstool,2025-12-15,444.43,203,2.19,5.28
1765830931700,948,779,5.62,3.49,31.96,33,2301.52,69.74,53,Driftwood Barstool,2025-12-15,509.08,186,2.74,4.52
1765834531700,997,805,6.09,3.55,45.15,35,2610.57,74.59,55,Driftwood Barstool,2025-12-15,499.54,274,1.82,5.23
1765838131700,1116,978,5.33,2.80,38.67,31,2200.84,70.99,52,Driftwood Barstool,2025-12-15,514.28,247,2.08,4.28
1765841731700,1191,1113,7.01,3.96,45.06,47,3433.80,73.06,69,Driftwood Barstool,2025-12-15,491.39,193,2.55,6.99
1765845331700,1308,1089,7.94,3.88,35.01,51,4261.60,83.56,64,Driftwood Barstool,2025-12-16,550.34,187,2.94,7.74
1765848931700,1427,1355,7.76,2.66,37.46,38,3278.41,86.27,62,Driftwood Barstool,2025-12-16,559.24,197,2.84,5.86
1765852531700,1573,1341,9.33,4.32,45.25,68,5604.04,82.41,83,Driftwood Barstool,2025-12-16,477.12,183,2.61,11.75
1765856131700,1653,1556,8.39,3.27,46.06,54,4516.05,83.63,69,Driftwood Barstool,2025-12-16,572.50,192,2.98,7.89
1765859731700,1702,1554,9.72,3.90,48.85,66,5664.57,85.83,93,Driftwood Barstool,2025-12-16,524.07,279,1.88,10.81
1765863331700,1774,1497,9.41,4.08,38.27,72,5091.52,70.72,136,Driftwood Barstool,2025-12-16,590.79,326,1.81,8.62
1765866931700,1783,1480,8.72,4.30,35.87,77,5803.42,75.37,124,Driftwood Barstool,2025-12-16,494.58,252,1.96,11.73
