ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,870,721,6.54,3.41,40.89,30,2545.33,84.84,43,Juniper Throw Blanket,2025-12-12,485.18,169,2.87,5.25
1765564531700,863,729,5.75,2.67,43.65,23,1999.88,86.95,33,Juniper Throw Blanket,2025-12-12,477.04,181,2.64,4.19
1765568131700,878,782,6.29,1.94,38.58,17,1316.84,77.46,29,Juniper Throw Blanket,2025-12-12,507.89,280,1.81,2.59
1765571731700,920,820,6.32,2.26,43.50,21,1812.53,86.31,25,Juniper Throw Blanket,2025-12-12,513.23,177,2.90,3.53
1765575331700,956,843,6.91,3.77,46.43,36,3115.66,86.55,51,Juniper Throw Blanket,2025-12-12,522.00,222,2.35,5.97
1765578931700,1072,935,5.91,2.26,40.18,24,2173.38,90.56,39,Juniper Throw Blanket,2025-12-12,528.06,242,2.18,4.12
1765582531700,1193,976,6.41,2.34,36.76,28,2158.01,77.07,41,Juniper Throw Blanket,2025-12-12,516.00,178,2.90,4.18
1765586131700,1275,1038,6.56,2.51,42.41,32,2575.26,80.48,51,Juniper Throw Blanket,2025-12-13,527.98,254,2.08,4.88
1765589731700,1400,1197,7.40,3.37,35.04,47,3760.56,80.01,63,Juniper Throw Blanket,2025-12-13,530.55,236,2.25,7.09
1765593331700,1522,1317,7.94,3.94,38.89,60,4786.46,79.77,99,Juniper Throw Blanket,2025-12-13,478.21,208,2.30,10.01
1765596931700,1609,1426,7.53,3.87,35.46,62,5068.50,81.75,99,Juniper Throw Blanket,2025-12-13,547.54,268,2.04,9.26
1765600531700,1660,1358,8.17,4.37,48.47,72,6316.99,87.74,108,Juniper Throw Blanket,2025-12-13,564.57,285,1.98,11.19
1765604131700,1703,1538,9.43,4.46,40.22,76,6896.31,90.74,118,Juniper Throw Blanket,2025-12-13,562.15,262,2.15,12.27
1765607731700,1721,1551,10.44,3.51,43.34,60,5335.93,88.93,75,Juniper Throw Blanket,2025-12-13,493.18,233,2.12,10.82
1765611331700,1709,1574,11.00,3.02,46.80,52,4790.33,92.12,96,Juniper Throw Blanket,2025-12-13,598.54,228,2.63,8.00
1765614931700,1688,1507,8.24,4.65,47.84,78,6803.31,87.22,107,Juniper Throw Blanket,2025-12-13,554.29,238,2.33,12.27
1765618531700,1617,1295,8.39,3.81,39.44,62,5361.75,86.48,117,Juniper Throw Blanket,2025-12-13,568.83,250,2.28,9.43
1765622131700,1498,1375,9.23,3.01,47.24,45,3627.53,80.61,78,Juniper Throw Blanket,2025-12-13,573.88,215,2.67,6.32
1765625731700,1400,1129,8.46,4.15,42.86,58,5091.60,87.79,99,Juniper Throw Blanket,2025-12-13,529.91,246,2.15,9.61
1765629331700,1287,1147,8.95,3.96,37.82,51,4222.04,82.79,78,Juniper Throw Blanket,2025-12-13,533.56,180,2.96,7.91
1765632931700,1163,1010,7.68,3.70,42.42,43,3448.98,80.21,68,Juniper Throw Blanket,2025-12-13,503.99,249,2.02,6.84
1765636531700,1083,915,7.99,2.62,44.98,28,2329.17,83.18,50,Juniper Throw Blanket,2025-12-13,556.36,229,2.43,4.19
1765640131700,984,860,4.95,2.38,36.21,23,1727.62,75.11,32,Juniper Throw Blanket,2025-12-13,513.07,265,1.94,3.37
1765643731700,888,815,4.78,2.72,44.43,24,2188.40,91.18,46,Juniper Throw Blanket,2025-12-13,536.50,284,1.89,4.08
1765647331700,923,821,4.92,3.56,35.07,33,2885.66,87.44,54,Juniper Throw Blanket,2025-12-13,527.23,266,1.98,5.47
1765650931700,932,860,6.58,1.99,37.65,19,1560.47,82.13,31,Juniper Throw Blanket,2025-12-13,528.65,243,2.18,2.95
1765654531700,955,769,6.58,2.38,31.40,23,1986.81,86.38,34,Juniper Throw Blanket,2025-12-13,542.17,212,2.56,3.66
1765658131700,996,860,6.92,3.58,34.79,36,2755.99,76.56,51,Juniper Throw Blanket,2025-12-13,535.93,294,1.82,5.14
1765661731700,1067,862,4.81,2.75,40.14,29,2428.80,83.75,44,Juniper Throw Blanket,2025-12-13,454.21,234,1.94,5.35
1765665331700,1179,1010,7.15,2.38,32.30,28,2413.48,86.20,35,Juniper Throw Blanket,2025-12-13,539.58,191,2.83,4.47
1765668931700,1284,1083,7.09,3.82,43.67,49,4320.28,88.17,70,Juniper Throw Blanket,2025-12-13,545.25,250,2.18,7.92
1765672531700,1415,1248,8.39,3.43,36.27,48,3777.41,78.70,61,Juniper Throw Blanket,2025-12-14,535.09,265,2.02,7.06
1765676131700,1541,1317,7.37,2.59,43.39,40,3400.32,85.01,67,Juniper Throw Blanket,2025-12-14,537.70,236,2.28,6.32
1765679731700,1666,1418,7.85,4.40,47.63,73,6760.51,92.61,131,Juniper Throw Blanket,2025-12-14,487.87,259,1.88,13.86
1765683331700,1763,1450,8.36,3.19,47.34,56,5148.07,91.93,70,Juniper Throw Blanket,2025-12-14,498.60,195,2.56,10.33
1765686931700,1826,1688,10.25,4.18,46.89,76,6799.41,89.47,99,Juniper Throw Blanket,2025-12-14,565.38,200,2.83,12.03
1765690531700,1894,1704,8.25,3.00,37.30,57,4904.56,86.04,95,Juniper Throw Blanket,2025-12-14,553.35,247,2.24,8.86
1765694131700,1914,1562,8.77,3.24,46.87,62,5422.46,87.46,81,Juniper Throw Blanket,2025-12-14,597.78,238,2.51,9.07
1765697731700,1865,1550,10.26,3.10,46.04,58,5025.99,86.65,96,Juniper Throw Blanket,2025-12-14,600.14,277,2.17,8.37
1765701331700,1844,1521,8.44,4.00,41.72,74,6041.09,81.64,95,Juniper Throw Blanket,2025-12-14,497.52,216,2.30,12.14
1765704931700,1738,1642,10.06,3.91,41.99,68,5664.55,83.30,128,Juniper Throw Blanket,2025-12-14,555.92,243,2.29,10.19
1765708531700,1658,1468,9.91,3.93,34.12,65,5318.85,81.83,118,Juniper Throw Blanket,2025-12-14,501.53,260,1.93,10.61
1765712131700,1531,1255,7.83,4.20,42.47,64,5948.12,92.94,98,Juniper Throw Blanket,2025-12-14,563.27,204,2.76,10.56
1765715731700,1415,1199,7.81,2.47,36.19,35,2991.57,85.47,66,Juniper Throw Blanket,2025-12-14,559.50,239,2.34,5.35
1765719331700,1278,1057,5.74,3.05,41.95,39,2926.58,75.04,69,Juniper Throw Blanket,2025-12-14,537.03,279,1.92,5.45
1765722931700,1154,1020,6.21,3.83,44.58,44,4075.73,92.63,63,Juniper Throw Blanket,2025-12-14,497.86,206,2.42,8.19
1765726531700,1048,962,7.59,2.90,39.12,30,2324.24,77.47,55,Juniper Throw Blanket,2025-12-14,521.51,224,2.33,4.46
1765730131700,973,874,5.64,3.35,38.26,33,3063.94,92.85,47,Juniper Throw Blanket,2025-12-14,454.76,242,1.88,6.74
1765733731700,939,802,6.70,3.40,33.15,32,2704.32,84.51,40,Juniper Throw Blanket,2025-12-14,497.28,266,1.87,5.44
1765737331700,953,856,4.26,2.96,35.13,28,2571.56,91.84,42,Juniper Throw Blanket,2025-12-14,549.97,275,2.00,4.68
1765740931700,954,833,4.26,2.10,36.19,20,1723.49,86.17,32,Juniper Throw Blanket,2025-12-14,542.41,252,2.15,3.18
1765744531700,1020,860,6.40,3.46,35.18,35,2665.70,76.16,60,Juniper Throw Blanket,2025-12-14,514.45,215,2.39,5.18
1765748131700,1073,1018,5.56,2.69,36.05,29,2655.41,91.57,39,Juniper Throw Blanket,2025-12-14,546.50,264,2.07,4.86
1765751731700,1194,1094,5.52,2.51,36.23,30,2566.24,85.54,40,Juniper Throw Blanket,2025-12-14,478.91,232,2.06,5.36
1765755331700,1294,1207,7.33,2.46,45.33,32,2688.53,84.02,41,Juniper Throw Blanket,2025-12-14,462.43,254,1.82,5.81
1765758931700,1456,1278,6.89,2.64,46.67,38,3517.53,92.57,71,Juniper Throw Blanket,2025-12-15,551.55,227,2.43,6.38
1765762531700,1587,1476,8.84,3.37,37.30,53,4186.47,78.99,80,Juniper Throw Blanket,2025-12-15,584.47,309,1.89,7.16
