ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,867,697,4.46,2.60,32.11,23,2123.54,92.33,36,Nimbus Trail Backpack,2025-12-12,492.60,242,2.04,4.31
1765564531700,862,780,4.71,2.34,33.77,20,1576.34,78.82,28,Nimbus Trail Backpack,2025-12-12,489.69,200,2.45,3.22
1765568131700,875,758,6.92,1.93,32.54,17,1590.61,93.57,25,Nimbus Trail Backpack,2025-12-12,440.05,227,1.94,3.61
1765571731700,924,791,5.66,2.43,35.38,22,1988.18,90.37,39,Nimbus Trail Backpack,2025-12-12,508.57,221,2.30,3.91
1765575331700,979,924,4.89,2.92,43.17,29,2455.26,84.66,55,Nimbus Trail Backpack,2025-12-12,508.56,262,1.94,4.83
1765578931700,1089,950,8.09,2.68,45.12,29,2729.00,94.10,42,Nimbus Trail Backpack,2025-12-12,535.78,210,2.55,5.09
1765582531700,1205,976,8.02,3.95,47.99,48,4600.76,95.85,72,Nimbus Trail Backpack,2025-12-12,465.97,193,2.41,9.87
1765586131700,1321,1066,8.89,2.75,43.46,36,2913.39,80.93,48,Nimbus Trail Backpack,2025-12-13,545.50,269,2.03,5.34
1765589731700,1433,1318,9.38,4.00,45.16,57,5435.73,95.36,86,Nimbus Trail Backpack,2025-12-13,471.38,233,2.02,11.53
1765593331700,1524,1388,7.16,3.73,37.89,57,5234.71,91.84,72,Nimbus Trail Backpack,2025-12-13,523.65,183,2.86,10.00
1765596931700,1617,1479,8.50,3.07,37.04,50,3909.67,78.19,86,Nimbus Trail Backpack,2025-12-13,549.41,293,1.88,7.12
1765600531700,1681,1444,9.29,3.07,35.69,52,4325.27,83.18,70,Nimbus Trail Backpack,2025-12-13,559.22,237,2.36,7.73
1765604131700,1755,1607,8.21,4.30,35.84,76,6646.72,87.46,91,Nimbus Trail Backpack,2025-12-13,486.37,233,2.09,13.67
1765607731700,1757,1517,10.88,3.30,44.37,58,4916.36,84.76,75,Nimbus Trail Backpack,2025-12-13,583.10,271,2.15,8.43
1765611331700,1750,1484,10.47,4.65,42.31,81,6658.09,82.20,100,Nimbus Trail Backpack,2025-12-13,525.00,282,1.86,12.68
1765614931700,1699,1402,9.04,3.10,35.00,53,4700.61,88.69,100,Nimbus Trail Backpack,2025-12-13,532.76,270,1.97,8.82
1765618531700,1640,1379,10.33,3.10,45.27,51,4218.51,82.72,72,Nimbus Trail Backpack,2025-12-13,574.01,299,1.92,7.35
1765622131700,1529,1291,9.18,4.13,48.61,63,5831.26,92.56,104,Nimbus Trail Backpack,2025-12-13,526.87,219,2.41,11.07
1765625731700,1437,1150,7.61,4.27,34.35,61,5272.25,86.43,98,Nimbus Trail Backpack,2025-12-13,554.05,285,1.94,9.52
