ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1141,991,11.32,4.92,25.37,56,4509.43,80.53,101,Cedar Accent Chair,2025-12-12,457.73,167,2.74,9.85
1765564531700,1122,1046,10.85,6.21,24.71,70,6234.59,89.07,124,Cedar Accent Chair,2025-12-12,436.31,204,2.14,14.29
1765568131700,1165,1098,12.34,5.02,28.17,58,4612.86,79.53,79,Cedar Accent Chair,2025-12-12,491.44,205,2.40,9.39
1765571731700,1193,1091,10.48,6.50,25.21,78,6887.30,88.30,138,Cedar Accent Chair,2025-12-12,542.67,221,2.46,12.69
1765575331700,1291,1179,12.29,6.30,26.06,81,6488.15,80.10,114,Cedar Accent Chair,2025-12-12,506.68,192,2.64,12.81
1765578931700,1422,1196,12.36,6.09,26.83,87,7128.70,81.94,132,Cedar Accent Chair,2025-12-12,557.33,207,2.69,12.79
1765582531700,1562,1436,13.99,6.42,29.35,100,7475.61,74.76,171,Cedar Accent Chair,2025-12-12,497.02,260,1.91,15.04
1765586131700,1712,1541,13.14,6.06,33.04,104,7753.11,74.55,197,Cedar Accent Chair,2025-12-13,494.59,225,2.20,15.68
1765589731700,1880,1684,12.55,5.74,35.18,108,9235.97,85.52,166,Cedar Accent Chair,2025-12-13,585.81,269,2.18,15.77
1765593331700,2004,1802,12.75,6.31,37.76,126,10582.25,83.99,163,Cedar Accent Chair,2025-12-13,573.10,267,2.15,18.46
1765596931700,2145,1879,14.57,7.58,39.92,163,13014.46,79.84,286,Cedar Accent Chair,2025-12-13,595.28,244,2.44,21.86
1765600531700,2253,1979,14.02,6.36,32.00,143,11487.50,80.33,247,Cedar Accent Chair,2025-12-13,540.60,216,2.50,21.25
1765604131700,2312,2089,13.77,6.28,27.59,145,11413.46,78.71,212,Cedar Accent Chair,2025-12-13,504.19,232,2.17,22.64
1765607731700,2319,1914,15.08,7.11,27.10,165,13040.83,79.04,294,Cedar Accent Chair,2025-12-13,575.61,265,2.17,22.66
1765611331700,2308,2134,16.16,7.61,38.69,176,14689.20,83.46,293,Cedar Accent Chair,2025-12-13,515.82,197,2.62,28.48
1765614931700,2250,1857,15.77,7.40,26.32,167,12065.17,72.25,253,Cedar Accent Chair,2025-12-13,534.56,195,2.74,22.57
1765618531700,2165,2016,14.88,6.47,32.49,140,12163.33,86.88,188,Cedar Accent Chair,2025-12-13,545.44,297,1.84,22.30
1765622131700,2026,1907,15.55,6.56,36.72,133,10522.33,79.12,241,Cedar Accent Chair,2025-12-13,544.00,184,2.96,19.34
1765625731700,1886,1732,14.62,6.09,27.94,115,8285.03,72.04,192,Cedar Accent Chair,2025-12-13,471.86,251,1.88,17.56
1765629331700,1742,1448,13.73,6.51,29.76,113,8667.39,76.70,164,Cedar Accent Chair,2025-12-13,561.64,290,1.94,15.43
1765632931700,1580,1488,13.54,6.81,26.61,108,7886.35,73.02,183,Cedar Accent Chair,2025-12-13,500.34,219,2.28,15.76
1765636531700,1426,1315,11.98,6.04,22.19,86,6532.43,75.96,153,Cedar Accent Chair,2025-12-13,507.54,202,2.51,12.87
1765640131700,1318,1065,11.16,5.81,35.00,77,6350.11,82.47,117,Cedar Accent Chair,2025-12-13,523.55,278,1.88,12.13
1765643731700,1208,1037,11.27,5.50,37.19,66,5728.63,86.80,115,Cedar Accent Chair,2025-12-13,466.98,238,1.96,12.27
1765647331700,1251,1098,10.65,5.91,27.80,74,5714.37,77.22,107,Cedar Accent Chair,2025-12-13,442.22,156,2.83,12.92
1765650931700,1246,1017,11.40,5.08,32.82,63,5285.08,83.89,96,Cedar Accent Chair,2025-12-13,466.36,217,2.15,11.33
1765654531700,1245,1138,11.91,6.44,23.85,80,6597.18,82.46,125,Cedar Accent Chair,2025-12-13,513.80,250,2.06,12.84
1765658131700,1303,1124,11.52,5.06,27.19,66,5269.08,79.83,92,Cedar Accent Chair,2025-12-13,446.06,235,1.90,11.81
1765661731700,1408,1301,12.64,5.10,36.71,72,5444.06,75.61,123,Cedar Accent Chair,2025-12-13,542.04,222,2.44,10.04
1765665331700,1561,1393,11.97,6.80,33.84,106,9518.43,89.80,169,Cedar Accent Chair,2025-12-13,526.34,264,1.99,18.08
1765668931700,1699,1463,14.03,5.41,29.72,92,7075.18,76.90,139,Cedar Accent Chair,2025-12-13,556.44,285,1.95,12.72
1765672531700,1865,1705,11.71,7.10,26.44,132,10414.33,78.90,236,Cedar Accent Chair,2025-12-14,497.51,173,2.88,20.93
