ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1127,972,10.93,6.39,25.78,72,5801.65,80.58,117,Driftwood Barstool,2025-12-12,445.79,163,2.73,13.01
1765564531700,1135,965,12.12,5.66,22.01,64,4937.38,77.15,115,Driftwood Barstool,2025-12-12,519.23,264,1.97,9.51
1765568131700,1152,1084,12.28,4.90,26.98,56,4290.39,76.61,72,Driftwood Barstool,2025-12-12,460.67,161,2.86,9.31
1765571731700,1211,1089,12.02,5.41,24.45,65,5377.52,82.73,97,Driftwood Barstool,2025-12-12,546.48,289,1.89,9.84
1765575331700,1306,1130,12.72,5.71,31.74,75,5196.09,69.28,139,Driftwood Barstool,2025-12-12,497.59,254,1.96,10.44
1765578931700,1396,1264,13.34,5.33,33.92,74,5661.26,76.50,112,Driftwood Barstool,2025-12-12,518.53,219,2.37,10.92
1765582531700,1571,1339,12.06,5.63,29.42,89,6929.71,77.86,146,Driftwood Barstool,2025-12-12,568.61,251,2.27,12.19
1765586131700,1698,1468,12.88,5.78,26.00,98,6858.77,69.99,122,Driftwood Barstool,2025-12-13,541.71,243,2.23,12.66
1765589731700,1849,1709,13.16,6.90,33.05,128,9525.31,74.42,168,Driftwood Barstool,2025-12-13,557.72,266,2.10,17.08
1765593331700,2022,1852,12.97,6.03,38.16,122,10043.00,82.32,175,Driftwood Barstool,2025-12-13,526.77,258,2.04,19.07
1765596931700,2133,1827,15.11,6.19,35.58,132,9992.05,75.70,183,Driftwood Barstool,2025-12-13,524.57,248,2.12,19.05
1765600531700,2202,1950,15.33,6.80,39.65,150,13040.89,86.94,236,Driftwood Barstool,2025-12-13,489.77,173,2.83,26.63
1765604131700,2284,1854,13.55,7.54,36.68,172,12657.58,73.59,274,Driftwood Barstool,2025-12-13,555.94,195,2.85,22.77
1765607731700,2311,2187,15.32,6.37,40.12,147,12286.46,83.58,228,Driftwood Barstool,2025-12-13,564.80,221,2.56,21.75
1765611331700,2270,2080,14.36,6.63,33.04,150,12000.99,80.01,257,Driftwood Barstool,2025-12-13,503.46,171,2.94,23.84
1765614931700,2211,2007,14.05,6.86,31.92,152,11331.40,74.55,216,Driftwood Barstool,2025-12-13,535.47,292,1.83,21.16
1765618531700,2146,1908,14.13,7.42,26.20,159,11509.07,72.38,244,Driftwood Barstool,2025-12-13,577.78,247,2.34,19.92
1765622131700,1996,1868,13.83,6.53,37.59,130,11000.65,84.62,222,Driftwood Barstool,2025-12-13,590.84,271,2.18,18.62
1765625731700,1865,1764,14.44,6.20,35.50,116,8224.30,70.90,156,Driftwood Barstool,2025-12-13,500.95,193,2.60,16.42
1765629331700,1713,1510,12.82,5.72,27.05,98,7572.22,77.27,185,Driftwood Barstool,2025-12-13,570.43,293,1.95,13.27
1765632931700,1557,1359,11.22,6.86,31.39,107,8839.16,82.61,180,Driftwood Barstool,2025-12-13,493.53,247,2.00,17.91
1765636531700,1420,1243,11.88,6.49,29.28,92,7237.20,78.67,150,Driftwood Barstool,2025-12-13,496.38,258,1.92,14.58
1765640131700,1304,1192,11.91,6.05,33.92,79,6336.18,80.20,110,Driftwood Barstool,2025-12-13,557.90,194,2.88,11.36
1765643731700,1178,992,10.09,6.58,29.99,78,5610.40,71.93,109,Driftwood Barstool,2025-12-13,524.83,208,2.52,10.69
1765647331700,1237,1032,12.60,6.28,34.55,78,5487.85,70.36,146,Driftwood Barstool,2025-12-13,470.43,235,2.00,11.67
1765650931700,1234,1007,11.77,5.40,30.53,67,5632.31,84.06,102,Driftwood Barstool,2025-12-13,485.97,201,2.42,11.59
1765654531700,1242,1081,10.20,6.03,31.67,75,6177.94,82.37,94,Driftwood Barstool,2025-12-13,505.46,274,1.84,12.22
1765658131700,1303,1146,12.84,5.53,32.73,72,5048.54,70.12,118,Driftwood Barstool,2025-12-13,471.30,206,2.29,10.71
1765661731700,1430,1236,11.15,6.56,25.79,94,6584.60,70.05,146,Driftwood Barstool,2025-12-13,535.05,207,2.58,12.31
1765665331700,1547,1451,13.57,5.14,26.29,79,6825.63,86.40,117,Driftwood Barstool,2025-12-13,463.25,186,2.49,14.73
1765668931700,1689,1399,13.91,7.00,34.42,118,9316.06,78.95,172,Driftwood Barstool,2025-12-13,463.74,213,2.18,20.09
1765672531700,1864,1494,11.84,6.26,31.57,117,9170.33,78.38,143,Driftwood Barstool,2025-12-14,543.51,228,2.38,16.87
1765676131700,2046,1646,13.30,7.07,33.64,145,11154.03,76.92,181,Driftwood Barstool,2025-12-14,515.80,252,2.05,21.62
1765679731700,2189,1953,14.49,5.95,34.42,130,9248.60,71.14,189,Driftwood Barstool,2025-12-14,520.89,222,2.35,17.76
1765683331700,2343,2123,14.43,7.27,32.35,170,14728.81,86.64,216,Driftwood Barstool,2025-12-14,586.77,284,2.07,25.10
1765686931700,2435,2064,15.86,7.03,35.41,171,14505.57,84.83,243,Driftwood Barstool,2025-12-14,513.62,266,1.93,28.24
1765690531700,2505,2036,16.08,6.34,38.88,159,13162.67,82.78,281,Driftwood Barstool,2025-12-14,508.55,240,2.12,25.88
1765694131700,2522,2394,13.96,6.46,40.41,163,13071.30,80.19,218,Driftwood Barstool,2025-12-14,514.33,214,2.40,25.41
1765697731700,2482,2028,16.00,6.16,26.83,153,12748.23,83.32,244,Driftwood Barstool,2025-12-14,507.32,238,2.13,25.13
1765701331700,2425,1942,15.41,6.86,27.51,166,13130.99,79.10,211,Driftwood Barstool,2025-12-14,553.34,268,2.06,23.73
1765704931700,2309,1983,14.34,6.54,39.19,151,12678.54,83.96,280,Driftwood Barstool,2025-12-14,577.75,296,1.95,21.94
