ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1139,993,12.10,6.43,26.02,73,6681.23,91.52,103,Juniper Throw Blanket,2025-12-12,547.72,228,2.40,12.20
1765564531700,1135,1045,11.08,5.26,35.01,60,4630.61,77.18,93,Juniper Throw Blanket,2025-12-12,530.07,273,1.94,8.74
1765568131700,1169,1016,12.15,5.36,30.13,63,5009.22,79.51,109,Juniper Throw Blanket,2025-12-12,530.56,178,2.98,9.44
1765571731700,1216,1047,12.40,5.89,25.72,72,5968.76,82.90,96,Juniper Throw Blanket,2025-12-12,450.67,217,2.08,13.24
1765575331700,1320,1246,12.29,5.21,27.45,69,5994.62,86.88,98,Juniper Throw Blanket,2025-12-12,531.11,197,2.70,11.29
1765578931700,1440,1314,13.39,5.96,26.92,86,6574.97,76.45,109,Juniper Throw Blanket,2025-12-12,559.85,210,2.67,11.74
1765582531700,1586,1443,13.89,6.69,33.31,106,8780.01,82.83,173,Juniper Throw Blanket,2025-12-12,532.93,193,2.76,16.47
1765586131700,1747,1569,13.84,6.02,33.20,105,8208.50,78.18,136,Juniper Throw Blanket,2025-12-13,505.56,217,2.33,16.24
1765589731700,1897,1547,13.46,5.77,39.45,110,9599.56,87.27,134,Juniper Throw Blanket,2025-12-13,492.19,217,2.27,19.50
1765593331700,2024,1758,15.41,6.08,37.17,123,9489.09,77.15,201,Juniper Throw Blanket,2025-12-13,525.98,260,2.02,18.04
1765596931700,2165,2013,13.42,7.20,26.79,156,14113.38,90.47,231,Juniper Throw Blanket,2025-12-13,558.00,194,2.88,25.29
1765600531700,2273,2144,14.04,6.13,27.19,139,12247.83,88.11,177,Juniper Throw Blanket,2025-12-13,555.38,269,2.06,22.05
1765604131700,2304,1937,14.76,6.06,38.52,140,12738.08,90.99,266,Juniper Throw Blanket,2025-12-13,584.33,233,2.51,21.80
1765607731700,2323,2139,16.36,6.98,29.21,162,13956.16,86.15,206,Juniper Throw Blanket,2025-12-13,502.14,180,2.79,27.79
1765611331700,2307,2038,15.37,7.20,30.73,166,13553.69,81.65,233,Juniper Throw Blanket,2025-12-13,584.41,259,2.26,23.19
1765614931700,2280,1942,14.64,7.65,40.13,175,14621.67,83.55,212,Juniper Throw Blanket,2025-12-13,551.76,249,2.22,26.50
1765618531700,2158,2019,14.04,6.34,38.34,137,10853.17,79.22,258,Juniper Throw Blanket,2025-12-13,514.28,272,1.89,21.10
1765622131700,2053,1700,15.34,6.14,35.83,126,10284.25,81.62,220,Juniper Throw Blanket,2025-12-13,493.87,205,2.41,20.82
1765625731700,1897,1725,14.74,6.36,34.32,121,10520.33,86.94,202,Juniper Throw Blanket,2025-12-13,576.02,313,1.84,18.26
1765629331700,1733,1626,12.74,7.08,25.77,123,10121.22,82.29,184,Juniper Throw Blanket,2025-12-13,523.90,223,2.35,19.32
1765632931700,1601,1282,12.33,6.88,32.21,110,9497.45,86.34,184,Juniper Throw Blanket,2025-12-13,480.79,178,2.70,19.75
1765636531700,1444,1209,12.14,6.65,25.02,96,8113.36,84.51,174,Juniper Throw Blanket,2025-12-13,450.16,234,1.92,18.02
1765640131700,1296,1115,11.29,5.75,28.28,74,6756.06,91.30,102,Juniper Throw Blanket,2025-12-13,454.73,195,2.33,14.86
1765643731700,1228,1142,11.79,5.50,32.15,68,5981.73,87.97,92,Juniper Throw Blanket,2025-12-13,534.72,289,1.85,11.19
1765647331700,1249,1115,10.85,5.66,31.08,71,5490.44,77.33,104,Juniper Throw Blanket,2025-12-13,552.77,191,2.89,9.93
1765650931700,1246,1145,9.95,5.67,25.66,71,5346.72,75.31,125,Juniper Throw Blanket,2025-12-13,528.62,201,2.63,10.11
1765654531700,1269,1150,9.89,4.88,33.37,62,5474.63,88.30,110,Juniper Throw Blanket,2025-12-13,497.62,243,2.05,11.00
1765658131700,1345,1079,10.93,5.34,33.39,72,5846.65,81.20,89,Juniper Throw Blanket,2025-12-13,461.23,240,1.92,12.68
1765661731700,1428,1297,10.39,6.31,33.61,90,8206.60,91.18,135,Juniper Throw Blanket,2025-12-13,481.04,220,2.19,17.06
1765665331700,1562,1478,13.42,6.50,37.67,102,8801.96,86.29,144,Juniper Throw Blanket,2025-12-13,547.03,294,1.86,16.09
1765668931700,1739,1504,11.19,6.68,27.05,116,9018.73,77.75,219,Juniper Throw Blanket,2025-12-13,460.09,246,1.87,19.60
1765672531700,1905,1547,12.38,6.98,36.49,133,12316.50,92.61,179,Juniper Throw Blanket,2025-12-14,483.45,245,1.97,25.48
1765676131700,2068,1857,14.47,7.29,35.98,151,13596.48,90.04,224,Juniper Throw Blanket,2025-12-14,552.71,226,2.45,24.60
1765679731700,2226,2010,14.80,6.36,26.51,141,12898.37,91.48,250,Juniper Throw Blanket,2025-12-14,513.40,207,2.48,25.12
1765683331700,2372,2223,14.10,7.49,37.15,178,15001.95,84.28,257,Juniper Throw Blanket,2025-12-14,553.33,277,2.00,27.11
1765686931700,2469,2057,13.91,6.30,26.29,156,12594.07,80.73,282,Juniper Throw Blanket,2025-12-14,520.33,256,2.03,24.20
1765690531700,2535,2300,16.44,6.06,38.03,153,11705.38,76.51,245,Juniper Throw Blanket,2025-12-14,495.70,194,2.56,23.61
1765694131700,2563,2187,14.14,6.70,26.40,172,14177.41,82.43,308,Juniper Throw Blanket,2025-12-14,532.92,241,2.21,26.60
1765697731700,2552,2185,15.26,6.18,35.56,158,12578.23,79.61,203,Juniper Throw Blanket,2025-12-14,536.46,183,2.93,23.45
1765701331700,2456,2301,14.99,6.24,36.48,153,12554.19,82.05,196,Juniper Throw Blanket,2025-12-14,483.65,200,2.42,25.96
1765704931700,2361,2004,15.23,6.55,31.81,155,11746.68,75.79,246,Juniper Throw Blanket,2025-12-14,551.69,255,2.16,21.29
1765708531700,2242,2066,13.42,6.70,34.39,150,12044.38,80.30,246,Juniper Throw Blanket,2025-12-14,550.24,223,2.47,21.89
1765712131700,2089,1710,12.20,6.30,33.94,132,10508.29,79.61,172,Juniper Throw Blanket,2025-12-14,537.68,280,1.92,19.54
1765715731700,1886,1788,13.81,5.54,26.73,104,8277.04,79.59,178,Juniper Throw Blanket,2025-12-14,573.89,235,2.44,14.42
1765719331700,1749,1570,11.29,6.88,24.98,120,9563.86,79.70,199,Juniper Throw Blanket,2025-12-14,532.54,227,2.35,17.96
1765722931700,1574,1408,12.46,5.39,30.09,85,7873.88,92.63,160,Juniper Throw Blanket,2025-12-14,540.78,272,1.99,14.56
1765726531700,1420,1150,10.80,5.48,36.84,78,5869.87,75.25,108,Juniper Throw Blanket,2025-12-14,519.44,190,2.73,11.30
1765730131700,1322,1223,12.72,6.22,26.70,82,7158.30,87.30,128,Juniper Throw Blanket,2025-12-14,556.95,228,2.44,12.85
1765733731700,1311,1053,9.78,5.13,27.51,67,5298.39,79.08,103,Juniper Throw Blanket,2025-12-14,554.38,241,2.30,9.56
1765737331700,1265,1126,12.42,5.77,29.80,73,5721.76,78.38,121,Juniper Throw Blanket,2025-12-14,459.12,247,1.86,12.46
1765740931700,1279,1048,12.00,6.08,29.72,78,6798.93,87.17,122,Juniper Throw Blanket,2025-12-14,437.45,150,2.92,15.54
