ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1186,997,12.51,5.06,25.87,60,5004.23,83.40,110,Nimbus Trail Backpack,2025-12-12,470.73,224,2.10,10.63
1765564531700,1159,968,11.83,6.02,30.20,70,6695.11,95.64,96,Nimbus Trail Backpack,2025-12-12,507.18,228,2.22,13.20
1765568131700,1149,1068,9.91,6.44,36.71,74,6359.64,85.94,127,Nimbus Trail Backpack,2025-12-12,499.45,231,2.16,12.73
1765571731700,1231,1114,12.68,6.66,28.42,82,7830.38,95.49,109,Nimbus Trail Backpack,2025-12-12,481.63,232,2.08,16.26
1765575331700,1323,1082,11.48,5.82,23.91,77,6366.78,82.69,101,Nimbus Trail Backpack,2025-12-12,542.27,222,2.44,11.74
1765578931700,1446,1347,12.95,5.61,24.50,81,6577.32,81.20,114,Nimbus Trail Backpack,2025-12-12,509.62,271,1.88,12.91
1765582531700,1607,1497,13.04,6.18,24.07,99,8849.04,89.38,146,Nimbus Trail Backpack,2025-12-12,464.77,247,1.88,19.04
1765586131700,1737,1512,12.14,6.59,32.40,114,10144.22,88.98,188,Nimbus Trail Backpack,2025-12-13,471.98,206,2.29,21.49
1765589731700,1911,1706,14.06,6.49,28.51,124,10693.04,86.23,226,Nimbus Trail Backpack,2025-12-13,471.95,251,1.88,22.66
1765593331700,2050,1811,14.36,6.18,26.29,127,10342.00,81.43,170,Nimbus Trail Backpack,2025-12-13,516.67,217,2.38,20.02
1765596931700,2181,1815,13.81,7.42,33.54,162,14369.06,88.70,281,Nimbus Trail Backpack,2025-12-13,581.06,221,2.63,24.73
1765600531700,2276,2139,15.98,6.23,31.58,142,12396.17,87.30,186,Nimbus Trail Backpack,2025-12-13,561.82,261,2.15,22.06
1765604131700,2322,1867,14.35,6.89,32.03,160,12839.87,80.25,292,Nimbus Trail Backpack,2025-12-13,580.02,313,1.85,22.14
1765607731700,2356,1919,16.39,7.69,25.26,181,14323.46,79.14,326,Nimbus Trail Backpack,2025-12-13,535.94,191,2.81,26.73
1765611331700,2350,2106,14.41,6.75,39.81,159,12626.63,79.41,273,Nimbus Trail Backpack,2025-12-13,551.86,229,2.41,22.88
1765614931700,2292,2135,15.29,6.67,39.90,153,14342.79,93.74,272,Nimbus Trail Backpack,2025-12-13,562.51,240,2.34,25.50
1765618531700,2165,2036,15.69,5.82,37.53,126,10440.54,82.86,152,Nimbus Trail Backpack,2025-12-13,522.00,216,2.42,20.00
1765622131700,2074,1948,13.17,6.86,25.44,142,11492.53,80.93,189,Nimbus Trail Backpack,2025-12-13,523.11,273,1.92,21.97
1765625731700,1918,1693,14.37,6.07,29.60,116,10421.05,89.84,159,Nimbus Trail Backpack,2025-12-13,519.42,240,2.16,20.06
1765629331700,1772,1525,11.94,6.58,37.70,117,10078.07,86.14,154,Nimbus Trail Backpack,2025-12-13,498.62,226,2.21,20.21
1765632931700,1607,1392,11.39,5.96,25.61,96,8556.06,89.13,150,Nimbus Trail Backpack,2025-12-13,559.70,239,2.34,15.29
1765636531700,1436,1356,11.90,6.60,27.18,95,8194.02,86.25,170,Nimbus Trail Backpack,2025-12-13,487.18,221,2.20,16.82
1765640131700,1329,1105,12.91,5.97,35.44,79,6392.02,80.91,141,Nimbus Trail Backpack,2025-12-13,502.92,168,2.99,12.71
1765643731700,1247,1016,10.85,5.82,26.99,73,5887.08,80.64,93,Nimbus Trail Backpack,2025-12-13,449.01,249,1.80,13.11
1765647331700,1278,1169,11.08,6.51,37.02,83,6792.18,81.83,117,Nimbus Trail Backpack,2025-12-13,460.63,168,2.74,14.75
1765650931700,1238,1026,9.98,5.70,28.39,71,6531.18,91.99,116,Nimbus Trail Backpack,2025-12-13,476.45,264,1.80,13.71
1765654531700,1281,1180,11.57,5.49,33.50,70,5661.29,80.88,94,Nimbus Trail Backpack,2025-12-13,528.78,284,1.86,10.71
1765658131700,1354,1281,12.52,6.58,24.55,89,8385.35,94.22,132,Nimbus Trail Backpack,2025-12-13,486.82,245,1.99,17.22
1765661731700,1465,1383,13.06,6.08,31.56,89,7093.80,79.71,167,Nimbus Trail Backpack,2025-12-13,447.49,226,1.98,15.85
1765665331700,1600,1319,12.23,6.18,31.95,99,8945.43,90.36,179,Nimbus Trail Backpack,2025-12-13,527.63,184,2.87,16.95
1765668931700,1761,1534,12.58,5.60,34.98,99,7785.71,78.64,131,Nimbus Trail Backpack,2025-12-13,551.60,288,1.92,14.11
1765672531700,1906,1795,12.19,7.12,27.68,136,12605.54,92.69,164,Nimbus Trail Backpack,2025-12-14,524.12,216,2.43,24.05
1765676131700,2080,1713,14.37,5.85,34.73,122,10903.32,89.37,217,Nimbus Trail Backpack,2025-12-14,540.36,276,1.96,20.18
1765679731700,2252,1965,14.36,6.49,39.56,146,12139.90,83.15,201,Nimbus Trail Backpack,2025-12-14,586.82,230,2.55,20.69
1765683331700,2395,2159,13.15,6.66,32.26,159,12823.10,80.65,273,Nimbus Trail Backpack,2025-12-14,560.51,219,2.56,22.88
1765686931700,2483,2010,15.47,7.08,37.72,176,16656.37,94.64,232,Nimbus Trail Backpack,2025-12-14,499.42,258,1.94,33.35
1765690531700,2574,2060,13.55,5.99,34.33,154,13986.78,90.82,240,Nimbus Trail Backpack,2025-12-14,590.54,295,2.00,23.68
1765694131700,2566,2072,14.76,7.24,39.43,186,15378.20,82.68,258,Nimbus Trail Backpack,2025-12-14,536.96,251,2.14,28.64
1765697731700,2559,2140,14.86,7.72,35.29,198,17555.69,88.67,314,Nimbus Trail Backpack,2025-12-14,593.55,286,2.08,29.58
1765701331700,2499,2169,14.92,7.66,32.42,191,15363.04,80.43,326,Nimbus Trail Backpack,2025-12-14,502.78,199,2.53,30.56
1765704931700,2381,2162,13.67,6.43,35.60,153,13552.67,88.58,232,Nimbus Trail Backpack,2025-12-14,497.84,246,2.02,27.22
