ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,961,852,8.65,4.23,29.17,41,3286.91,80.17,58,Cedar Accent Chair,2025-12-12,419.51,213,1.97,7.84
1765564531700,935,878,8.59,4.86,40.95,45,3723.32,82.74,74,Cedar Accent Chair,2025-12-12,433.17,191,2.27,8.60
1765568131700,972,843,10.10,4.02,39.83,39,3456.62,88.63,70,Cedar Accent Chair,2025-12-12,453.71,168,2.70,7.62
1765571731700,999,855,9.62,4.93,27.66,49,3815.84,77.87,70,Cedar Accent Chair,2025-12-12,369.14,185,2.00,10.34
1765575331700,1063,984,8.92,5.12,33.64,54,4349.30,80.54,96,Cedar Accent Chair,2025-12-12,399.50,178,2.24,10.89
1765578931700,1178,1030,9.13,4.52,39.18,53,3936.42,74.27,70,Cedar Accent Chair,2025-12-12,484.16,243,1.99,8.13
1765582531700,1309,1214,11.84,4.81,36.01,63,5395.40,85.64,90,Cedar Accent Chair,2025-12-12,383.16,144,2.66,14.08
1765586131700,1438,1300,11.76,4.32,35.40,62,4827.21,77.86,97,Cedar Accent Chair,2025-12-13,494.30,171,2.89,9.77
1765589731700,1557,1268,11.26,4.73,41.77,74,6037.92,81.59,124,Cedar Accent Chair,2025-12-13,424.25,156,2.72,14.23
1765593331700,1685,1374,13.20,4.62,30.51,78,6923.24,88.76,133,Cedar Accent Chair,2025-12-13,441.79,150,2.95,15.67
1765596931700,1781,1542,12.14,5.44,39.37,97,8396.08,86.56,175,Cedar Accent Chair,2025-12-13,514.18,266,1.93,16.33
1765600531700,1877,1504,12.12,4.86,37.26,91,6987.32,76.78,140,Cedar Accent Chair,2025-12-13,450.19,238,1.89,15.52
1765604131700,1890,1682,12.44,6.38,41.60,121,10981.21,90.75,179,Cedar Accent Chair,2025-12-13,499.71,197,2.54,21.98
1765607731700,1934,1809,11.69,5.02,33.73,97,7296.30,75.22,150,Cedar Accent Chair,2025-12-13,516.54,182,2.84,14.13
1765611331700,1925,1824,14.32,6.54,40.15,126,10999.04,87.29,226,Cedar Accent Chair,2025-12-13,495.77,217,2.28,22.19
1765614931700,1865,1730,12.24,6.49,29.27,121,9185.59,75.91,209,Cedar Accent Chair,2025-12-13,521.42,221,2.36,17.62
1765618531700,1787,1563,13.54,5.71,42.23,102,8539.80,83.72,140,Cedar Accent Chair,2025-12-13,511.03,231,2.21,16.71
1765622131700,1669,1478,13.36,5.72,28.36,95,7434.16,78.25,178,Cedar Accent Chair,2025-12-13,414.42,165,2.51,17.94
1765625731700,1547,1368,12.69,5.69,34.28,88,7583.46,86.18,133,Cedar Accent Chair,2025-12-13,473.45,161,2.94,16.02
1765629331700,1424,1184,10.12,5.85,30.17,83,7197.75,86.72,109,Cedar Accent Chair,2025-12-13,483.56,211,2.29,14.88
1765632931700,1296,1227,10.23,4.74,39.48,61,5124.40,84.01,87,Cedar Accent Chair,2025-12-13,389.30,141,2.76,13.16
1765636531700,1190,1086,10.74,5.42,33.12,64,5715.17,89.30,98,Cedar Accent Chair,2025-12-13,376.68,198,1.90,15.17
1765640131700,1075,897,10.55,5.02,28.83,54,4135.52,76.58,76,Cedar Accent Chair,2025-12-13,374.13,130,2.88,11.05
1765643731700,986,831,8.92,5.02,40.59,50,3895.29,77.91,76,Cedar Accent Chair,2025-12-13,446.67,189,2.36,8.72
1765647331700,1051,950,10.12,4.02,37.58,42,3160.57,75.25,60,Cedar Accent Chair,2025-12-13,416.72,172,2.42,7.58
1765650931700,1015,863,7.67,4.66,35.80,47,4276.82,91.00,65,Cedar Accent Chair,2025-12-13,396.59,197,2.01,10.78
