ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,959,772,7.61,3.64,29.66,35,2958.32,84.52,58,Driftwood Barstool,2025-12-12,472.93,178,2.66,6.26
1765564531700,941,853,8.03,4.16,32.39,39,2786.60,71.45,68,Driftwood Barstool,2025-12-12,470.25,197,2.39,5.93
1765568131700,954,771,9.15,3.74,34.57,36,3149.69,87.49,58,Driftwood Barstool,2025-12-12,392.43,158,2.48,8.03
1765571731700,999,896,9.40,3.95,38.66,39,2773.29,71.11,54,Driftwood Barstool,2025-12-12,438.42,169,2.59,6.33
1765575331700,1087,958,8.01,4.91,39.35,53,4493.94,84.79,77,Driftwood Barstool,2025-12-12,376.58,155,2.43,11.93
1765578931700,1190,1050,9.63,4.26,41.51,51,4256.60,83.46,71,Driftwood Barstool,2025-12-12,480.94,177,2.72,8.85
1765582531700,1281,1205,9.25,4.91,31.35,63,5021.47,79.71,102,Driftwood Barstool,2025-12-12,427.31,212,2.02,11.75
1765586131700,1423,1234,10.47,5.45,28.69,78,6328.14,81.13,130,Driftwood Barstool,2025-12-13,454.08,175,2.59,13.94
1765589731700,1552,1366,11.51,4.89,29.05,76,6512.28,85.69,100,Driftwood Barstool,2025-12-13,453.81,169,2.69,14.35
1765593331700,1677,1456,12.05,5.77,29.83,97,8387.78,86.47,182,Driftwood Barstool,2025-12-13,489.89,172,2.85,17.12
1765596931700,1745,1577,11.38,5.37,39.26,94,8350.68,88.84,167,Driftwood Barstool,2025-12-13,419.79,203,2.07,19.89
1765600531700,1845,1534,14.04,5.94,36.11,110,8446.92,76.79,163,Driftwood Barstool,2025-12-13,446.03,215,2.07,18.94
1765604131700,1872,1755,12.78,5.97,41.46,112,8124.17,72.54,197,Driftwood Barstool,2025-12-13,434.82,221,1.97,18.68
1765607731700,1909,1569,12.87,6.18,32.22,118,8705.62,73.78,189,Driftwood Barstool,2025-12-13,413.73,170,2.43,21.04
1765611331700,1899,1772,12.40,6.00,37.31,114,8462.51,74.23,182,Driftwood Barstool,2025-12-13,455.04,230,1.98,18.60
1765614931700,1831,1552,11.75,5.28,30.84,97,7148.58,73.70,128,Driftwood Barstool,2025-12-13,422.09,181,2.33,16.94
1765618531700,1770,1619,13.26,6.13,38.11,109,8577.56,78.69,151,Driftwood Barstool,2025-12-13,489.72,256,1.91,17.52
1765622131700,1647,1488,10.73,5.54,41.52,91,7041.58,77.38,162,Driftwood Barstool,2025-12-13,452.15,227,1.99,15.57
1765625731700,1558,1365,12.35,4.71,35.06,73,6201.75,84.96,90,Driftwood Barstool,2025-12-13,500.81,258,1.94,12.38
1765629331700,1416,1214,10.19,5.97,38.62,85,6931.80,81.55,131,Driftwood Barstool,2025-12-13,444.39,227,1.96,15.60
1765632931700,1285,1059,9.08,4.85,32.68,62,5448.94,87.89,84,Driftwood Barstool,2025-12-13,405.53,225,1.80,13.44
1765636531700,1161,1102,8.48,3.96,35.61,46,3351.44,72.86,67,Driftwood Barstool,2025-12-13,370.69,169,2.19,9.04
1765640131700,1079,918,9.82,5.17,34.61,56,4756.91,84.94,83,Driftwood Barstool,2025-12-13,367.10,161,2.28,12.96
1765643731700,984,822,9.17,4.88,34.27,48,4208.73,87.68,88,Driftwood Barstool,2025-12-13,364.78,177,2.06,11.54
1765647331700,1011,933,8.31,4.30,36.45,44,3647.65,82.90,82,Driftwood Barstool,2025-12-13,381.97,198,1.93,9.55
1765650931700,1006,925,9.81,5.08,35.34,51,4454.66,87.35,72,Driftwood Barstool,2025-12-13,407.13,207,1.97,10.94
1765654531700,1016,944,10.03,4.35,35.44,44,3743.22,85.07,60,Driftwood Barstool,2025-12-13,358.83,196,1.83,10.43
1765658131700,1092,893,7.85,3.85,35.25,42,3296.09,78.48,73,Driftwood Barstool,2025-12-13,459.45,176,2.61,7.17
1765661731700,1152,1036,10.93,4.96,33.86,57,4214.08,73.93,92,Driftwood Barstool,2025-12-13,390.12,187,2.09,10.80
1765665331700,1295,1042,9.80,4.76,40.46,62,4551.48,73.41,94,Driftwood Barstool,2025-12-13,430.71,152,2.83,10.57
1765668931700,1411,1317,9.22,4.07,30.81,57,5026.54,88.18,70,Driftwood Barstool,2025-12-13,468.19,157,2.98,10.74
1765672531700,1540,1259,9.44,4.38,37.72,68,6022.39,88.56,128,Driftwood Barstool,2025-12-14,427.60,152,2.81,14.08
1765676131700,1677,1369,12.01,4.81,31.77,81,6826.55,84.28,113,Driftwood Barstool,2025-12-14,496.28,209,2.37,13.76
1765679731700,1814,1619,10.62,5.75,32.44,104,8460.81,81.35,196,Driftwood Barstool,2025-12-14,477.09,250,1.91,17.73
1765683331700,1933,1789,11.75,5.26,39.85,102,7432.72,72.87,167,Driftwood Barstool,2025-12-14,417.35,192,2.17,17.81
1765686931700,2004,1771,13.47,5.56,38.33,111,8784.30,79.14,163,Driftwood Barstool,2025-12-14,503.07,179,2.81,17.46
1765690531700,2053,1686,13.54,5.20,37.40,107,7703.90,72.00,187,Driftwood Barstool,2025-12-14,424.07,144,2.94,18.17
1765694131700,2065,1822,12.88,6.15,38.55,127,10598.93,83.46,233,Driftwood Barstool,2025-12-14,478.01,183,2.61,22.17
1765697731700,2080,1783,12.37,6.10,31.25,127,11219.09,88.34,195,Driftwood Barstool,2025-12-14,483.77,259,1.87,23.19
1765701331700,1992,1863,11.54,4.80,40.57,96,8465.95,88.19,170,Driftwood Barstool,2025-12-14,416.91,147,2.84,20.31
1765704931700,1904,1553,11.60,5.64,40.01,107,8292.29,77.50,181,Driftwood Barstool,2025-12-14,510.48,186,2.74,16.24
1765708531700,1795,1581,12.85,5.67,29.13,102,7359.00,72.15,179,Driftwood Barstool,2025-12-14,419.15,145,2.89,17.56
1765712131700,1676,1569,11.85,5.31,28.31,89,6440.56,72.37,117,Driftwood Barstool,2025-12-14,386.85,205,1.89,16.65
1765715731700,1534,1369,11.08,5.30,29.49,81,6385.25,78.83,127,Driftwood Barstool,2025-12-14,385.54,130,2.97,16.56
1765719331700,1405,1152,10.36,5.69,40.61,80,6195.05,77.44,105,Driftwood Barstool,2025-12-14,412.13,187,2.20,15.03
1765722931700,1298,1050,10.75,5.64,36.26,73,6040.46,82.75,99,Driftwood Barstool,2025-12-14,406.73,153,2.66,14.85
1765726531700,1175,978,8.95,3.97,34.24,47,4174.43,88.82,73,Driftwood Barstool,2025-12-14,364.62,136,2.68,11.45
1765730131700,1101,986,7.92,3.89,33.05,43,3464.32,80.57,56,Driftwood Barstool,2025-12-14,449.77,214,2.10,7.70
1765733731700,1039,899,8.01,3.99,36.38,41,3196.84,77.97,55,Driftwood Barstool,2025-12-14,416.48,209,1.99,7.68
1765737331700,1050,908,7.97,4.48,33.28,47,4126.70,87.80,74,Driftwood Barstool,2025-12-14,383.44,207,1.85,10.76
1765740931700,1046,991,7.52,4.05,33.17,42,3166.73,75.40,52,Driftwood Barstool,2025-12-14,359.35,146,2.46,8.81
1765744531700,1104,980,9.52,3.99,38.21,44,3845.24,87.39,66,Driftwood Barstool,2025-12-14,466.13,234,1.99,8.25
1765748131700,1180,1041,10.51,3.84,41.57,45,3223.77,71.64,80,Driftwood Barstool,2025-12-14,376.75,205,1.84,8.56
1765751731700,1302,1054,10.58,4.19,26.85,55,4031.75,73.30,72,Driftwood Barstool,2025-12-14,413.49,194,2.13,9.75
1765755331700,1447,1247,11.79,5.03,29.50,73,5430.78,74.39,105,Driftwood Barstool,2025-12-14,458.85,209,2.20,11.84
1765758931700,1581,1408,10.67,5.66,37.23,89,6936.61,77.94,128,Driftwood Barstool,2025-12-15,456.15,226,2.02,15.21
1765762531700,1707,1425,11.83,5.75,32.57,98,8334.04,85.04,149,Driftwood Barstool,2025-12-15,454.77,184,2.47,18.33
1765766131700,1858,1657,11.72,4.51,31.62,84,7039.67,83.81,104,Driftwood Barstool,2025-12-15,503.08,272,1.85,13.99
1765769731700,1947,1753,11.56,5.72,29.28,111,9467.16,85.29,199,Driftwood Barstool,2025-12-15,483.08,171,2.83,19.60
1765773331700,2061,1833,12.31,5.69,41.69,117,8518.44,72.81,219,Driftwood Barstool,2025-12-15,517.43,176,2.94,16.46
1765776931700,2094,1764,12.35,4.96,44.55,104,8428.22,81.04,148,Driftwood Barstool,2025-12-15,511.61,212,2.41,16.47
1765780531700,2124,1851,12.67,5.78,30.83,123,9281.67,75.46,222,Driftwood Barstool,2025-12-15,507.92,280,1.81,18.27
1765784131700,2103,1740,12.73,5.57,40.95,117,9526.67,81.42,199,Driftwood Barstool,2025-12-15,416.83,159,2.62,22.85
1765787731700,2063,1766,12.39,5.92,42.49,122,10167.55,83.34,232,Driftwood Barstool,2025-12-15,454.67,175,2.60,22.36
1765791331700,1964,1591,12.11,5.40,33.58,106,7624.91,71.93,199,Driftwood Barstool,2025-12-15,517.30,256,2.02,14.74
1765794931700,1858,1590,11.87,4.82,39.90,90,7360.08,81.78,112,Driftwood Barstool,2025-12-15,470.32,230,2.04,15.65
1765798531700,1730,1544,12.69,5.28,35.17,91,6707.88,73.71,163,Driftwood Barstool,2025-12-15,483.70,165,2.93,13.87
1765802131700,1559,1427,11.81,4.91,34.22,77,6523.91,84.73,93,Driftwood Barstool,2025-12-15,386.08,147,2.63,16.90
1765805731700,1456,1314,11.26,4.24,30.87,62,5169.80,83.38,112,Driftwood Barstool,2025-12-15,401.37,194,2.07,12.88
1765809331700,1308,1115,9.44,5.25,29.18,69,5523.94,80.06,100,Driftwood Barstool,2025-12-15,474.71,195,2.43,11.64
1765812931700,1212,977,9.10,4.51,40.97,55,4157.82,75.60,76,Driftwood Barstool,2025-12-15,422.37,148,2.85,9.84
1765816531700,1087,949,8.89,5.28,37.23,57,4108.34,72.08,79,Driftwood Barstool,2025-12-15,429.50,161,2.67,9.57
1765820131700,1005,902,7.88,4.63,27.43,47,3454.63,73.50,86,Driftwood Barstool,2025-12-15,378.22,208,1.82,9.13
1765823731700,974,890,9.72,4.35,27.10,42,3323.83,79.14,64,Driftwood Barstool,2025-12-15,361.21,156,2.32,9.20
