ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,897,818,9.24,4.47,27.08,40,2801.81,70.05,62,Solstice Ceramic Set,2025-12-12,452.64,231,1.96,6.19
1765564531700,895,733,9.42,5.02,31.62,45,3240.50,72.01,59,Solstice Ceramic Set,2025-12-12,462.91,241,1.92,7.00
1765568131700,926,876,10.44,4.14,37.96,38,2915.92,76.73,72,Solstice Ceramic Set,2025-12-12,376.90,145,2.60,7.74
1765571731700,961,892,7.85,5.14,37.89,49,3494.49,71.32,85,Solstice Ceramic Set,2025-12-12,395.01,148,2.67,8.85
1765575331700,1023,932,9.00,3.95,34.87,40,2788.93,69.72,67,Solstice Ceramic Set,2025-12-12,415.92,150,2.77,6.71
1765578931700,1127,1068,11.23,3.98,37.27,45,3577.75,79.51,69,Solstice Ceramic Set,2025-12-12,396.92,183,2.17,9.01
1765582531700,1254,1021,11.64,4.53,34.40,57,3958.85,69.45,83,Solstice Ceramic Set,2025-12-12,385.27,131,2.94,10.28
1765586131700,1380,1307,9.50,4.45,38.47,61,4126.56,67.65,94,Solstice Ceramic Set,2025-12-13,446.45,247,1.81,9.24
1765589731700,1480,1339,10.47,4.96,42.58,73,5322.79,72.91,130,Solstice Ceramic Set,2025-12-13,459.64,165,2.79,11.58
1765593331700,1624,1431,11.62,5.70,30.85,93,6558.93,70.53,115,Solstice Ceramic Set,2025-12-13,485.55,192,2.53,13.51
1765596931700,1705,1507,13.11,6.01,40.18,102,8155.66,79.96,143,Solstice Ceramic Set,2025-12-13,506.63,207,2.45,16.10
1765600531700,1769,1443,11.66,6.28,31.23,111,7711.77,69.48,145,Solstice Ceramic Set,2025-12-13,519.60,190,2.73,14.84
1765604131700,1842,1703,12.71,5.32,34.38,98,6413.34,65.44,175,Solstice Ceramic Set,2025-12-13,465.01,179,2.60,13.79
1765607731700,1853,1493,12.96,5.56,40.23,103,6439.03,62.51,174,Solstice Ceramic Set,2025-12-13,411.45,216,1.90,15.65
1765611331700,1843,1686,11.73,5.48,36.52,101,7707.11,76.31,157,Solstice Ceramic Set,2025-12-13,462.44,191,2.42,16.67
1765614931700,1772,1627,11.86,5.57,42.29,99,6892.25,69.62,166,Solstice Ceramic Set,2025-12-13,411.79,174,2.37,16.74
1765618531700,1722,1440,11.86,5.88,33.70,101,7016.81,69.47,179,Solstice Ceramic Set,2025-12-13,412.87,182,2.27,17.00
1765622131700,1604,1479,13.18,5.82,39.35,93,6031.79,64.86,166,Solstice Ceramic Set,2025-12-13,487.39,205,2.38,12.38
1765625731700,1484,1293,12.23,4.61,40.33,68,4514.01,66.38,84,Solstice Ceramic Set,2025-12-13,421.20,181,2.33,10.72
1765629331700,1380,1293,10.47,5.07,33.94,70,4952.87,70.76,98,Solstice Ceramic Set,2025-12-13,402.95,152,2.65,12.29
1765632931700,1241,1116,11.48,5.83,34.92,72,4711.83,65.44,112,Solstice Ceramic Set,2025-12-13,446.22,178,2.51,10.56
1765636531700,1123,962,10.26,5.40,31.52,61,4182.18,68.56,89,Solstice Ceramic Set,2025-12-13,452.43,211,2.14,9.24
1765640131700,1023,923,9.26,5.10,32.02,52,3397.95,65.35,94,Solstice Ceramic Set,2025-12-13,396.06,184,2.15,8.58
1765643731700,945,839,8.23,3.93,28.06,37,2441.01,65.97,50,Solstice Ceramic Set,2025-12-13,370.27,198,1.87,6.59
1765647331700,1014,934,8.15,3.88,27.73,39,2878.73,73.81,47,Solstice Ceramic Set,2025-12-13,454.49,215,2.11,6.33
1765650931700,993,928,9.33,4.48,40.27,44,3294.79,74.88,73,Solstice Ceramic Set,2025-12-13,393.57,205,1.92,8.37
1765654531700,993,908,9.52,3.85,32.78,38,2397.76,63.10,48,Solstice Ceramic Set,2025-12-13,471.24,187,2.52,5.09
1765658131700,1046,855,8.98,4.70,37.96,49,3852.93,78.63,61,Solstice Ceramic Set,2025-12-13,433.89,158,2.75,8.88
1765661731700,1125,1005,8.68,5.23,30.76,59,4689.25,79.48,91,Solstice Ceramic Set,2025-12-13,432.50,189,2.29,10.84
1765665331700,1230,1005,9.06,5.22,30.07,64,4377.08,68.39,111,Solstice Ceramic Set,2025-12-13,483.71,176,2.75,9.05
1765668931700,1356,1125,10.07,5.07,33.11,69,4706.23,68.21,116,Solstice Ceramic Set,2025-12-13,456.83,192,2.38,10.30
1765672531700,1479,1322,11.63,5.91,31.12,87,6837.41,78.59,143,Solstice Ceramic Set,2025-12-14,469.51,256,1.83,14.56
1765676131700,1642,1448,11.83,5.22,39.19,86,6320.78,73.50,108,Solstice Ceramic Set,2025-12-14,410.62,161,2.55,15.39
1765679731700,1757,1609,11.39,4.64,41.11,81,5133.00,63.37,140,Solstice Ceramic Set,2025-12-14,392.90,195,2.01,13.06
1765683331700,1869,1700,13.60,5.69,31.84,106,7653.06,72.20,148,Solstice Ceramic Set,2025-12-14,468.58,187,2.51,16.33
1765686931700,1952,1707,14.07,5.41,37.76,106,8214.56,77.50,151,Solstice Ceramic Set,2025-12-14,520.16,268,1.94,15.79
1765690531700,1978,1713,11.67,6.39,31.17,126,9619.09,76.34,185,Solstice Ceramic Set,2025-12-14,432.12,162,2.67,22.26
1765694131700,2016,1699,13.98,4.90,39.68,99,6347.72,64.12,150,Solstice Ceramic Set,2025-12-14,444.13,245,1.81,14.29
1765697731700,1989,1768,13.43,6.19,44.53,123,7999.86,65.04,229,Solstice Ceramic Set,2025-12-14,461.08,245,1.88,17.35
1765701331700,1926,1653,12.60,6.42,42.59,124,8559.84,69.03,170,Solstice Ceramic Set,2025-12-14,407.28,210,1.94,21.02
1765704931700,1857,1598,12.21,4.97,43.80,92,6119.53,66.52,127,Solstice Ceramic Set,2025-12-14,431.48,176,2.45,14.18
1765708531700,1744,1655,12.44,6.23,34.44,109,7012.48,64.33,149,Solstice Ceramic Set,2025-12-14,510.27,281,1.82,13.74
1765712131700,1645,1549,11.10,5.30,36.11,87,5737.39,65.95,158,Solstice Ceramic Set,2025-12-14,480.03,241,1.99,11.95
1765715731700,1503,1259,11.85,5.17,32.68,78,4979.62,63.84,127,Solstice Ceramic Set,2025-12-14,390.02,137,2.85,12.77
1765719331700,1349,1226,11.36,4.73,33.57,64,4157.37,64.96,81,Solstice Ceramic Set,2025-12-14,450.18,222,2.03,9.23
1765722931700,1248,1014,10.15,5.17,39.84,65,4075.33,62.70,98,Solstice Ceramic Set,2025-12-14,384.43,179,2.15,10.60
1765726531700,1140,984,9.11,4.57,40.09,52,3684.81,70.86,92,Solstice Ceramic Set,2025-12-14,478.25,241,1.98,7.70
1765730131700,1060,984,8.79,3.78,33.44,40,2773.71,69.34,50,Solstice Ceramic Set,2025-12-14,427.11,224,1.91,6.49
1765733731700,1035,830,9.27,4.49,33.58,46,3439.89,74.78,69,Solstice Ceramic Set,2025-12-14,416.53,206,2.02,8.26
1765737331700,1005,836,8.14,3.91,29.33,39,3113.27,79.83,49,Solstice Ceramic Set,2025-12-14,412.79,228,1.81,7.54
1765740931700,1027,826,8.99,5.32,38.05,55,3841.91,69.85,90,Solstice Ceramic Set,2025-12-14,446.29,153,2.92,8.61
1765744531700,1090,1026,7.83,4.12,28.32,45,3113.15,69.18,77,Solstice Ceramic Set,2025-12-14,362.36,158,2.29,8.59
1765748131700,1140,963,8.94,5.47,33.38,62,3947.29,63.67,114,Solstice Ceramic Set,2025-12-14,405.39,200,2.03,9.74
1765751731700,1261,1144,10.46,4.10,27.55,52,3918.07,75.35,80,Solstice Ceramic Set,2025-12-14,482.54,182,2.65,8.12
1765755331700,1385,1148,11.06,5.71,29.63,79,6113.32,77.38,108,Solstice Ceramic Set,2025-12-14,475.71,210,2.27,12.85
1765758931700,1533,1450,10.42,4.55,30.59,70,5301.25,75.73,107,Solstice Ceramic Set,2025-12-15,426.41,174,2.45,12.43
1765762531700,1662,1373,11.20,4.62,37.26,77,5010.71,65.07,131,Solstice Ceramic Set,2025-12-15,413.73,228,1.81,12.11
1765766131700,1789,1476,10.77,5.82,31.14,104,6829.36,65.67,196,Solstice Ceramic Set,2025-12-15,499.21,214,2.33,13.68
1765769731700,1913,1598,10.89,6.32,35.94,121,7727.90,63.87,229,Solstice Ceramic Set,2025-12-15,476.67,219,2.18,16.21
1765773331700,1980,1691,11.94,5.91,28.82,117,9174.16,78.41,164,Solstice Ceramic Set,2025-12-15,432.82,220,1.97,21.20
