ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,937,775,7.71,4.28,39.64,40,2636.49,65.91,52,Lumen Glassware,2025-12-12,403.01,157,2.57,6.54
1765564531700,916,754,9.06,4.61,28.01,42,2968.80,70.69,77,Lumen Glassware,2025-12-12,390.62,168,2.33,7.60
1765568131700,931,760,8.20,3.77,25.81,35,2633.90,75.25,51,Lumen Glassware,2025-12-12,458.46,156,2.94,5.75
1765571731700,962,865,8.90,4.07,39.89,39,2563.58,65.73,65,Lumen Glassware,2025-12-12,430.35,213,2.02,5.96
1765575331700,1065,967,10.06,5.47,26.42,58,4249.54,73.27,71,Lumen Glassware,2025-12-12,404.07,222,1.82,10.52
1765578931700,1133,930,10.42,4.02,41.19,46,3750.94,81.54,73,Lumen Glassware,2025-12-12,417.16,192,2.17,8.99
1765582531700,1267,1017,10.34,5.31,29.12,67,5003.32,74.68,88,Lumen Glassware,2025-12-12,386.74,194,1.99,12.94
1765586131700,1390,1161,9.81,4.28,36.71,60,4494.84,74.91,96,Lumen Glassware,2025-12-13,453.89,232,1.96,9.90
1765589731700,1519,1355,11.22,5.19,30.60,79,6415.43,81.21,114,Lumen Glassware,2025-12-13,495.51,275,1.80,12.95
1765593331700,1614,1369,13.05,5.26,41.17,85,6238.19,73.39,130,Lumen Glassware,2025-12-13,408.18,193,2.11,15.28
1765596931700,1737,1472,12.81,5.93,29.09,103,7049.27,68.44,175,Lumen Glassware,2025-12-13,430.71,196,2.20,16.37
1765600531700,1794,1465,13.20,5.93,32.16,106,7892.51,74.46,137,Lumen Glassware,2025-12-13,497.08,214,2.32,15.88
1765604131700,1828,1507,13.39,5.62,29.67,103,7183.80,69.75,170,Lumen Glassware,2025-12-13,495.89,172,2.88,14.49
1765607731700,1857,1667,12.39,6.25,41.27,116,9234.82,79.61,166,Lumen Glassware,2025-12-13,523.34,205,2.55,17.65
1765611331700,1831,1566,12.56,6.09,37.05,111,8180.25,73.70,145,Lumen Glassware,2025-12-13,460.25,228,2.02,17.77
1765614931700,1801,1478,13.60,5.96,42.94,107,8521.49,79.64,183,Lumen Glassware,2025-12-13,486.23,199,2.44,17.53
1765618531700,1711,1421,13.38,4.79,40.12,82,6506.03,79.34,101,Lumen Glassware,2025-12-13,459.13,173,2.65,14.17
1765622131700,1627,1377,13.22,4.69,42.43,76,5544.75,72.96,102,Lumen Glassware,2025-12-13,439.59,228,1.93,12.61
1765625731700,1517,1269,11.73,4.37,29.32,66,5191.70,78.66,122,Lumen Glassware,2025-12-13,504.42,220,2.29,10.29
1765629331700,1394,1156,11.28,5.85,41.03,82,5816.89,70.94,109,Lumen Glassware,2025-12-13,384.40,164,2.34,15.13
