ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,921,747,7.55,4.14,30.19,38,2775.97,73.05,62,Velvet Bay Candle,2025-12-12,420.52,181,2.32,6.60
1765564531700,902,748,9.64,4.00,27.08,36,2979.56,82.77,62,Velvet Bay Candle,2025-12-12,406.81,158,2.57,7.32
1765568131700,944,860,8.84,4.79,36.86,45,3483.96,77.42,84,Velvet Bay Candle,2025-12-12,422.11,181,2.33,8.25
1765571731700,987,863,7.94,5.34,34.67,53,3804.14,71.78,70,Velvet Bay Candle,2025-12-12,419.58,164,2.56,9.07
1765575331700,1068,954,9.21,4.27,39.56,46,3727.57,81.03,85,Velvet Bay Candle,2025-12-12,395.46,140,2.82,9.43
1765578931700,1165,1094,10.15,4.11,39.11,48,3745.83,78.04,79,Velvet Bay Candle,2025-12-12,384.37,195,1.97,9.75
1765582531700,1265,1037,11.50,4.54,39.42,57,4663.27,81.81,81,Velvet Bay Candle,2025-12-12,492.38,203,2.43,9.47
1765586131700,1385,1220,12.29,4.62,34.55,64,5003.12,78.17,105,Velvet Bay Candle,2025-12-13,453.49,201,2.26,11.03
1765589731700,1540,1446,10.99,4.72,33.24,73,5513.77,75.53,116,Velvet Bay Candle,2025-12-13,478.00,196,2.44,11.53
1765593331700,1659,1394,12.69,4.92,38.52,82,6739.42,82.19,127,Velvet Bay Candle,2025-12-13,397.95,190,2.09,16.94
1765596931700,1737,1422,12.23,5.21,31.40,91,6198.63,68.12,155,Velvet Bay Candle,2025-12-13,415.32,204,2.04,14.92
1765600531700,1816,1632,11.41,5.51,39.82,100,6869.37,68.69,150,Velvet Bay Candle,2025-12-13,486.34,224,2.17,14.12
1765604131700,1851,1560,14.08,5.79,35.95,107,8508.51,79.52,183,Velvet Bay Candle,2025-12-13,434.50,204,2.13,19.58
1765607731700,1865,1562,13.91,6.11,37.03,114,9322.10,81.77,168,Velvet Bay Candle,2025-12-13,520.48,282,1.85,17.91
1765611331700,1882,1629,11.44,6.54,31.99,123,9015.72,73.30,199,Velvet Bay Candle,2025-12-13,494.61,210,2.36,18.23
1765614931700,1818,1509,12.01,4.87,36.20,88,7182.00,81.61,137,Velvet Bay Candle,2025-12-13,411.82,190,2.17,17.44
1765618531700,1730,1565,12.88,5.14,43.08,89,7635.73,85.79,127,Velvet Bay Candle,2025-12-13,460.58,208,2.21,16.58
1765622131700,1647,1458,13.32,4.99,28.40,82,6276.54,76.54,142,Velvet Bay Candle,2025-12-13,509.34,279,1.83,12.32
1765625731700,1527,1331,12.01,4.52,28.02,69,4973.92,72.09,125,Velvet Bay Candle,2025-12-13,431.38,199,2.17,11.53
1765629331700,1400,1191,11.47,4.55,37.16,64,4371.88,68.31,113,Velvet Bay Candle,2025-12-13,462.41,185,2.50,9.45
1765632931700,1274,1023,11.86,5.27,41.02,67,5528.62,82.52,106,Velvet Bay Candle,2025-12-13,466.73,249,1.87,11.85
1765636531700,1146,1069,9.93,4.41,30.68,51,3727.35,73.09,87,Velvet Bay Candle,2025-12-13,378.14,185,2.04,9.86
1765640131700,1060,958,7.99,5.05,32.15,54,4378.38,81.08,72,Velvet Bay Candle,2025-12-13,367.28,188,1.95,11.92
1765643731700,987,926,7.94,5.47,26.71,54,4063.19,75.24,99,Velvet Bay Candle,2025-12-13,441.65,238,1.86,9.20
