ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,816,656,7.31,4.08,34.95,33,2706.45,82.01,43,Cedar Accent Chair,2025-12-12,391.51,165,2.37,6.91
1765564531700,812,696,6.70,4.17,34.67,34,2577.42,75.81,48,Cedar Accent Chair,2025-12-12,469.09,191,2.46,5.49
1765568131700,821,667,6.93,3.03,33.54,25,2267.40,90.70,33,Cedar Accent Chair,2025-12-12,380.09,163,2.33,5.97
1765571731700,864,784,7.88,3.44,33.17,30,2234.81,74.49,52,Cedar Accent Chair,2025-12-12,402.54,210,1.92,5.55
1765575331700,929,800,8.22,3.99,44.94,37,2889.65,78.10,49,Cedar Accent Chair,2025-12-12,474.81,252,1.88,6.09
1765578931700,1030,971,7.01,2.93,42.68,30,2365.73,78.86,55,Cedar Accent Chair,2025-12-12,376.40,175,2.15,6.29
1765582531700,1154,995,8.24,3.57,36.47,41,3225.87,78.68,62,Cedar Accent Chair,2025-12-12,406.18,183,2.22,7.94
1765586131700,1234,1038,9.28,4.77,32.51,59,4926.36,83.50,75,Cedar Accent Chair,2025-12-13,408.74,164,2.49,12.05
1765589731700,1371,1098,10.32,4.77,34.98,65,5081.54,78.18,79,Cedar Accent Chair,2025-12-13,503.10,237,2.12,10.10
1765593331700,1471,1182,9.94,3.47,36.92,51,4468.62,87.62,89,Cedar Accent Chair,2025-12-13,500.19,242,2.07,8.93
1765596931700,1545,1365,9.32,4.82,47.69,74,6769.20,91.48,94,Cedar Accent Chair,2025-12-13,495.47,172,2.88,13.66
1765600531700,1637,1354,11.37,4.42,36.08,72,5812.14,80.72,120,Cedar Accent Chair,2025-12-13,415.30,201,2.07,14.00
1765604131700,1655,1447,11.84,4.38,35.39,73,5977.96,81.89,95,Cedar Accent Chair,2025-12-13,428.30,200,2.14,13.96
1765607731700,1669,1488,11.34,4.77,36.83,80,7136.84,89.21,143,Cedar Accent Chair,2025-12-13,428.51,178,2.41,16.65
1765611331700,1665,1551,10.70,3.82,38.86,64,5385.21,84.14,95,Cedar Accent Chair,2025-12-13,464.04,209,2.22,11.61
1765614931700,1615,1380,10.13,4.76,38.23,77,6051.62,78.59,138,Cedar Accent Chair,2025-12-13,466.67,245,1.90,12.97
1765618531700,1550,1302,11.12,3.54,41.93,55,4306.58,78.30,72,Cedar Accent Chair,2025-12-13,416.17,152,2.74,10.35
1765622131700,1467,1208,9.95,3.33,32.92,49,4037.00,82.39,63,Cedar Accent Chair,2025-12-13,438.28,209,2.10,9.21
1765625731700,1377,1216,8.76,4.84,45.46,67,4974.17,74.24,117,Cedar Accent Chair,2025-12-13,394.04,199,1.98,12.62
1765629331700,1246,1136,9.93,4.58,33.20,57,4965.69,87.12,71,Cedar Accent Chair,2025-12-13,402.89,143,2.82,12.33
1765632931700,1131,971,7.54,3.89,41.96,44,3747.32,85.17,54,Cedar Accent Chair,2025-12-13,403.66,199,2.03,9.28
1765636531700,1049,937,7.28,3.47,33.64,36,2971.05,82.53,44,Cedar Accent Chair,2025-12-13,424.97,180,2.36,6.99
1765640131700,949,857,5.90,3.04,44.07,29,2613.19,90.11,50,Cedar Accent Chair,2025-12-13,473.37,185,2.56,5.52
1765643731700,891,820,6.77,3.45,43.63,31,2431.95,78.45,41,Cedar Accent Chair,2025-12-13,392.24,174,2.25,6.20
1765647331700,900,722,8.18,2.82,39.47,25,2284.45,91.38,44,Cedar Accent Chair,2025-12-13,452.84,180,2.52,5.04
1765650931700,875,790,5.82,2.94,44.20,26,2246.79,86.41,37,Cedar Accent Chair,2025-12-13,434.27,201,2.16,5.17
1765654531700,930,800,6.83,2.53,33.66,23,1733.83,75.38,39,Cedar Accent Chair,2025-12-13,389.74,212,1.84,4.45
1765658131700,953,770,7.95,2.66,33.27,25,1969.48,78.78,41,Cedar Accent Chair,2025-12-13,426.04,159,2.68,4.62
1765661731700,1052,930,6.63,3.18,40.42,33,2798.85,84.81,54,Cedar Accent Chair,2025-12-13,371.82,143,2.60,7.53
1765665331700,1117,984,6.29,3.34,37.62,37,3313.78,89.56,45,Cedar Accent Chair,2025-12-13,370.77,162,2.29,8.94
1765668931700,1225,986,6.85,3.96,45.90,49,4486.49,91.56,79,Cedar Accent Chair,2025-12-13,438.43,229,1.91,10.23
1765672531700,1375,1259,8.43,3.05,45.99,42,3768.82,89.73,65,Cedar Accent Chair,2025-12-14,385.09,200,1.93,9.79
1765676131700,1487,1321,10.02,3.69,34.47,55,4094.66,74.45,87,Cedar Accent Chair,2025-12-14,502.19,216,2.32,8.15
1765679731700,1596,1392,8.64,3.48,37.80,56,4948.71,88.37,72,Cedar Accent Chair,2025-12-14,425.58,217,1.96,11.63
1765683331700,1699,1550,9.63,5.10,39.34,87,6552.42,75.32,152,Cedar Accent Chair,2025-12-14,425.76,231,1.84,15.39
1765686931700,1769,1523,10.51,4.00,40.62,71,6378.23,89.83,128,Cedar Accent Chair,2025-12-14,424.60,166,2.56,15.02
1765690531700,1813,1698,9.77,4.54,33.89,82,6787.53,82.77,118,Cedar Accent Chair,2025-12-14,414.01,228,1.82,16.39
1765694131700,1849,1531,11.98,5.32,47.36,98,7726.51,78.84,175,Cedar Accent Chair,2025-12-14,434.19,230,1.89,17.80
1765697731700,1808,1712,11.35,4.67,47.69,84,6809.08,81.06,122,Cedar Accent Chair,2025-12-14,480.41,223,2.15,14.17
1765701331700,1782,1531,10.97,4.59,47.73,82,6444.27,78.59,127,Cedar Accent Chair,2025-12-14,467.24,188,2.49,13.79
1765704931700,1678,1452,9.67,4.92,45.68,83,6393.46,77.03,124,Cedar Accent Chair,2025-12-14,442.31,230,1.92,14.45
1765708531700,1605,1522,11.16,3.83,43.21,62,5413.13,87.31,78,Cedar Accent Chair,2025-12-14,491.83,199,2.47,11.01
1765712131700,1474,1181,10.45,3.50,46.70,52,4017.85,77.27,88,Cedar Accent Chair,2025-12-14,473.00,199,2.38,8.49
1765715731700,1361,1152,10.18,3.50,43.54,48,3646.52,75.97,68,Cedar Accent Chair,2025-12-14,480.76,164,2.93,7.58
1765719331700,1239,1037,7.35,3.10,33.31,38,3468.90,91.29,55,Cedar Accent Chair,2025-12-14,380.71,133,2.86,9.11
1765722931700,1122,947,8.09,2.90,31.18,33,2554.67,77.41,57,Cedar Accent Chair,2025-12-14,470.07,194,2.42,5.43
1765726531700,1019,893,7.73,3.13,45.23,32,2845.77,88.93,49,Cedar Accent Chair,2025-12-14,464.32,174,2.67,6.13
1765730131700,938,838,7.69,3.75,35.55,35,2775.73,79.31,50,Cedar Accent Chair,2025-12-14,396.75,150,2.65,7.00
1765733731700,943,895,6.56,3.86,34.10,36,2959.53,82.21,68,Cedar Accent Chair,2025-12-14,370.26,191,1.94,7.99
1765737331700,928,753,6.68,4.10,41.16,38,3321.23,87.40,56,Cedar Accent Chair,2025-12-14,451.21,220,2.05,7.36
1765740931700,941,889,7.25,3.77,32.83,35,2721.87,77.77,65,Cedar Accent Chair,2025-12-14,357.29,159,2.25,7.62
1765744531700,967,903,8.04,4.04,43.02,39,3419.04,87.67,74,Cedar Accent Chair,2025-12-14,402.26,168,2.39,8.50
1765748131700,1046,890,8.56,3.43,32.07,36,3138.55,87.18,66,Cedar Accent Chair,2025-12-14,430.35,180,2.39,7.29
1765751731700,1171,1034,7.63,3.17,37.64,37,3395.66,91.77,47,Cedar Accent Chair,2025-12-14,459.06,225,2.04,7.40
1765755331700,1268,1167,7.68,3.91,45.40,50,3768.96,75.38,70,Cedar Accent Chair,2025-12-14,419.49,184,2.28,8.98
1765758931700,1402,1171,9.53,4.44,37.82,62,5572.01,89.87,88,Cedar Accent Chair,2025-12-15,488.17,219,2.23,11.41
1765762531700,1519,1371,8.39,4.19,37.50,64,5176.83,80.89,98,Cedar Accent Chair,2025-12-15,413.14,221,1.87,12.53
1765766131700,1640,1424,9.75,4.31,35.35,71,5804.91,81.76,104,Cedar Accent Chair,2025-12-15,452.86,175,2.59,12.82
1765769731700,1750,1421,8.62,4.75,42.94,83,6967.04,83.94,140,Cedar Accent Chair,2025-12-15,485.09,208,2.33,14.36
1765773331700,1810,1539,11.28,4.69,46.00,85,6311.40,74.25,154,Cedar Accent Chair,2025-12-15,409.16,221,1.85,15.43
1765776931700,1844,1601,11.32,4.45,35.28,82,7492.41,91.37,144,Cedar Accent Chair,2025-12-15,478.93,227,2.11,15.64
1765780531700,1869,1595,9.38,4.87,45.13,91,7917.43,87.00,139,Cedar Accent Chair,2025-12-15,498.79,256,1.95,15.87
1765784131700,1853,1592,10.87,4.25,44.29,79,6780.36,85.83,100,Cedar Accent Chair,2025-12-15,440.34,244,1.80,15.40
1765787731700,1797,1688,11.79,4.81,45.81,86,7691.64,89.44,130,Cedar Accent Chair,2025-12-15,517.71,213,2.43,14.86
