ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,838,794,5.83,3.72,41.68,31,2577.17,83.13,49,Driftwood Barstool,2025-12-12,393.50,133,2.96,6.55
1765564531700,810,735,7.67,3.39,42.58,27,2260.79,83.73,49,Driftwood Barstool,2025-12-12,460.46,228,2.02,4.91
1765568131700,834,674,6.09,3.92,29.41,33,2540.52,76.99,58,Driftwood Barstool,2025-12-12,462.82,241,1.92,5.49
1765571731700,858,802,8.29,3.37,31.79,29,2323.92,80.14,45,Driftwood Barstool,2025-12-12,463.97,250,1.86,5.01
1765575331700,943,871,8.56,2.82,38.55,27,2099.46,77.76,34,Driftwood Barstool,2025-12-12,415.05,197,2.11,5.06
1765578931700,1012,852,6.62,3.65,43.93,37,2938.14,79.41,59,Driftwood Barstool,2025-12-12,402.45,177,2.27,7.30
1765582531700,1105,926,9.28,3.47,34.43,38,3361.50,88.46,47,Driftwood Barstool,2025-12-12,482.99,222,2.18,6.96
1765586131700,1252,1099,8.82,4.25,41.95,53,4254.06,80.27,76,Driftwood Barstool,2025-12-13,495.62,206,2.41,8.58
1765589731700,1330,1150,9.40,3.53,45.80,47,4064.25,86.47,83,Driftwood Barstool,2025-12-13,483.22,214,2.26,8.41
1765593331700,1466,1202,9.52,4.09,42.17,60,4956.37,82.61,88,Driftwood Barstool,2025-12-13,506.86,269,1.88,9.78
1765596931700,1546,1424,8.82,5.21,43.85,81,6102.19,75.34,150,Driftwood Barstool,2025-12-13,476.58,242,1.97,12.80
1765600531700,1597,1513,8.99,4.60,36.34,74,6438.51,87.01,115,Driftwood Barstool,2025-12-13,509.30,197,2.59,12.64
1765604131700,1654,1342,11.12,5.24,47.40,87,7191.32,82.66,165,Driftwood Barstool,2025-12-13,519.60,282,1.84,13.84
1765607731700,1646,1328,10.33,4.75,43.27,78,6002.49,76.95,103,Driftwood Barstool,2025-12-13,469.06,254,1.85,12.80
1765611331700,1655,1468,11.95,4.38,40.98,72,5758.51,79.98,123,Driftwood Barstool,2025-12-13,504.09,183,2.75,11.42
1765614931700,1623,1534,10.85,3.76,35.74,61,5110.54,83.78,101,Driftwood Barstool,2025-12-13,442.05,174,2.54,11.56
1765618531700,1544,1259,10.57,4.92,42.21,76,6034.16,79.40,108,Driftwood Barstool,2025-12-13,480.97,218,2.21,12.55
1765622131700,1438,1272,9.76,4.41,44.72,63,5137.61,81.55,99,Driftwood Barstool,2025-12-13,434.84,214,2.03,11.81
1765625731700,1353,1210,9.40,4.02,40.60,54,4525.29,83.80,72,Driftwood Barstool,2025-12-13,504.95,231,2.19,8.96
1765629331700,1234,1157,7.72,3.20,37.27,40,2842.63,71.07,50,Driftwood Barstool,2025-12-13,456.85,187,2.44,6.22
1765632931700,1122,952,9.16,4.39,40.16,49,4042.82,82.51,66,Driftwood Barstool,2025-12-13,454.93,216,2.11,8.89
1765636531700,1019,892,9.08,3.87,43.29,39,2993.68,76.76,48,Driftwood Barstool,2025-12-13,443.51,217,2.04,6.75
1765640131700,919,863,5.84,3.19,36.41,29,2564.90,88.44,55,Driftwood Barstool,2025-12-13,480.27,191,2.51,5.34
1765643731700,878,763,7.15,4.25,39.55,37,3065.27,82.85,63,Driftwood Barstool,2025-12-13,469.33,234,2.01,6.53
1765647331700,909,837,7.89,3.11,33.47,28,2438.25,87.08,34,Driftwood Barstool,2025-12-13,406.67,184,2.21,6.00
1765650931700,899,730,6.67,3.22,33.23,29,2330.05,80.35,50,Driftwood Barstool,2025-12-13,372.12,144,2.58,6.26
1765654531700,908,733,5.94,4.01,34.74,36,2776.89,77.14,49,Driftwood Barstool,2025-12-13,378.99,178,2.13,7.33
1765658131700,957,824,6.38,2.85,35.30,27,2089.63,77.39,38,Driftwood Barstool,2025-12-13,450.12,196,2.30,4.64
1765661731700,1012,833,8.50,3.62,32.19,37,3140.07,84.87,50,Driftwood Barstool,2025-12-13,440.71,152,2.90,7.13
1765665331700,1105,1022,6.73,4.05,41.28,45,3305.26,73.45,76,Driftwood Barstool,2025-12-13,435.72,166,2.62,7.59
1765668931700,1247,1090,7.20,3.90,40.24,49,4224.65,86.22,88,Driftwood Barstool,2025-12-13,488.79,216,2.26,8.64
1765672531700,1336,1103,8.98,3.32,32.19,44,3733.99,84.86,56,Driftwood Barstool,2025-12-14,382.02,179,2.13,9.77
1765676131700,1475,1311,10.63,4.79,34.68,71,5617.87,79.12,88,Driftwood Barstool,2025-12-14,412.37,144,2.86,13.62
1765679731700,1563,1478,9.04,5.07,35.80,79,6701.66,84.83,114,Driftwood Barstool,2025-12-14,511.09,239,2.14,13.11
1765683331700,1674,1540,9.54,4.29,42.98,72,6224.16,86.45,123,Driftwood Barstool,2025-12-14,423.00,208,2.03,14.71
1765686931700,1758,1670,9.11,4.36,48.11,77,5799.97,75.32,121,Driftwood Barstool,2025-12-14,499.57,270,1.85,11.61
1765690531700,1786,1578,11.93,5.14,41.00,92,7514.93,81.68,131,Driftwood Barstool,2025-12-14,447.98,202,2.22,16.78
1765694131700,1827,1552,12.08,4.90,42.34,90,7871.10,87.46,165,Driftwood Barstool,2025-12-14,451.86,235,1.92,17.42
1765697731700,1807,1558,9.29,5.07,40.40,92,8008.85,87.05,123,Driftwood Barstool,2025-12-14,494.38,274,1.80,16.20
1765701331700,1735,1446,10.23,4.50,41.74,78,6208.15,79.59,103,Driftwood Barstool,2025-12-14,418.88,176,2.38,14.82
1765704931700,1686,1484,9.03,4.47,34.31,75,6389.36,85.19,137,Driftwood Barstool,2025-12-14,497.31,236,2.11,12.85
1765708531700,1591,1483,10.70,4.35,37.49,69,5802.60,84.10,84,Driftwood Barstool,2025-12-14,393.23,161,2.44,14.76
1765712131700,1463,1286,8.91,4.85,44.55,71,5478.74,77.17,104,Driftwood Barstool,2025-12-14,405.47,149,2.72,13.51
1765715731700,1330,1093,8.30,3.64,34.59,48,3678.23,76.63,80,Driftwood Barstool,2025-12-14,457.47,202,2.26,8.04
1765719331700,1234,993,9.18,4.02,41.61,50,4433.91,88.68,67,Driftwood Barstool,2025-12-14,449.49,187,2.40,9.86
1765722931700,1103,1013,7.40,2.87,33.08,32,2359.85,73.75,41,Driftwood Barstool,2025-12-14,430.17,210,2.05,5.49
1765726531700,1036,910,6.75,3.36,31.38,35,3015.61,86.16,63,Driftwood Barstool,2025-12-14,470.88,195,2.41,6.40
1765730131700,926,835,7.58,3.31,33.93,31,2743.99,88.52,54,Driftwood Barstool,2025-12-14,429.24,156,2.75,6.39
1765733731700,934,794,5.89,3.16,37.36,29,2348.91,81.00,53,Driftwood Barstool,2025-12-14,358.25,195,1.84,6.56
1765737331700,913,810,5.45,3.70,30.03,34,2940.20,86.48,52,Driftwood Barstool,2025-12-14,360.82,160,2.26,8.15
1765740931700,910,749,6.78,3.04,40.44,28,2470.93,88.25,48,Driftwood Barstool,2025-12-14,415.65,151,2.75,5.94
1765744531700,973,875,5.67,4.03,44.79,39,3325.74,85.28,51,Driftwood Barstool,2025-12-14,446.72,216,2.07,7.44
1765748131700,1031,963,8.48,2.67,45.19,28,2370.98,84.68,53,Driftwood Barstool,2025-12-14,469.45,226,2.08,5.05
1765751731700,1124,1026,7.94,3.23,45.24,36,3190.23,88.62,44,Driftwood Barstool,2025-12-14,382.97,208,1.84,8.33
