ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,803,672,6.63,2.43,37.05,19,1344.50,70.76,36,Solstice Ceramic Set,2025-12-12,445.02,179,2.49,3.02
1765564531700,776,629,5.64,2.42,35.44,19,1472.29,77.49,29,Solstice Ceramic Set,2025-12-12,396.33,198,2.00,3.71
1765568131700,796,684,7.83,4.18,42.33,33,2506.96,75.97,40,Solstice Ceramic Set,2025-12-12,385.22,166,2.32,6.51
1765571731700,821,757,6.37,3.82,29.83,31,2220.39,71.63,46,Solstice Ceramic Set,2025-12-12,409.94,188,2.18,5.42
1765575331700,899,842,6.32,4.19,40.63,38,2704.63,71.17,59,Solstice Ceramic Set,2025-12-12,453.67,234,1.94,5.96
1765578931700,976,881,6.99,3.71,45.50,36,2380.75,66.13,48,Solstice Ceramic Set,2025-12-12,424.45,218,1.95,5.61
1765582531700,1074,939,9.46,3.40,38.09,36,2855.24,79.31,66,Solstice Ceramic Set,2025-12-12,453.04,238,1.90,6.30
1765586131700,1201,1140,9.96,3.43,37.98,41,2890.76,70.51,57,Solstice Ceramic Set,2025-12-13,426.44,199,2.14,6.78
1765589731700,1278,1077,8.46,4.66,35.83,60,4308.93,71.82,111,Solstice Ceramic Set,2025-12-13,437.91,217,2.02,9.84
1765593331700,1378,1146,11.14,4.32,44.56,60,4796.08,79.93,100,Solstice Ceramic Set,2025-12-13,462.98,202,2.29,10.36
1765596931700,1485,1371,10.21,3.43,41.31,51,3165.34,62.07,66,Solstice Ceramic Set,2025-12-13,476.88,209,2.28,6.64
1765600531700,1543,1401,10.59,4.08,48.33,63,4818.57,76.49,83,Solstice Ceramic Set,2025-12-13,411.48,169,2.43,11.71
1765604131700,1576,1382,9.77,3.78,33.23,60,4481.30,74.69,105,Solstice Ceramic Set,2025-12-13,449.61,173,2.60,9.97
1765607731700,1611,1327,11.69,4.45,41.87,72,4728.28,65.67,95,Solstice Ceramic Set,2025-12-13,513.84,257,2.00,9.20
1765611331700,1592,1405,9.97,3.99,34.29,64,3977.17,62.14,92,Solstice Ceramic Set,2025-12-13,482.05,186,2.59,8.25
1765614931700,1556,1320,9.08,3.70,36.03,58,4465.48,76.99,70,Solstice Ceramic Set,2025-12-13,449.74,224,2.01,9.93
1765618531700,1469,1201,10.00,4.35,43.64,64,4721.93,73.78,78,Solstice Ceramic Set,2025-12-13,476.45,191,2.49,9.91
