ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,817,690,5.58,3.78,43.56,31,2151.91,69.42,58,Lumen Glassware,2025-12-12,419.68,183,2.29,5.13
1765564531700,808,681,7.17,3.45,31.05,28,1858.12,66.36,36,Lumen Glassware,2025-12-12,420.97,160,2.63,4.41
1765568131700,800,663,5.95,2.85,31.61,23,1558.79,67.77,42,Lumen Glassware,2025-12-12,385.27,214,1.80,4.05
1765571731700,860,811,7.39,3.84,44.29,33,2284.71,69.23,60,Lumen Glassware,2025-12-12,406.65,204,1.99,5.62
1765575331700,920,836,7.22,2.75,30.35,25,1965.16,78.61,32,Lumen Glassware,2025-12-12,481.70,196,2.46,4.08
1765578931700,990,811,6.82,3.96,34.00,39,3230.30,82.83,64,Lumen Glassware,2025-12-12,367.68,137,2.68,8.79
1765582531700,1107,939,6.69,3.99,36.99,44,3391.39,77.08,61,Lumen Glassware,2025-12-12,491.34,229,2.15,6.90
1765586131700,1200,1041,7.65,4.63,46.48,56,4280.50,76.44,88,Lumen Glassware,2025-12-13,461.15,206,2.24,9.28
1765589731700,1306,1060,9.70,3.74,46.27,49,3316.70,67.69,80,Lumen Glassware,2025-12-13,492.70,235,2.10,6.73
1765593331700,1399,1132,8.36,3.78,35.61,53,3779.11,71.30,87,Lumen Glassware,2025-12-13,467.76,252,1.86,8.08
1765596931700,1507,1411,11.07,4.59,41.71,69,4876.55,70.67,96,Lumen Glassware,2025-12-13,422.61,179,2.36,11.54
1765600531700,1578,1352,10.47,4.19,42.34,66,5093.37,77.17,117,Lumen Glassware,2025-12-13,411.31,179,2.30,12.38
1765604131700,1608,1363,9.51,4.63,44.63,74,4930.19,66.62,126,Lumen Glassware,2025-12-13,469.97,242,1.94,10.49
1765607731700,1639,1462,11.46,4.87,42.56,80,5975.42,74.69,107,Lumen Glassware,2025-12-13,456.82,190,2.40,13.08
1765611331700,1590,1300,11.17,4.19,44.46,67,5112.57,76.31,82,Lumen Glassware,2025-12-13,438.72,179,2.45,11.65
1765614931700,1574,1400,9.76,4.50,47.18,71,4687.05,66.01,103,Lumen Glassware,2025-12-13,459.94,191,2.41,10.19
1765618531700,1484,1262,9.21,4.83,36.75,72,5871.72,81.55,109,Lumen Glassware,2025-12-13,467.25,178,2.63,12.57
1765622131700,1428,1341,9.49,3.74,35.74,53,4321.26,81.53,65,Lumen Glassware,2025-12-13,424.02,153,2.77,10.19
1765625731700,1302,1234,8.20,3.41,38.40,44,3624.58,82.38,57,Lumen Glassware,2025-12-13,477.14,200,2.39,7.60
1765629331700,1203,983,10.03,4.74,31.65,57,4422.04,77.58,84,Lumen Glassware,2025-12-13,492.31,199,2.47,8.98
1765632931700,1094,923,9.29,3.76,36.69,41,3398.25,82.88,75,Lumen Glassware,2025-12-13,388.93,162,2.40,8.74
1765636531700,992,899,8.64,3.38,39.40,33,2492.42,75.53,62,Lumen Glassware,2025-12-13,411.02,137,3.00,6.06
1765640131700,912,754,7.19,4.07,31.65,37,2704.20,73.09,66,Lumen Glassware,2025-12-13,475.25,230,2.07,5.69
1765643731700,852,780,6.13,3.80,31.79,32,2294.39,71.70,57,Lumen Glassware,2025-12-13,375.75,201,1.87,6.11
1765647331700,860,721,6.57,3.66,43.50,31,2222.49,71.69,38,Lumen Glassware,2025-12-13,422.73,163,2.59,5.26
1765650931700,846,783,6.50,3.62,42.53,31,2065.95,66.64,45,Lumen Glassware,2025-12-13,368.28,141,2.61,5.61
1765654531700,862,804,6.00,2.51,40.88,22,1525.52,69.34,27,Lumen Glassware,2025-12-13,448.33,223,2.01,3.40
1765658131700,930,777,7.00,2.93,36.00,27,2122.37,78.61,46,Lumen Glassware,2025-12-13,455.07,155,2.94,4.66
1765661731700,1013,919,5.91,4.18,45.15,42,3099.03,73.79,60,Lumen Glassware,2025-12-13,385.38,144,2.68,8.04
1765665331700,1074,930,7.23,3.84,33.84,41,2972.97,72.51,53,Lumen Glassware,2025-12-13,408.21,148,2.76,7.28
1765668931700,1181,1050,7.09,4.53,32.92,54,4174.04,77.30,80,Lumen Glassware,2025-12-13,386.74,147,2.63,10.79
1765672531700,1318,1113,9.65,3.85,43.02,51,4046.84,79.35,81,Lumen Glassware,2025-12-14,436.94,203,2.15,9.26
1765676131700,1437,1225,9.64,4.63,37.05,66,4302.19,65.18,110,Lumen Glassware,2025-12-14,442.36,239,1.85,9.73
1765679731700,1546,1382,9.95,4.95,47.38,77,5288.24,68.68,117,Lumen Glassware,2025-12-14,449.64,210,2.14,11.76
1765683331700,1645,1392,9.76,4.09,48.33,67,4668.69,69.68,95,Lumen Glassware,2025-12-14,503.27,224,2.25,9.28
1765686931700,1715,1546,11.14,4.56,43.90,78,6339.36,81.27,110,Lumen Glassware,2025-12-14,435.08,168,2.59,14.57
1765690531700,1752,1626,9.63,3.99,43.70,70,5615.37,80.22,109,Lumen Glassware,2025-12-14,418.10,190,2.20,13.43
1765694131700,1773,1495,9.56,4.95,38.82,88,7238.31,82.25,121,Lumen Glassware,2025-12-14,487.91,245,1.99,14.84
1765697731700,1749,1648,11.04,5.19,39.68,91,6135.37,67.42,117,Lumen Glassware,2025-12-14,465.11,233,2.00,13.19
1765701331700,1700,1376,11.67,3.91,39.16,66,4998.67,75.74,82,Lumen Glassware,2025-12-14,480.47,214,2.25,10.40
1765704931700,1646,1451,11.40,4.36,38.49,72,5256.83,73.01,110,Lumen Glassware,2025-12-14,498.04,222,2.24,10.56
1765708531700,1562,1312,8.51,4.68,36.68,73,5537.73,75.86,115,Lumen Glassware,2025-12-14,487.90,266,1.83,11.35
1765712131700,1449,1326,10.17,4.06,34.83,59,4587.49,77.75,105,Lumen Glassware,2025-12-14,426.16,142,3.00,10.76
1765715731700,1303,1119,9.50,3.76,45.48,49,3754.44,76.62,70,Lumen Glassware,2025-12-14,480.85,225,2.14,7.81
1765719331700,1200,1121,8.33,4.41,32.26,53,4059.48,76.59,89,Lumen Glassware,2025-12-14,465.00,224,2.08,8.73
1765722931700,1093,894,6.49,3.50,34.61,38,3070.87,80.81,46,Lumen Glassware,2025-12-14,478.51,222,2.16,6.42
1765726531700,988,886,6.84,3.10,39.85,31,2134.95,68.87,58,Lumen Glassware,2025-12-14,373.99,182,2.05,5.71
1765730131700,914,860,5.68,3.45,37.68,32,2527.36,78.98,59,Lumen Glassware,2025-12-14,359.96,196,1.84,7.02
1765733731700,876,743,8.02,3.80,34.74,33,2277.87,69.03,58,Lumen Glassware,2025-12-14,381.89,166,2.30,5.96
1765737331700,888,717,7.51,2.65,40.46,24,1939.62,80.82,40,Lumen Glassware,2025-12-14,473.87,235,2.02,4.09
1765740931700,881,790,7.89,3.44,38.80,30,2247.35,74.91,44,Lumen Glassware,2025-12-14,372.44,125,2.98,6.03
1765744531700,943,893,8.18,3.07,41.85,29,2357.16,81.28,54,Lumen Glassware,2025-12-14,465.63,258,1.80,5.06
