ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,803,678,6.40,2.43,38.93,20,1715.38,85.77,24,Velvet Bay Candle,2025-12-12,438.33,182,2.41,3.91
1765564531700,781,625,6.34,2.56,35.65,20,1446.83,72.34,28,Velvet Bay Candle,2025-12-12,437.13,189,2.31,3.31
1765568131700,829,699,7.99,3.13,39.82,26,1878.98,72.27,38,Velvet Bay Candle,2025-12-12,452.79,228,1.99,4.15
1765571731700,838,685,8.33,4.01,29.43,34,2758.77,81.14,45,Velvet Bay Candle,2025-12-12,452.29,200,2.26,6.10
1765575331700,941,847,6.53,2.65,38.16,25,1926.29,77.05,36,Velvet Bay Candle,2025-12-12,468.54,258,1.82,4.11
1765578931700,1027,923,7.89,4.11,45.90,42,3597.62,85.66,53,Velvet Bay Candle,2025-12-12,380.42,174,2.19,9.46
1765582531700,1093,897,9.41,3.50,36.46,38,2916.83,76.76,56,Velvet Bay Candle,2025-12-12,383.01,153,2.50,7.62
1765586131700,1207,1101,7.71,3.50,35.91,42,3577.79,85.19,53,Velvet Bay Candle,2025-12-13,494.41,206,2.40,7.24
1765589731700,1342,1163,10.28,4.27,42.35,57,4340.68,76.15,104,Velvet Bay Candle,2025-12-13,396.35,158,2.51,10.95
1765593331700,1421,1237,10.54,3.48,36.80,49,3458.92,70.59,90,Velvet Bay Candle,2025-12-13,435.84,185,2.36,7.94
1765596931700,1514,1267,10.16,3.68,33.15,56,4522.76,80.76,104,Velvet Bay Candle,2025-12-13,399.21,142,2.81,11.33
1765600531700,1597,1470,10.23,4.93,36.07,79,5653.99,71.57,126,Velvet Bay Candle,2025-12-13,503.14,240,2.10,11.24
1765604131700,1635,1430,11.52,4.73,42.62,77,6546.68,85.02,110,Velvet Bay Candle,2025-12-13,503.22,249,2.02,13.01
1765607731700,1654,1346,10.70,4.13,36.56,68,5187.07,76.28,83,Velvet Bay Candle,2025-12-13,504.25,229,2.20,10.29
1765611331700,1634,1397,9.42,5.34,46.49,87,6913.57,79.47,165,Velvet Bay Candle,2025-12-13,460.24,193,2.38,15.02
