ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,994,850,10.43,4.70,24.17,47,3856.90,82.06,63,Cedar Accent Chair,2025-12-12,471.25,179,2.63,8.18
1765564531700,989,882,9.62,5.71,23.83,56,4162.75,74.33,101,Cedar Accent Chair,2025-12-12,380.56,149,2.55,10.94
1765568131700,1004,908,9.81,4.32,31.04,43,3471.73,80.74,75,Cedar Accent Chair,2025-12-12,426.23,195,2.19,8.15
1765571731700,1085,921,10.36,5.83,36.99,63,5326.50,84.55,85,Cedar Accent Chair,2025-12-12,408.99,153,2.67,13.02
1765575331700,1156,1049,9.65,4.57,34.09,53,4372.72,82.50,92,Cedar Accent Chair,2025-12-12,372.57,177,2.10,11.74
1765578931700,1265,1190,10.71,4.86,32.46,61,5275.19,86.48,108,Cedar Accent Chair,2025-12-12,471.72,178,2.65,11.18
1765582531700,1388,1311,11.60,5.36,35.87,74,6152.14,83.14,102,Cedar Accent Chair,2025-12-12,405.12,174,2.33,15.19
1765586131700,1530,1343,13.02,5.53,27.66,85,6400.98,75.31,123,Cedar Accent Chair,2025-12-13,481.11,264,1.82,13.30
1765589731700,1662,1557,12.87,6.64,37.31,110,9991.71,90.83,155,Cedar Accent Chair,2025-12-13,453.64,187,2.43,22.03
1765593331700,1785,1502,13.71,6.31,41.01,113,9469.03,83.80,162,Cedar Accent Chair,2025-12-13,417.36,206,2.03,22.69
1765596931700,1874,1688,14.60,6.39,37.43,120,10622.98,88.52,211,Cedar Accent Chair,2025-12-13,401.17,134,2.99,26.48
1765600531700,1985,1766,14.93,5.45,34.60,108,9490.55,87.88,195,Cedar Accent Chair,2025-12-13,469.70,219,2.14,20.21
1765604131700,2020,1888,12.54,5.83,37.85,118,9413.06,79.77,176,Cedar Accent Chair,2025-12-13,416.58,203,2.05,22.60
1765607731700,2035,1670,14.67,6.79,34.79,138,11237.29,81.43,175,Cedar Accent Chair,2025-12-13,448.63,210,2.14,25.05
1765611331700,2039,1732,14.21,6.18,30.77,126,9342.38,74.15,157,Cedar Accent Chair,2025-12-13,431.64,156,2.77,21.64
1765614931700,1962,1752,13.16,6.29,27.36,123,10014.83,81.42,222,Cedar Accent Chair,2025-12-13,513.58,213,2.41,19.50
1765618531700,1902,1541,12.61,6.17,28.84,117,9599.43,82.05,196,Cedar Accent Chair,2025-12-13,502.41,208,2.42,19.11
1765622131700,1792,1441,13.50,6.12,41.59,110,9699.93,88.18,161,Cedar Accent Chair,2025-12-13,409.07,138,2.96,23.71
1765625731700,1655,1511,12.75,6.03,35.13,100,8135.43,81.35,120,Cedar Accent Chair,2025-12-13,473.40,235,2.01,17.19
1765629331700,1510,1312,13.40,6.01,30.80,91,7872.19,86.51,171,Cedar Accent Chair,2025-12-13,380.21,209,1.82,20.70
1765632931700,1391,1160,11.33,6.42,27.17,89,8053.55,90.49,112,Cedar Accent Chair,2025-12-13,470.80,186,2.53,17.11
1765636531700,1274,1066,11.99,4.74,36.72,60,5087.65,84.79,80,Cedar Accent Chair,2025-12-13,474.16,209,2.27,10.73
1765640131700,1156,925,11.35,5.52,23.81,64,4761.19,74.39,86,Cedar Accent Chair,2025-12-13,465.32,231,2.01,10.23
1765643731700,1072,915,11.56,5.26,37.25,56,4609.67,82.32,88,Cedar Accent Chair,2025-12-13,382.42,167,2.29,12.05
1765647331700,1090,916,9.77,5.42,25.69,59,4958.84,84.05,99,Cedar Accent Chair,2025-12-13,394.55,202,1.95,12.57
1765650931700,1077,1015,8.95,4.31,27.76,46,4136.83,89.93,66,Cedar Accent Chair,2025-12-13,388.74,204,1.91,10.64
1765654531700,1095,947,8.89,4.65,34.74,51,4229.67,82.93,63,Cedar Accent Chair,2025-12-13,441.72,179,2.47,9.58
1765658131700,1166,970,11.14,5.30,23.41,62,5157.52,83.19,97,Cedar Accent Chair,2025-12-13,370.66,187,1.98,13.91
1765661731700,1265,1019,11.90,5.43,30.20,69,5423.66,78.60,98,Cedar Accent Chair,2025-12-13,436.00,152,2.87,12.44
1765665331700,1378,1104,12.04,5.57,37.72,77,6097.81,79.19,141,Cedar Accent Chair,2025-12-13,389.17,181,2.15,15.67
1765668931700,1505,1211,11.85,5.75,35.89,87,7471.66,85.88,155,Cedar Accent Chair,2025-12-13,477.32,202,2.36,15.65
1765672531700,1649,1463,13.22,6.06,30.11,100,8954.87,89.55,153,Cedar Accent Chair,2025-12-14,495.66,258,1.92,18.07
1765676131700,1799,1558,12.37,6.40,34.89,115,9356.22,81.36,173,Cedar Accent Chair,2025-12-14,499.76,258,1.94,18.72
1765679731700,1963,1589,13.12,6.55,33.85,129,10485.94,81.29,231,Cedar Accent Chair,2025-12-14,434.38,156,2.78,24.14
1765683331700,2084,1803,14.46,6.38,34.33,133,11813.89,88.83,212,Cedar Accent Chair,2025-12-14,414.95,141,2.94,28.47
1765686931700,2154,1913,14.52,5.78,34.38,124,9728.71,78.46,188,Cedar Accent Chair,2025-12-14,515.58,238,2.17,18.87
1765690531700,2235,2118,15.01,6.55,27.01,146,12607.35,86.35,237,Cedar Accent Chair,2025-12-14,499.72,180,2.78,25.23
1765694131700,2219,2050,13.33,6.46,40.39,143,12132.32,84.84,267,Cedar Accent Chair,2025-12-14,422.05,164,2.57,28.75
1765697731700,2203,1970,13.71,5.64,28.67,124,11181.36,90.17,174,Cedar Accent Chair,2025-12-14,411.27,165,2.49,27.19
1765701331700,2142,1874,15.07,5.60,42.50,120,9787.76,81.56,211,Cedar Accent Chair,2025-12-14,454.55,169,2.69,21.53
1765704931700,2058,1748,12.57,6.17,39.09,127,10556.65,83.12,224,Cedar Accent Chair,2025-12-14,502.43,229,2.19,21.01
1765708531700,1963,1688,12.60,6.30,30.43,124,9295.37,74.96,200,Cedar Accent Chair,2025-12-14,416.57,181,2.30,22.31
1765712131700,1818,1618,11.81,5.71,39.06,104,9026.21,86.79,163,Cedar Accent Chair,2025-12-14,493.23,170,2.90,18.30
1765715731700,1663,1412,12.94,5.71,27.02,95,7513.73,79.09,136,Cedar Accent Chair,2025-12-14,457.71,162,2.83,16.42
1765719331700,1530,1242,11.54,5.43,40.07,83,6854.47,82.58,153,Cedar Accent Chair,2025-12-14,434.88,160,2.72,15.76
1765722931700,1379,1214,12.08,5.21,24.59,72,5776.07,80.22,110,Cedar Accent Chair,2025-12-14,376.24,130,2.89,15.35
1765726531700,1243,1180,11.82,5.57,39.50,69,5576.96,80.83,112,Cedar Accent Chair,2025-12-14,404.14,161,2.51,13.80
1765730131700,1163,1074,10.89,5.12,31.58,60,5018.65,83.64,82,Cedar Accent Chair,2025-12-14,374.63,156,2.40,13.40
1765733731700,1145,935,10.51,5.22,36.28,60,4846.83,80.78,96,Cedar Accent Chair,2025-12-14,405.36,210,1.93,11.96
1765737331700,1118,1023,11.23,5.09,30.23,57,4867.10,85.39,69,Cedar Accent Chair,2025-12-14,442.34,219,2.02,11.00
1765740931700,1126,980,11.14,5.37,32.05,60,5074.29,84.57,112,Cedar Accent Chair,2025-12-14,380.36,207,1.84,13.34
1765744531700,1194,1000,9.28,4.91,26.46,59,4479.27,75.92,78,Cedar Accent Chair,2025-12-14,429.03,195,2.20,10.44
1765748131700,1264,1158,10.83,5.56,30.80,70,5370.98,76.73,132,Cedar Accent Chair,2025-12-14,410.49,192,2.14,13.08
1765751731700,1422,1328,10.56,6.26,25.88,89,7314.77,82.19,130,Cedar Accent Chair,2025-12-14,443.39,210,2.11,16.50
1765755331700,1543,1389,10.48,4.66,32.98,72,6086.17,84.53,130,Cedar Accent Chair,2025-12-14,433.59,202,2.15,14.04
1765758931700,1678,1470,11.76,6.58,28.54,110,9671.99,87.93,161,Cedar Accent Chair,2025-12-15,387.63,189,2.05,24.95
1765762531700,1861,1565,12.87,5.86,30.35,109,9843.17,90.30,170,Cedar Accent Chair,2025-12-15,422.80,153,2.76,23.28
1765766131700,1990,1711,13.99,5.21,36.84,104,8525.77,81.98,188,Cedar Accent Chair,2025-12-15,475.78,173,2.75,17.92
