ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1010,831,10.10,4.47,36.57,45,3371.23,74.92,64,Driftwood Barstool,2025-12-12,434.26,208,2.09,7.76
1765564531700,978,868,9.11,4.45,34.46,44,3893.14,88.48,69,Driftwood Barstool,2025-12-12,387.53,164,2.36,10.05
1765568131700,1023,964,9.25,5.50,32.90,56,4966.78,88.69,95,Driftwood Barstool,2025-12-12,418.17,225,1.86,11.88
1765571731700,1073,986,10.08,4.78,25.85,51,4388.53,86.05,81,Driftwood Barstool,2025-12-12,375.24,152,2.47,11.70
1765575331700,1143,938,10.51,5.80,38.71,66,4802.67,72.77,82,Driftwood Barstool,2025-12-12,448.25,163,2.75,10.71
1765578931700,1258,1141,11.05,5.88,39.74,74,6525.33,88.18,121,Driftwood Barstool,2025-12-12,398.13,200,1.99,16.39
1765582531700,1381,1286,12.88,4.68,32.62,65,4769.48,73.38,92,Driftwood Barstool,2025-12-12,390.00,163,2.39,12.23
1765586131700,1518,1300,13.21,4.84,39.06,73,6224.51,85.27,117,Driftwood Barstool,2025-12-13,394.18,158,2.49,15.79
1765589731700,1621,1471,11.80,6.05,27.21,98,7875.70,80.36,147,Driftwood Barstool,2025-12-13,454.36,247,1.84,17.33
1765593331700,1762,1459,13.35,5.82,29.59,103,8891.85,86.33,146,Driftwood Barstool,2025-12-13,434.62,156,2.79,20.46
1765596931700,1853,1507,14.39,5.83,40.83,108,8122.20,75.21,182,Driftwood Barstool,2025-12-13,423.38,212,2.00,19.18
1765600531700,1967,1814,12.29,6.23,34.29,123,10397.84,84.54,206,Driftwood Barstool,2025-12-13,471.46,158,2.98,22.05
1765604131700,2012,1911,12.67,5.59,40.16,112,8756.51,78.18,172,Driftwood Barstool,2025-12-13,435.76,183,2.38,20.09
1765607731700,2029,1802,14.14,5.80,30.44,118,9850.17,83.48,165,Driftwood Barstool,2025-12-13,453.25,206,2.20,21.73
1765611331700,2004,1868,14.43,6.77,32.52,136,9778.25,71.90,254,Driftwood Barstool,2025-12-13,497.47,203,2.45,19.66
1765614931700,1939,1826,12.65,6.67,35.58,129,10866.36,84.24,185,Driftwood Barstool,2025-12-13,480.72,245,1.96,22.60
1765618531700,1890,1734,13.41,5.49,29.65,104,8792.82,84.55,131,Driftwood Barstool,2025-12-13,398.39,209,1.91,22.07
1765622131700,1755,1611,12.26,6.13,28.32,108,8230.64,76.21,205,Driftwood Barstool,2025-12-13,453.55,239,1.90,18.15
1765625731700,1658,1365,12.09,5.90,26.02,98,8352.89,85.23,163,Driftwood Barstool,2025-12-13,420.53,186,2.26,19.86
