ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,973,866,9.20,4.29,25.43,42,2657.24,63.27,58,Solstice Ceramic Set,2025-12-12,464.14,206,2.25,5.73
1765564531700,937,834,10.09,4.72,28.91,44,3475.33,78.98,76,Solstice Ceramic Set,2025-12-12,377.43,188,2.01,9.21
1765568131700,957,833,9.52,5.61,28.54,54,4127.28,76.43,86,Solstice Ceramic Set,2025-12-12,446.55,236,1.89,9.24
1765571731700,1022,912,9.40,5.05,26.80,52,3898.72,74.98,82,Solstice Ceramic Set,2025-12-12,398.77,174,2.29,9.78
1765575331700,1084,996,10.62,4.98,26.72,54,4087.90,75.70,95,Solstice Ceramic Set,2025-12-12,435.72,209,2.08,9.38
1765578931700,1207,1105,9.73,5.22,32.85,63,4513.78,71.65,104,Solstice Ceramic Set,2025-12-12,412.33,155,2.66,10.95
1765582531700,1327,1083,12.62,5.95,39.15,79,5308.30,67.19,101,Solstice Ceramic Set,2025-12-12,486.64,168,2.90,10.91
1765586131700,1477,1183,12.81,5.17,32.93,76,5894.02,77.55,111,Solstice Ceramic Set,2025-12-13,487.89,226,2.16,12.08
1765589731700,1584,1283,11.61,5.42,26.58,86,5381.52,62.58,114,Solstice Ceramic Set,2025-12-13,438.06,180,2.43,12.28
1765593331700,1731,1592,13.97,5.38,29.81,93,6538.68,70.31,163,Solstice Ceramic Set,2025-12-13,469.23,208,2.26,13.93
1765596931700,1830,1489,12.71,5.83,36.70,107,7878.73,73.63,195,Solstice Ceramic Set,2025-12-13,406.86,157,2.59,19.36
1765600531700,1900,1774,14.37,5.74,42.27,109,8370.98,76.80,131,Solstice Ceramic Set,2025-12-13,440.05,216,2.04,19.02
1765604131700,1949,1760,14.85,6.64,40.93,129,9996.86,77.50,205,Solstice Ceramic Set,2025-12-13,472.77,243,1.95,21.15
1765607731700,1977,1849,14.64,6.01,34.35,119,9338.22,78.47,208,Solstice Ceramic Set,2025-12-13,488.38,168,2.91,19.12
1765611331700,1932,1689,14.71,6.88,35.70,133,10582.90,79.57,200,Solstice Ceramic Set,2025-12-13,442.42,166,2.67,23.92
1765614931700,1901,1763,14.98,5.64,28.10,107,6972.72,65.17,176,Solstice Ceramic Set,2025-12-13,463.00,192,2.41,15.06
1765618531700,1816,1516,12.65,6.75,36.67,123,9438.57,76.74,171,Solstice Ceramic Set,2025-12-13,470.23,251,1.87,20.07
1765622131700,1711,1374,11.81,6.82,27.30,117,9080.01,77.61,221,Solstice Ceramic Set,2025-12-13,463.39,166,2.79,19.59
1765625731700,1604,1523,13.79,6.34,38.70,102,7903.48,77.49,138,Solstice Ceramic Set,2025-12-13,498.12,241,2.07,15.87
1765629331700,1468,1221,12.81,6.40,33.06,94,6076.71,64.65,171,Solstice Ceramic Set,2025-12-13,414.37,175,2.37,14.66
1765632931700,1334,1259,10.61,5.73,31.08,76,4862.70,63.98,93,Solstice Ceramic Set,2025-12-13,462.38,172,2.69,10.52
1765636531700,1199,1033,9.91,4.88,34.62,58,4113.15,70.92,78,Solstice Ceramic Set,2025-12-13,392.24,193,2.03,10.49
