ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,978,821,10.21,4.24,36.42,41,2975.56,72.57,75,Lumen Glassware,2025-12-12,412.06,220,1.87,7.22
1765564531700,970,832,10.96,5.72,32.69,56,4230.87,75.55,103,Lumen Glassware,2025-12-12,467.27,254,1.84,9.05
1765568131700,968,806,10.73,5.79,31.41,56,3907.42,69.78,82,Lumen Glassware,2025-12-12,450.24,182,2.47,8.68
1765571731700,1043,900,10.83,6.07,38.81,63,4305.78,68.35,107,Lumen Glassware,2025-12-12,415.76,146,2.85,10.36
1765575331700,1108,908,9.87,4.81,37.92,53,3523.23,66.48,93,Lumen Glassware,2025-12-12,405.48,212,1.91,8.69
1765578931700,1202,1075,10.01,5.88,24.39,71,5238.18,73.78,131,Lumen Glassware,2025-12-12,369.45,185,2.00,14.18
1765582531700,1352,1115,10.98,6.37,28.82,86,6345.01,73.78,151,Lumen Glassware,2025-12-12,416.88,184,2.27,15.22
1765586131700,1482,1193,12.18,5.87,32.82,87,6812.46,78.30,150,Lumen Glassware,2025-12-13,451.80,168,2.69,15.08
1765589731700,1588,1294,11.33,6.12,31.19,97,7344.29,75.71,128,Lumen Glassware,2025-12-13,442.80,151,2.93,16.59
1765593331700,1736,1540,13.26,6.61,36.90,115,9245.79,80.40,203,Lumen Glassware,2025-12-13,447.36,202,2.21,20.67
1765596931700,1846,1577,14.26,5.85,32.67,108,7131.13,66.03,195,Lumen Glassware,2025-12-13,409.02,220,1.86,17.43
1765600531700,1910,1795,13.58,5.82,37.59,111,8814.13,79.41,144,Lumen Glassware,2025-12-13,505.06,265,1.91,17.45
1765604131700,1952,1801,13.69,6.12,35.34,120,8909.52,74.25,152,Lumen Glassware,2025-12-13,458.58,255,1.80,19.43
1765607731700,1970,1683,13.50,6.19,28.97,122,9137.37,74.90,216,Lumen Glassware,2025-12-13,494.07,255,1.94,18.49
1765611331700,1964,1627,14.56,7.10,39.16,139,11331.24,81.52,222,Lumen Glassware,2025-12-13,482.61,165,2.92,23.48
1765614931700,1926,1796,15.01,6.26,39.73,121,9798.61,80.98,188,Lumen Glassware,2025-12-13,498.67,202,2.47,19.65
1765618531700,1835,1661,13.87,5.79,38.65,106,7355.99,69.40,130,Lumen Glassware,2025-12-13,431.72,198,2.18,17.04
1765622131700,1711,1549,12.45,5.28,31.44,90,7293.56,81.04,139,Lumen Glassware,2025-12-13,501.80,195,2.57,14.53
1765625731700,1616,1479,11.77,5.45,30.93,88,5949.27,67.61,129,Lumen Glassware,2025-12-13,400.89,195,2.06,14.84
1765629331700,1465,1287,12.30,5.64,30.91,83,6653.64,80.16,119,Lumen Glassware,2025-12-13,386.30,165,2.34,17.22
1765632931700,1360,1116,11.49,5.24,40.20,71,4710.33,66.34,134,Lumen Glassware,2025-12-13,444.78,155,2.87,10.59
1765636531700,1214,1067,11.24,4.95,26.44,60,4742.30,79.04,93,Lumen Glassware,2025-12-13,397.38,156,2.55,11.93
1765640131700,1115,938,11.78,5.90,35.21,66,4956.56,75.10,95,Lumen Glassware,2025-12-13,409.95,176,2.33,12.09
1765643731700,1043,854,10.32,5.25,34.80,55,4106.38,74.66,75,Lumen Glassware,2025-12-13,469.91,170,2.76,8.74
1765647331700,1071,901,10.78,5.51,37.33,59,4025.84,68.23,79,Lumen Glassware,2025-12-13,465.18,231,2.01,8.65
1765650931700,1071,873,10.67,5.00,30.77,54,3828.49,70.90,93,Lumen Glassware,2025-12-13,459.40,185,2.48,8.33
1765654531700,1072,927,11.15,5.79,33.97,62,4774.16,77.00,87,Lumen Glassware,2025-12-13,430.23,152,2.83,11.10
1765658131700,1118,901,11.25,5.21,26.80,58,3967.87,68.41,105,Lumen Glassware,2025-12-13,406.66,185,2.20,9.76
1765661731700,1209,1038,9.51,4.81,39.26,58,4431.34,76.40,75,Lumen Glassware,2025-12-13,436.20,203,2.15,10.16
1765665331700,1322,1126,11.15,4.95,32.04,65,4632.30,71.27,108,Lumen Glassware,2025-12-13,451.31,227,1.99,10.26
1765668931700,1453,1284,10.57,5.10,39.94,74,4849.76,65.54,135,Lumen Glassware,2025-12-13,409.07,180,2.27,11.86
1765672531700,1624,1422,12.52,6.58,35.93,107,7931.89,74.13,144,Lumen Glassware,2025-12-14,429.08,185,2.32,18.49
1765676131700,1761,1471,12.50,5.60,34.58,99,6792.82,68.61,146,Lumen Glassware,2025-12-14,484.23,202,2.40,14.03
1765679731700,1890,1628,13.97,6.79,38.39,128,8913.81,69.64,171,Lumen Glassware,2025-12-14,463.36,172,2.69,19.24
1765683331700,2007,1838,12.53,6.05,27.45,121,9982.00,82.50,157,Lumen Glassware,2025-12-14,448.52,203,2.21,22.26
