ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1013,919,9.12,4.73,32.69,48,3592.71,74.85,71,Velvet Bay Candle,2025-12-12,368.40,125,2.95,9.75
1765564531700,988,823,9.19,4.30,36.20,43,2949.20,68.59,76,Velvet Bay Candle,2025-12-12,386.39,176,2.20,7.63
1765568131700,990,911,9.49,5.64,31.26,56,4153.23,74.16,83,Velvet Bay Candle,2025-12-12,414.44,177,2.34,10.02
1765571731700,1037,938,9.28,4.96,32.81,51,3546.82,69.55,97,Velvet Bay Candle,2025-12-12,447.23,222,2.01,7.93
1765575331700,1146,1035,10.42,5.53,32.73,63,4602.15,73.05,95,Velvet Bay Candle,2025-12-12,378.32,181,2.09,12.16
1765578931700,1232,1042,10.48,4.91,32.10,60,4713.09,78.55,112,Velvet Bay Candle,2025-12-12,434.06,204,2.13,10.86
1765582531700,1337,1136,11.39,6.43,31.00,86,6352.98,73.87,127,Velvet Bay Candle,2025-12-12,422.09,206,2.05,15.05
1765586131700,1475,1253,13.35,6.28,35.29,93,6854.96,73.71,126,Velvet Bay Candle,2025-12-13,401.94,140,2.87,17.05
1765589731700,1606,1520,13.21,5.44,28.81,87,7470.96,85.87,151,Velvet Bay Candle,2025-12-13,422.09,152,2.78,17.70
1765593331700,1741,1450,13.33,6.42,40.00,112,9325.79,83.27,164,Velvet Bay Candle,2025-12-13,481.26,162,2.97,19.38
1765596931700,1849,1501,13.63,6.78,29.15,125,8863.95,70.91,197,Velvet Bay Candle,2025-12-13,477.55,260,1.84,18.56
1765600531700,1954,1572,14.03,6.49,39.78,127,9201.03,72.45,226,Velvet Bay Candle,2025-12-13,508.44,263,1.93,18.10
1765604131700,1973,1672,14.58,6.60,27.02,130,10101.09,77.70,237,Velvet Bay Candle,2025-12-13,509.69,193,2.64,19.82
1765607731700,2017,1652,15.29,7.03,42.24,142,11628.03,81.89,187,Velvet Bay Candle,2025-12-13,498.61,215,2.32,23.32
1765611331700,1983,1783,13.09,6.13,42.55,122,8558.47,70.15,173,Velvet Bay Candle,2025-12-13,416.96,156,2.67,20.53
1765614931700,1919,1552,14.72,5.67,34.53,109,8745.91,80.24,137,Velvet Bay Candle,2025-12-13,407.83,161,2.53,21.44
1765618531700,1860,1676,14.87,6.54,36.40,122,10041.16,82.30,184,Velvet Bay Candle,2025-12-13,500.59,209,2.40,20.06
1765622131700,1766,1465,14.44,6.22,37.36,110,8247.23,74.97,153,Velvet Bay Candle,2025-12-13,424.72,174,2.44,19.42
1765625731700,1627,1347,13.48,5.42,34.86,88,7381.79,83.88,132,Velvet Bay Candle,2025-12-13,478.39,230,2.08,15.43
