ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,710,589,4.14,2.42,47.09,17,1338.22,78.72,22,Cedar Accent Chair,2025-12-12,376.61,131,2.87,3.55
1765564531700,719,669,5.04,1.69,38.22,12,984.33,82.03,23,Cedar Accent Chair,2025-12-12,423.02,211,2.00,2.33
1765568131700,697,636,3.57,2.00,38.24,14,1049.40,74.96,20,Cedar Accent Chair,2025-12-12,376.30,164,2.29,2.79
1765571731700,747,692,5.57,2.47,43.01,18,1592.66,88.48,29,Cedar Accent Chair,2025-12-12,411.09,185,2.22,3.87
1765575331700,829,771,4.82,2.84,45.67,24,2103.46,87.64,37,Cedar Accent Chair,2025-12-12,388.62,180,2.16,5.41
1765578931700,898,739,4.43,2.98,35.60,27,2393.98,88.67,42,Cedar Accent Chair,2025-12-12,482.23,255,1.89,4.96
1765582531700,992,876,7.31,2.19,39.10,22,1844.67,83.85,31,Cedar Accent Chair,2025-12-12,384.55,211,1.82,4.80
1765586131700,1087,1013,6.41,2.40,50.00,26,2169.87,83.46,43,Cedar Accent Chair,2025-12-13,385.54,156,2.47,5.63
1765589731700,1153,969,8.43,2.71,44.69,31,2841.42,91.66,58,Cedar Accent Chair,2025-12-13,479.64,193,2.49,5.92
1765593331700,1259,1010,8.52,3.57,36.77,45,3572.87,79.40,60,Cedar Accent Chair,2025-12-13,440.56,241,1.83,8.11
1765596931700,1344,1079,6.69,3.93,37.79,53,4792.25,90.42,71,Cedar Accent Chair,2025-12-13,437.73,169,2.59,10.95
1765600531700,1374,1265,7.95,2.44,47.45,34,2762.85,81.26,64,Cedar Accent Chair,2025-12-13,477.95,203,2.35,5.78
1765604131700,1437,1175,7.48,2.54,40.27,36,2955.00,82.08,57,Cedar Accent Chair,2025-12-13,458.85,231,1.99,6.44
1765607731700,1421,1137,9.26,2.83,45.25,40,3376.27,84.41,66,Cedar Accent Chair,2025-12-13,489.27,251,1.95,6.90
1765611331700,1433,1164,7.56,3.05,43.60,44,3895.38,88.53,55,Cedar Accent Chair,2025-12-13,501.78,230,2.18,7.76
1765614931700,1391,1243,9.16,3.38,38.40,47,3853.55,81.99,86,Cedar Accent Chair,2025-12-13,502.51,206,2.44,7.67
1765618531700,1327,1072,8.56,2.66,39.54,35,2689.38,76.84,48,Cedar Accent Chair,2025-12-13,460.48,155,2.97,5.84
1765622131700,1259,1179,8.25,3.12,44.72,39,3081.43,79.01,74,Cedar Accent Chair,2025-12-13,476.49,217,2.20,6.47
1765625731700,1152,1019,6.55,3.47,43.38,40,3333.42,83.34,57,Cedar Accent Chair,2025-12-13,461.60,162,2.85,7.22
1765629331700,1076,917,5.71,2.72,38.41,29,2335.48,80.53,38,Cedar Accent Chair,2025-12-13,425.77,169,2.52,5.49
1765632931700,956,837,5.55,2.54,46.57,24,1864.31,77.68,39,Cedar Accent Chair,2025-12-13,491.05,220,2.23,3.80
1765636531700,902,727,6.20,2.47,44.76,22,1677.64,76.26,35,Cedar Accent Chair,2025-12-13,452.09,199,2.27,3.71
1765640131700,793,679,5.11,1.78,47.29,14,1100.05,78.58,26,Cedar Accent Chair,2025-12-13,396.12,193,2.05,2.78
1765643731700,751,708,4.73,2.13,35.48,16,1309.01,81.81,30,Cedar Accent Chair,2025-12-13,384.08,154,2.49,3.41
1765647331700,778,739,5.98,1.48,42.09,12,990.54,82.54,15,Cedar Accent Chair,2025-12-13,473.11,208,2.27,2.09
1765650931700,770,694,4.70,1.80,42.74,14,1225.62,87.54,19,Cedar Accent Chair,2025-12-13,448.25,228,1.97,2.73
1765654531700,800,712,3.11,2.47,44.57,20,1536.01,76.80,33,Cedar Accent Chair,2025-12-13,359.00,190,1.89,4.28
1765658131700,834,687,4.57,1.65,40.72,14,1133.00,80.93,19,Cedar Accent Chair,2025-12-13,431.80,237,1.82,2.62
1765661731700,874,700,4.79,2.14,34.86,19,1553.39,81.76,31,Cedar Accent Chair,2025-12-13,390.80,178,2.20,3.97
1765665331700,985,902,4.65,1.79,36.88,18,1481.42,82.30,33,Cedar Accent Chair,2025-12-13,424.81,194,2.19,3.49
1765668931700,1074,1007,5.72,2.99,49.83,32,2924.32,91.39,53,Cedar Accent Chair,2025-12-13,462.35,232,1.99,6.32
1765672531700,1182,1068,6.62,2.72,48.13,32,2464.19,77.01,45,Cedar Accent Chair,2025-12-14,446.41,187,2.39,5.52
1765676131700,1256,1133,7.93,2.26,40.43,28,2340.06,83.57,36,Cedar Accent Chair,2025-12-14,457.29,223,2.05,5.12
1765679731700,1350,1279,8.92,2.40,40.31,32,2863.69,89.49,59,Cedar Accent Chair,2025-12-14,507.06,195,2.60,5.65
1765683331700,1466,1258,7.14,3.47,45.12,51,4429.76,86.86,95,Cedar Accent Chair,2025-12-14,431.38,213,2.03,10.27
1765686931700,1503,1427,9.68,2.95,50.10,44,3292.25,74.82,71,Cedar Accent Chair,2025-12-14,437.32,226,1.94,7.53
1765690531700,1569,1394,9.55,2.40,49.05,38,3388.41,89.17,61,Cedar Accent Chair,2025-12-14,492.62,241,2.04,6.88
1765694131700,1583,1349,9.77,3.25,40.62,51,4654.26,91.26,95,Cedar Accent Chair,2025-12-14,444.97,208,2.14,10.46
1765697731700,1559,1329,7.53,3.91,49.08,61,4970.21,81.48,74,Cedar Accent Chair,2025-12-14,430.58,187,2.30,11.54
1765701331700,1529,1229,6.74,2.49,39.88,38,3262.15,85.85,59,Cedar Accent Chair,2025-12-14,461.62,163,2.83,7.07
1765704931700,1459,1352,9.34,3.86,45.56,56,4661.32,83.24,69,Cedar Accent Chair,2025-12-14,403.99,173,2.34,11.54
1765708531700,1389,1246,7.05,3.58,43.70,50,3706.47,74.13,66,Cedar Accent Chair,2025-12-14,502.12,243,2.07,7.38
1765712131700,1256,1087,6.76,2.72,43.82,34,2559.94,75.29,42,Cedar Accent Chair,2025-12-14,420.33,177,2.37,6.09
1765715731700,1160,1094,7.08,1.85,35.29,22,1762.61,80.12,30,Cedar Accent Chair,2025-12-14,466.06,238,1.96,3.78
1765719331700,1066,1004,5.54,3.06,50.03,33,2781.47,84.29,48,Cedar Accent Chair,2025-12-14,373.64,176,2.12,7.44
1765722931700,973,916,5.10,2.77,44.15,27,2342.42,86.76,44,Cedar Accent Chair,2025-12-14,421.57,143,2.95,5.56
1765726531700,897,719,5.16,3.03,48.81,27,2143.67,79.40,35,Cedar Accent Chair,2025-12-14,435.29,192,2.27,4.92
1765730131700,813,691,4.60,1.97,36.25,16,1320.81,82.55,28,Cedar Accent Chair,2025-12-14,422.51,208,2.03,3.13
1765733731700,813,764,5.26,2.24,43.35,18,1517.97,84.33,31,Cedar Accent Chair,2025-12-14,444.70,172,2.59,3.41
1765737331700,775,733,3.75,2.82,46.45,22,1759.46,79.98,33,Cedar Accent Chair,2025-12-14,445.60,205,2.17,3.95
1765740931700,784,735,4.93,2.80,45.57,22,1890.73,85.94,35,Cedar Accent Chair,2025-12-14,436.64,190,2.30,4.33
1765744531700,832,685,4.64,2.31,36.91,19,1648.84,86.78,32,Cedar Accent Chair,2025-12-14,468.50,159,2.95,3.52
1765748131700,883,710,4.60,2.65,44.31,23,1850.22,80.44,30,Cedar Accent Chair,2025-12-14,424.10,191,2.22,4.36
