ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,712,590,3.52,2.88,47.39,20,1452.00,72.60,26,Driftwood Barstool,2025-12-12,409.78,227,1.81,3.54
1765564531700,694,636,3.35,2.56,44.65,18,1393.00,77.39,28,Driftwood Barstool,2025-12-12,395.65,169,2.34,3.52
1765568131700,707,614,5.64,1.48,41.00,10,847.52,84.75,17,Driftwood Barstool,2025-12-12,393.63,146,2.70,2.15
1765571731700,722,600,5.36,2.95,39.72,21,1495.51,71.21,32,Driftwood Barstool,2025-12-12,377.94,148,2.55,3.96
1765575331700,814,697,6.37,1.95,43.44,16,1310.83,81.93,22,Driftwood Barstool,2025-12-12,418.83,225,1.86,3.13
1765578931700,878,720,5.93,2.35,48.18,21,1523.18,72.53,27,Driftwood Barstool,2025-12-12,417.97,185,2.26,3.64
1765582531700,979,840,5.60,2.78,40.41,27,2370.18,87.78,39,Driftwood Barstool,2025-12-12,487.29,191,2.55,4.86
1765586131700,1055,946,5.16,2.09,47.05,22,1604.99,72.95,30,Driftwood Barstool,2025-12-13,417.41,214,1.95,3.85
1765589731700,1134,1056,6.14,2.94,40.02,33,2931.42,88.83,42,Driftwood Barstool,2025-12-13,404.68,165,2.45,7.24
1765593331700,1251,1167,6.59,2.82,38.29,35,2717.12,77.63,58,Driftwood Barstool,2025-12-13,442.84,183,2.42,6.14
1765596931700,1294,1168,6.76,3.23,37.63,42,3130.64,74.54,59,Driftwood Barstool,2025-12-13,481.91,222,2.17,6.50
1765600531700,1357,1158,7.93,3.07,43.63,42,3299.57,78.56,69,Driftwood Barstool,2025-12-13,466.26,164,2.84,7.08
1765604131700,1406,1285,8.04,3.14,42.97,44,3574.29,81.23,64,Driftwood Barstool,2025-12-13,465.11,161,2.89,7.68
1765607731700,1409,1283,7.16,2.62,42.38,37,2720.69,73.53,61,Driftwood Barstool,2025-12-13,406.06,189,2.15,6.70
1765611331700,1419,1159,7.11,3.61,49.16,51,3686.45,72.28,74,Driftwood Barstool,2025-12-13,436.98,192,2.28,8.44
1765614931700,1378,1265,9.07,2.65,37.72,37,3002.22,81.14,52,Driftwood Barstool,2025-12-13,494.06,239,2.07,6.08
1765618531700,1322,1196,8.35,3.42,45.36,45,3388.07,75.29,56,Driftwood Barstool,2025-12-13,434.46,191,2.27,7.80
1765622131700,1250,1050,6.93,3.74,37.34,47,3895.71,82.89,61,Driftwood Barstool,2025-12-13,488.97,184,2.66,7.97
1765625731700,1161,1011,7.55,2.77,40.13,32,2667.66,83.36,50,Driftwood Barstool,2025-12-13,392.48,180,2.18,6.80
1765629331700,1056,922,5.84,3.26,44.53,34,2603.45,76.57,58,Driftwood Barstool,2025-12-13,385.10,140,2.75,6.76
1765632931700,979,831,4.71,2.99,39.83,29,2195.29,75.70,43,Driftwood Barstool,2025-12-13,455.87,206,2.21,4.82
1765636531700,870,701,5.40,2.05,43.44,18,1542.18,85.68,32,Driftwood Barstool,2025-12-13,415.51,220,1.89,3.71
1765640131700,786,656,3.75,1.93,42.61,15,1102.06,73.47,21,Driftwood Barstool,2025-12-13,423.65,153,2.77,2.60
1765643731700,759,636,5.82,2.21,37.79,17,1307.16,76.89,21,Driftwood Barstool,2025-12-13,428.88,170,2.52,3.05
1765647331700,755,630,5.69,2.96,35.48,22,1601.61,72.80,39,Driftwood Barstool,2025-12-13,368.72,203,1.82,4.34
1765650931700,759,644,5.98,2.29,33.11,17,1361.66,80.10,24,Driftwood Barstool,2025-12-13,396.82,187,2.12,3.43
1765654531700,769,654,4.07,2.34,44.98,18,1428.37,79.35,22,Driftwood Barstool,2025-12-13,424.91,198,2.15,3.36
1765658131700,825,731,3.54,2.91,48.37,24,1815.26,75.64,30,Driftwood Barstool,2025-12-13,472.66,207,2.28,3.84
