ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,676,617,5.88,2.93,41.04,20,1496.34,74.82,30,Solstice Ceramic Set,2025-12-12,430.62,232,1.86,3.47
1765564531700,647,579,5.39,2.62,34.37,17,1347.49,79.26,27,Solstice Ceramic Set,2025-12-12,434.48,167,2.60,3.10
1765568131700,678,570,3.83,1.68,34.79,11,812.29,73.84,19,Solstice Ceramic Set,2025-12-12,410.66,141,2.91,1.98
1765571731700,693,637,3.81,2.31,43.83,16,1092.74,68.30,27,Solstice Ceramic Set,2025-12-12,440.87,190,2.32,2.48
1765575331700,770,664,4.66,1.71,40.58,13,949.66,73.05,24,Solstice Ceramic Set,2025-12-12,452.93,200,2.26,2.10
1765578931700,849,737,4.46,2.95,47.22,25,1792.68,71.71,44,Solstice Ceramic Set,2025-12-12,484.95,169,2.87,3.70
1765582531700,930,879,5.23,3.18,44.64,30,1941.23,64.71,45,Solstice Ceramic Set,2025-12-12,467.02,259,1.80,4.16
1765586131700,1028,943,5.01,2.72,40.17,28,1955.02,69.82,38,Solstice Ceramic Set,2025-12-13,402.65,173,2.33,4.86
1765589731700,1083,1011,7.01,2.90,45.90,31,2062.31,66.53,43,Solstice Ceramic Set,2025-12-13,459.15,178,2.58,4.49
1765593331700,1199,1060,7.73,2.21,40.49,27,1786.96,66.18,33,Solstice Ceramic Set,2025-12-13,435.66,176,2.48,4.10
1765596931700,1260,1160,8.13,2.88,39.58,36,2488.98,69.14,44,Solstice Ceramic Set,2025-12-13,464.60,239,1.94,5.36
1765600531700,1317,1216,7.60,2.95,41.78,39,2903.73,74.45,62,Solstice Ceramic Set,2025-12-13,511.70,216,2.37,5.67
1765604131700,1339,1137,8.47,2.77,44.08,37,2658.01,71.84,65,Solstice Ceramic Set,2025-12-13,463.86,243,1.91,5.73
1765607731700,1351,1177,9.72,3.06,48.78,41,2561.11,62.47,55,Solstice Ceramic Set,2025-12-13,419.37,198,2.12,6.11
1765611331700,1347,1216,7.91,3.58,49.61,48,3708.70,77.26,79,Solstice Ceramic Set,2025-12-13,521.50,179,2.91,7.11
1765614931700,1315,1224,7.29,2.36,38.69,31,2455.65,79.21,42,Solstice Ceramic Set,2025-12-13,496.58,184,2.70,4.95
1765618531700,1236,1001,9.07,3.88,39.55,48,3238.91,67.48,64,Solstice Ceramic Set,2025-12-13,510.13,252,2.02,6.35
1765622131700,1202,983,8.71,2.34,49.16,28,2223.90,79.43,35,Solstice Ceramic Set,2025-12-13,466.69,182,2.56,4.77
1765625731700,1115,1031,5.77,3.53,47.66,39,2960.55,75.91,49,Solstice Ceramic Set,2025-12-13,432.47,204,2.12,6.85
1765629331700,1010,844,7.96,2.68,45.31,27,1699.41,62.94,43,Solstice Ceramic Set,2025-12-13,447.24,176,2.54,3.80
1765632931700,934,840,4.95,1.75,38.81,16,1227.54,76.72,28,Solstice Ceramic Set,2025-12-13,397.13,162,2.45,3.09
1765636531700,830,715,4.84,1.73,38.45,14,992.50,70.89,20,Solstice Ceramic Set,2025-12-13,436.67,163,2.68,2.27
1765640131700,781,703,5.23,2.54,43.31,20,1432.43,71.62,35,Solstice Ceramic Set,2025-12-13,398.80,201,1.98,3.59
1765643731700,727,678,4.54,2.67,37.46,19,1331.11,70.06,27,Solstice Ceramic Set,2025-12-13,472.26,167,2.83,2.82
1765647331700,756,705,6.06,2.45,33.13,18,1258.93,69.94,22,Solstice Ceramic Set,2025-12-13,464.20,209,2.22,2.71
1765650931700,729,666,3.63,2.24,40.67,16,1043.56,65.22,29,Solstice Ceramic Set,2025-12-13,398.42,175,2.28,2.62
1765654531700,732,587,5.01,1.87,41.92,14,914.00,65.29,18,Solstice Ceramic Set,2025-12-13,420.34,175,2.40,2.17
1765658131700,793,639,5.82,2.25,36.76,18,1222.84,67.94,32,Solstice Ceramic Set,2025-12-13,381.85,158,2.42,3.20
1765661731700,832,699,4.49,2.28,49.02,19,1394.12,73.37,30,Solstice Ceramic Set,2025-12-13,408.86,219,1.87,3.41
1765665331700,921,791,5.77,2.79,45.46,26,1886.29,72.55,39,Solstice Ceramic Set,2025-12-13,470.22,245,1.92,4.01
1765668931700,1016,819,7.00,1.82,46.38,18,1140.68,63.37,31,Solstice Ceramic Set,2025-12-13,484.52,233,2.08,2.35
1765672531700,1101,898,8.00,2.64,39.78,29,2159.49,74.47,42,Solstice Ceramic Set,2025-12-14,458.45,231,1.98,4.71
1765676131700,1197,964,6.03,2.30,49.75,28,1772.52,63.30,45,Solstice Ceramic Set,2025-12-14,464.74,179,2.60,3.81
1765679731700,1282,1200,8.68,3.27,46.78,42,2792.05,66.48,74,Solstice Ceramic Set,2025-12-14,464.01,162,2.86,6.02
1765683331700,1372,1136,7.31,2.43,45.17,33,2490.67,75.47,48,Solstice Ceramic Set,2025-12-14,507.32,235,2.16,4.91
