ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,690,634,3.10,2.24,37.68,15,1206.23,80.42,23,Lumen Glassware,2025-12-12,451.04,185,2.44,2.67
1765564531700,685,568,4.35,2.24,47.71,15,1047.97,69.86,22,Lumen Glassware,2025-12-12,404.52,166,2.44,2.59
1765568131700,694,589,3.15,2.99,40.60,21,1696.06,80.76,30,Lumen Glassware,2025-12-12,379.88,159,2.39,4.46
1765571731700,719,645,5.26,1.70,35.72,12,966.38,80.53,18,Lumen Glassware,2025-12-12,477.27,201,2.37,2.02
1765575331700,790,671,5.12,3.10,34.38,24,1871.49,77.98,45,Lumen Glassware,2025-12-12,454.34,209,2.17,4.12
1765578931700,864,701,4.35,2.83,44.18,24,1883.25,78.47,33,Lumen Glassware,2025-12-12,382.07,197,1.94,4.93
1765582531700,927,840,5.60,2.27,48.07,21,1556.66,74.13,38,Lumen Glassware,2025-12-12,461.48,232,1.99,3.37
1765586131700,1008,897,5.07,2.86,44.22,29,2259.68,77.92,43,Lumen Glassware,2025-12-13,440.48,192,2.29,5.13
1765589731700,1136,1006,6.01,3.28,42.34,37,2580.06,69.73,50,Lumen Glassware,2025-12-13,405.72,215,1.89,6.36
1765593331700,1216,1084,8.96,2.73,37.68,33,2528.99,76.64,62,Lumen Glassware,2025-12-13,426.01,161,2.65,5.94
1765596931700,1280,1134,7.24,3.37,45.03,43,3086.40,71.78,52,Lumen Glassware,2025-12-13,433.23,210,2.06,7.12
1765600531700,1326,1201,9.71,3.55,41.27,47,3639.48,77.44,76,Lumen Glassware,2025-12-13,422.84,204,2.07,8.61
1765604131700,1371,1125,9.57,3.84,38.12,53,3483.23,65.72,74,Lumen Glassware,2025-12-13,519.38,274,1.90,6.71
1765607731700,1390,1242,7.84,3.27,52.83,45,3330.02,74.00,71,Lumen Glassware,2025-12-13,455.04,171,2.66,7.32
1765611331700,1365,1142,7.00,2.77,42.84,38,2692.22,70.85,64,Lumen Glassware,2025-12-13,523.35,274,1.91,5.14
1765614931700,1347,1254,7.04,3.59,38.58,48,3142.32,65.47,80,Lumen Glassware,2025-12-13,449.91,188,2.39,6.98
1765618531700,1275,1162,7.90,2.75,44.08,35,2804.19,80.12,53,Lumen Glassware,2025-12-13,477.43,230,2.08,5.87
1765622131700,1181,981,7.88,3.38,45.10,40,3119.85,78.00,61,Lumen Glassware,2025-12-13,482.35,219,2.20,6.47
1765625731700,1123,1017,7.88,3.69,38.38,41,3294.75,80.36,51,Lumen Glassware,2025-12-13,405.06,155,2.61,8.13
1765629331700,1019,818,7.18,2.05,49.39,21,1415.36,67.40,31,Lumen Glassware,2025-12-13,426.17,159,2.68,3.32
1765632931700,925,797,5.77,1.86,49.37,17,1359.70,79.98,26,Lumen Glassware,2025-12-13,393.83,160,2.46,3.45
1765636531700,854,701,5.36,1.80,41.72,15,1211.48,80.77,19,Lumen Glassware,2025-12-13,486.94,175,2.78,2.49
1765640131700,758,689,4.45,3.05,35.47,23,1885.08,81.96,40,Lumen Glassware,2025-12-13,479.91,219,2.19,3.93
1765643731700,713,588,4.32,2.72,48.64,19,1269.31,66.81,34,Lumen Glassware,2025-12-13,449.10,173,2.60,2.83
1765647331700,763,722,5.81,1.30,43.36,10,712.53,71.25,14,Lumen Glassware,2025-12-13,371.50,137,2.71,1.92
1765650931700,750,672,3.62,2.82,42.64,21,1579.85,75.23,33,Lumen Glassware,2025-12-13,411.80,179,2.30,3.84
1765654531700,733,624,5.10,2.51,47.48,18,1419.23,78.85,26,Lumen Glassware,2025-12-13,360.76,151,2.39,3.93
1765658131700,771,684,3.54,1.70,40.45,13,895.17,68.86,16,Lumen Glassware,2025-12-13,425.37,175,2.43,2.10
1765661731700,855,734,4.32,1.65,48.48,14,1001.43,71.53,24,Lumen Glassware,2025-12-13,413.03,219,1.89,2.42
1765665331700,943,783,5.36,3.10,37.74,29,2075.40,71.57,55,Lumen Glassware,2025-12-13,399.62,153,2.61,5.19
1765668931700,1019,861,5.51,2.10,43.75,21,1592.67,75.84,29,Lumen Glassware,2025-12-13,450.14,191,2.36,3.54
1765672531700,1110,911,6.78,3.44,43.45,38,2959.77,77.89,60,Lumen Glassware,2025-12-14,466.32,178,2.62,6.35
1765676131700,1203,1069,6.10,3.35,47.27,40,3304.58,82.61,49,Lumen Glassware,2025-12-14,498.91,209,2.39,6.62
1765679731700,1296,1085,9.00,2.17,38.78,28,1902.68,67.95,34,Lumen Glassware,2025-12-14,467.23,248,1.88,4.07
1765683331700,1411,1158,7.90,3.04,42.12,43,3522.00,81.91,55,Lumen Glassware,2025-12-14,511.76,204,2.51,6.88
1765686931700,1451,1247,7.87,2.56,47.61,37,2496.72,67.48,56,Lumen Glassware,2025-12-14,504.45,265,1.90,4.95
1765690531700,1504,1386,9.09,3.71,50.70,56,3972.19,70.93,100,Lumen Glassware,2025-12-14,423.20,159,2.66,9.39
1765694131700,1518,1335,8.12,3.36,52.45,51,3828.07,75.06,71,Lumen Glassware,2025-12-14,415.71,216,1.92,9.21
1765697731700,1509,1239,7.14,2.78,44.08,42,3072.33,73.15,67,Lumen Glassware,2025-12-14,508.97,211,2.41,6.04
1765701331700,1455,1375,8.97,4.02,45.30,58,4642.51,80.04,80,Lumen Glassware,2025-12-14,403.25,190,2.12,11.51
1765704931700,1378,1261,7.88,3.61,43.87,50,3462.55,69.25,66,Lumen Glassware,2025-12-14,433.61,239,1.81,7.99
1765708531700,1331,1110,6.96,3.34,49.40,45,3715.51,82.57,83,Lumen Glassware,2025-12-14,509.78,232,2.20,7.29
1765712131700,1210,973,6.80,2.97,49.09,36,2623.88,72.89,45,Lumen Glassware,2025-12-14,406.61,194,2.10,6.45
1765715731700,1132,1055,5.45,2.69,42.98,30,2352.72,78.42,38,Lumen Glassware,2025-12-14,448.42,210,2.14,5.25
1765719331700,1002,938,6.81,2.13,34.74,21,1367.89,65.14,34,Lumen Glassware,2025-12-14,460.68,213,2.16,2.97
1765722931700,924,755,4.45,2.47,36.34,23,1706.29,74.19,39,Lumen Glassware,2025-12-14,430.72,207,2.08,3.96
1765726531700,831,714,3.74,2.76,44.98,23,1835.49,79.80,39,Lumen Glassware,2025-12-14,479.30,180,2.66,3.83
1765730131700,786,743,4.50,2.22,42.09,17,1189.08,69.95,27,Lumen Glassware,2025-12-14,457.49,209,2.19,2.60
1765733731700,778,695,3.99,2.62,38.66,20,1313.53,65.68,33,Lumen Glassware,2025-12-14,396.68,147,2.70,3.31
1765737331700,746,644,4.78,2.10,45.44,16,1280.88,80.05,20,Lumen Glassware,2025-12-14,402.89,141,2.86,3.18
1765740931700,756,711,3.16,1.73,41.39,13,1016.92,78.22,21,Lumen Glassware,2025-12-14,449.88,174,2.59,2.26
1765744531700,814,680,4.51,2.57,48.65,21,1595.56,75.98,34,Lumen Glassware,2025-12-14,458.70,222,2.07,3.48
1765748131700,855,697,4.36,2.22,41.69,19,1258.33,66.23,29,Lumen Glassware,2025-12-14,369.65,148,2.50,3.40
1765751731700,927,751,4.72,2.98,41.49,28,2241.65,80.06,43,Lumen Glassware,2025-12-14,403.26,157,2.57,5.56
1765755331700,1025,831,6.07,3.42,47.81,35,2428.90,69.40,54,Lumen Glassware,2025-12-14,445.20,162,2.75,5.46
1765758931700,1145,973,7.18,3.18,36.93,36,2958.93,82.19,48,Lumen Glassware,2025-12-15,397.02,182,2.18,7.45
1765762531700,1258,1029,6.38,3.09,50.26,39,3070.25,78.72,70,Lumen Glassware,2025-12-15,496.31,170,2.92,6.19
1765766131700,1343,1173,8.28,2.33,42.67,31,2246.41,72.46,55,Lumen Glassware,2025-12-15,404.57,208,1.95,5.55
1765769731700,1416,1203,9.14,3.14,39.21,44,3363.34,76.44,75,Lumen Glassware,2025-12-15,500.55,202,2.48,6.72
1765773331700,1480,1379,9.49,3.47,51.18,51,3807.93,74.67,91,Lumen Glassware,2025-12-15,512.97,239,2.15,7.42
1765776931700,1522,1249,7.09,3.53,40.61,54,3698.50,68.49,92,Lumen Glassware,2025-12-15,516.10,228,2.26,7.17
1765780531700,1529,1267,9.76,3.93,43.36,60,4659.62,77.66,76,Lumen Glassware,2025-12-15,494.34,192,2.57,9.43
1765784131700,1505,1379,9.62,3.42,46.78,52,3906.84,75.13,82,Lumen Glassware,2025-12-15,460.86,186,2.48,8.48
1765787731700,1466,1284,9.32,2.87,39.00,42,3065.85,73.00,58,Lumen Glassware,2025-12-15,496.15,246,2.02,6.18
1765791331700,1410,1217,8.77,3.90,37.36,55,3818.42,69.43,87,Lumen Glassware,2025-12-15,416.75,144,2.89,9.16
1765794931700,1347,1181,6.16,3.29,40.06,44,2991.42,67.99,62,Lumen Glassware,2025-12-15,483.65,162,2.99,6.19
1765798531700,1238,1022,6.18,2.94,36.08,36,2587.15,71.87,63,Lumen Glassware,2025-12-15,389.83,209,1.87,6.64
1765802131700,1140,950,7.46,3.32,45.51,38,3016.15,79.37,53,Lumen Glassware,2025-12-15,395.59,199,1.99,7.62
1765805731700,1048,843,7.08,3.07,38.89,32,2320.34,72.51,40,Lumen Glassware,2025-12-15,486.78,163,2.99,4.77
1765809331700,930,870,4.12,2.60,36.40,24,1611.49,67.15,42,Lumen Glassware,2025-12-15,399.50,216,1.85,4.03
1765812931700,882,744,5.15,2.28,36.78,20,1391.54,69.58,31,Lumen Glassware,2025-12-15,438.02,153,2.86,3.18
1765816531700,816,726,4.72,2.85,36.52,23,1664.52,72.37,38,Lumen Glassware,2025-12-15,429.23,181,2.37,3.88
1765820131700,714,634,4.71,1.48,42.07,11,871.82,79.26,16,Lumen Glassware,2025-12-15,443.03,193,2.30,1.97
1765823731700,708,601,5.17,2.03,43.27,14,1103.12,78.79,18,Lumen Glassware,2025-12-15,361.15,169,2.14,3.05
1765827331700,700,597,5.43,2.74,36.95,19,1504.46,79.18,34,Lumen Glassware,2025-12-15,447.06,237,1.89,3.37
1765830931700,743,641,5.42,3.06,43.42,23,1543.40,67.10,41,Lumen Glassware,2025-12-15,400.40,171,2.34,3.85
1765834531700,827,703,3.74,3.14,44.35,26,1861.58,71.60,38,Lumen Glassware,2025-12-15,445.51,179,2.49,4.18
1765838131700,905,761,5.78,1.92,40.05,17,1262.73,74.28,21,Lumen Glassware,2025-12-15,487.17,163,2.99,2.59
