ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,714,606,4.83,2.99,41.33,21,1454.56,69.26,39,Velvet Bay Candle,2025-12-12,385.46,208,1.85,3.77
1765564531700,689,581,4.52,1.32,34.86,9,731.96,81.33,14,Velvet Bay Candle,2025-12-12,439.00,215,2.04,1.67
1765568131700,684,638,3.17,2.40,42.40,16,1319.60,82.48,25,Velvet Bay Candle,2025-12-12,369.36,131,2.82,3.57
1765571731700,735,594,6.26,1.73,48.83,13,1043.71,80.29,19,Velvet Bay Candle,2025-12-12,423.27,207,2.04,2.47
1765575331700,806,672,4.05,1.87,43.96,15,1064.47,70.96,21,Velvet Bay Candle,2025-12-12,434.11,211,2.06,2.45
1765578931700,855,756,6.04,1.71,40.65,15,1030.35,68.69,23,Velvet Bay Candle,2025-12-12,462.51,195,2.37,2.23
1765582531700,932,832,6.52,1.71,36.55,16,1235.64,77.23,21,Velvet Bay Candle,2025-12-12,399.69,179,2.23,3.09
1765586131700,1050,888,7.73,2.92,35.64,31,2526.74,81.51,51,Velvet Bay Candle,2025-12-13,440.31,229,1.92,5.74
1765589731700,1136,973,7.20,2.96,44.76,34,2846.11,83.71,63,Velvet Bay Candle,2025-12-13,438.14,165,2.66,6.50
1765593331700,1230,1039,8.62,3.86,41.47,48,3489.79,72.70,90,Velvet Bay Candle,2025-12-13,471.94,244,1.93,7.39
1765596931700,1282,1117,8.36,2.98,39.18,38,3076.70,80.97,55,Velvet Bay Candle,2025-12-13,415.01,158,2.63,7.41
1765600531700,1362,1263,7.68,2.65,41.22,36,2880.43,80.01,59,Velvet Bay Candle,2025-12-13,472.43,209,2.26,6.10
1765604131700,1391,1150,9.24,3.67,46.97,51,3480.02,68.24,67,Velvet Bay Candle,2025-12-13,465.73,219,2.13,7.47
1765607731700,1377,1131,9.36,4.16,46.80,57,4138.28,72.60,81,Velvet Bay Candle,2025-12-13,467.37,245,1.91,8.85
1765611331700,1381,1197,8.14,3.02,41.68,42,3588.70,85.45,69,Velvet Bay Candle,2025-12-13,472.17,257,1.84,7.60
1765614931700,1359,1219,9.44,2.61,39.08,35,2831.16,80.89,57,Velvet Bay Candle,2025-12-13,445.26,227,1.96,6.36
1765618531700,1289,1088,9.39,3.04,51.13,39,3205.21,82.18,67,Velvet Bay Candle,2025-12-13,486.16,208,2.34,6.59
1765622131700,1199,1027,6.39,3.66,42.34,44,3526.15,80.14,61,Velvet Bay Candle,2025-12-13,494.39,204,2.42,7.13
1765625731700,1134,1018,7.21,3.62,39.62,41,2845.39,69.40,50,Velvet Bay Candle,2025-12-13,454.02,230,1.97,6.27
1765629331700,1025,912,6.09,2.41,35.44,25,1789.36,71.57,32,Velvet Bay Candle,2025-12-13,409.76,222,1.85,4.37
1765632931700,935,836,4.63,2.50,42.11,23,1640.09,71.31,44,Velvet Bay Candle,2025-12-13,467.84,248,1.89,3.51
1765636531700,868,779,6.36,1.66,34.55,14,1039.85,74.27,21,Velvet Bay Candle,2025-12-13,374.58,135,2.77,2.78
1765640131700,769,702,5.56,3.03,42.92,23,1762.86,76.65,42,Velvet Bay Candle,2025-12-13,370.98,137,2.71,4.75
1765643731700,714,650,5.42,1.84,46.70,13,988.04,76.00,17,Velvet Bay Candle,2025-12-13,418.72,190,2.20,2.36
1765647331700,764,684,3.36,2.65,46.39,20,1472.29,73.61,37,Velvet Bay Candle,2025-12-13,445.19,197,2.26,3.31
1765650931700,753,671,4.59,2.68,45.68,20,1381.34,69.07,28,Velvet Bay Candle,2025-12-13,419.47,161,2.61,3.29
1765654531700,767,705,4.55,2.78,33.19,21,1571.72,74.84,37,Velvet Bay Candle,2025-12-13,423.48,200,2.12,3.71
1765658131700,817,745,5.83,2.49,43.88,20,1615.27,80.76,30,Velvet Bay Candle,2025-12-13,402.51,189,2.13,4.01
1765661731700,859,759,3.96,1.59,42.02,14,1143.90,81.71,21,Velvet Bay Candle,2025-12-13,462.15,229,2.02,2.48
1765665331700,939,868,4.10,3.10,45.72,29,1983.97,68.41,42,Velvet Bay Candle,2025-12-13,382.19,156,2.45,5.19
1765668931700,1046,959,7.44,2.33,38.90,24,1898.55,79.11,44,Velvet Bay Candle,2025-12-13,455.81,163,2.80,4.17
1765672531700,1141,1058,7.33,1.85,43.46,21,1631.97,77.71,26,Velvet Bay Candle,2025-12-14,489.28,191,2.56,3.34
1765676131700,1254,1111,6.84,3.74,39.26,47,3284.59,69.88,78,Velvet Bay Candle,2025-12-14,440.57,232,1.90,7.46
1765679731700,1320,1140,8.16,2.23,43.32,29,2098.40,72.36,50,Velvet Bay Candle,2025-12-14,454.51,170,2.67,4.62
1765683331700,1409,1300,8.21,2.69,42.90,38,2980.27,78.43,61,Velvet Bay Candle,2025-12-14,484.63,185,2.62,6.15
1765686931700,1483,1243,6.74,4.01,43.08,59,4330.06,73.39,85,Velvet Bay Candle,2025-12-14,499.62,243,2.06,8.67
1765690531700,1506,1259,8.61,3.15,52.20,47,3994.40,84.99,81,Velvet Bay Candle,2025-12-14,461.93,169,2.73,8.65
1765694131700,1537,1249,7.77,2.59,41.05,40,2993.67,74.84,49,Velvet Bay Candle,2025-12-14,523.12,217,2.41,5.72
1765697731700,1528,1285,7.39,3.97,39.54,61,5128.75,84.08,78,Velvet Bay Candle,2025-12-14,450.86,222,2.03,11.38
1765701331700,1490,1256,9.09,4.10,43.58,61,4840.99,79.36,100,Velvet Bay Candle,2025-12-14,483.58,206,2.35,10.01
1765704931700,1396,1279,9.14,3.47,50.71,48,3882.26,80.88,74,Velvet Bay Candle,2025-12-14,420.64,168,2.50,9.23
1765708531700,1346,1096,6.08,2.31,36.81,31,2605.78,84.06,38,Velvet Bay Candle,2025-12-14,422.51,194,2.18,6.17
1765712131700,1240,1104,6.56,2.12,37.11,26,1860.65,71.56,39,Velvet Bay Candle,2025-12-14,448.37,246,1.82,4.15
1765715731700,1152,976,6.35,3.07,36.43,35,2694.87,77.00,61,Velvet Bay Candle,2025-12-14,399.72,199,2.01,6.74
