ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,16.29,5.25,93.15,297.30,4.30,99.29,113.44
1765564531700,15.76,5.98,93.58,297.42,4.30,99.81,113.03
1765568131700,15.56,4.26,92.36,297.71,4.27,99.80,112.95
1765571731700,15.28,4.91,92.47,297.35,4.31,100.18,112.65
1765575331700,16.94,6.84,93.50,297.50,4.22,99.11,113.13
1765578931700,16.07,7.67,92.37,297.68,4.31,99.59,113.04
1765582531700,16.44,5.62,93.56,297.44,4.40,99.16,112.88
1765586131700,16.28,8.30,92.36,297.53,4.24,99.59,113.40
1765589731700,16.13,7.85,92.47,297.77,4.24,99.19,112.52
1765593331700,16.40,8.76,92.15,297.29,4.21,99.28,113.03
1765596931700,15.31,4.87,93.09,297.56,4.38,99.46,112.52
1765600531700,15.37,4.39,93.34,297.78,4.34,99.85,112.23
1765604131700,15.11,7.54,93.13,297.59,4.37,99.82,112.10
1765607731700,16.87,4.50,92.21,297.06,4.22,99.08,113.08
1765611331700,15.99,8.49,93.92,297.01,4.35,99.23,112.52
1765614931700,15.46,6.86,92.64,297.34,4.37,99.54,112.97
1765618531700,15.61,9.04,92.74,297.53,4.29,99.91,112.73
1765622131700,16.92,4.25,92.62,297.61,4.24,99.77,112.66
1765625731700,15.52,4.79,92.87,297.16,4.30,99.91,112.81
1765629331700,16.20,5.57,92.82,297.06,4.24,99.13,112.43
1765632931700,15.92,6.32,93.54,297.12,4.31,99.34,112.70
1765636531700,16.79,8.62,92.57,297.59,4.33,99.40,112.33
1765640131700,16.79,5.89,93.32,297.07,4.24,100.16,113.41
1765643731700,16.26,7.46,93.12,297.44,4.36,99.22,112.25
1765647331700,15.23,3.13,92.58,297.82,4.32,99.47,113.36
1765650931700,15.24,3.56,92.79,297.46,4.22,99.78,112.49
1765654531700,16.87,3.38,92.61,297.14,4.22,100.40,112.60
1765658131700,16.04,3.60,92.50,297.11,4.28,99.56,112.89
1765661731700,16.30,3.14,93.85,297.26,4.35,100.23,112.61
1765665331700,16.95,3.66,92.68,297.64,4.37,100.37,112.79
1765668931700,16.58,8.59,93.25,297.49,4.25,100.26,113.32
1765672531700,15.18,5.12,93.14,297.23,4.39,100.04,113.13
1765676131700,16.50,3.02,93.85,297.26,4.27,100.08,113.27
1765679731700,15.31,5.67,93.33,297.44,4.29,99.37,112.83
1765683331700,15.84,4.58,92.55,297.58,4.27,99.74,113.15
1765686931700,16.40,7.57,93.27,297.82,4.33,100.14,112.52
1765690531700,16.84,5.11,94.17,297.23,4.33,99.54,112.47
1765694131700,16.64,8.71,93.24,297.78,4.27,100.21,112.90
1765697731700,17.07,5.63,92.85,297.82,4.32,99.90,113.37
1765701331700,16.85,3.39,94.28,297.63,4.38,99.58,113.71
1765704931700,16.29,5.29,94.22,297.11,4.23,100.42,113.56
1765708531700,17.00,8.07,94.03,297.08,4.40,99.61,112.39
1765712131700,16.36,3.32,94.29,297.79,4.39,100.38,113.58
1765715731700,16.91,7.83,93.68,297.61,4.30,100.34,113.64
1765719331700,16.00,3.76,93.45,297.56,4.30,99.75,113.22
1765722931700,16.68,8.43,92.67,297.20,4.22,99.54,112.67
1765726531700,15.82,7.21,93.48,297.84,4.40,99.60,112.47
1765730131700,17.06,3.49,92.46,297.27,4.33,100.28,113.47
1765733731700,16.52,2.87,93.05,297.73,4.29,100.04,113.49
1765737331700,15.60,2.14,94.72,297.43,4.26,100.19,113.72
1765740931700,15.29,2.66,93.55,297.26,4.32,99.74,112.77
1765744531700,16.56,2.81,93.98,297.30,4.27,100.20,113.51
1765748131700,16.86,1.79,93.34,297.15,4.28,100.15,113.04
1765751731700,15.80,7.09,93.84,297.41,4.40,100.67,113.81
1765755331700,15.85,6.87,93.97,297.55,4.24,100.55,113.79
1765758931700,15.25,3.93,93.43,297.30,4.41,99.92,113.72
1765762531700,15.54,3.81,94.07,297.83,4.32,100.17,113.04
1765766131700,16.69,4.32,94.13,297.29,4.33,99.79,113.48
1765769731700,15.87,5.76,92.99,297.19,4.30,100.51,114.05
1765773331700,16.78,3.60,93.52,297.78,4.24,99.85,112.96
1765776931700,15.32,7.46,93.02,297.59,4.32,99.72,113.69
1765780531700,16.01,5.86,93.64,297.83,4.36,99.73,112.75
1765784131700,15.34,4.89,93.01,297.35,4.34,99.92,113.82
1765787731700,17.00,6.48,93.99,297.30,4.41,100.12,112.82
1765791331700,16.37,4.57,94.57,297.30,4.27,100.20,113.31
1765794931700,15.77,6.26,93.64,297.58,4.23,99.74,112.72
1765798531700,15.34,6.64,93.61,297.45,4.28,100.03,113.85
1765802131700,16.67,3.25,94.76,297.63,4.23,100.59,113.71
1765805731700,16.85,5.45,94.46,297.35,4.29,100.32,113.78
1765809331700,15.41,7.60,94.62,297.78,4.41,99.86,112.99
1765812931700,16.97,3.68,93.67,297.62,4.41,100.48,113.66
1765816531700,15.29,6.90,93.33,297.46,4.36,99.83,114.10
1765820131700,16.06,3.58,94.21,297.89,4.26,100.26,114.21
1765823731700,16.14,0.85,94.28,297.87,4.30,100.29,113.04
1765827331700,16.65,3.11,93.45,297.23,4.27,100.83,113.99
1765830931700,16.31,2.13,93.48,297.75,4.39,100.01,113.41
1765834531700,16.24,4.16,94.82,297.44,4.43,100.81,113.34
1765838131700,16.95,5.22,94.27,297.26,4.31,100.11,114.09
1765841731700,15.54,4.37,95.03,297.87,4.33,100.75,114.21
1765845331700,16.48,3.45,94.25,297.29,4.35,101.05,114.29
1765848931700,15.59,4.25,94.81,297.68,4.33,99.99,113.34
1765852531700,15.64,1.72,94.77,297.50,4.38,100.41,113.56
1765856131700,16.60,2.00,95.09,297.24,4.28,101.05,113.49
1765859731700,15.92,5.44,93.83,297.25,4.42,101.01,114.45
1765863331700,17.19,2.10,94.40,297.26,4.42,100.59,114.06
1765866931700,16.85,1.35,93.29,297.57,4.39,100.42,113.02
1765870531700,15.49,4.59,94.86,297.21,4.36,100.28,114.28
1765874131700,17.24,5.20,95.14,297.47,4.38,100.84,114.21
1765877731700,16.55,4.03,94.68,297.41,4.25,100.20,113.37
1765881331700,16.14,5.26,95.09,297.56,4.30,100.58,113.96
1765884931700,15.78,2.68,94.26,297.95,4.29,100.14,113.73
1765888531700,16.45,4.95,94.19,297.34,4.37,100.06,113.66
1765892131700,16.72,1.24,93.67,297.70,4.43,100.40,113.74
1765895731700,16.00,1.34,93.82,297.63,4.36,100.08,114.12
1765899331700,17.35,2.30,95.11,297.22,4.43,100.56,114.22
1765902931700,16.77,1.84,93.48,298.00,4.33,100.39,113.87
1765906531700,16.47,5.74,95.04,298.08,4.39,101.15,113.35
1765910131700,16.43,5.09,94.99,297.64,4.28,100.82,113.58
1765913731700,16.78,4.77,94.56,297.88,4.30,100.41,114.31
1765917331700,15.53,5.45,94.44,297.47,4.28,100.50,113.55
1765920931700,15.93,3.08,94.60,297.57,4.39,100.77,114.78
1765924531700,15.88,5.52,95.53,297.50,4.33,101.10,114.29
1765928131700,17.13,5.64,95.53,297.45,4.36,100.75,113.55
1765931731700,16.61,3.18,95.12,297.35,4.33,100.59,114.19
