ts,temp_c,precip_mm,consumer_confidence,cpi,unemployment_rate,usd_index,retail_sales_index
1765560931700,15.90,4.41,93.07,297.64,4.27,99.11,112.96
1765564531700,15.25,8.85,92.61,297.66,4.30,99.78,113.11
1765568131700,16.57,8.17,93.65,297.65,4.25,99.40,113.39
1765571731700,15.01,8.59,92.84,297.49,4.34,99.33,112.10
1765575331700,16.38,4.87,92.64,297.33,4.39,99.30,112.67
1765578931700,16.19,7.34,93.94,297.46,4.32,99.51,112.04
1765582531700,16.59,7.87,93.79,297.49,4.28,99.86,112.88
1765586131700,16.73,5.77,93.15,297.45,4.21,100.15,112.51
1765589731700,16.04,8.11,93.23,297.17,4.22,100.12,113.23
1765593331700,16.67,6.94,92.35,297.45,4.24,99.74,112.85
1765596931700,16.95,7.99,92.53,297.01,4.22,99.67,112.35
1765600531700,15.20,6.85,93.66,297.51,4.28,99.87,113.34
1765604131700,15.98,5.00,92.59,297.45,4.38,100.12,112.52
1765607731700,15.45,4.68,92.82,297.36,4.32,99.60,112.21
1765611331700,15.59,7.72,93.76,297.65,4.20,99.24,112.34
1765614931700,15.02,8.31,92.21,297.36,4.39,100.20,112.14
1765618531700,15.41,4.61,92.34,297.52,4.27,99.57,112.09
1765622131700,15.31,4.55,93.83,297.36,4.25,99.37,113.48
1765625731700,15.38,3.60,93.21,297.03,4.37,99.53,113.24
1765629331700,15.05,3.57,92.44,297.64,4.21,99.16,113.07
1765632931700,15.45,5.80,93.86,297.25,4.34,99.17,113.08
1765636531700,16.23,8.17,93.00,297.51,4.28,99.22,112.53
1765640131700,15.78,8.11,93.82,297.10,4.24,99.25,112.63
1765643731700,16.08,8.22,92.03,297.11,4.30,99.00,112.17
1765647331700,15.90,3.24,93.95,297.53,4.32,99.34,112.87
1765650931700,16.65,4.81,92.74,297.32,4.31,100.41,112.49
1765654531700,15.87,8.69,93.66,297.31,4.29,99.92,113.18
1765658131700,15.79,6.56,93.24,297.15,4.26,99.83,113.69
1765661731700,15.28,5.26,92.62,297.43,4.38,99.78,113.19
1765665331700,15.20,6.64,93.94,297.53,4.26,100.08,112.47
1765668931700,17.03,5.83,94.30,297.69,4.26,100.20,113.16
1765672531700,15.20,8.43,93.65,297.71,4.36,99.61,113.01
1765676131700,16.58,5.24,92.66,297.25,4.32,99.36,112.74
1765679731700,16.94,6.11,93.00,297.84,4.25,99.67,113.07
1765683331700,15.91,6.26,93.50,297.26,4.32,100.21,113.44
1765686931700,16.42,7.86,94.13,297.34,4.39,100.45,112.38
1765690531700,16.74,6.06,92.48,297.67,4.34,100.43,112.47
1765694131700,17.09,6.01,93.60,297.51,4.25,100.00,113.36
1765697731700,15.50,6.89,92.58,297.19,4.36,100.27,113.71
1765701331700,16.46,6.62,93.70,297.18,4.30,100.47,112.89
1765704931700,15.44,7.82,93.68,297.38,4.25,100.08,113.26
1765708531700,15.13,8.87,92.66,297.31,4.24,99.32,113.21
1765712131700,15.98,2.94,92.59,297.37,4.38,100.16,113.47
1765715731700,15.99,8.57,92.45,297.28,4.37,99.94,112.38
1765719331700,15.82,6.48,93.94,297.52,4.30,99.41,112.38
1765722931700,16.02,7.16,94.15,297.09,4.39,100.01,113.41
1765726531700,16.97,5.35,92.67,297.54,4.27,100.01,113.82
1765730131700,16.72,3.28,92.49,297.64,4.24,99.44,113.08
1765733731700,15.26,2.67,93.92,297.35,4.27,100.48,113.21
1765737331700,16.71,6.29,93.84,297.28,4.25,100.46,113.42
1765740931700,15.36,2.58,94.01,297.86,4.38,99.96,113.75
1765744531700,15.34,1.79,94.30,297.30,4.27,100.01,113.23
1765748131700,16.29,2.29,93.42,297.62,4.24,100.74,113.40
1765751731700,16.05,5.67,93.96,297.32,4.37,100.38,113.56
1765755331700,16.28,5.44,93.84,297.32,4.24,100.68,112.82
1765758931700,16.38,3.57,94.83,297.94,4.25,100.18,113.03
1765762531700,15.60,6.23,94.02,297.64,4.42,100.33,113.18
1765766131700,16.75,3.35,94.54,297.90,4.25,100.61,112.71
1765769731700,15.43,6.82,92.87,297.43,4.27,100.11,113.76
1765773331700,16.36,5.57,93.89,297.44,4.42,100.62,112.79
1765776931700,16.60,5.75,93.52,297.46,4.37,99.82,112.98
1765780531700,16.05,2.24,93.39,297.60,4.25,100.63,112.72
1765784131700,15.37,4.10,93.46,297.92,4.39,100.53,114.07
1765787731700,16.22,7.22,93.03,297.58,4.25,100.07,112.72
1765791331700,15.83,5.55,93.76,297.65,4.33,99.67,113.68
1765794931700,15.45,6.35,93.20,297.94,4.33,99.95,113.44
1765798531700,17.14,4.32,94.65,297.48,4.35,100.82,113.58
1765802131700,15.37,2.43,94.05,297.73,4.24,100.59,112.83
1765805731700,15.91,5.46,94.73,297.34,4.25,100.09,112.95
1765809331700,16.94,6.70,93.31,297.57,4.39,99.77,113.92
1765812931700,15.64,4.91,93.06,297.38,4.38,99.64,113.95
1765816531700,15.80,5.32,94.79,297.56,4.34,100.02,114.16
1765820131700,16.61,1.56,94.17,297.49,4.43,100.65,113.62
1765823731700,15.67,5.43,93.71,297.27,4.41,100.25,113.91
1765827331700,15.64,5.01,95.09,297.91,4.24,100.59,113.95
1765830931700,15.40,4.67,94.68,297.47,4.30,100.06,114.06
1765834531700,17.15,3.24,94.20,297.24,4.43,100.69,113.42
1765838131700,15.50,3.28,93.36,297.99,4.41,100.17,113.59
1765841731700,15.49,6.42,93.29,297.33,4.39,100.85,113.20
1765845331700,17.18,5.20,94.23,297.59,4.42,100.73,113.11
1765848931700,15.86,1.02,94.38,297.99,4.29,100.95,114.33
1765852531700,15.77,3.85,93.36,297.57,4.24,100.23,113.23
1765856131700,17.11,2.39,93.78,297.99,4.36,100.22,114.06
1765859731700,15.54,6.41,93.69,297.91,4.37,100.38,114.00
1765863331700,15.67,3.84,94.45,297.85,4.35,101.01,113.87
1765866931700,16.80,2.67,94.92,297.85,4.43,100.42,113.76
1765870531700,15.85,1.83,94.13,297.34,4.43,100.90,114.39
1765874131700,15.84,4.25,94.27,297.55,4.34,100.31,113.30
1765877731700,17.03,1.11,94.64,297.55,4.28,100.22,113.56
1765881331700,16.15,4.47,94.70,297.88,4.28,100.62,114.44
1765884931700,16.56,2.46,93.55,298.00,4.26,100.25,113.58
1765888531700,16.77,5.24,94.44,297.47,4.42,100.46,114.31
1765892131700,16.58,4.08,93.33,297.96,4.43,100.72,113.67
1765895731700,16.36,6.48,93.62,297.63,4.31,100.47,113.10
1765899331700,16.17,1.32,94.05,297.81,4.24,100.09,113.85
1765902931700,15.84,1.23,93.45,297.85,4.43,100.26,114.42
1765906531700,16.34,5.92,95.01,297.28,4.31,100.71,114.11
1765910131700,17.32,4.77,93.71,297.96,4.37,100.57,114.03
1765913731700,17.05,4.93,95.04,297.29,4.33,100.66,113.32
1765917331700,17.04,3.87,95.29,297.90,4.29,100.51,114.69
1765920931700,16.90,1.48,94.36,297.61,4.36,100.88,113.52
1765924531700,17.44,2.04,95.19,297.44,4.31,101.11,113.57
1765928131700,15.68,4.41,93.80,297.54,4.44,100.29,114.30
1765931731700,17.06,1.95,93.98,297.30,4.27,100.49,113.55
1765935331700,16.77,3.62,94.10,297.59,4.44,100.75,114.05
1765938931700,16.49,1.33,95.05,297.80,4.30,100.95,114.67
1765942531700,17.38,4.30,94.26,297.75,4.40,100.88,114.01
1765946131700,15.98,3.27,95.58,297.34,4.30,100.29,114.31
1765949731700,16.44,1.11,94.11,298.07,4.31,100.61,114.79
1765953331700,15.56,2.39,94.10,297.71,4.31,100.63,113.72
1765956931700,15.60,3.03,94.34,297.50,4.32,100.85,114.73
1765960531700,16.96,1.65,95.49,297.34,4.40,101.40,113.69
1765964131700,16.00,0.67,94.38,297.70,4.40,101.41,113.35
1765967731700,16.69,1.56,95.08,297.34,4.29,101.10,113.87
1765971331700,16.42,1.31,94.84,297.39,4.40,100.81,114.16
1765974931700,16.49,5.28,95.03,297.32,4.31,100.90,113.48
1765978531700,16.92,6.20,93.85,297.96,4.37,100.72,113.66
1765982131700,15.53,5.09,94.28,298.06,4.41,101.30,114.61
1765985731700,16.52,1.48,95.59,297.36,4.28,100.67,114.48
1765989331700,16.77,3.08,95.08,298.02,4.34,100.82,114.16
1765992931700,16.39,5.22,94.43,298.04,4.45,100.52,113.95
1765996531700,15.64,1.92,95.37,297.52,4.35,101.31,114.61
1766000131700,17.48,4.82,94.64,297.90,4.37,100.93,114.69
1766003731700,15.95,2.82,94.85,297.93,4.32,101.23,114.66
1766007331700,16.18,5.38,95.54,297.54,4.36,101.02,114.62
1766010931700,15.94,5.79,95.13,298.01,4.40,100.92,113.71
1766014531700,15.82,2.48,95.28,297.89,4.30,101.61,114.44
1766018131700,17.31,3.79,95.24,297.70,4.30,100.68,115.10
1766021731700,16.25,2.54,95.38,297.47,4.40,101.45,114.64
1766025331700,16.78,2.46,95.53,297.89,4.30,101.11,114.49
1766028931700,16.45,3.36,94.07,298.00,4.37,100.90,114.97
1766032531700,16.93,4.00,94.09,298.11,4.35,100.54,114.17
1766036131700,17.23,3.56,95.49,297.53,4.43,101.30,114.65
1766039731700,15.77,4.17,95.80,297.90,4.42,101.16,114.03
1766043331700,16.00,2.77,94.23,297.60,4.28,100.77,114.09
1766046931700,16.02,2.82,94.27,297.88,4.31,100.77,114.17
1766050531700,15.74,5.19,94.27,297.59,4.37,100.54,114.98
1766054131700,16.45,7.15,94.74,297.60,4.33,100.95,113.70
1766057731700,15.97,5.81,94.26,297.56,4.41,101.64,114.49
1766061331700,16.87,3.62,95.59,297.58,4.37,100.62,113.85
1766064931700,16.33,3.88,94.73,297.87,4.43,101.00,113.96
1766068531700,16.07,6.44,94.54,297.90,4.41,100.52,115.05
1766072131700,16.80,2.87,95.75,297.91,4.41,101.64,114.60
1766075731700,16.53,4.69,95.12,297.78,4.42,100.56,113.99
1766079331700,17.32,3.35,94.52,297.46,4.31,101.52,114.23
1766082931700,16.62,6.34,96.07,297.80,4.33,101.79,114.61
1766086531700,17.05,4.53,96.18,297.98,4.29,101.26,114.60
1766090131700,16.36,4.04,94.75,298.17,4.36,101.75,114.87
1766093731700,16.46,3.92,95.96,297.71,4.28,101.64,114.01
1766097331700,17.26,6.63,95.90,297.84,4.38,101.33,114.01
1766100931700,17.44,8.76,96.23,297.95,4.34,101.47,114.13
1766104531700,15.93,6.20,95.05,297.46,4.37,101.74,114.15
1766108131700,16.86,6.18,96.01,297.57,4.33,100.91,113.96
1766111731700,17.51,7.60,96.38,298.05,4.35,101.11,113.97
1766115331700,16.47,7.71,95.90,297.86,4.34,101.43,114.72
1766118931700,17.31,4.37,95.38,297.91,4.45,101.26,115.20
1766122531700,17.43,4.58,94.70,298.02,4.42,101.29,114.74
1766126131700,17.53,6.96,94.88,297.84,4.47,101.55,114.50
1766129731700,15.86,5.69,95.65,297.66,4.44,100.85,114.37
1766133331700,15.76,7.36,96.32,297.62,4.46,101.92,115.26
1766136931700,17.25,6.42,96.09,298.21,4.34,101.71,115.13
1766140531700,15.92,3.10,95.66,298.21,4.34,101.75,114.48
1766144131700,16.68,6.92,94.73,297.53,4.33,100.88,115.05
1766147731700,17.67,7.12,96.22,297.46,4.34,101.36,114.17
