ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,913,834,6.51,3.16,35.65,29,2216.24,76.42,38,Cedar Accent Chair,2025-12-12,417.12,182,2.29,5.31
1765564531700,864,776,8.15,4.45,32.38,38,3027.03,79.66,49,Cedar Accent Chair,2025-12-12,420.70,184,2.29,7.20
1765568131700,886,828,6.64,3.97,36.37,35,2822.81,80.65,58,Cedar Accent Chair,2025-12-12,442.20,220,2.01,6.38
1765571731700,954,898,9.33,3.19,33.75,30,2341.94,78.06,40,Cedar Accent Chair,2025-12-12,434.57,197,2.21,5.39
1765575331700,1002,915,8.44,4.70,28.22,47,3573.91,76.04,61,Cedar Accent Chair,2025-12-12,398.86,215,1.86,8.96
1765578931700,1100,1009,9.71,4.95,33.27,54,4651.75,86.14,96,Cedar Accent Chair,2025-12-12,468.35,177,2.65,9.93
1765582531700,1202,1111,8.51,4.93,30.99,59,5391.98,91.39,84,Cedar Accent Chair,2025-12-12,422.11,156,2.71,12.77
1765586131700,1346,1269,10.24,4.84,34.02,65,5688.70,87.52,103,Cedar Accent Chair,2025-12-13,383.20,203,1.89,14.85
1765589731700,1461,1175,9.02,3.84,43.58,56,4205.93,75.11,97,Cedar Accent Chair,2025-12-13,441.98,184,2.40,9.52
1765593331700,1570,1395,10.53,5.52,38.42,87,6569.12,75.51,160,Cedar Accent Chair,2025-12-13,493.82,247,2.00,13.30
1765596931700,1669,1335,10.78,4.19,44.87,70,5582.71,79.75,129,Cedar Accent Chair,2025-12-13,498.45,170,2.93,11.20
1765600531700,1753,1480,10.82,5.70,35.72,100,8106.14,81.06,151,Cedar Accent Chair,2025-12-13,450.49,235,1.92,17.99
1765604131700,1796,1496,12.41,4.33,46.65,78,6350.11,81.41,121,Cedar Accent Chair,2025-12-13,471.69,243,1.94,13.46
1765607731700,1811,1498,12.38,4.30,32.64,78,6949.99,89.10,117,Cedar Accent Chair,2025-12-13,481.93,243,1.98,14.42
1765611331700,1788,1690,11.14,4.20,40.65,75,6688.11,89.17,119,Cedar Accent Chair,2025-12-13,490.76,264,1.86,13.63
1765614931700,1731,1642,12.22,4.48,46.43,78,6828.25,87.54,130,Cedar Accent Chair,2025-12-13,474.90,221,2.15,14.38
1765618531700,1686,1367,9.88,5.36,46.29,90,7748.73,86.10,142,Cedar Accent Chair,2025-12-13,408.07,147,2.78,18.99
1765622131700,1567,1378,10.46,3.99,43.58,62,4810.29,77.59,97,Cedar Accent Chair,2025-12-13,475.64,172,2.77,10.11
1765625731700,1463,1376,9.08,5.50,39.04,80,6042.92,75.54,139,Cedar Accent Chair,2025-12-13,403.85,217,1.86,14.96
1765629331700,1338,1113,9.89,4.29,29.80,57,5185.83,90.98,70,Cedar Accent Chair,2025-12-13,407.49,212,1.92,12.73
1765632931700,1227,1148,8.85,3.97,36.51,49,4113.44,83.95,76,Cedar Accent Chair,2025-12-13,406.27,202,2.01,10.12
1765636531700,1098,993,9.79,4.50,31.66,49,4495.44,91.74,75,Cedar Accent Chair,2025-12-13,447.92,202,2.22,10.04
1765640131700,996,810,9.06,3.43,40.84,34,2986.45,87.84,61,Cedar Accent Chair,2025-12-13,374.56,160,2.34,7.97
1765643731700,936,783,9.21,3.32,31.04,31,2499.91,80.64,58,Cedar Accent Chair,2025-12-13,456.10,155,2.94,5.48
1765647331700,981,929,6.96,4.18,39.37,41,3112.43,75.91,66,Cedar Accent Chair,2025-12-13,444.96,153,2.91,6.99
1765650931700,942,795,6.88,4.14,28.46,39,3452.86,88.53,51,Cedar Accent Chair,2025-12-13,460.64,213,2.16,7.50
1765654531700,993,901,6.96,4.33,34.86,43,3471.99,80.74,65,Cedar Accent Chair,2025-12-13,429.87,224,1.92,8.08
1765658131700,1029,903,8.91,3.62,40.42,37,3134.21,84.71,52,Cedar Accent Chair,2025-12-13,446.08,213,2.09,7.03
1765661731700,1106,962,7.23,4.57,30.27,51,4660.72,91.39,88,Cedar Accent Chair,2025-12-13,459.66,185,2.48,10.14
1765665331700,1197,1122,9.06,4.75,29.29,57,4224.87,74.12,95,Cedar Accent Chair,2025-12-13,426.51,198,2.15,9.91
1765668931700,1337,1172,8.46,4.09,37.19,55,4290.79,78.01,83,Cedar Accent Chair,2025-12-13,440.10,180,2.44,9.75
1765672531700,1483,1309,8.58,4.89,44.84,73,6004.02,82.25,107,Cedar Accent Chair,2025-12-14,431.79,221,1.95,13.90
1765676131700,1590,1445,11.12,5.33,33.24,85,7079.48,83.29,147,Cedar Accent Chair,2025-12-14,470.60,258,1.82,15.04
1765679731700,1726,1483,9.77,4.93,30.23,85,7490.78,88.13,149,Cedar Accent Chair,2025-12-14,468.47,180,2.60,15.99
1765683331700,1839,1688,9.76,4.47,41.25,82,7327.23,89.36,126,Cedar Accent Chair,2025-12-14,454.65,215,2.11,16.12
1765686931700,1911,1677,10.47,5.27,31.48,101,8859.00,87.71,186,Cedar Accent Chair,2025-12-14,416.39,181,2.30,21.28
1765690531700,1942,1754,10.70,5.18,31.95,101,8181.89,81.01,153,Cedar Accent Chair,2025-12-14,513.20,211,2.43,15.94
1765694131700,1980,1649,11.43,5.10,38.91,101,8711.51,86.25,181,Cedar Accent Chair,2025-12-14,490.85,268,1.83,17.75
1765697731700,1971,1713,10.94,4.40,45.90,87,6871.90,78.99,141,Cedar Accent Chair,2025-12-14,420.64,153,2.75,16.34
1765701331700,1885,1528,11.81,4.69,46.46,88,7459.47,84.77,145,Cedar Accent Chair,2025-12-14,509.57,243,2.10,14.64
1765704931700,1817,1517,10.08,4.90,36.60,89,7208.85,81.00,132,Cedar Accent Chair,2025-12-14,412.89,192,2.15,17.46
1765708531700,1703,1472,9.90,3.95,44.01,67,5644.39,84.24,94,Cedar Accent Chair,2025-12-14,466.09,215,2.17,12.11
1765712131700,1582,1364,10.14,3.93,44.19,62,5402.36,87.13,118,Cedar Accent Chair,2025-12-14,424.21,227,1.87,12.74
1765715731700,1460,1237,10.03,4.59,40.44,67,5800.21,86.57,95,Cedar Accent Chair,2025-12-14,432.83,239,1.81,13.40
1765719331700,1323,1091,10.30,3.56,37.87,47,4282.74,91.12,78,Cedar Accent Chair,2025-12-14,493.31,205,2.41,8.68
1765722931700,1219,1010,8.16,4.17,40.29,51,3781.90,74.15,91,Cedar Accent Chair,2025-12-14,408.83,204,2.00,9.25
1765726531700,1102,1041,8.12,4.81,33.39,53,4207.47,79.39,77,Cedar Accent Chair,2025-12-14,416.55,161,2.59,10.10
1765730131700,1036,919,7.66,3.29,30.57,34,3000.92,88.26,60,Cedar Accent Chair,2025-12-14,365.80,145,2.52,8.20
1765733731700,984,789,9.06,3.60,28.44,35,2629.47,75.13,58,Cedar Accent Chair,2025-12-14,470.63,224,2.10,5.59
1765737331700,989,791,7.67,4.59,42.52,45,3657.12,81.27,77,Cedar Accent Chair,2025-12-14,393.40,204,1.93,9.30
1765740931700,1006,876,7.98,4.63,32.28,47,3694.33,78.60,82,Cedar Accent Chair,2025-12-14,364.23,138,2.64,10.14
1765744531700,1058,992,8.61,4.41,39.88,47,3795.54,80.76,83,Cedar Accent Chair,2025-12-14,471.29,258,1.83,8.05
1765748131700,1115,964,7.55,3.63,31.18,40,3068.25,76.71,67,Cedar Accent Chair,2025-12-14,431.09,174,2.48,7.12
1765751731700,1222,1006,9.29,3.56,37.05,43,3492.44,81.22,74,Cedar Accent Chair,2025-12-14,480.20,249,1.93,7.27
1765755331700,1374,1254,8.21,4.24,30.92,58,5122.28,88.32,105,Cedar Accent Chair,2025-12-14,450.05,211,2.13,11.38
1765758931700,1501,1313,10.05,4.73,30.20,71,6400.58,90.15,94,Cedar Accent Chair,2025-12-15,418.58,218,1.92,15.29
1765762531700,1616,1483,11.61,4.11,32.33,66,5573.90,84.45,104,Cedar Accent Chair,2025-12-15,426.66,144,2.96,13.06
1765766131700,1761,1526,10.33,4.26,40.36,75,6022.02,80.29,130,Cedar Accent Chair,2025-12-15,439.26,176,2.50,13.71
1765769731700,1851,1717,11.32,5.72,33.90,106,8584.77,80.99,153,Cedar Accent Chair,2025-12-15,403.19,205,1.97,21.29
1765773331700,1953,1782,11.73,5.19,33.24,101,8154.39,80.74,173,Cedar Accent Chair,2025-12-15,449.51,173,2.60,18.14
