ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,890,754,8.21,3.63,28.21,32,2413.42,75.42,49,Driftwood Barstool,2025-12-12,435.58,230,1.89,5.54
1765564531700,855,769,9.15,3.01,32.28,26,2076.92,79.88,45,Driftwood Barstool,2025-12-12,383.01,197,1.94,5.42
1765568131700,890,721,8.02,3.03,38.58,27,2370.48,87.80,49,Driftwood Barstool,2025-12-12,360.02,153,2.35,6.58
1765571731700,913,783,9.09,4.45,27.32,41,3642.36,88.84,74,Driftwood Barstool,2025-12-12,394.22,164,2.40,9.24
1765575331700,1009,941,7.79,4.97,39.96,50,4425.72,88.51,80,Driftwood Barstool,2025-12-12,366.30,172,2.13,12.08
1765578931700,1099,951,9.93,3.62,43.67,40,3062.27,76.56,66,Driftwood Barstool,2025-12-12,399.90,218,1.83,7.66
1765582531700,1219,1097,9.10,5.16,43.35,63,5252.12,83.37,101,Driftwood Barstool,2025-12-12,410.44,190,2.16,12.80
1765586131700,1313,1191,10.34,5.05,32.34,66,4839.81,73.33,106,Driftwood Barstool,2025-12-13,493.52,260,1.90,9.81
1765589731700,1429,1233,10.60,5.53,40.49,79,5853.50,74.09,140,Driftwood Barstool,2025-12-13,396.25,140,2.83,14.77
1765593331700,1535,1241,11.76,4.27,33.89,66,4732.95,71.71,91,Driftwood Barstool,2025-12-13,427.32,226,1.89,11.08
1765596931700,1646,1516,12.27,5.00,44.48,82,6800.73,82.94,118,Driftwood Barstool,2025-12-13,446.97,203,2.20,15.22
1765600531700,1717,1628,11.26,4.23,44.93,73,6456.02,88.44,136,Driftwood Barstool,2025-12-13,480.70,217,2.22,13.43
1765604131700,1749,1557,12.16,5.21,39.51,91,7234.52,79.50,151,Driftwood Barstool,2025-12-13,410.50,227,1.81,17.62
1765607731700,1763,1423,12.51,4.20,36.77,74,5677.43,76.72,135,Driftwood Barstool,2025-12-13,495.07,221,2.24,11.47
1765611331700,1753,1619,12.60,4.88,42.70,86,6640.40,77.21,145,Driftwood Barstool,2025-12-13,504.78,236,2.14,13.15
1765614931700,1730,1422,11.19,5.81,40.48,100,7808.75,78.09,166,Driftwood Barstool,2025-12-13,490.95,231,2.13,15.91
1765618531700,1656,1340,10.16,4.39,31.70,73,5233.57,71.69,103,Driftwood Barstool,2025-12-13,490.89,228,2.15,10.66
1765622131700,1551,1351,10.72,4.81,45.06,75,6295.56,83.94,113,Driftwood Barstool,2025-12-13,483.06,211,2.29,13.03
1765625731700,1449,1229,9.78,4.12,35.21,60,5190.48,86.51,112,Driftwood Barstool,2025-12-13,443.86,239,1.86,11.69
1765629331700,1311,1245,10.28,5.22,38.54,68,5580.92,82.07,94,Driftwood Barstool,2025-12-13,444.39,237,1.88,12.56
1765632931700,1222,1060,8.38,4.01,37.93,49,4090.19,83.47,65,Driftwood Barstool,2025-12-13,450.60,188,2.40,9.08
1765636531700,1116,901,8.82,4.72,33.41,53,4242.48,80.05,92,Driftwood Barstool,2025-12-13,426.10,223,1.91,9.96
1765640131700,1013,928,6.89,3.96,38.07,40,3546.74,88.67,51,Driftwood Barstool,2025-12-13,419.42,160,2.62,8.46
1765643731700,936,851,7.19,4.10,35.83,38,3217.31,84.67,63,Driftwood Barstool,2025-12-13,397.31,174,2.28,8.10
1765647331700,955,778,8.76,3.12,32.84,30,2406.08,80.20,55,Driftwood Barstool,2025-12-13,411.27,213,1.93,5.85
1765650931700,963,818,7.79,4.13,36.72,40,3502.33,87.56,67,Driftwood Barstool,2025-12-13,373.72,175,2.14,9.37
1765654531700,962,815,8.54,3.94,28.79,38,3019.91,79.47,69,Driftwood Barstool,2025-12-13,406.65,210,1.94,7.43
1765658131700,1020,886,7.48,3.38,40.75,34,2709.64,79.70,48,Driftwood Barstool,2025-12-13,425.41,175,2.43,6.37
1765661731700,1110,952,6.91,4.05,40.35,45,3664.82,81.44,77,Driftwood Barstool,2025-12-13,422.89,171,2.47,8.67
1765665331700,1207,1036,7.79,4.98,36.65,60,5312.17,88.54,83,Driftwood Barstool,2025-12-13,424.76,216,1.97,12.51
1765668931700,1329,1064,8.75,4.19,36.35,56,4016.31,71.72,90,Driftwood Barstool,2025-12-13,460.75,214,2.15,8.72
1765672531700,1465,1247,9.49,5.38,38.58,79,6704.09,84.86,122,Driftwood Barstool,2025-12-14,497.33,200,2.49,13.48
1765676131700,1572,1364,11.36,4.75,34.35,75,6312.53,84.17,133,Driftwood Barstool,2025-12-14,448.90,190,2.36,14.06
1765679731700,1703,1536,11.70,4.46,33.46,76,5987.53,78.78,104,Driftwood Barstool,2025-12-14,443.75,219,2.03,13.49
1765683331700,1788,1478,12.02,5.17,40.47,93,7889.83,84.84,173,Driftwood Barstool,2025-12-14,449.69,225,2.00,17.55
1765686931700,1880,1562,10.32,5.57,45.73,105,7482.24,71.26,175,Driftwood Barstool,2025-12-14,463.39,251,1.85,16.15
1765690531700,1938,1598,10.34,4.95,43.16,96,8070.46,84.07,177,Driftwood Barstool,2025-12-14,490.50,257,1.91,16.45
1765694131700,1943,1567,12.75,5.16,43.13,100,7666.15,76.66,129,Driftwood Barstool,2025-12-14,494.11,180,2.75,15.52
1765697731700,1911,1796,11.24,5.41,34.64,103,8091.09,78.55,182,Driftwood Barstool,2025-12-14,460.47,229,2.01,17.57
1765701331700,1875,1759,10.39,5.73,38.62,107,8543.52,79.85,146,Driftwood Barstool,2025-12-14,470.11,163,2.88,18.17
1765704931700,1792,1469,11.56,5.71,39.25,102,7388.38,72.44,147,Driftwood Barstool,2025-12-14,470.09,193,2.44,15.72
1765708531700,1695,1579,11.82,5.45,39.60,92,6894.90,74.94,111,Driftwood Barstool,2025-12-14,446.57,231,1.93,15.44
1765712131700,1557,1290,9.16,3.89,35.47,61,5114.96,83.85,113,Driftwood Barstool,2025-12-14,401.51,172,2.33,12.74
1765715731700,1442,1314,11.26,5.03,35.76,73,6459.64,88.49,120,Driftwood Barstool,2025-12-14,435.07,165,2.64,14.85
1765719331700,1311,1144,10.66,4.73,29.02,62,5347.71,86.25,83,Driftwood Barstool,2025-12-14,436.71,168,2.60,12.25
1765722931700,1181,1021,9.32,4.74,28.34,56,4461.99,79.68,95,Driftwood Barstool,2025-12-14,428.21,196,2.18,10.42
1765726531700,1084,974,9.34,4.28,43.00,46,3546.82,77.10,72,Driftwood Barstool,2025-12-14,461.14,244,1.89,7.69
1765730131700,1032,908,6.82,4.19,41.26,43,3500.53,81.41,67,Driftwood Barstool,2025-12-14,427.28,181,2.36,8.19
1765733731700,981,878,6.87,3.13,27.84,31,2209.72,71.28,50,Driftwood Barstool,2025-12-14,430.48,196,2.20,5.13
1765737331700,950,763,8.57,4.31,37.18,41,3240.00,79.02,57,Driftwood Barstool,2025-12-14,462.46,244,1.90,7.01
1765740931700,965,817,6.47,3.28,29.21,32,2337.72,73.05,60,Driftwood Barstool,2025-12-14,427.07,193,2.21,5.47
1765744531700,1050,973,7.37,3.98,36.19,42,3102.85,73.88,79,Driftwood Barstool,2025-12-14,467.77,231,2.02,6.63
1765748131700,1100,902,6.93,4.66,35.25,51,3857.64,75.64,92,Driftwood Barstool,2025-12-14,397.19,150,2.65,9.71
1765751731700,1211,1126,10.08,3.99,36.22,48,3557.91,74.12,69,Driftwood Barstool,2025-12-14,455.86,155,2.94,7.80
1765755331700,1345,1231,9.49,4.89,39.13,66,5383.34,81.57,89,Driftwood Barstool,2025-12-14,434.47,206,2.11,12.39
1765758931700,1467,1290,9.74,4.97,36.33,73,6078.47,83.27,106,Driftwood Barstool,2025-12-15,458.71,239,1.92,13.25
1765762531700,1614,1388,10.30,4.98,32.88,80,5964.36,74.55,150,Driftwood Barstool,2025-12-15,479.69,266,1.80,12.43
1765766131700,1738,1478,12.05,5.64,34.64,98,7468.87,76.21,134,Driftwood Barstool,2025-12-15,418.03,159,2.63,17.87
1765769731700,1849,1743,9.88,4.06,42.58,75,5732.09,76.43,134,Driftwood Barstool,2025-12-15,413.13,187,2.21,13.87
1765773331700,1911,1779,10.74,4.76,43.74,91,7368.51,80.97,146,Driftwood Barstool,2025-12-15,505.78,209,2.42,14.57
1765776931700,1953,1812,11.89,4.89,39.01,96,7601.06,79.18,128,Driftwood Barstool,2025-12-15,457.18,239,1.91,16.63
1765780531700,2004,1674,11.86,5.34,45.75,107,8200.43,76.64,170,Driftwood Barstool,2025-12-15,414.86,185,2.24,19.77
1765784131700,1959,1783,11.74,5.55,32.47,109,7974.76,73.16,166,Driftwood Barstool,2025-12-15,498.67,243,2.05,15.99
1765787731700,1938,1651,12.46,5.11,32.19,99,7852.36,79.32,148,Driftwood Barstool,2025-12-15,496.50,252,1.97,15.82
1765791331700,1819,1649,9.98,5.38,30.81,98,7607.61,77.63,168,Driftwood Barstool,2025-12-15,487.81,233,2.09,15.60
1765794931700,1724,1428,10.22,4.96,37.77,86,6247.93,72.65,110,Driftwood Barstool,2025-12-15,452.20,194,2.33,13.82
1765798531700,1617,1409,11.11,4.57,33.27,74,5875.37,79.40,128,Driftwood Barstool,2025-12-15,454.02,197,2.30,12.94
