ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,868,768,7.90,4.63,31.37,40,2847.72,71.19,67,Solstice Ceramic Set,2025-12-12,367.99,170,2.16,7.74
1765564531700,834,770,8.40,3.60,38.62,30,2322.46,77.42,57,Solstice Ceramic Set,2025-12-12,429.39,238,1.80,5.41
1765568131700,843,759,6.37,3.30,29.71,28,2057.99,73.50,41,Solstice Ceramic Set,2025-12-12,378.80,171,2.22,5.43
1765571731700,878,808,7.72,3.55,33.69,31,2434.96,78.55,59,Solstice Ceramic Set,2025-12-12,421.27,179,2.35,5.78
1765575331700,965,871,7.51,4.71,35.25,45,3357.48,74.61,78,Solstice Ceramic Set,2025-12-12,459.26,184,2.50,7.31
1765578931700,1056,892,9.89,4.35,43.03,46,3236.84,70.37,58,Solstice Ceramic Set,2025-12-12,397.84,158,2.52,8.14
1765582531700,1170,1108,10.36,4.49,30.47,53,3351.82,63.24,74,Solstice Ceramic Set,2025-12-12,440.21,152,2.90,7.61
1765586131700,1288,1068,9.83,3.87,29.15,50,3842.47,76.85,88,Solstice Ceramic Set,2025-12-13,383.70,198,1.94,10.01
1765589731700,1387,1148,9.58,5.38,30.50,75,5545.04,73.93,126,Solstice Ceramic Set,2025-12-13,421.73,148,2.85,13.15
1765593331700,1516,1330,12.27,5.32,38.47,81,5803.20,71.64,141,Solstice Ceramic Set,2025-12-13,396.05,188,2.11,14.65
1765596931700,1596,1329,11.91,4.33,42.50,69,5014.30,72.67,84,Solstice Ceramic Set,2025-12-13,505.05,256,1.97,9.93
1765600531700,1677,1503,12.14,5.37,38.53,90,7069.36,78.55,120,Solstice Ceramic Set,2025-12-13,408.11,161,2.53,17.32
1765604131700,1693,1434,10.46,5.30,31.42,90,5625.70,62.51,121,Solstice Ceramic Set,2025-12-13,519.09,220,2.36,10.84
1765607731700,1720,1549,10.51,5.09,42.97,88,6197.67,70.43,138,Solstice Ceramic Set,2025-12-13,452.26,235,1.92,13.70
1765611331700,1691,1386,10.58,4.64,42.03,78,5690.40,72.95,126,Solstice Ceramic Set,2025-12-13,491.64,210,2.34,11.57
1765614931700,1663,1552,10.23,5.43,38.43,90,6527.39,72.53,124,Solstice Ceramic Set,2025-12-13,510.31,246,2.07,12.79
1765618531700,1593,1319,12.41,4.58,38.31,73,5166.35,70.77,106,Solstice Ceramic Set,2025-12-13,423.17,228,1.86,12.21
1765622131700,1489,1393,10.43,4.84,40.66,72,5039.85,70.00,110,Solstice Ceramic Set,2025-12-13,398.77,171,2.33,12.64
1765625731700,1383,1155,10.80,4.56,42.67,63,4251.54,67.48,112,Solstice Ceramic Set,2025-12-13,467.59,249,1.88,9.09
1765629331700,1300,1110,9.61,4.20,39.87,55,3713.17,67.51,89,Solstice Ceramic Set,2025-12-13,401.67,180,2.23,9.24
