ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,845,687,8.30,4.21,27.70,36,2914.94,80.97,56,Lumen Glassware,2025-12-12,444.93,219,2.03,6.55
1765564531700,861,788,7.95,3.46,33.79,30,2464.83,82.16,54,Lumen Glassware,2025-12-12,379.72,143,2.66,6.49
1765568131700,848,803,6.41,3.44,31.72,29,2126.90,73.34,52,Lumen Glassware,2025-12-12,425.06,197,2.16,5.00
1765571731700,898,736,9.21,3.11,30.50,28,1884.86,67.32,34,Lumen Glassware,2025-12-12,438.92,230,1.91,4.29
1765575331700,983,922,7.55,4.87,35.32,48,3369.96,70.21,85,Lumen Glassware,2025-12-12,478.88,262,1.83,7.04
1765578931700,1061,865,8.72,4.76,28.27,51,3524.01,69.10,88,Lumen Glassware,2025-12-12,434.51,191,2.27,8.11
1765582531700,1164,934,9.35,4.19,34.60,49,3341.12,68.19,75,Lumen Glassware,2025-12-12,413.10,175,2.36,8.09
1765586131700,1289,1212,10.60,4.99,41.86,64,5255.72,82.12,100,Lumen Glassware,2025-12-13,447.04,248,1.80,11.76
1765589731700,1413,1173,11.17,4.55,39.17,64,5060.47,79.07,121,Lumen Glassware,2025-12-13,405.50,178,2.28,12.48
1765593331700,1513,1408,11.97,5.29,31.21,80,5742.50,71.78,127,Lumen Glassware,2025-12-13,493.37,230,2.15,11.64
1765596931700,1611,1499,11.47,5.35,43.71,86,5984.33,69.59,109,Lumen Glassware,2025-12-13,421.36,184,2.29,14.20
1765600531700,1662,1574,11.55,5.50,38.84,91,5986.10,65.78,164,Lumen Glassware,2025-12-13,508.09,236,2.15,11.78
1765604131700,1725,1558,11.94,5.41,35.56,93,6770.12,72.80,165,Lumen Glassware,2025-12-13,506.59,223,2.27,13.36
1765607731700,1744,1398,11.43,5.19,36.07,91,6493.58,71.36,147,Lumen Glassware,2025-12-13,444.70,215,2.07,14.60
1765611331700,1707,1497,12.00,4.84,36.98,83,6759.63,81.44,151,Lumen Glassware,2025-12-13,404.43,177,2.28,16.71
1765614931700,1685,1385,11.02,4.50,32.59,76,5213.13,68.59,112,Lumen Glassware,2025-12-13,431.76,162,2.67,12.07
1765618531700,1608,1462,12.63,4.41,42.88,71,4817.38,67.85,130,Lumen Glassware,2025-12-13,433.14,205,2.11,11.12
1765622131700,1513,1228,10.92,4.10,31.76,62,4769.76,76.93,96,Lumen Glassware,2025-12-13,416.54,215,1.94,11.45
1765625731700,1394,1309,11.77,4.76,31.89,66,4775.09,72.35,106,Lumen Glassware,2025-12-13,491.67,240,2.05,9.71
1765629331700,1307,1183,9.08,4.41,33.06,58,3901.29,67.26,76,Lumen Glassware,2025-12-13,476.98,182,2.62,8.18
1765632931700,1160,984,8.09,3.82,31.26,44,2887.82,65.63,80,Lumen Glassware,2025-12-13,488.00,229,2.13,5.92
1765636531700,1059,870,8.23,4.02,39.61,43,3529.84,82.09,78,Lumen Glassware,2025-12-13,461.51,244,1.89,7.65
1765640131700,964,880,7.12,4.43,33.98,43,3385.29,78.73,71,Lumen Glassware,2025-12-13,407.44,206,1.98,8.31
1765643731700,916,765,9.37,4.21,39.79,39,3003.16,77.00,61,Lumen Glassware,2025-12-13,408.42,147,2.78,7.35
1765647331700,926,757,8.91,4.17,35.95,39,3155.60,80.91,71,Lumen Glassware,2025-12-13,359.06,125,2.87,8.79
1765650931700,916,849,6.56,4.08,27.21,37,2606.70,70.45,67,Lumen Glassware,2025-12-13,443.32,213,2.08,5.88
1765654531700,946,888,7.02,4.11,30.62,39,3212.73,82.38,63,Lumen Glassware,2025-12-13,366.95,163,2.25,8.76
1765658131700,989,930,8.15,4.41,39.27,44,3593.14,81.66,65,Lumen Glassware,2025-12-13,470.46,257,1.83,7.64
1765661731700,1075,1007,7.87,4.09,29.18,44,3167.05,71.98,82,Lumen Glassware,2025-12-13,423.35,189,2.24,7.48
1765665331700,1167,1031,8.98,3.55,43.76,41,3277.67,79.94,70,Lumen Glassware,2025-12-13,380.84,150,2.54,8.61
1765668931700,1298,1185,10.39,3.91,30.04,51,3548.49,69.58,78,Lumen Glassware,2025-12-13,381.21,199,1.92,9.31
1765672531700,1408,1170,8.67,5.12,34.96,72,5190.48,72.09,127,Lumen Glassware,2025-12-14,424.61,157,2.70,12.22
1765676131700,1532,1329,11.57,3.92,41.88,60,4180.04,69.67,76,Lumen Glassware,2025-12-14,482.99,243,1.99,8.65
1765679731700,1656,1365,11.09,4.10,45.97,68,5396.14,79.36,108,Lumen Glassware,2025-12-14,476.77,226,2.11,11.32
1765683331700,1750,1482,12.21,4.79,36.64,84,6930.59,82.51,108,Lumen Glassware,2025-12-14,506.26,274,1.85,13.69
1765686931700,1820,1574,11.36,4.22,34.57,77,5667.80,73.61,138,Lumen Glassware,2025-12-14,421.95,226,1.87,13.43
1765690531700,1893,1614,10.27,4.92,39.87,93,6677.95,71.81,112,Lumen Glassware,2025-12-14,490.94,224,2.19,13.60
1765694131700,1900,1621,12.42,4.30,31.36,82,6745.87,82.27,108,Lumen Glassware,2025-12-14,471.83,185,2.55,14.30
1765697731700,1870,1712,10.39,4.46,34.82,83,5537.55,66.72,111,Lumen Glassware,2025-12-14,450.24,168,2.68,12.30
1765701331700,1827,1511,12.83,4.58,42.80,84,6790.44,80.84,150,Lumen Glassware,2025-12-14,432.70,176,2.46,15.69
1765704931700,1779,1560,9.93,4.28,44.82,76,4977.16,65.49,142,Lumen Glassware,2025-12-14,444.58,218,2.04,11.20
1765708531700,1659,1336,11.30,5.11,40.91,85,6243.24,73.45,154,Lumen Glassware,2025-12-14,439.79,184,2.39,14.20
1765712131700,1528,1312,9.43,4.47,44.65,68,4696.57,69.07,99,Lumen Glassware,2025-12-14,411.66,219,1.88,11.41
1765715731700,1416,1292,11.27,3.82,43.30,54,4019.10,74.43,73,Lumen Glassware,2025-12-14,387.25,142,2.73,10.38
1765719331700,1307,1060,8.96,4.64,35.61,61,4985.06,81.72,110,Lumen Glassware,2025-12-14,492.44,259,1.90,10.12
1765722931700,1167,1008,9.41,4.98,30.52,58,3799.13,65.50,85,Lumen Glassware,2025-12-14,471.43,256,1.84,8.06
1765726531700,1082,975,7.92,4.23,36.98,46,3734.69,81.19,62,Lumen Glassware,2025-12-14,432.11,186,2.32,8.64
1765730131700,1001,816,6.78,3.26,41.35,33,2550.73,77.29,43,Lumen Glassware,2025-12-14,363.74,180,2.02,7.01
1765733731700,975,901,7.90,4.72,34.01,46,3711.18,80.68,75,Lumen Glassware,2025-12-14,453.91,153,2.97,8.18
1765737331700,956,785,7.30,4.10,39.32,39,3048.76,78.17,52,Lumen Glassware,2025-12-14,461.59,249,1.85,6.60
1765740931700,944,803,6.59,3.75,28.07,35,2626.47,75.04,62,Lumen Glassware,2025-12-14,364.32,173,2.11,7.21
1765744531700,1019,915,6.92,4.63,32.42,47,3482.53,74.10,64,Lumen Glassware,2025-12-14,361.95,193,1.88,9.62
1765748131700,1080,967,7.53,3.69,30.49,40,2689.23,67.23,59,Lumen Glassware,2025-12-14,410.13,174,2.36,6.56
1765751731700,1198,1103,8.53,4.70,42.65,56,3994.40,71.33,84,Lumen Glassware,2025-12-14,371.80,160,2.32,10.74
1765755331700,1303,1165,8.49,4.47,43.39,58,4321.92,74.52,74,Lumen Glassware,2025-12-14,442.19,147,3.01,9.77
1765758931700,1443,1210,9.36,4.48,42.50,65,5182.16,79.73,80,Lumen Glassware,2025-12-15,460.22,185,2.49,11.26
1765762531700,1555,1253,11.73,4.10,31.15,64,4440.13,69.38,103,Lumen Glassware,2025-12-15,498.01,205,2.43,8.92
1765766131700,1684,1394,11.12,5.21,38.56,88,6825.54,77.56,108,Lumen Glassware,2025-12-15,448.08,177,2.53,15.23
1765769731700,1804,1668,11.91,4.47,38.80,81,5625.95,69.46,108,Lumen Glassware,2025-12-15,481.29,213,2.26,11.69
1765773331700,1877,1673,10.26,4.94,31.55,93,7346.37,78.99,131,Lumen Glassware,2025-12-15,501.61,269,1.86,14.65
1765776931700,1929,1604,11.85,5.51,42.67,106,7808.64,73.67,166,Lumen Glassware,2025-12-15,462.31,217,2.13,16.89
1765780531700,1955,1785,10.57,5.78,35.61,113,8952.46,79.23,204,Lumen Glassware,2025-12-15,440.66,181,2.43,20.32
1765784131700,1923,1599,12.79,5.09,40.27,98,7684.91,78.42,123,Lumen Glassware,2025-12-15,522.25,210,2.49,14.72
1765787731700,1871,1619,10.75,4.79,36.46,90,6528.33,72.54,124,Lumen Glassware,2025-12-15,463.34,235,1.97,14.09
1765791331700,1816,1713,10.85,5.57,37.08,101,7469.20,73.95,151,Lumen Glassware,2025-12-15,460.82,244,1.89,16.21
1765794931700,1712,1482,11.98,5.00,39.08,86,5801.81,67.46,122,Lumen Glassware,2025-12-15,393.88,171,2.30,14.73
1765798531700,1589,1326,9.40,4.75,41.34,76,5019.04,66.04,129,Lumen Glassware,2025-12-15,440.49,153,2.88,11.39
1765802131700,1460,1231,10.81,3.77,42.96,55,3578.89,65.07,79,Lumen Glassware,2025-12-15,493.56,268,1.84,7.25
1765805731700,1309,1091,8.36,4.99,41.53,65,4824.96,74.23,119,Lumen Glassware,2025-12-15,393.60,159,2.48,12.26
1765809331700,1204,979,7.30,3.69,35.97,44,3570.29,81.14,65,Lumen Glassware,2025-12-15,382.38,169,2.26,9.34
1765812931700,1086,881,7.52,3.40,42.10,37,2635.02,71.22,53,Lumen Glassware,2025-12-15,443.50,195,2.27,5.94
1765816531700,1030,900,6.59,3.86,29.01,40,2707.97,67.70,55,Lumen Glassware,2025-12-15,457.91,160,2.86,5.91
1765820131700,899,814,6.66,4.57,39.17,41,2758.96,67.29,53,Lumen Glassware,2025-12-15,380.06,201,1.89,7.26
1765823731700,889,811,8.20,3.50,28.52,31,2130.10,68.71,43,Lumen Glassware,2025-12-15,379.88,145,2.62,5.61
1765827331700,891,761,6.83,4.21,29.60,38,2852.12,75.06,56,Lumen Glassware,2025-12-15,417.22,177,2.36,6.84
1765830931700,964,862,6.93,4.30,29.56,41,2936.66,71.63,60,Lumen Glassware,2025-12-15,418.88,166,2.52,7.01
1765834531700,1024,833,9.24,4.43,29.66,45,3381.68,75.15,85,Lumen Glassware,2025-12-15,390.53,203,1.92,8.66
1765838131700,1144,930,9.25,3.40,30.80,39,2916.31,74.78,68,Lumen Glassware,2025-12-15,427.93,145,2.95,6.81
1765841731700,1250,1109,9.84,5.12,36.17,64,5202.92,81.30,91,Lumen Glassware,2025-12-15,464.45,189,2.46,11.20
1765845331700,1376,1248,11.27,5.20,30.57,72,4942.57,68.65,107,Lumen Glassware,2025-12-16,408.90,141,2.90,12.09
1765848931700,1494,1376,9.58,5.19,35.02,78,6134.13,78.64,105,Lumen Glassware,2025-12-16,471.97,252,1.87,13.00
1765852531700,1595,1504,11.80,5.12,32.41,82,5686.71,69.35,111,Lumen Glassware,2025-12-16,436.23,175,2.49,13.04
1765856131700,1676,1353,11.69,4.88,30.94,82,6367.84,77.66,114,Lumen Glassware,2025-12-16,501.41,185,2.71,12.70
1765859731700,1772,1518,10.04,5.74,46.61,102,6701.66,65.70,167,Lumen Glassware,2025-12-16,497.21,190,2.62,13.48
1765863331700,1823,1701,11.72,4.58,31.29,84,5657.87,67.36,119,Lumen Glassware,2025-12-16,462.91,228,2.03,12.22
1765866931700,1844,1730,10.88,5.88,32.31,108,8663.47,80.22,186,Lumen Glassware,2025-12-16,483.29,244,1.98,17.93
1765870531700,1816,1519,11.67,4.73,42.82,86,7099.63,82.55,104,Lumen Glassware,2025-12-16,487.35,259,1.88,14.57
1765874131700,1783,1669,12.00,4.61,42.52,82,6035.36,73.60,151,Lumen Glassware,2025-12-16,421.07,143,2.94,14.33
1765877731700,1696,1403,12.06,4.21,37.32,71,5879.24,82.81,95,Lumen Glassware,2025-12-16,401.41,160,2.51,14.65
1765881331700,1598,1392,9.68,4.59,34.40,73,5943.60,81.42,133,Lumen Glassware,2025-12-16,505.39,254,1.99,11.76
1765884931700,1496,1230,10.04,4.00,37.11,60,4736.66,78.94,105,Lumen Glassware,2025-12-16,472.15,199,2.37,10.03
1765888531700,1373,1130,9.62,4.23,33.44,58,4449.39,76.71,92,Lumen Glassware,2025-12-16,467.59,237,1.97,9.52
1765892131700,1231,1032,8.50,3.66,30.52,45,3721.81,82.71,80,Lumen Glassware,2025-12-16,443.66,246,1.80,8.39
1765895731700,1118,988,9.12,4.93,32.17,55,3589.34,65.26,92,Lumen Glassware,2025-12-16,477.12,245,1.95,7.52
1765899331700,1043,854,9.28,4.27,31.26,45,3345.73,74.35,59,Lumen Glassware,2025-12-16,423.95,198,2.14,7.89
1765902931700,936,761,8.07,3.09,30.73,29,2040.81,70.37,35,Lumen Glassware,2025-12-16,381.20,136,2.80,5.35
1765906531700,818,707,7.85,3.96,29.90,32,2327.45,72.73,60,Lumen Glassware,2025-12-16,432.06,226,1.91,5.39
1765910131700,792,700,8.77,4.17,41.52,33,2630.85,79.72,51,Lumen Glassware,2025-12-16,415.45,212,1.96,6.33
1765913731700,827,766,8.13,4.36,35.34,36,2867.42,79.65,50,Lumen Glassware,2025-12-16,386.77,176,2.20,7.41
1765917331700,849,774,7.62,4.26,38.21,36,2755.51,76.54,59,Lumen Glassware,2025-12-16,419.36,207,2.03,6.57
1765920931700,918,844,7.07,4.39,30.90,40,2986.80,74.67,52,Lumen Glassware,2025-12-16,430.22,180,2.39,6.94
1765924531700,1000,875,9.69,4.91,35.75,49,3409.44,69.58,75,Lumen Glassware,2025-12-16,374.67,201,1.86,9.10
1765928131700,1110,1007,10.72,5.07,32.07,56,3782.33,67.54,75,Lumen Glassware,2025-12-16,401.50,216,1.86,9.42
1765931731700,1220,1146,10.24,3.99,39.15,49,4002.44,81.68,93,Lumen Glassware,2025-12-17,457.76,216,2.12,8.74
1765935331700,1337,1091,10.95,4.72,32.79,63,4453.67,70.69,106,Lumen Glassware,2025-12-17,393.05,201,1.96,11.33
1765938931700,1436,1315,11.89,4.56,31.70,65,4443.28,68.36,117,Lumen Glassware,2025-12-17,401.71,215,1.87,11.06
1765942531700,1509,1235,12.64,5.31,37.54,80,6180.38,77.25,128,Lumen Glassware,2025-12-17,424.76,201,2.11,14.55
1765946131700,1590,1290,11.43,5.77,44.21,92,6161.87,66.98,150,Lumen Glassware,2025-12-17,413.33,202,2.05,14.91
1765949731700,1618,1353,11.09,4.21,37.33,68,4569.04,67.19,128,Lumen Glassware,2025-12-17,520.64,259,2.01,8.78
1765953331700,1664,1472,10.91,4.74,43.72,79,6394.85,80.95,100,Lumen Glassware,2025-12-17,521.15,178,2.93,12.27
1765956931700,1636,1364,10.24,4.51,44.25,74,5472.04,73.95,114,Lumen Glassware,2025-12-17,436.63,226,1.93,12.53
1765960531700,1577,1280,12.27,4.18,32.99,66,5436.59,82.37,119,Lumen Glassware,2025-12-17,434.11,211,2.06,12.52
1765964131700,1543,1271,9.75,5.28,34.63,81,5908.31,72.94,144,Lumen Glassware,2025-12-17,400.16,137,2.92,14.76
1765967731700,1450,1374,9.39,4.50,31.28,65,4365.07,67.15,120,Lumen Glassware,2025-12-17,433.99,181,2.40,10.06
1765971331700,1327,1248,11.17,4.45,32.19,59,4702.64,79.71,85,Lumen Glassware,2025-12-17,503.77,209,2.41,9.33
1765974931700,1220,1070,9.53,3.97,32.97,48,3275.52,68.24,76,Lumen Glassware,2025-12-17,461.91,230,2.01,7.09
1765978531700,1134,965,10.73,4.98,33.13,56,4410.89,78.77,89,Lumen Glassware,2025-12-17,452.92,229,1.98,9.74
1765982131700,1016,912,7.52,4.10,32.64,42,2987.89,71.14,74,Lumen Glassware,2025-12-17,426.98,146,2.92,7.00
1765985731700,943,873,7.62,3.33,31.07,31,2367.79,76.38,54,Lumen Glassware,2025-12-17,403.90,204,1.98,5.86
1765989331700,848,786,9.49,4.21,32.26,36,2832.63,78.68,51,Lumen Glassware,2025-12-17,415.09,167,2.49,6.82
1765992931700,768,723,7.64,3.86,32.36,30,2416.61,80.55,55,Lumen Glassware,2025-12-17,381.83,169,2.26,6.33
1765996531700,735,605,8.04,3.01,32.08,22,1814.19,82.46,36,Lumen Glassware,2025-12-17,446.52,178,2.51,4.06
1766000131700,776,660,7.58,3.24,34.17,25,2008.13,80.33,36,Lumen Glassware,2025-12-17,375.93,204,1.84,5.34
1766003731700,804,717,9.04,4.63,34.87,37,2906.77,78.56,65,Lumen Glassware,2025-12-17,380.13,147,2.59,7.65
1766007331700,863,725,9.03,3.33,29.38,29,2107.67,72.68,43,Lumen Glassware,2025-12-17,431.43,168,2.57,4.89
1766010931700,933,868,8.70,5.01,28.13,47,3167.83,67.40,89,Lumen Glassware,2025-12-17,444.77,177,2.51,7.12
1766014531700,1026,916,8.55,3.93,37.32,40,2616.30,65.41,55,Lumen Glassware,2025-12-17,434.35,202,2.15,6.02
1766018131700,1144,996,8.95,5.37,42.41,61,4007.93,65.70,104,Lumen Glassware,2025-12-18,409.32,222,1.84,9.79
1766021731700,1231,1118,9.37,5.16,36.79,64,5141.31,80.33,91,Lumen Glassware,2025-12-18,409.58,148,2.77,12.55
1766025331700,1341,1238,12.18,4.94,44.06,66,5474.52,82.95,86,Lumen Glassware,2025-12-18,449.60,177,2.54,12.18
1766028931700,1427,1262,10.01,5.33,45.52,76,6183.43,81.36,92,Lumen Glassware,2025-12-18,478.16,226,2.12,12.93
1766032531700,1470,1220,12.55,4.58,38.11,67,4748.30,70.87,88,Lumen Glassware,2025-12-18,416.82,144,2.89,11.39
1766036131700,1526,1276,11.98,4.39,40.76,67,5514.60,82.31,115,Lumen Glassware,2025-12-18,408.55,203,2.01,13.50
1766039731700,1547,1366,11.41,5.29,40.71,82,5461.33,66.60,131,Lumen Glassware,2025-12-18,519.80,182,2.86,10.51
1766043331700,1541,1326,12.66,5.65,42.50,87,6036.66,69.39,131,Lumen Glassware,2025-12-18,522.13,253,2.06,11.56
1766046931700,1494,1372,11.82,4.76,33.02,71,4930.65,69.45,87,Lumen Glassware,2025-12-18,473.43,184,2.57,10.41
1766050531700,1407,1208,11.80,5.42,33.11,76,5384.48,70.85,108,Lumen Glassware,2025-12-18,497.22,204,2.44,10.83
1766054131700,1331,1118,10.98,5.46,35.24,73,5864.85,80.34,110,Lumen Glassware,2025-12-18,496.10,235,2.11,11.82
1766057731700,1263,1085,11.28,4.17,34.43,53,3724.98,70.28,75,Lumen Glassware,2025-12-18,500.11,241,2.08,7.45
1766061331700,1154,1085,9.77,4.61,38.04,53,3449.68,65.09,99,Lumen Glassware,2025-12-18,450.02,197,2.28,7.67
1766064931700,1057,889,9.11,3.93,43.65,41,2815.68,68.68,58,Lumen Glassware,2025-12-18,397.54,203,1.96,7.08
1766068531700,959,793,8.43,4.18,41.82,40,2933.46,73.34,53,Lumen Glassware,2025-12-18,440.70,224,1.97,6.66
1766072131700,860,714,9.71,3.59,39.24,31,2521.64,81.34,46,Lumen Glassware,2025-12-18,372.00,198,1.88,6.78
1766075731700,793,636,6.73,4.56,34.90,36,2524.74,70.13,60,Lumen Glassware,2025-12-18,399.12,216,1.85,6.33
1766079331700,768,692,9.32,3.09,39.55,24,1684.13,70.17,42,Lumen Glassware,2025-12-18,460.05,169,2.72,3.66
1766082931700,775,700,6.38,3.17,31.18,25,1829.94,73.20,34,Lumen Glassware,2025-12-18,386.53,191,2.02,4.73
1766086531700,802,688,8.89,4.53,32.33,36,2708.43,75.23,60,Lumen Glassware,2025-12-18,377.44,164,2.30,7.18
1766090131700,836,749,7.56,3.86,34.34,32,2150.99,67.22,59,Lumen Glassware,2025-12-18,426.83,189,2.26,5.04
1766093731700,893,755,9.65,3.82,35.01,34,2512.68,73.90,56,Lumen Glassware,2025-12-18,477.29,172,2.77,5.26
1766097331700,979,796,8.44,4.74,43.44,46,3648.37,79.31,63,Lumen Glassware,2025-12-18,451.24,199,2.27,8.09
