ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,880,804,7.56,3.85,30.17,34,2385.19,70.15,62,Velvet Bay Candle,2025-12-12,361.19,122,2.96,6.60
1765564531700,845,732,8.11,3.81,36.44,32,2737.24,85.54,44,Velvet Bay Candle,2025-12-12,377.79,163,2.32,7.25
1765568131700,858,713,9.10,4.29,35.69,37,3071.50,83.01,59,Velvet Bay Candle,2025-12-12,431.55,208,2.07,7.12
1765571731700,935,807,7.96,3.62,27.55,34,2684.93,78.97,53,Velvet Bay Candle,2025-12-12,378.16,175,2.16,7.10
1765575331700,995,913,7.57,4.91,33.01,49,3575.21,72.96,78,Velvet Bay Candle,2025-12-12,391.48,215,1.82,9.13
1765578931700,1091,967,9.70,4.39,38.57,48,3858.30,80.38,87,Velvet Bay Candle,2025-12-12,406.19,224,1.81,9.50
1765582531700,1173,1057,8.04,4.15,40.09,49,4127.18,84.23,79,Velvet Bay Candle,2025-12-12,431.01,238,1.81,9.58
1765586131700,1301,1133,11.10,3.63,30.62,47,3627.87,77.19,62,Velvet Bay Candle,2025-12-13,474.55,208,2.28,7.64
1765589731700,1436,1242,10.56,5.17,43.06,74,5513.87,74.51,93,Velvet Bay Candle,2025-12-13,447.19,212,2.11,12.33
1765593331700,1517,1319,11.47,4.30,36.43,65,4556.17,70.09,107,Velvet Bay Candle,2025-12-13,485.87,224,2.17,9.38
1765596931700,1614,1401,9.85,5.14,37.52,83,6236.53,75.14,104,Velvet Bay Candle,2025-12-13,409.44,168,2.44,15.23
1765600531700,1701,1526,10.58,4.89,37.35,83,6891.70,83.03,122,Velvet Bay Candle,2025-12-13,439.39,183,2.40,15.68
1765604131700,1742,1474,11.27,4.98,38.28,87,6512.92,74.86,131,Velvet Bay Candle,2025-12-13,512.71,212,2.42,12.70
1765607731700,1748,1638,11.80,5.94,37.64,104,8086.80,77.76,134,Velvet Bay Candle,2025-12-13,462.87,255,1.82,17.47
1765611331700,1747,1408,12.21,4.56,32.47,80,6424.32,80.30,152,Velvet Bay Candle,2025-12-13,499.69,259,1.93,12.86
1765614931700,1708,1443,12.46,4.31,41.74,74,5550.94,75.01,90,Velvet Bay Candle,2025-12-13,403.29,185,2.18,13.76
1765618531700,1613,1401,10.76,4.72,44.10,76,5459.30,71.83,117,Velvet Bay Candle,2025-12-13,407.07,156,2.61,13.41
1765622131700,1554,1344,10.83,5.14,30.60,80,6548.61,81.86,139,Velvet Bay Candle,2025-12-13,405.72,221,1.84,16.14
1765625731700,1434,1321,10.91,5.11,44.83,73,5310.46,72.75,110,Velvet Bay Candle,2025-12-13,406.45,189,2.15,13.07
1765629331700,1307,1133,8.92,5.08,43.18,66,5354.26,81.13,88,Velvet Bay Candle,2025-12-13,437.45,161,2.72,12.24
1765632931700,1207,976,10.34,3.68,35.23,44,3440.51,78.19,70,Velvet Bay Candle,2025-12-13,450.33,229,1.97,7.64
1765636531700,1092,915,7.70,3.58,36.69,39,2803.81,71.89,62,Velvet Bay Candle,2025-12-13,431.19,155,2.78,6.50
1765640131700,972,821,7.41,4.95,40.11,48,3851.77,80.25,77,Velvet Bay Candle,2025-12-13,462.05,214,2.16,8.34
1765643731700,911,774,7.47,3.83,35.27,35,2605.59,74.45,48,Velvet Bay Candle,2025-12-13,448.20,200,2.24,5.81
1765647331700,974,822,8.90,3.75,42.13,37,2694.35,72.82,68,Velvet Bay Candle,2025-12-13,385.06,177,2.18,7.00
1765650931700,932,819,6.74,4.29,35.48,40,3342.57,83.56,59,Velvet Bay Candle,2025-12-13,406.28,150,2.71,8.23
1765654531700,944,810,6.85,3.80,37.69,36,2841.02,78.92,44,Velvet Bay Candle,2025-12-13,459.85,255,1.80,6.18
1765658131700,1012,937,7.69,4.48,34.80,45,3361.95,74.71,64,Velvet Bay Candle,2025-12-13,412.39,200,2.06,8.15
1765661731700,1081,893,7.00,4.91,31.87,53,4169.68,78.67,89,Velvet Bay Candle,2025-12-13,459.91,192,2.40,9.07
1765665331700,1166,970,8.22,3.90,35.28,46,3174.61,69.01,70,Velvet Bay Candle,2025-12-13,479.75,247,1.94,6.62
1765668931700,1296,1119,9.30,4.77,40.72,62,4680.39,75.49,88,Velvet Bay Candle,2025-12-13,424.32,215,1.97,11.03
1765672531700,1420,1163,11.06,4.02,44.14,57,4183.20,73.39,79,Velvet Bay Candle,2025-12-14,472.21,201,2.35,8.86
1765676131700,1561,1274,11.65,3.87,31.62,60,4475.26,74.59,77,Velvet Bay Candle,2025-12-14,474.97,242,1.96,9.42
1765679731700,1691,1580,11.13,4.63,40.20,78,5786.47,74.19,95,Velvet Bay Candle,2025-12-14,498.55,171,2.92,11.61
1765683331700,1787,1500,10.45,4.70,32.72,84,6123.61,72.90,134,Velvet Bay Candle,2025-12-14,467.37,190,2.46,13.10
1765686931700,1854,1581,11.14,5.43,33.99,101,8604.19,85.19,157,Velvet Bay Candle,2025-12-14,404.90,191,2.12,21.25
1765690531700,1920,1716,11.18,5.42,34.77,104,7101.49,68.28,129,Velvet Bay Candle,2025-12-14,486.56,196,2.48,14.60
1765694131700,1918,1759,10.36,5.99,43.79,115,9526.18,82.84,167,Velvet Bay Candle,2025-12-14,475.76,213,2.23,20.02
1765697731700,1910,1733,10.60,5.78,35.90,110,7998.19,72.71,180,Velvet Bay Candle,2025-12-14,482.67,163,2.96,16.57
1765701331700,1847,1527,12.19,5.00,44.34,92,6452.82,70.14,175,Velvet Bay Candle,2025-12-14,463.63,162,2.86,13.92
1765704931700,1795,1648,10.67,4.22,44.17,76,6156.57,81.01,114,Velvet Bay Candle,2025-12-14,484.74,190,2.55,12.70
1765708531700,1661,1478,9.71,5.04,30.38,84,6200.53,73.82,129,Velvet Bay Candle,2025-12-14,476.42,203,2.35,13.01
1765712131700,1578,1499,9.51,5.39,38.16,85,6171.14,72.60,135,Velvet Bay Candle,2025-12-14,477.28,241,1.98,12.93
1765715731700,1418,1288,8.44,3.73,30.74,53,4540.49,85.67,88,Velvet Bay Candle,2025-12-14,487.13,234,2.08,9.32
1765719331700,1319,1130,10.50,5.14,29.85,68,4648.85,68.37,117,Velvet Bay Candle,2025-12-14,481.83,183,2.63,9.65
1765722931700,1177,1056,9.42,4.25,32.25,50,3828.58,76.57,90,Velvet Bay Candle,2025-12-14,407.34,225,1.81,9.40
1765726531700,1097,985,9.38,4.28,40.34,47,3503.87,74.55,87,Velvet Bay Candle,2025-12-14,434.02,225,1.93,8.07
1765730131700,997,815,7.06,3.41,42.73,34,2912.98,85.68,51,Velvet Bay Candle,2025-12-14,382.18,167,2.29,7.62
1765733731700,980,883,7.45,4.77,32.30,47,3978.43,84.65,83,Velvet Bay Candle,2025-12-14,428.52,216,1.98,9.28
1765737331700,954,902,8.45,4.12,30.83,39,3347.40,85.83,65,Velvet Bay Candle,2025-12-14,444.28,188,2.36,7.53
1765740931700,955,903,6.51,4.48,30.58,43,3680.90,85.60,53,Velvet Bay Candle,2025-12-14,365.84,163,2.24,10.06
1765744531700,1038,950,7.47,3.72,42.23,39,2963.78,75.99,72,Velvet Bay Candle,2025-12-14,457.41,166,2.76,6.48
1765748131700,1090,1025,9.56,4.42,37.34,48,3508.97,73.10,86,Velvet Bay Candle,2025-12-14,466.04,208,2.24,7.53
