ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,783,654,4.80,1.88,36.00,15,1343.60,89.57,19,Cedar Accent Chair,2025-12-12,380.06,169,2.25,3.54
1765564531700,772,671,4.78,2.63,34.96,20,1560.70,78.04,29,Cedar Accent Chair,2025-12-12,355.43,179,1.99,4.39
1765568131700,792,659,5.87,3.36,31.72,27,2450.93,90.78,34,Cedar Accent Chair,2025-12-12,395.34,145,2.73,6.20
1765571731700,827,758,6.77,2.52,43.54,21,1644.83,78.33,35,Cedar Accent Chair,2025-12-12,474.30,207,2.29,3.47
1765575331700,870,802,4.82,2.59,44.34,23,1864.08,81.05,43,Cedar Accent Chair,2025-12-12,431.50,147,2.94,4.32
1765578931700,979,808,7.29,2.26,42.47,22,1810.48,82.29,35,Cedar Accent Chair,2025-12-12,412.46,225,1.83,4.39
1765582531700,1068,974,5.99,3.65,39.84,39,3459.79,88.71,61,Cedar Accent Chair,2025-12-12,429.09,218,1.97,8.06
1765586131700,1168,1041,8.72,3.18,36.86,37,2956.61,79.91,57,Cedar Accent Chair,2025-12-13,405.57,222,1.83,7.29
1765589731700,1266,1066,8.13,3.68,40.94,47,3480.82,74.06,74,Cedar Accent Chair,2025-12-13,485.45,182,2.67,7.17
1765593331700,1376,1221,9.63,2.73,40.89,38,3219.49,84.72,49,Cedar Accent Chair,2025-12-13,455.36,192,2.37,7.07
1765596931700,1435,1248,9.15,3.50,47.05,50,4123.82,82.48,92,Cedar Accent Chair,2025-12-13,465.88,245,1.90,8.85
1765600531700,1507,1299,7.99,4.32,40.02,65,5880.59,90.47,111,Cedar Accent Chair,2025-12-13,406.74,215,1.89,14.46
1765604131700,1562,1357,9.80,3.70,44.11,58,5118.35,88.25,74,Cedar Accent Chair,2025-12-13,471.97,178,2.65,10.84
1765607731700,1564,1272,8.27,4.39,42.64,69,5905.81,85.59,83,Cedar Accent Chair,2025-12-13,469.71,157,2.99,12.57
1765611331700,1537,1438,10.52,3.75,49.54,58,4440.62,76.56,102,Cedar Accent Chair,2025-12-13,469.07,181,2.59,9.47
1765614931700,1513,1435,10.50,4.60,42.95,70,5368.30,76.69,132,Cedar Accent Chair,2025-12-13,511.68,266,1.92,10.49
1765618531700,1460,1328,7.71,3.05,35.92,44,3495.05,79.43,74,Cedar Accent Chair,2025-12-13,467.53,161,2.90,7.48
1765622131700,1348,1114,8.23,3.24,44.86,44,3863.12,87.80,66,Cedar Accent Chair,2025-12-13,421.70,145,2.91,9.16
