ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,755,632,4.98,3.31,43.03,25,2198.41,87.94,39,Driftwood Barstool,2025-12-12,383.20,193,1.99,5.74
1765564531700,755,717,5.91,3.11,37.04,23,1679.39,73.02,30,Driftwood Barstool,2025-12-12,390.45,212,1.84,4.30
1765568131700,756,635,5.37,3.11,45.99,24,1923.80,80.16,39,Driftwood Barstool,2025-12-12,357.27,144,2.48,5.38
1765571731700,805,757,4.40,2.53,42.60,20,1621.42,81.07,38,Driftwood Barstool,2025-12-12,417.20,169,2.47,3.89
1765575331700,861,798,6.93,2.01,38.43,17,1312.37,77.20,31,Driftwood Barstool,2025-12-12,410.51,172,2.39,3.20
1765578931700,939,862,6.53,2.30,35.13,22,1854.99,84.32,37,Driftwood Barstool,2025-12-12,432.64,176,2.46,4.29
1765582531700,1052,955,6.51,2.70,46.16,28,2357.23,84.19,34,Driftwood Barstool,2025-12-12,385.67,208,1.85,6.11
1765586131700,1155,960,6.50,3.34,45.28,39,3106.86,79.66,73,Driftwood Barstool,2025-12-13,494.64,248,1.99,6.28
1765589731700,1244,1034,8.20,3.38,36.68,42,2996.56,71.35,68,Driftwood Barstool,2025-12-13,399.46,190,2.10,7.50
1765593331700,1350,1222,8.43,3.90,49.25,53,4328.55,81.67,73,Driftwood Barstool,2025-12-13,400.92,208,1.93,10.80
1765596931700,1435,1328,7.80,3.88,48.59,56,4696.51,83.87,68,Driftwood Barstool,2025-12-13,454.20,198,2.29,10.34
1765600531700,1484,1359,9.67,4.17,42.81,62,4983.98,80.39,109,Driftwood Barstool,2025-12-13,477.39,248,1.92,10.44
1765604131700,1539,1363,9.36,3.27,45.10,50,4080.27,81.61,79,Driftwood Barstool,2025-12-13,464.02,158,2.94,8.79
1765607731700,1543,1319,8.32,3.05,41.08,47,3706.29,78.86,79,Driftwood Barstool,2025-12-13,492.43,230,2.14,7.53
1765611331700,1521,1277,8.71,3.59,45.57,55,4720.47,85.83,98,Driftwood Barstool,2025-12-13,441.88,203,2.18,10.68
1765614931700,1471,1308,10.53,2.96,48.91,44,3404.17,77.37,55,Driftwood Barstool,2025-12-13,521.13,254,2.05,6.53
