ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,741,689,4.46,2.79,33.45,21,1323.21,63.01,35,Solstice Ceramic Set,2025-12-12,445.05,190,2.34,2.97
1765564531700,713,594,5.03,1.83,42.91,13,952.13,73.24,18,Solstice Ceramic Set,2025-12-12,358.59,146,2.46,2.66
1765568131700,727,586,5.19,2.19,35.62,16,1210.38,75.65,29,Solstice Ceramic Set,2025-12-12,358.17,134,2.67,3.38
1765571731700,782,679,6.19,2.87,39.85,22,1613.58,73.34,40,Solstice Ceramic Set,2025-12-12,385.54,139,2.77,4.19
1765575331700,822,741,6.67,2.16,42.92,18,1156.09,64.23,32,Solstice Ceramic Set,2025-12-12,386.47,159,2.43,2.99
1765578931700,901,734,7.29,2.25,39.60,20,1444.58,72.23,26,Solstice Ceramic Set,2025-12-12,422.34,214,1.97,3.42
1765582531700,999,931,6.23,3.14,38.55,31,2373.70,76.57,40,Solstice Ceramic Set,2025-12-12,389.51,197,1.98,6.09
1765586131700,1106,980,7.68,3.59,48.11,40,2804.50,70.11,64,Solstice Ceramic Set,2025-12-13,398.29,135,2.95,7.04
1765589731700,1181,1051,7.01,2.77,33.83,33,2321.30,70.34,49,Solstice Ceramic Set,2025-12-13,459.18,183,2.51,5.06
1765593331700,1284,1198,9.86,3.59,37.92,46,3633.84,79.00,66,Solstice Ceramic Set,2025-12-13,509.08,216,2.36,7.14
1765596931700,1356,1182,9.69,3.41,38.05,46,2896.37,62.96,66,Solstice Ceramic Set,2025-12-13,495.88,182,2.72,5.84
1765600531700,1442,1361,9.65,4.20,48.63,61,4668.48,76.53,89,Solstice Ceramic Set,2025-12-13,479.67,259,1.85,9.73
1765604131700,1449,1245,10.77,4.30,42.91,62,4616.66,74.46,104,Solstice Ceramic Set,2025-12-13,433.05,195,2.22,10.66
1765607731700,1473,1185,10.20,4.36,40.06,64,4989.21,77.96,84,Solstice Ceramic Set,2025-12-13,512.57,259,1.98,9.73
