ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,746,645,4.50,3.51,42.20,26,1958.09,75.31,33,Lumen Glassware,2025-12-12,385.77,166,2.32,5.08
1765564531700,738,598,6.33,2.77,33.25,20,1568.01,78.40,34,Lumen Glassware,2025-12-12,373.76,137,2.73,4.20
1765568131700,729,674,5.43,2.95,38.23,22,1504.45,68.38,38,Lumen Glassware,2025-12-12,470.44,239,1.97,3.20
1765571731700,790,687,6.79,2.56,36.88,20,1600.40,80.02,33,Lumen Glassware,2025-12-12,412.60,190,2.17,3.88
1765575331700,845,725,6.87,2.71,32.03,23,1867.83,81.21,29,Lumen Glassware,2025-12-12,471.42,208,2.27,3.96
1765578931700,906,846,8.03,2.84,45.58,26,1834.97,70.58,35,Lumen Glassware,2025-12-12,478.67,179,2.67,3.83
1765582531700,1000,824,8.13,2.94,42.78,29,1903.48,65.64,43,Lumen Glassware,2025-12-12,478.81,204,2.35,3.98
1765586131700,1119,981,7.89,3.46,47.53,39,2832.12,72.62,66,Lumen Glassware,2025-12-13,493.02,199,2.48,5.74
1765589731700,1228,1154,9.50,4.04,36.11,50,3653.83,73.08,71,Lumen Glassware,2025-12-13,436.69,182,2.40,8.37
1765593331700,1321,1228,8.61,4.38,44.68,58,4723.27,81.44,93,Lumen Glassware,2025-12-13,445.55,186,2.40,10.60
1765596931700,1387,1182,7.67,3.91,37.64,54,4112.41,76.16,69,Lumen Glassware,2025-12-13,429.76,160,2.69,9.57
1765600531700,1460,1199,8.87,3.60,37.09,53,3963.20,74.78,66,Lumen Glassware,2025-12-13,437.96,209,2.10,9.05
1765604131700,1472,1370,8.63,3.63,50.15,53,3995.91,75.39,99,Lumen Glassware,2025-12-13,493.54,223,2.21,8.10
1765607731700,1510,1314,10.17,4.34,41.37,66,4560.01,69.09,102,Lumen Glassware,2025-12-13,461.53,167,2.76,9.88
1765611331700,1473,1217,10.16,4.36,37.48,64,5272.58,82.38,85,Lumen Glassware,2025-12-13,444.20,181,2.45,11.87
1765614931700,1433,1343,10.29,3.54,40.59,51,3422.25,67.10,96,Lumen Glassware,2025-12-13,520.84,252,2.07,6.57
1765618531700,1374,1184,9.90,3.69,47.50,51,3700.42,72.56,90,Lumen Glassware,2025-12-13,471.36,243,1.94,7.85
1765622131700,1304,1148,9.02,2.96,44.72,39,2986.80,76.58,51,Lumen Glassware,2025-12-13,479.57,229,2.09,6.23
1765625731700,1197,1017,7.62,2.91,47.32,35,2295.51,65.59,47,Lumen Glassware,2025-12-13,441.73,193,2.29,5.20
1765629331700,1098,931,8.47,3.98,42.13,44,3333.63,75.76,80,Lumen Glassware,2025-12-13,460.77,240,1.92,7.23
1765632931700,1028,927,8.41,2.27,42.59,23,1648.00,71.65,39,Lumen Glassware,2025-12-13,381.60,208,1.83,4.32
1765636531700,914,795,7.17,2.69,44.09,25,2071.10,82.84,38,Lumen Glassware,2025-12-13,467.77,179,2.61,4.43
1765640131700,830,670,5.45,2.08,46.89,17,1210.82,71.22,32,Lumen Glassware,2025-12-13,427.51,208,2.06,2.83
1765643731700,777,623,5.38,3.20,46.18,25,1995.53,79.82,40,Lumen Glassware,2025-12-13,457.19,198,2.31,4.36
1765647331700,831,761,6.97,2.54,43.09,21,1397.13,66.53,29,Lumen Glassware,2025-12-13,386.34,159,2.43,3.62
1765650931700,793,692,4.96,2.52,34.18,20,1435.92,71.80,32,Lumen Glassware,2025-12-13,378.95,136,2.79,3.79
1765654531700,827,733,4.51,2.03,40.34,17,1407.04,82.77,26,Lumen Glassware,2025-12-13,451.83,224,2.02,3.11
1765658131700,848,697,6.46,2.27,41.33,19,1417.51,74.61,36,Lumen Glassware,2025-12-13,388.80,132,2.95,3.65
1765661731700,933,872,4.73,3.12,41.11,29,2219.87,76.55,41,Lumen Glassware,2025-12-13,457.04,246,1.86,4.86
1765665331700,995,927,6.77,2.31,33.02,23,1899.35,82.58,43,Lumen Glassware,2025-12-13,392.15,178,2.20,4.84
1765668931700,1093,925,8.39,2.31,47.13,25,1706.58,68.26,35,Lumen Glassware,2025-12-13,410.35,192,2.14,4.16
1765672531700,1233,1051,7.70,3.58,44.20,44,3501.38,79.58,53,Lumen Glassware,2025-12-14,428.18,228,1.88,8.18
1765676131700,1330,1187,7.27,3.02,40.85,40,2687.12,67.18,73,Lumen Glassware,2025-12-14,444.27,152,2.92,6.05
1765679731700,1429,1219,8.73,3.00,42.32,43,2863.92,66.60,65,Lumen Glassware,2025-12-14,507.70,178,2.85,5.64
1765683331700,1515,1323,9.40,4.51,37.66,68,5232.92,76.95,116,Lumen Glassware,2025-12-14,467.81,159,2.94,11.19
1765686931700,1581,1486,10.44,3.72,47.36,59,4209.79,71.35,108,Lumen Glassware,2025-12-14,433.70,207,2.10,9.71
1765690531700,1610,1445,10.17,3.49,38.22,56,3934.28,70.26,89,Lumen Glassware,2025-12-14,451.40,228,1.98,8.72
1765694131700,1622,1331,10.77,3.50,48.42,57,4470.10,78.42,105,Lumen Glassware,2025-12-14,482.16,263,1.83,9.27
1765697731700,1615,1396,9.08,4.12,37.20,67,5011.37,74.80,86,Lumen Glassware,2025-12-14,463.92,255,1.82,10.80
1765701331700,1594,1389,8.50,4.23,46.93,67,5349.40,79.84,97,Lumen Glassware,2025-12-14,467.30,224,2.09,11.45
1765704931700,1496,1213,9.13,4.36,50.39,65,5336.27,82.10,108,Lumen Glassware,2025-12-14,450.43,150,3.00,11.85
1765708531700,1418,1340,7.74,4.10,48.41,58,4415.26,76.13,76,Lumen Glassware,2025-12-14,397.62,151,2.63,11.10
1765712131700,1318,1097,9.08,3.21,35.17,42,3357.53,79.94,69,Lumen Glassware,2025-12-14,409.77,145,2.83,8.19
1765715731700,1201,966,7.20,3.22,38.66,39,3230.50,82.83,61,Lumen Glassware,2025-12-14,396.14,158,2.51,8.15
1765719331700,1103,995,7.03,2.43,42.01,27,1911.18,70.78,46,Lumen Glassware,2025-12-14,392.69,186,2.11,4.87
1765722931700,1023,952,6.73,3.49,33.69,36,2600.42,72.23,61,Lumen Glassware,2025-12-14,411.28,168,2.45,6.32
1765726531700,913,860,4.98,2.26,34.90,21,1726.91,82.23,33,Lumen Glassware,2025-12-14,416.96,162,2.57,4.14
1765730131700,850,728,5.04,2.97,41.02,25,1680.08,67.20,37,Lumen Glassware,2025-12-14,428.81,155,2.77,3.92
1765733731700,843,720,5.09,3.07,45.12,26,2154.15,82.85,34,Lumen Glassware,2025-12-14,389.36,205,1.90,5.53
1765737331700,826,716,5.74,2.37,45.10,20,1421.67,71.08,34,Lumen Glassware,2025-12-14,374.71,128,2.93,3.79
