ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,765,726,4.39,2.73,33.22,21,1596.68,76.03,33,Velvet Bay Candle,2025-12-12,474.24,184,2.58,3.37
1765564531700,749,605,5.90,1.91,39.87,14,963.38,68.81,19,Velvet Bay Candle,2025-12-12,385.39,159,2.42,2.50
1765568131700,744,605,5.75,3.59,35.57,27,2065.53,76.50,45,Velvet Bay Candle,2025-12-12,466.40,156,2.99,4.43
1765571731700,781,637,5.46,2.78,43.85,22,1774.09,80.64,37,Velvet Bay Candle,2025-12-12,473.96,216,2.19,3.74
1765575331700,838,792,5.50,3.20,32.59,27,2045.60,75.76,40,Velvet Bay Candle,2025-12-12,442.89,243,1.82,4.62
1765578931700,945,865,7.68,2.40,44.42,23,1976.12,85.92,41,Velvet Bay Candle,2025-12-12,431.24,212,2.03,4.58
1765582531700,1040,933,7.18,3.34,41.91,35,2956.81,84.48,55,Velvet Bay Candle,2025-12-12,439.18,153,2.87,6.73
1765586131700,1125,935,7.19,2.54,37.72,29,2100.29,72.42,50,Velvet Bay Candle,2025-12-13,404.55,182,2.22,5.19
1765589731700,1222,1135,7.55,3.12,34.59,38,2587.45,68.09,59,Velvet Bay Candle,2025-12-13,406.20,195,2.08,6.37
1765593331700,1337,1124,8.42,4.43,38.88,59,4662.00,79.02,89,Velvet Bay Candle,2025-12-13,463.48,192,2.41,10.06
1765596931700,1422,1174,8.97,3.92,35.71,56,3905.52,69.74,76,Velvet Bay Candle,2025-12-13,494.04,176,2.81,7.91
1765600531700,1466,1357,9.57,2.95,43.91,43,2939.58,68.36,71,Velvet Bay Candle,2025-12-13,500.76,189,2.65,5.87
1765604131700,1521,1394,10.74,4.45,40.16,68,4723.76,69.47,92,Velvet Bay Candle,2025-12-13,445.00,188,2.37,10.62
1765607731700,1516,1264,10.97,3.40,36.85,52,4320.78,83.09,79,Velvet Bay Candle,2025-12-13,445.27,234,1.90,9.70
1765611331700,1490,1225,10.14,3.66,41.21,55,4521.71,82.21,70,Velvet Bay Candle,2025-12-13,418.89,199,2.10,10.79
1765614931700,1448,1212,10.48,3.06,50.17,44,3111.31,70.71,62,Velvet Bay Candle,2025-12-13,410.46,154,2.67,7.58
1765618531700,1407,1313,10.46,3.55,35.80,50,4116.25,82.33,85,Velvet Bay Candle,2025-12-13,422.41,177,2.39,9.74
1765622131700,1318,1109,8.55,3.24,47.44,43,3547.27,82.49,58,Velvet Bay Candle,2025-12-13,507.22,256,1.98,6.99
1765625731700,1225,1133,6.86,4.21,47.53,52,4382.11,84.27,66,Velvet Bay Candle,2025-12-13,413.94,189,2.19,10.59
1765629331700,1121,958,7.47,3.48,36.20,39,2808.27,72.01,60,Velvet Bay Candle,2025-12-13,496.18,273,1.82,5.66
1765632931700,1034,931,6.84,3.97,45.02,41,3129.14,76.32,53,Velvet Bay Candle,2025-12-13,472.18,251,1.88,6.63
1765636531700,921,843,5.75,2.94,36.72,27,2062.03,76.37,43,Velvet Bay Candle,2025-12-13,398.83,193,2.07,5.17
1765640131700,869,768,4.93,2.75,37.95,24,2036.10,84.84,30,Velvet Bay Candle,2025-12-13,429.95,230,1.87,4.74
1765643731700,806,700,6.98,2.54,36.05,21,1732.41,82.50,26,Velvet Bay Candle,2025-12-13,441.36,225,1.96,3.93
1765647331700,828,706,6.39,2.80,45.05,23,1611.24,70.05,42,Velvet Bay Candle,2025-12-13,375.56,172,2.18,4.29
1765650931700,818,704,5.49,1.97,32.53,16,1336.34,83.52,26,Velvet Bay Candle,2025-12-13,465.51,240,1.94,2.87
1765654531700,829,735,4.84,2.17,32.68,18,1520.81,84.49,34,Velvet Bay Candle,2025-12-13,373.32,131,2.85,4.07
1765658131700,851,786,5.26,3.35,40.44,29,2398.70,82.71,35,Velvet Bay Candle,2025-12-13,465.69,249,1.87,5.15
1765661731700,923,874,4.86,3.04,37.61,28,2244.47,80.16,40,Velvet Bay Candle,2025-12-13,387.77,132,2.94,5.79
1765665331700,1028,922,7.72,3.28,42.44,34,2586.41,76.07,51,Velvet Bay Candle,2025-12-13,395.74,170,2.33,6.54
1765668931700,1131,953,6.88,2.74,38.33,31,2442.31,78.78,54,Velvet Bay Candle,2025-12-13,492.13,201,2.45,4.96
1765672531700,1225,1072,8.52,3.68,39.45,45,3742.22,83.16,65,Velvet Bay Candle,2025-12-14,431.01,171,2.52,8.68
1765676131700,1345,1204,7.26,3.66,49.05,49,3651.08,74.51,83,Velvet Bay Candle,2025-12-14,397.61,185,2.15,9.18
1765679731700,1427,1230,7.73,4.21,41.24,60,5143.05,85.72,107,Velvet Bay Candle,2025-12-14,433.73,182,2.38,11.86
1765683331700,1544,1258,8.63,3.80,39.95,59,4626.00,78.41,102,Velvet Bay Candle,2025-12-14,416.42,181,2.30,11.11
1765686931700,1600,1428,9.87,4.28,39.45,69,5089.53,73.76,130,Velvet Bay Candle,2025-12-14,418.45,158,2.65,12.16
1765690531700,1637,1548,8.13,3.09,41.15,51,3620.14,70.98,91,Velvet Bay Candle,2025-12-14,502.29,178,2.82,7.21
1765694131700,1641,1473,10.56,3.81,49.10,63,4493.14,71.32,90,Velvet Bay Candle,2025-12-14,463.30,165,2.81,9.70
1765697731700,1625,1441,9.95,4.55,42.03,74,5767.44,77.94,89,Velvet Bay Candle,2025-12-14,475.60,213,2.23,12.13
1765701331700,1609,1288,10.47,3.80,40.28,61,4473.81,73.34,75,Velvet Bay Candle,2025-12-14,448.39,246,1.82,9.98
1765704931700,1528,1227,7.76,3.68,42.50,56,3890.23,69.47,94,Velvet Bay Candle,2025-12-14,405.40,223,1.82,9.60
1765708531700,1461,1259,7.77,4.05,41.09,59,4933.90,83.63,80,Velvet Bay Candle,2025-12-14,473.25,246,1.92,10.43
1765712131700,1338,1240,7.89,3.25,35.23,43,3387.37,78.78,75,Velvet Bay Candle,2025-12-14,437.91,231,1.90,7.74
1765715731700,1232,1026,9.06,4.09,48.52,50,4199.75,83.99,60,Velvet Bay Candle,2025-12-14,488.43,225,2.17,8.60
1765719331700,1120,1046,7.96,2.76,40.56,31,2270.94,73.26,51,Velvet Bay Candle,2025-12-14,394.00,217,1.82,5.76
1765722931700,1032,880,5.69,2.27,37.48,23,1856.25,80.71,40,Velvet Bay Candle,2025-12-14,444.75,215,2.07,4.17
1765726531700,927,802,6.00,2.40,35.50,22,1694.33,77.01,28,Velvet Bay Candle,2025-12-14,481.49,172,2.80,3.52
1765730131700,884,803,5.70,2.00,36.11,18,1546.83,85.93,23,Velvet Bay Candle,2025-12-14,360.26,174,2.07,4.29
1765733731700,833,750,7.07,3.10,46.64,26,1933.39,74.36,42,Velvet Bay Candle,2025-12-14,434.54,237,1.83,4.45
1765737331700,832,681,6.61,2.34,44.78,19,1603.47,84.39,28,Velvet Bay Candle,2025-12-14,473.46,200,2.37,3.39
1765740931700,857,748,4.30,3.47,41.37,30,2154.05,71.80,46,Velvet Bay Candle,2025-12-14,461.43,190,2.43,4.67
1765744531700,877,724,6.07,3.12,42.96,27,2140.60,79.28,50,Velvet Bay Candle,2025-12-14,398.15,149,2.67,5.38
1765748131700,953,770,5.58,2.54,44.62,24,1799.14,74.96,45,Velvet Bay Candle,2025-12-14,452.74,202,2.24,3.97
1765751731700,1028,935,5.23,3.13,32.92,32,2546.08,79.56,50,Velvet Bay Candle,2025-12-14,463.77,165,2.81,5.49
1765755331700,1144,948,8.35,3.60,35.96,41,2948.63,71.92,67,Velvet Bay Candle,2025-12-14,389.74,146,2.67,7.57
1765758931700,1245,1171,6.61,3.93,40.10,49,3501.57,71.46,79,Velvet Bay Candle,2025-12-15,383.52,181,2.12,9.13
1765762531700,1370,1109,7.36,4.11,42.74,56,3956.99,70.66,73,Velvet Bay Candle,2025-12-15,432.34,223,1.94,9.15
1765766131700,1487,1379,7.81,3.54,44.39,53,4352.33,82.12,74,Velvet Bay Candle,2025-12-15,478.43,202,2.37,9.10
