ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1056,983,10.65,5.09,23.70,54,4437.23,82.17,101,Cedar Accent Chair,2025-12-12,465.28,252,1.85,9.54
1765564531700,1066,1006,10.32,5.57,26.92,59,5322.50,90.21,91,Cedar Accent Chair,2025-12-12,365.37,143,2.56,14.57
1765568131700,1058,938,11.58,6.07,33.24,64,5088.46,79.51,102,Cedar Accent Chair,2025-12-12,371.98,182,2.04,13.68
1765571731700,1115,1036,12.47,6.27,35.09,70,6408.30,91.55,114,Cedar Accent Chair,2025-12-12,367.23,161,2.28,17.45
1765575331700,1201,962,13.13,5.54,27.29,67,5435.00,81.12,127,Cedar Accent Chair,2025-12-12,369.36,195,1.89,14.71
1765578931700,1332,1088,12.55,5.49,29.01,73,6167.46,84.49,132,Cedar Accent Chair,2025-12-12,403.37,155,2.60,15.29
1765582531700,1471,1362,12.61,6.74,36.67,99,7533.89,76.10,171,Cedar Accent Chair,2025-12-12,452.09,173,2.61,16.66
1765586131700,1599,1517,13.64,6.42,38.35,103,7871.46,76.42,143,Cedar Accent Chair,2025-12-13,482.32,215,2.24,16.32
1765589731700,1764,1675,13.57,7.32,30.15,129,10619.91,82.32,173,Cedar Accent Chair,2025-12-13,482.17,189,2.55,22.03
1765593331700,1880,1627,14.99,6.52,36.09,123,10287.28,83.64,191,Cedar Accent Chair,2025-12-13,478.15,192,2.49,21.51
1765596931700,2017,1729,14.65,6.03,37.12,122,9965.55,81.68,176,Cedar Accent Chair,2025-12-13,405.19,144,2.81,24.59
1765600531700,2108,1705,14.79,6.74,39.08,142,11258.81,79.29,187,Cedar Accent Chair,2025-12-13,478.10,204,2.34,23.55
1765604131700,2133,2015,14.89,7.73,32.05,165,12732.31,77.17,265,Cedar Accent Chair,2025-12-13,454.41,218,2.08,28.02
1765607731700,2158,1948,15.52,7.50,30.18,162,12346.92,76.22,264,Cedar Accent Chair,2025-12-13,501.28,213,2.35,24.63
1765611331700,2165,1847,14.21,6.46,35.83,140,10435.33,74.54,252,Cedar Accent Chair,2025-12-13,416.97,162,2.57,25.03
1765614931700,2101,1708,15.91,6.79,37.50,143,12957.77,90.61,206,Cedar Accent Chair,2025-12-13,491.04,234,2.10,26.39
1765618531700,1985,1607,13.13,6.71,25.76,133,10077.64,75.77,243,Cedar Accent Chair,2025-12-13,448.10,166,2.70,22.49
1765622131700,1880,1676,14.09,6.18,38.54,116,9416.52,81.18,168,Cedar Accent Chair,2025-12-13,401.67,178,2.26,23.44
1765625731700,1770,1646,12.73,6.29,38.73,111,8999.47,81.08,176,Cedar Accent Chair,2025-12-13,482.24,178,2.71,18.66
1765629331700,1606,1377,14.33,5.94,37.02,95,7745.30,81.53,152,Cedar Accent Chair,2025-12-13,478.15,175,2.73,16.20
1765632931700,1476,1374,11.91,6.12,27.60,90,7113.53,79.04,164,Cedar Accent Chair,2025-12-13,478.47,204,2.35,14.87
1765636531700,1341,1158,13.36,6.82,34.01,91,8242.44,90.58,170,Cedar Accent Chair,2025-12-13,422.43,230,1.84,19.51
1765640131700,1225,1138,10.58,6.42,34.53,79,6833.06,86.49,101,Cedar Accent Chair,2025-12-13,420.50,156,2.70,16.25
1765643731700,1146,917,12.05,6.55,25.31,75,6851.25,91.35,123,Cedar Accent Chair,2025-12-13,408.30,175,2.33,16.78
1765647331700,1171,958,10.78,5.15,30.88,60,4669.46,77.82,89,Cedar Accent Chair,2025-12-13,438.66,148,2.96,10.64
1765650931700,1132,1046,9.74,5.95,21.40,67,5327.28,79.51,109,Cedar Accent Chair,2025-12-13,383.64,193,1.99,13.89
1765654531700,1170,990,11.62,5.57,31.79,65,5198.01,79.97,114,Cedar Accent Chair,2025-12-13,421.53,227,1.86,12.33
1765658131700,1217,1033,12.50,6.37,33.65,78,6890.22,88.34,137,Cedar Accent Chair,2025-12-13,391.93,191,2.05,17.58
1765661731700,1328,1069,12.99,6.66,26.97,89,6895.81,77.48,159,Cedar Accent Chair,2025-12-13,468.31,233,2.01,14.72
1765665331700,1471,1180,13.00,6.46,28.40,95,8401.57,88.44,128,Cedar Accent Chair,2025-12-13,453.53,247,1.84,18.52
1765668931700,1602,1348,12.30,6.70,27.34,107,8405.88,78.56,149,Cedar Accent Chair,2025-12-13,493.04,231,2.13,17.05
1765672531700,1773,1544,13.77,6.21,31.69,110,8704.17,79.13,152,Cedar Accent Chair,2025-12-14,478.27,202,2.37,18.20
1765676131700,1914,1567,15.02,5.74,25.93,110,9614.29,87.40,208,Cedar Accent Chair,2025-12-14,474.73,204,2.33,20.25
1765679731700,2055,1887,13.10,7.00,25.00,144,12812.54,88.98,185,Cedar Accent Chair,2025-12-14,446.49,174,2.57,28.70
1765683331700,2207,1926,13.46,6.77,27.92,149,11884.64,79.76,232,Cedar Accent Chair,2025-12-14,411.55,142,2.90,28.88
1765686931700,2290,1862,15.18,7.59,26.30,174,14440.50,82.99,229,Cedar Accent Chair,2025-12-14,468.56,185,2.53,30.82
1765690531700,2337,1943,15.68,7.76,34.31,181,16141.69,89.18,227,Cedar Accent Chair,2025-12-14,417.65,229,1.82,38.65
1765694131700,2379,2187,13.84,6.29,32.94,150,11782.34,78.55,184,Cedar Accent Chair,2025-12-14,443.13,158,2.80,26.59
1765697731700,2346,2050,16.49,6.45,40.27,151,11228.74,74.36,225,Cedar Accent Chair,2025-12-14,519.56,283,1.84,21.61
1765701331700,2301,2019,16.09,7.64,37.01,176,15955.76,90.66,255,Cedar Accent Chair,2025-12-14,405.76,138,2.94,39.32
1765704931700,2187,1955,15.96,6.07,34.03,133,10236.10,76.96,237,Cedar Accent Chair,2025-12-14,430.68,194,2.22,23.77
1765708531700,2065,1776,15.40,6.66,35.95,138,11909.36,86.30,229,Cedar Accent Chair,2025-12-14,448.88,192,2.34,26.53
1765712131700,1906,1622,13.88,7.21,27.30,137,10499.08,76.64,250,Cedar Accent Chair,2025-12-14,413.37,195,2.12,25.40
1765715731700,1743,1480,12.97,5.46,37.98,95,7947.70,83.66,167,Cedar Accent Chair,2025-12-14,401.68,154,2.61,19.79
1765719331700,1616,1404,13.53,5.73,24.60,93,7646.35,82.22,125,Cedar Accent Chair,2025-12-14,463.45,162,2.86,16.50
1765722931700,1439,1302,11.72,6.85,22.57,99,7980.19,80.61,124,Cedar Accent Chair,2025-12-14,460.25,239,1.93,17.34
