ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1064,958,10.94,5.75,24.65,61,4509.77,73.93,106,Driftwood Barstool,2025-12-12,460.01,243,1.89,9.80
1765564531700,1028,896,12.49,5.34,34.21,55,4307.57,78.32,89,Driftwood Barstool,2025-12-12,464.21,214,2.17,9.28
1765568131700,1049,959,12.16,6.07,23.15,64,4798.56,74.98,94,Driftwood Barstool,2025-12-12,444.29,176,2.52,10.80
1765571731700,1137,1026,10.17,5.37,26.23,61,4518.17,74.07,86,Driftwood Barstool,2025-12-12,403.35,218,1.85,11.20
1765575331700,1204,982,12.04,6.09,25.49,73,5750.85,78.78,138,Driftwood Barstool,2025-12-12,401.83,174,2.31,14.31
1765578931700,1310,1220,11.12,6.73,24.80,88,6419.49,72.95,108,Driftwood Barstool,2025-12-12,434.20,182,2.39,14.78
1765582531700,1458,1254,12.22,6.88,35.34,100,7740.66,77.41,186,Driftwood Barstool,2025-12-12,408.95,147,2.78,18.93
1765586131700,1612,1410,13.14,5.54,34.43,89,6828.46,76.72,161,Driftwood Barstool,2025-12-13,416.39,162,2.57,16.40
1765589731700,1732,1553,13.33,5.74,28.98,99,8642.98,87.30,130,Driftwood Barstool,2025-12-13,466.42,175,2.67,18.53
1765593331700,1871,1759,13.17,7.21,37.17,135,11342.48,84.02,226,Driftwood Barstool,2025-12-13,426.52,185,2.31,26.59
1765596931700,1971,1752,13.55,5.83,39.31,115,9461.99,82.28,208,Driftwood Barstool,2025-12-13,403.59,184,2.19,23.44
1765600531700,2067,1842,15.91,7.04,33.06,146,12627.58,86.49,176,Driftwood Barstool,2025-12-13,478.34,241,1.98,26.40
1765604131700,2133,2011,16.04,6.18,30.38,132,9453.33,71.62,235,Driftwood Barstool,2025-12-13,406.63,204,1.99,23.25
1765607731700,2156,1778,16.45,6.85,33.38,148,11321.18,76.49,268,Driftwood Barstool,2025-12-13,433.54,210,2.06,26.11
