ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1038,965,11.41,5.28,29.61,55,4259.34,77.44,85,Solstice Ceramic Set,2025-12-12,411.80,161,2.56,10.34
1765564531700,996,906,10.06,5.97,33.99,60,3928.10,65.47,101,Solstice Ceramic Set,2025-12-12,446.51,151,2.96,8.80
1765568131700,1051,853,10.99,5.52,33.40,58,3827.92,66.00,83,Solstice Ceramic Set,2025-12-12,394.51,198,1.99,9.70
1765571731700,1070,1011,10.73,6.12,22.64,65,4433.55,68.21,83,Solstice Ceramic Set,2025-12-12,390.40,197,1.98,11.36
1765575331700,1183,1045,11.26,6.46,27.58,76,5651.69,74.36,116,Solstice Ceramic Set,2025-12-12,461.07,239,1.93,12.26
1765578931700,1285,1148,12.70,6.06,36.58,78,5277.68,67.66,123,Solstice Ceramic Set,2025-12-12,440.16,153,2.88,11.99
1765582531700,1411,1316,12.74,5.29,31.06,75,5307.36,70.76,92,Solstice Ceramic Set,2025-12-12,416.47,151,2.76,12.74
1765586131700,1544,1409,12.20,6.23,26.29,96,7485.32,77.97,130,Solstice Ceramic Set,2025-12-13,413.61,155,2.67,18.10
1765589731700,1674,1507,13.95,5.83,34.08,98,6122.26,62.47,160,Solstice Ceramic Set,2025-12-13,401.67,146,2.75,15.24
1765593331700,1825,1536,13.78,6.69,28.28,122,9204.15,75.44,196,Solstice Ceramic Set,2025-12-13,504.44,212,2.38,18.25
1765596931700,1940,1654,15.55,7.44,31.36,144,10462.54,72.66,242,Solstice Ceramic Set,2025-12-13,500.47,191,2.62,20.91
1765600531700,2026,1843,15.94,7.00,37.26,142,11305.25,79.61,172,Solstice Ceramic Set,2025-12-13,477.06,215,2.22,23.70
1765604131700,2080,1805,14.77,6.58,25.01,137,8906.66,65.01,207,Solstice Ceramic Set,2025-12-13,453.32,205,2.21,19.65
1765607731700,2077,1723,15.59,6.36,37.06,132,8217.93,62.26,238,Solstice Ceramic Set,2025-12-13,488.79,176,2.78,16.81
1765611331700,2083,1830,13.73,6.24,32.92,130,8453.31,65.03,226,Solstice Ceramic Set,2025-12-13,423.25,218,1.94,19.97
1765614931700,2029,1723,14.20,6.04,29.65,123,8386.57,68.18,198,Solstice Ceramic Set,2025-12-13,418.06,212,1.97,20.06
1765618531700,1925,1604,13.15,5.84,26.62,112,8347.39,74.53,165,Solstice Ceramic Set,2025-12-13,435.61,172,2.53,19.16
1765622131700,1801,1534,13.36,6.81,25.89,123,8736.81,71.03,215,Solstice Ceramic Set,2025-12-13,436.93,201,2.17,20.00
1765625731700,1676,1520,14.19,5.89,38.65,99,6495.03,65.61,148,Solstice Ceramic Set,2025-12-13,445.18,194,2.29,14.59
1765629331700,1553,1375,11.73,5.63,28.94,88,6246.87,70.99,133,Solstice Ceramic Set,2025-12-13,386.13,180,2.15,16.18
1765632931700,1405,1195,13.44,7.01,34.75,99,7379.14,74.54,141,Solstice Ceramic Set,2025-12-13,487.18,173,2.82,15.15
1765636531700,1283,1039,11.62,6.58,33.36,84,5962.34,70.98,104,Solstice Ceramic Set,2025-12-13,372.28,160,2.33,16.02
1765640131700,1166,1029,10.70,6.24,27.44,73,4967.10,68.04,98,Solstice Ceramic Set,2025-12-13,366.25,140,2.62,13.56
1765643731700,1089,958,12.83,5.63,22.98,61,4213.34,69.07,106,Solstice Ceramic Set,2025-12-13,409.40,193,2.12,10.29
1765647331700,1124,1061,12.59,6.23,24.30,70,5360.26,76.58,115,Solstice Ceramic Set,2025-12-13,366.47,196,1.87,14.63
1765650931700,1092,1007,12.35,6.30,36.68,69,5472.08,79.31,83,Solstice Ceramic Set,2025-12-13,408.52,218,1.87,13.40
1765654531700,1113,1008,11.28,4.94,34.89,55,3494.42,63.53,71,Solstice Ceramic Set,2025-12-13,393.33,172,2.29,8.88
1765658131700,1200,1091,9.92,5.98,23.59,72,5533.03,76.85,91,Solstice Ceramic Set,2025-12-13,373.59,173,2.16,14.81
1765661731700,1265,1059,12.80,6.37,22.76,81,6128.49,75.66,144,Solstice Ceramic Set,2025-12-13,464.53,238,1.95,13.19
1765665331700,1409,1260,13.25,6.09,29.25,86,6555.55,76.23,107,Solstice Ceramic Set,2025-12-13,414.95,205,2.02,15.80
1765668931700,1533,1333,11.27,6.57,32.46,101,7077.11,70.07,183,Solstice Ceramic Set,2025-12-13,486.92,172,2.83,14.53
1765672531700,1677,1385,13.94,6.72,29.07,113,8565.46,75.80,140,Solstice Ceramic Set,2025-12-14,496.01,200,2.48,17.27
1765676131700,1841,1540,14.25,6.54,25.80,120,9364.69,78.04,225,Solstice Ceramic Set,2025-12-14,496.10,208,2.39,18.88
1765679731700,1968,1739,14.75,7.21,39.28,142,10505.93,73.99,232,Solstice Ceramic Set,2025-12-14,497.54,247,2.01,21.12
1765683331700,2098,1955,13.12,5.91,34.23,124,8456.08,68.19,176,Solstice Ceramic Set,2025-12-14,438.62,151,2.90,19.28
1765686931700,2204,1783,15.04,6.18,25.93,136,8728.15,64.18,232,Solstice Ceramic Set,2025-12-14,418.43,201,2.08,20.86
1765690531700,2260,2134,14.00,6.82,34.52,154,9794.05,63.60,270,Solstice Ceramic Set,2025-12-14,433.95,164,2.65,22.57
1765694131700,2270,2068,15.67,6.39,36.88,145,9749.19,67.24,200,Solstice Ceramic Set,2025-12-14,484.67,174,2.79,20.12
1765697731700,2273,1960,15.17,6.26,36.62,142,10621.70,74.80,235,Solstice Ceramic Set,2025-12-14,508.72,207,2.46,20.88
1765701331700,2187,2059,13.44,7.56,31.46,165,10981.73,66.56,217,Solstice Ceramic Set,2025-12-14,461.55,216,2.14,23.79
1765704931700,2101,1939,13.20,6.66,37.57,140,11103.59,79.31,248,Solstice Ceramic Set,2025-12-14,458.75,177,2.59,24.20
1765708531700,1988,1694,13.32,6.66,30.83,132,10250.37,77.65,182,Solstice Ceramic Set,2025-12-14,458.75,245,1.87,22.34
1765712131700,1841,1637,13.54,7.16,27.41,132,9542.08,72.29,196,Solstice Ceramic Set,2025-12-14,469.25,201,2.33,20.33
1765715731700,1708,1581,12.32,5.44,34.38,93,7143.61,76.81,129,Solstice Ceramic Set,2025-12-14,435.21,194,2.24,16.41
1765719331700,1524,1305,14.06,5.66,25.01,86,6732.84,78.29,129,Solstice Ceramic Set,2025-12-14,481.29,210,2.29,13.99
1765722931700,1408,1212,10.95,5.74,23.95,81,6015.12,74.26,145,Solstice Ceramic Set,2025-12-14,414.25,144,2.88,14.52
1765726531700,1288,1103,12.58,5.04,33.76,65,4225.49,65.01,79,Solstice Ceramic Set,2025-12-14,420.05,200,2.10,10.06
1765730131700,1191,972,11.20,5.06,25.07,60,3748.73,62.48,73,Solstice Ceramic Set,2025-12-14,373.30,193,1.93,10.04
1765733731700,1141,963,10.94,5.95,28.09,68,5331.80,78.41,103,Solstice Ceramic Set,2025-12-14,465.58,191,2.44,11.45
1765737331700,1142,1074,11.14,4.85,36.57,55,3735.78,67.92,68,Solstice Ceramic Set,2025-12-14,394.50,207,1.91,9.47
1765740931700,1153,941,12.51,6.14,23.40,71,4570.55,64.37,117,Solstice Ceramic Set,2025-12-14,370.90,187,1.98,12.32
1765744531700,1230,1044,12.33,5.69,34.98,70,5104.93,72.93,102,Solstice Ceramic Set,2025-12-14,455.76,235,1.94,11.20
1765748131700,1290,1113,11.92,5.88,22.72,76,5865.51,77.18,110,Solstice Ceramic Set,2025-12-14,394.35,137,2.88,14.87
1765751731700,1412,1271,11.83,6.00,36.84,85,5306.03,62.42,116,Solstice Ceramic Set,2025-12-14,486.84,201,2.42,10.90
1765755331700,1562,1251,13.28,6.40,31.02,100,7053.26,70.53,185,Solstice Ceramic Set,2025-12-14,447.49,152,2.94,15.76
1765758931700,1742,1601,13.64,5.49,24.96,96,6999.65,72.91,119,Solstice Ceramic Set,2025-12-15,448.35,175,2.56,15.61
1765762531700,1896,1759,13.38,7.32,27.87,139,8972.72,64.55,208,Solstice Ceramic Set,2025-12-15,407.74,165,2.47,22.01
1765766131700,2029,1903,13.00,6.93,39.89,141,10025.98,71.11,182,Solstice Ceramic Set,2025-12-15,426.56,148,2.88,23.50
1765769731700,2147,1846,15.69,6.58,28.32,141,9926.38,70.40,207,Solstice Ceramic Set,2025-12-15,503.80,236,2.13,19.70
1765773331700,2244,1929,13.35,6.86,34.08,154,12229.71,79.41,225,Solstice Ceramic Set,2025-12-15,485.21,177,2.74,25.21
1765776931700,2322,2003,13.81,6.39,27.52,148,9719.20,65.67,212,Solstice Ceramic Set,2025-12-15,429.71,195,2.20,22.62
1765780531700,2324,1895,14.82,6.64,33.63,154,9839.67,63.89,242,Solstice Ceramic Set,2025-12-15,407.02,183,2.22,24.17
1765784131700,2295,2077,14.43,6.60,35.20,151,11789.79,78.08,225,Solstice Ceramic Set,2025-12-15,406.15,181,2.24,29.03
1765787731700,2254,2114,13.52,6.94,31.02,156,12346.01,79.14,254,Solstice Ceramic Set,2025-12-15,500.49,177,2.83,24.67
