ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1047,959,12.56,6.18,30.66,65,4840.46,74.47,103,Lumen Glassware,2025-12-12,411.65,145,2.84,11.76
1765564531700,1036,975,10.07,5.44,34.97,56,4365.29,77.95,87,Lumen Glassware,2025-12-12,366.75,141,2.60,11.90
1765568131700,1049,943,12.30,5.81,31.86,61,4911.80,80.52,83,Lumen Glassware,2025-12-12,463.34,229,2.02,10.60
1765571731700,1091,1024,11.08,6.65,23.26,73,5110.64,70.01,98,Lumen Glassware,2025-12-12,470.90,179,2.63,10.85
1765575331700,1179,1002,11.14,6.60,30.24,78,5867.68,75.23,133,Lumen Glassware,2025-12-12,436.42,188,2.32,13.45
1765578931700,1292,1038,11.66,6.55,23.48,85,6547.05,77.02,120,Lumen Glassware,2025-12-12,389.62,163,2.39,16.80
1765582531700,1418,1286,12.32,6.48,38.01,92,6122.27,66.55,123,Lumen Glassware,2025-12-12,418.84,168,2.49,14.62
1765586131700,1578,1310,13.76,6.36,35.74,100,6924.74,69.25,186,Lumen Glassware,2025-12-13,414.74,204,2.03,16.70
1765589731700,1708,1449,13.38,7.20,37.55,123,8177.78,66.49,214,Lumen Glassware,2025-12-13,418.36,206,2.03,19.55
1765593331700,1854,1679,15.00,6.08,24.52,113,8625.77,76.33,154,Lumen Glassware,2025-12-13,423.06,154,2.75,20.39
1765596931700,1946,1831,15.17,7.07,40.37,138,10506.66,76.14,211,Lumen Glassware,2025-12-13,500.86,233,2.15,20.98
1765600531700,2022,1850,13.69,6.21,32.84,126,9904.22,78.60,171,Lumen Glassware,2025-12-13,481.30,252,1.91,20.58
1765604131700,2085,1973,14.99,6.26,29.61,131,9298.87,70.98,185,Lumen Glassware,2025-12-13,488.23,250,1.95,19.05
1765607731700,2087,1840,13.66,7.28,32.02,152,10984.85,72.27,218,Lumen Glassware,2025-12-13,479.34,207,2.32,22.92
1765611331700,2085,1826,15.69,6.36,30.19,133,10856.92,81.63,232,Lumen Glassware,2025-12-13,463.07,173,2.68,23.45
1765614931700,2015,1842,14.53,7.58,34.38,153,12061.25,78.83,228,Lumen Glassware,2025-12-13,420.18,171,2.46,28.71
1765618531700,1960,1650,14.05,7.10,37.04,139,9047.49,65.09,248,Lumen Glassware,2025-12-13,487.11,180,2.71,18.57
1765622131700,1846,1617,14.53,6.40,30.72,118,9331.42,79.08,148,Lumen Glassware,2025-12-13,435.44,195,2.23,21.43
1765625731700,1692,1440,13.43,5.76,36.35,97,7940.59,81.86,173,Lumen Glassware,2025-12-13,488.25,186,2.62,16.26
1765629331700,1549,1379,14.32,5.54,24.73,86,6826.85,79.38,123,Lumen Glassware,2025-12-13,494.89,218,2.27,13.79
1765632931700,1432,1336,13.94,6.68,31.05,96,7900.58,82.30,178,Lumen Glassware,2025-12-13,375.07,185,2.03,21.06
1765636531700,1295,1187,12.60,5.18,26.73,67,5468.13,81.61,115,Lumen Glassware,2025-12-13,443.18,158,2.80,12.34
1765640131700,1201,1046,11.29,6.11,30.09,73,5508.54,75.46,108,Lumen Glassware,2025-12-13,471.39,229,2.06,11.69
1765643731700,1098,927,10.89,5.65,29.70,62,4192.38,67.62,95,Lumen Glassware,2025-12-13,371.17,188,1.97,11.29
1765647331700,1154,943,11.54,5.86,29.24,68,5071.73,74.58,98,Lumen Glassware,2025-12-13,360.54,185,1.95,14.07
1765650931700,1137,967,11.33,6.08,23.94,69,4906.87,71.11,87,Lumen Glassware,2025-12-13,388.81,169,2.30,12.62
1765654531700,1139,973,10.15,5.37,22.71,61,4409.82,72.29,78,Lumen Glassware,2025-12-13,395.40,207,1.91,11.15
1765658131700,1200,976,10.33,6.07,32.11,73,5035.30,68.98,122,Lumen Glassware,2025-12-13,450.55,176,2.56,11.18
1765661731700,1282,1207,11.12,6.76,34.37,87,6466.02,74.32,112,Lumen Glassware,2025-12-13,429.07,150,2.86,15.07
