ts,visits,sessions,add_to_cart_rate,conversion_rate,bounce_rate,order_count,sales_amount,avg_order_value,items_sold,top_item,sale_date,ad_spend,paid_clicks,cpc,roas
1765560931700,1071,979,11.84,5.96,29.68,64,5474.13,85.53,100,Velvet Bay Candle,2025-12-12,464.89,232,2.00,11.77
1765564531700,1017,891,10.76,5.71,22.40,58,4408.51,76.01,85,Velvet Bay Candle,2025-12-12,408.57,163,2.51,10.79
1765568131700,1073,981,10.98,5.75,32.05,62,4448.27,71.75,78,Velvet Bay Candle,2025-12-12,398.29,161,2.47,11.17
1765571731700,1107,902,12.12,6.62,35.33,73,5509.03,75.47,92,Velvet Bay Candle,2025-12-12,382.95,162,2.36,14.39
1765575331700,1188,1037,12.41,6.39,35.66,76,6027.13,79.30,114,Velvet Bay Candle,2025-12-12,465.79,157,2.97,12.94
1765578931700,1301,1172,10.62,5.32,35.35,69,5111.41,74.08,124,Velvet Bay Candle,2025-12-12,448.98,184,2.44,11.38
1765582531700,1451,1234,12.92,5.40,34.54,78,6602.24,84.64,104,Velvet Bay Candle,2025-12-12,470.28,178,2.64,14.04
1765586131700,1576,1443,13.67,6.47,26.52,102,7569.05,74.21,165,Velvet Bay Candle,2025-12-13,385.41,129,2.99,19.64
1765589731700,1730,1479,13.50,6.02,24.67,104,8830.73,84.91,138,Velvet Bay Candle,2025-12-13,438.12,215,2.04,20.16
1765593331700,1839,1665,13.56,6.49,31.40,119,9615.86,80.81,143,Velvet Bay Candle,2025-12-13,485.47,234,2.07,19.81
1765596931700,1960,1792,13.05,6.71,27.14,132,9440.10,71.52,231,Velvet Bay Candle,2025-12-13,467.55,245,1.91,20.19
1765600531700,2052,1938,15.87,6.84,36.76,140,10352.60,73.95,252,Velvet Bay Candle,2025-12-13,437.93,212,2.07,23.64
1765604131700,2123,1891,14.73,6.44,32.15,137,10742.31,78.41,257,Velvet Bay Candle,2025-12-13,478.63,188,2.55,22.44
1765607731700,2136,1913,15.30,7.27,38.68,155,11672.59,75.31,188,Velvet Bay Candle,2025-12-13,452.05,172,2.63,25.82
1765611331700,2107,1694,14.38,6.08,37.53,128,9322.38,72.83,166,Velvet Bay Candle,2025-12-13,419.85,163,2.58,22.20
1765614931700,2048,1721,16.09,5.94,38.99,122,9389.94,76.97,181,Velvet Bay Candle,2025-12-13,497.73,219,2.27,18.87
1765618531700,1953,1569,14.50,6.94,26.66,135,9937.24,73.61,176,Velvet Bay Candle,2025-12-13,451.43,217,2.08,22.01
1765622131700,1835,1658,13.65,6.28,37.01,115,8447.90,73.46,186,Velvet Bay Candle,2025-12-13,457.91,194,2.36,18.45
1765625731700,1715,1549,12.40,6.83,32.87,117,9037.27,77.24,161,Velvet Bay Candle,2025-12-13,416.26,216,1.93,21.71
1765629331700,1586,1462,11.79,6.46,26.95,103,7054.39,68.49,133,Velvet Bay Candle,2025-12-13,480.25,222,2.16,14.69
1765632931700,1421,1295,13.37,6.46,35.85,92,7240.94,78.71,115,Velvet Bay Candle,2025-12-13,408.21,196,2.08,17.74
1765636531700,1313,1121,12.13,6.25,37.39,82,5613.84,68.46,152,Velvet Bay Candle,2025-12-13,444.22,160,2.78,12.64
1765640131700,1204,1097,11.58,5.94,23.43,72,5002.45,69.48,115,Velvet Bay Candle,2025-12-13,462.07,207,2.23,10.83
1765643731700,1088,1033,12.58,5.78,25.26,63,4930.20,78.26,82,Velvet Bay Candle,2025-12-13,381.98,145,2.63,12.91
1765647331700,1145,1054,12.08,6.62,25.78,76,6315.07,83.09,138,Velvet Bay Candle,2025-12-13,397.65,185,2.15,15.88
1765650931700,1127,942,10.82,6.02,26.03,68,4633.92,68.15,106,Velvet Bay Candle,2025-12-13,384.23,146,2.63,12.06
1765654531700,1134,953,11.71,5.40,27.24,61,4480.55,73.45,112,Velvet Bay Candle,2025-12-13,457.78,236,1.94,9.79
1765658131700,1208,1025,10.36,5.21,34.14,63,5238.00,83.14,99,Velvet Bay Candle,2025-12-13,445.11,191,2.33,11.77
1765661731700,1295,1143,12.69,6.07,37.58,79,5906.51,74.77,126,Velvet Bay Candle,2025-12-13,465.02,172,2.70,12.70
1765665331700,1425,1340,10.80,5.81,24.40,83,7068.25,85.16,135,Velvet Bay Candle,2025-12-13,470.33,163,2.89,15.03
1765668931700,1564,1350,13.66,5.92,31.82,93,7955.07,85.54,163,Velvet Bay Candle,2025-12-13,421.23,197,2.14,18.89
1765672531700,1736,1527,12.06,6.24,24.59,108,7838.00,72.57,135,Velvet Bay Candle,2025-12-14,408.87,143,2.86,19.17
1765676131700,1889,1684,14.23,5.65,24.39,107,8736.01,81.64,148,Velvet Bay Candle,2025-12-14,396.73,164,2.42,22.02
1765679731700,2027,1854,14.92,5.75,38.73,117,9467.29,80.92,195,Velvet Bay Candle,2025-12-14,398.73,163,2.45,23.74
1765683331700,2158,1738,15.30,7.56,36.54,163,11870.38,72.82,301,Velvet Bay Candle,2025-12-14,436.77,175,2.50,27.18
1765686931700,2262,1864,15.53,6.64,34.62,150,12179.83,81.20,211,Velvet Bay Candle,2025-12-14,476.12,246,1.94,25.58
1765690531700,2306,2136,15.27,6.33,35.58,146,9951.45,68.16,186,Velvet Bay Candle,2025-12-14,487.04,218,2.23,20.43
1765694131700,2310,2185,16.29,7.24,30.13,167,14140.53,84.67,283,Velvet Bay Candle,2025-12-14,481.54,230,2.09,29.37
1765697731700,2306,1932,15.76,6.94,30.26,160,11616.00,72.60,265,Velvet Bay Candle,2025-12-14,500.49,238,2.10,23.21
1765701331700,2255,2015,15.19,7.04,32.26,159,12135.10,76.32,220,Velvet Bay Candle,2025-12-14,446.40,212,2.11,27.18
1765704931700,2165,1825,14.98,6.80,35.51,147,10483.88,71.32,194,Velvet Bay Candle,2025-12-14,444.97,174,2.56,23.56
1765708531700,2041,1788,15.54,5.83,24.41,119,9055.71,76.10,169,Velvet Bay Candle,2025-12-14,438.10,179,2.45,20.67
